# Graumlich - The Dalles - PSME - ITRDB WA062
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3333
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3333.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa062-crn-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa062-crn-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/chronologies/northamerica/usa/wa062.crn
#   Related_Online_Description: CRN File; Chronology - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Graumlich - The Dalles - PSME - ITRDB WA062
#--------------------
# Investigators
#   Investigators: Graumlich, L.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: The Dalles
#   Location: Washington
#   Northernmost_Latitude: 47.07
#   Southernmost_Latitude: 47.07
#   Easternmost_Longitude: -121.57
#   Westernmost_Longitude: -121.57
#   Elevation_m: 790
#--------------------
# Data_Collection
#   Collection_Name: WA062
#   First_Year: 1601
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#---------------------
# Data:
# Missing_Values: NA
age_CE	trsgi	numsamp
1787	0.82	24
1788	1.084	24
1789	1.073	24
1790	0.8	24
1791	0.756	24
1792	1.158	24
1793	1.256	24
1794	0.969	24
1795	0.861	24
1796	0.852	24
1797	0.775	24
1798	1.047	24
1799	0.949	24
1800	0.986	24
1801	1.18	24
1802	1.234	24
1803	1.331	24
1804	1.209	24
1805	1.296	24
1806	1.18	24
1807	1.032	24
1808	1.081	24
1809	0.776	24
1810	0.905	24
1811	0.969	24
1812	0.894	24
1813	0.892	24
1814	1.074	24
1815	0.964	24
1816	1.055	24
1817	1.011	24
1818	0.965	24
1819	1.079	24
1820	0.961	24
1821	0.754	24
1822	1.097	24
1823	1.026	24
1824	0.945	24
1825	1.148	24
1826	1.066	24
1827	0.887	24
1828	0.806	24
1829	1.126	24
1830	1.096	24
1831	0.927	24
1832	1.279	24
1833	1.243	24
1834	1.102	24
1835	1.084	24
1836	0.904	24
1837	1.001	24
1838	1.137	24
1839	1.289	24
1840	1.008	24
1841	0.88	24
1842	0.928	24
1843	0.968	24
1844	1.135	24
1845	1.209	24
1846	1.307	24
1847	0.861	24
1848	0.991	24
1849	0.726	24
1850	0.742	24
1851	1.006	24
1852	0.83	24
1853	0.783	24
1854	0.87	24
1855	1.004	24
1856	0.858	24
1857	0.773	24
1858	0.909	24
1859	0.852	24
1860	1.135	24
1861	1.23	24
1862	0.915	24
1863	0.962	24
1864	0.911	24
1865	0.934	24
1866	0.991	24
1867	1.01	24
1868	1.176	24
1869	1.135	24
1870	1.259	24
1871	1.032	24
1872	1.035	24
1873	1.008	24
1874	0.858	24
1875	1.089	24
1876	1.124	24
1877	1.33	24
1878	1.203	24
1879	1.153	24
1880	0.896	24
1881	0.92	24
1882	1.052	24
1883	0.904	24
1884	0.905	24
1885	0.945	24
1886	1.122	24
1887	1.032	24
1888	1.279	24
1889	1.05	24
1890	0.901	24
1891	1.061	24
1892	1.272	24
1893	1.163	24
1894	1.133	24
1895	0.852	24
1896	0.884	24
1897	0.801	24
1898	0.88	24
1899	0.936	24
1900	1.222	24
1901	1.162	24
1902	1.077	24
1903	1.086	24
1904	1.183	24
1905	1.078	24
1906	0.847	24
1907	0.883	24
1908	0.954	24
1909	0.892	24
1910	0.84	24
1911	1.001	24
1912	1.079	24
1913	1.114	24
1914	0.996	24
1915	1.001	24
1916	1.149	24
1917	0.967	24
1918	0.817	24
1919	0.944	24
1920	1	24
1921	0.979	24
1922	0.791	24
1923	0.758	24
1924	0.885	24
1925	0.792	24
1926	0.768	24
1927	0.792	24
1928	0.871	24
1929	0.835	24
1930	0.737	24
1931	0.887	24
1932	0.856	24
1933	0.975	24
1934	1.03	24
1935	1.036	24
1936	0.898	24
1937	0.927	24
1938	1.005	24
1939	0.791	24
1940	1.026	24
1941	1.044	24
1942	1.265	24
1943	1.24	24
1944	1.214	24
1945	1.118	24
1946	1.067	24
1947	1.076	24
1948	1.271	24
1949	0.957	24
1950	1.305	24
1951	1.056	24
1952	0.847	24
1953	0.984	24
1954	1.01	24
1955	1.163	24
1956	0.833	24
1957	0.884	24
1958	1.159	24
1959	0.97	24
1960	0.986	24
1961	1.005	24
1962	0.725	24
1963	0.967	24
1964	1.057	24
1965	0.963	24
1966	0.849	24
1967	0.974	24
1968	0.866	24
1969	0.935	24
1970	1.087	24
1971	0.865	24
1972	1.071	24
1973	1.082	24
1974	0.971	24
1975	0.929	24
1976	1.178	24
1977	1.294	24
1978	1.252	22
1979	0.992	22
1980	0.358	20
