Ring_pair,L01_da,D01_da,L02_da,D02_da,L03_da,D03_da,L04_da,D04_da,L05_da,D05_da,L06_da,D06_da,L07_da,D07_da,L08_da,D08_da,L10_da,D10_da,L11_da,D11_da,L12_da,D12_da,L13_da,D13_da,L14_da,D14_da,L15_da,D15_da,L16_da,D16_da,L17_da,D17_da,L18_da,D18_da,L19_da,D19_da,L20_da,D20_da,L21_da,D21_da,L22_da,D22_da,L23_da,D23_da,L24_da,D24_da,L25_da,D25_da,L26_da,D26_da,L27_da,D27_da,L28_da,D28_da,L29_da,D29_da,L30_da,L31_da,D31_da,L32_da,D32_da,L33_da,D33_da,L34_da,D34_da,L35_da,D35_da,L36_da,D36_da,L37_da,D37_da,L38_da,D38_da,L39_da,D39_da,L40_da,D40_da
11,0.043,0.006,0.046,0.069,0.006,0.019,0.048,0.112,0.005,0.017,0,0,0.026,0.061,0.032,0.004,0,0,0.041,0.104,0.03,0.004,0.051,0.028,0.101,0.043,0.045,0.03,0.002,0.003,0.013,0.054,0.052,0.012,0,0,0.019,0.032,0.019,0.015,0,0.012,0.02,0.031,0,0,0,0,0.025,0,0.054,0.068,0.071,0.016,0.043,0.004,0.019,0.042,0.016,0.015,0.025,0.008,0.025,0,0.019,0.014,0.023,0.01,0,0.032,0.022,0.071,0.011,0.097,0.022,0.017,0
12,0.018,0.07,0.009,0,0.005,0,0.063,0,0.024,0.045,0.039,0.003,0.057,0.129,0.041,0.046,0.045,0.072,0.114,0.075,0.026,0,0,0,0.044,0.034,0,0,0.086,0.023,0,0.041,0,0.014,0.024,0.053,0.047,0.086,0.022,0.01,0.062,0.093,0.023,0.036,0.045,0.007,0.022,0.011,0.029,0.03,0.013,0,0,0,0,0,0.066,0.051,0.003,0.033,0.028,0,0,0,0,0.017,0.004,0.003,0.024,0.056,0.046,0.059,0.027,0,0,0.014,0.004
13,0,0,0.057,0.029,0.017,0.029,0.088,0.069,0,0,0.021,0,0.018,0,0.084,0.009,0,0,0.051,0.015,0,0,0.08,0.055,0.095,0.047,0.026,0.009,0.003,0.051,0,0.088,0.057,0,0.032,0.031,0,0,0,0,0.017,0.018,0,0,0.036,0.006,0,0,0,0.002,0.065,0.021,0.01,0,0.027,0.047,0,0.004,0,0,0,0.119,0.053,0.015,0.004,0,0,0,0,0,0,0.026,0,0.062,0.058,0.102,0
14,0.006,0.045,0.012,0.008,0,0.012,0,0,0.059,0.07,0.068,0.032,0.111,0.132,0.015,0.073,0.056,0.013,0.037,0.121,0.087,0.043,0,0,0,0,0.04,0.067,0.088,0.067,0.085,0.066,0.022,0.011,0.044,0.115,0.044,0.082,0.059,0.031,0.07,0.06,0.046,0.06,0.033,0.068,0.005,0,0.023,0.021,0.013,0.023,0.068,0.018,0.005,0,0.06,0.043,0.031,0.104,0.041,0.006,0,0,0,0.077,0.049,0.029,0.029,0.072,0.038,0.07,0.014,0,0.022,0.039,0.029
15,0,0.013,0.037,0.086,0,0,0.025,0.123,0,0,0.064,0,0,0.009,0.005,0.048,0.024,0.02,0.033,0.043,0,0,0.061,0.051,0.046,0.006,0.069,0.044,0,0,0,0,NA,NA,0,0,0,0.01,0,0.006,0,0,0,0,0,0,0.039,0.012,0,0,0.056,0.042,0.046,0.02,0.041,0.062,0,0,0,0,0,0.055,0.015,0.01,0.025,0,0,0.009,0.014,0,0,0.015,0,0.065,0.033,0.055,0.004
16,0.018,0.006,0.013,0.018,0,0,0.021,0.172,0.063,0.11,0.079,0.041,0.066,0.115,0.004,0.031,0.02,0.05,0.148,0.065,0.039,0.027,0.009,0.03,0.028,0.036,0,0,0.026,0.005,0.097,0.089,NA,NA,0.053,0.037,0.1,0.072,0.071,0.052,0.025,0.014,0.021,0.048,0.011,0,0.068,0.056,0.034,0.016,0,0,0.039,0.002,0.025,0.039,0.08,0.041,0.047,0.087,0.02,0.093,0.012,0.019,0.029,0.103,0.035,0.033,0.019,0.017,0.051,0.094,0.025,0,0,0.016,0.017
17,0.072,0.052,0.051,0.049,NA,NA,0.088,0.151,0.043,0.006,0,0,0.069,0.043,0.031,0.021,0,0,0.058,0.017,0.02,0.009,0.07,0.07,0.124,0.03,0.006,0.002,0.057,0.049,0.086,0.028,NA,NA,0.053,0.079,0.057,0.033,0.031,0.012,0.059,0.011,0.02,0.032,0.014,0.033,0,0,0.014,0.014,0.031,0.018,0.053,0.03,0.058,0.076,0.027,0.065,0.063,0.027,0.02,0.006,0.06,0.004,0.003,0.02,0.044,0,0,0.005,0.012,0.041,0.021,0.025,0.038,0.027,0.004
18,0.015,0.04,0,0.006,NA,NA,0.037,0.027,0.041,0.092,0.032,0.011,0.087,0.137,0.005,0,0.035,0.028,0.171,0.121,0.072,0.022,0,0,0.055,0.036,0.046,0.074,0.015,0.023,0.036,0.101,NA,NA,0.015,0.102,0.098,0.072,0.071,0.079,0.086,0.11,0.016,0.046,0.032,0.055,0,0.029,0.037,0.047,0.029,0.046,0.004,0,0,0,0.095,0.061,0.059,0.13,0.021,0,0,0,0,0.037,0.051,0.024,0.006,0.077,0.041,0.117,0.054,0.011,0.027,0.035,0
19,0,0,0.019,0.006,NA,NA,0.087,0.168,0,0,0.057,0.037,0.015,0.038,0,0.055,0.058,0.046,0.026,0.015,0,0,0.051,0.029,0.085,0.019,0.058,0.012,0.034,0.076,0,0,NA,NA,0.049,0.04,0,0.033,0,0,0.073,0.039,0,0,0.021,0.082,0.021,0.034,0,0,0.062,0.019,0.06,0.018,0.007,0,0.002,0,0,0,0,0.014,0.011,0.028,0.024,0,0,0.031,0.054,0,0,0,0,0.067,0.031,0.012,0
20,0.065,0.007,0.063,0.032,NA,NA,0.044,0.066,0.025,0.044,0.066,0.014,0.011,0.038,0.092,0.007,0.05,0.028,0.062,0.053,0.042,0,0.072,0.059,0.044,0.025,0.025,0.066,0.022,0.056,0.101,0.023,NA,NA,0.042,0.125,0.031,0.028,0.037,0.041,0.11,0.099,0.045,0.035,0.029,0.047,0.029,0.029,0.03,0,0.039,0.034,0,0,0.014,0.012,0.039,0.056,0.011,0.025,0.033,0.004,0.036,0.011,0.031,0.055,0.031,0.035,0.013,0,0,0.014,0,0.042,0.04,0.023,0
21,0.06,0.035,0.063,0.044,NA,NA,0.054,0.194,0.034,0.052,0.012,0.031,0.049,0.169,NA,NA,0.053,0.047,0.098,0.099,0.052,0.036,0.071,0.091,0.082,0.057,0.042,0.028,0.057,0.019,0,0.129,NA,NA,0.017,0.126,0.125,0.029,0.046,0.031,0.046,0.015,0.049,0.015,0.032,0.007,0.055,0.059,0.014,0.022,0.032,0.008,0,0,0.042,0.072,0.012,0.043,0.039,0.047,0.023,0.087,0.046,0.007,0.031,0.037,0.016,0.04,0.029,0.046,0.039,0.053,0.029,0.093,0.031,NA,NA
22,0.048,0.079,0.004,0.035,NA,NA,0.051,0.079,0.053,0.093,0.047,0.007,0.035,0.107,NA,NA,0.058,0.027,0.15,0.094,0.059,0.018,0.099,0.053,0.02,0.002,0.042,0.04,0.044,0.043,0.078,0.109,NA,NA,0.025,0.076,0.07,0.068,0.089,0.095,0.089,0.064,0.053,0.034,0.017,0.03,0.018,0.024,0.028,0.062,0.033,0.037,0.003,0.01,0.01,0.119,0.088,0.057,0.073,0.071,0.038,0.083,0.032,0.031,0.009,0.054,0.034,0.021,0.027,0.052,0.024,0.091,0.038,0.03,0.035,NA,NA
23,0.028,0,0.081,0.054,NA,NA,0,0.071,0.089,0.062,0.032,0.02,0.089,0.113,NA,NA,0.016,0.03,0.112,0.109,0.092,0.043,0.094,0.045,0.04,0,0.075,0.068,0.041,0.026,0.106,0.085,NA,NA,0.013,0,0.118,0.058,0.049,0.016,0,0.013,0.013,0.045,0,0.014,0.008,0.002,0.021,0.052,0.075,0.023,NA,NA,0.062,0.074,0.064,0.037,0.032,0.035,0.07,0.112,0.046,0.022,0.046,0.012,0.03,0.021,0,0.039,0.064,0.118,0.03,0.085,0.028,NA,NA
24,0.063,0.112,0.037,0.017,NA,NA,0,0.026,0.024,0.067,0.093,0.028,0.05,0.084,NA,NA,0.048,0.048,0.091,0.054,0.056,0.077,0.035,0.025,0.028,0.011,0.03,0.016,0.017,0,0.102,0.076,NA,NA,0.021,0.011,0.053,0.078,0.087,0.092,0.044,0.008,0.065,0.007,0.007,0,0.026,0.03,0.052,0.051,0.014,0.008,NA,NA,0.012,0.117,0.069,0.061,0.067,0.065,0.085,0.006,0.043,0.032,0.024,0.129,0.069,0.004,0,0.042,0.019,0.079,0.003,0.018,0.009,NA,NA
25,0.032,0.013,0.024,0.042,NA,NA,NA,NA,0,0.024,0.036,0.006,0.069,0.088,NA,NA,0.028,0.028,0.055,0.046,0.04,0.025,0.079,0.047,NA,NA,0.009,0.026,0.014,0.035,0.017,0.044,NA,NA,0.007,0.025,0.034,0.04,0.037,0.016,0.004,0,0.024,0.039,0.006,0.006,0.023,0.017,0.023,0.009,0.02,0,NA,NA,0.025,0.071,0.041,0.05,0.019,0.041,0.012,0.033,0.026,0.026,0.015,0.026,0.007,0.041,0.022,0.041,0.033,0.086,0.059,0,0,NA,NA
26,0.048,0.029,0.046,0.031,NA,NA,NA,NA,0.066,0.052,0.012,0,0.044,0.116,NA,NA,0.051,0,0.127,0.084,0.047,0.078,0.017,0.016,NA,NA,0.015,0.005,NA,NA,0.109,0.089,NA,NA,NA,NA,0.065,0.057,0.047,0.012,NA,NA,0.04,0.026,NA,NA,0.006,0.034,0.045,0.041,0.036,0.048,NA,NA,0.007,0.076,0.05,0.054,0.041,0.098,0.058,0.004,0.053,0.003,0.016,0.083,0.047,0,0.014,0.034,0.052,0.078,0.04,0.053,0.02,NA,NA
27,0.021,0.035,0.018,0.009,NA,NA,NA,NA,0.005,0.016,0.009,0.005,0.033,0.049,NA,NA,0.022,0.027,0.06,0.028,0.017,0.01,0,0.074,NA,NA,NA,NA,NA,NA,0.007,0.004,NA,NA,NA,NA,0.055,0.007,0.037,0.015,NA,NA,0.017,0.019,NA,NA,0,0.016,0.003,0.011,NA,NA,NA,NA,0.016,0.026,0.05,0.014,0.018,0.015,0.024,0.01,0,0.016,0.004,0.006,0.032,0.004,0.031,0.028,0.021,0.031,0.013,NA,NA,NA,NA
28,0,0.06,0.049,0.03,NA,NA,NA,NA,0.007,0.02,NA,NA,0.029,0.093,NA,NA,NA,NA,0.036,0.069,0,0,0,0.003,NA,NA,NA,NA,NA,NA,0,0.047,NA,NA,NA,NA,0,0.027,0,0.003,NA,NA,0,0.014,NA,NA,NA,NA,0,0.043,NA,NA,NA,NA,0.02,0.006,0.011,0,0,0,0,0.01,0.003,0.025,0.014,0,0,NA,NA,0.027,0.013,0,0,NA,NA,NA,NA
29,0,0.012,NA,NA,NA,NA,NA,NA,0,0.008,NA,NA,0.056,0.042,NA,NA,NA,NA,0.031,0.053,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.012,NA,NA,NA,NA,0.069,0,0.007,0,NA,NA,0.013,0.018,NA,NA,NA,NA,0.012,0.011,NA,NA,NA,NA,NA,NA,0.005,0.037,0.004,0.008,0.02,NA,NA,NA,NA,0.032,0,NA,NA,0.028,0.023,0.029,0,NA,NA,NA,NA
