age_CE,HBO01A_raw,HBO01B_raw,HBO02A_raw,HBO02B_raw,HBO03A_raw,HBO03B_raw,HBO04A_raw,HBO05A_raw,HBO06B_raw,HBO07A_raw,HBO07B_raw,HBO08A_raw,HBO08B_raw,HBO08C_raw,HBO09A_raw,HBO09B_raw,HBO10A_raw,HBO10B_raw,HBO11B_raw,HBO12A_raw,HBO12B_raw,HBO13A_raw,HBO13B_raw,HBO14A_raw,HBO14B_raw,HBO15A_raw,HBO15B_raw,HBO16A_raw,HBO17A_raw,HBO17B_raw,HBO18A_raw,HBO19A_raw,HBO19B_raw,HBO20A_raw,HBO20B_raw,HBO01A_raw_outlier_flag,HBO01B_raw_outlier_flag,HBO02A_raw_outlier_flag,HBO02B_raw_outlier_flag,HBO03A_raw_outlier_flag,HBO03B_raw_outlier_flag,HBO04A_raw_outlier_flag,HBO05A_raw_outlier_flag,HBO06B_raw_outlier_flag,HBO07A_raw_outlier_flag,HBO07B_raw_outlier_flag,HBO08A_raw_outlier_flag,HBO08B_raw_outlier_flag,HBO08C_raw_outlier_flag,HBO09A_raw_outlier_flag,HBO09B_raw_outlier_flag,HBO10A_raw_outlier_flag,HBO10B_raw_outlier_flag,HBO11B_raw_outlier_flag,HBO12A_raw_outlier_flag,HBO12B_raw_outlier_flag,HBO13A_raw_outlier_flag,HBO13B_raw_outlier_flag,HBO14A_raw_outlier_flag,HBO14B_raw_outlier_flag,HBO15A_raw_outlier_flag,HBO15B_raw_outlier_flag,HBO16A_raw_outlier_flag,HBO17A_raw_outlier_flag,HBO17B_raw_outlier_flag,HBO18A_raw_outlier_flag,HBO19A_raw_outlier_flag,HBO19B_raw_outlier_flag,HBO20A_raw_outlier_flag,HBO20B_raw_outlier_flag
1890,0.94,0.9,0.57,0.56,NA,0.97,NA,1.1,NA,2.85,0.91,0.95,2.02,2.92,NA,1.26,1.39,2.04,1.21,1.23,2.75,1.25,1.51,1.6,2.59,1.78,1.59,NA,1.59,NA,1.04,2.61,NA,0.99,0.63,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1891,0.92,0.89,0.41,0.41,NA,2.03,NA,1.22,NA,1.95,0.7,0.93,1.61,2.95,NA,1.26,1.43,2.58,0.79,1.29,2.55,1.49,1.53,1.6,2.56,1.52,1.47,NA,1.22,NA,0.94,2.09,NA,1.02,0.68,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1892,0.74,0.87,0.56,0.55,NA,2.39,NA,1.32,NA,1.78,0.68,0.84,1.79,3.35,NA,1.17,1.46,2.49,0.9,1.21,2.49,1.38,1.65,1.7,2.57,1.5,1.57,NA,1.23,NA,1.02,2.21,NA,1.12,0.71,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1893,0.53,0.68,0.51,0.54,NA,1.51,NA,1.08,NA,1.35,0.65,0.8,1.5,2.1,NA,1.25,1.24,1.84,0.83,1.16,1.99,1.39,1.48,1.39,1.98,1.08,1.09,NA,0.91,NA,0.89,1.64,NA,0.98,0.52,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1894,0.52,0.66,0.66,0.54,NA,1.32,NA,1.4,NA,2.78,0.77,0.65,2,2.89,NA,1.81,1.26,2,0.75,1.98,1.88,1.62,1.48,1.32,1.89,1.42,1.1,NA,1.22,NA,1.12,2.32,NA,1.55,0.89,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1895,0.63,0.72,0.5,0.45,NA,1.35,NA,1.24,NA,2.07,0.74,0.94,1.95,2.77,NA,1.58,1.17,2.08,0.97,2.19,2.38,1.46,1.61,1.52,2.39,1.42,1.23,NA,1.17,NA,1.16,1.95,NA,1.26,0.59,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1896,0.64,0.77,0.56,0.62,NA,1.39,NA,1.57,NA,2.06,0.8,0.95,2.14,3.52,NA,1.88,1.42,2.27,0.94,3.09,2.56,1.3,1.78,1.47,2.22,1.43,1.49,NA,1.27,NA,1.24,2.31,NA,1.54,0.74,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1897,0.56,0.72,0.51,0.59,NA,1.28,NA,1.52,NA,1.71,0.88,0.76,1.89,3.25,NA,2.09,1.33,1.83,0.86,2.48,2.26,1.76,1.9,1.67,2.26,1.38,1.36,NA,1.23,NA,1.28,2.3,NA,1.66,0.75,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1898,0.64,1,0.57,0.59,NA,1.51,NA,1.16,NA,1.77,1.07,1.13,2.15,3.17,NA,1.72,1.27,1.72,0.94,2.25,2.6,1.66,1.77,1.52,2.29,1.32,1.3,NA,1.66,NA,1.19,2.11,NA,1.44,0.89,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1899,0.45,0.68,0.42,0.44,NA,0.92,NA,0.96,NA,1.97,0.99,0.61,1.64,2.33,NA,1.5,1.05,1.18,0.73,1.85,1.92,1.18,1.38,1.22,1.63,1.49,1.26,NA,1.24,NA,0.73,1.91,NA,0.87,0.71,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1900,0.33,0.65,0.46,0.67,NA,0.56,NA,0.78,NA,2.46,1.16,0.5,1.52,2.14,NA,0.92,1.27,1.74,0.53,2.19,2.33,0.97,1.11,0.77,0.97,1.23,0.78,NA,1.11,NA,1.09,2.43,NA,0.72,0.77,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1901,0.55,0.9,0.38,0.46,NA,0.95,NA,0.92,NA,2.18,1.15,0.75,1.63,2.96,NA,1.85,1.28,1.85,0.57,1.89,3.2,1.65,1.17,1.02,0.99,0.99,0.88,NA,1.14,NA,0.89,2.26,NA,0.68,0.75,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1902,0.56,0.87,0.47,0.52,NA,1.22,NA,1.27,NA,1.14,0.84,0.74,1.51,2.76,NA,1.25,1.36,2.1,0.57,1.92,3.17,1.43,1.15,0.87,0.91,0.99,0.79,NA,1,NA,0.84,1.82,NA,0.55,0.58,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1903,0.58,0.96,0.53,0.4,NA,1.24,NA,1.61,NA,1.35,0.87,1.09,1.5,3.46,NA,1.17,1.19,1.79,0.64,2.19,3.23,1.51,1.22,1.08,1.36,1.06,0.96,NA,1.32,NA,1.27,1.95,NA,0.66,0.66,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE
1904,0.77,0.96,0.46,0.49,NA,1.18,NA,1.74,NA,1.22,0.78,0.91,1.5,4.29,2.25,1.01,1.47,2.21,0.64,2.49,3.11,1.6,1.47,1.04,1.45,1.28,1.35,NA,1.67,2.57,1.48,1.93,NA,0.72,0.79,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE
1905,0.76,0.85,0.34,0.43,NA,0.76,NA,1.67,NA,1.04,0.69,1.02,1.38,3.97,1.82,0.87,1.37,1.83,0.44,2.09,2.53,1.29,1.34,0.97,1.33,1.21,1.22,NA,1.45,1.9,1.13,1.81,NA,0.5,0.64,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1906,0.78,0.99,0.38,0.52,NA,1.1,NA,1.61,NA,1.04,0.83,1.79,1.4,3.74,1.12,1.05,1.81,2.28,0.78,2.1,2.93,1.32,1.63,1.06,1.43,1.87,1.63,NA,1.74,2.31,1.17,2.26,NA,0.5,0.71,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1907,0.79,1.04,0.44,0.49,NA,1.15,NA,1.62,NA,1,0.89,1.7,1.56,3.48,0.92,0.97,1.32,1.65,0.81,2.18,2.87,1.37,1.76,1.22,1.88,2.04,2.14,NA,1.93,2.26,1.04,2.01,NA,0.54,0.73,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1908,0.5,0.71,0.25,0.39,NA,0.67,NA,1.17,1.3,0.67,0.68,0.72,1.28,2.62,0.66,0.88,1.01,1.31,0.61,1.56,2.27,1.03,1.34,0.98,1.36,1.31,1.5,NA,1.33,1.29,0.73,1.2,NA,0.53,0.51,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1909,0.62,0.77,0.27,0.42,2.54,1.06,NA,1.21,1.11,0.84,0.78,0.89,1.21,3.54,0.86,1.25,1.14,1.56,0.68,2.24,2.7,0.94,1.4,1.02,1.52,1.25,1.53,NA,1.38,1.43,0.9,1.2,2.59,0.42,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1910,0.64,0.85,0.42,0.57,4.38,1.14,2.45,1.2,1.46,0.77,0.81,1.07,1.53,3.53,0.61,1.53,1.26,1.4,0.73,2.24,2.63,1.07,1.38,1.02,1.55,1.56,1.76,0.94,1.42,1.49,1,2.28,2.79,0.57,0.58,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1911,0.73,0.96,0.38,0.46,3,0.9,1.31,1.25,1.32,1.09,0.9,0.86,1.47,2.69,0.53,1.39,1.01,1.43,0.77,2.7,2.24,1,1.36,1.04,1.24,1.47,1.47,1.74,1.3,1.24,0.95,2.85,2.33,0.57,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,0.77,0.83,0.41,0.51,2.98,0.9,1.31,1.05,1.37,0.92,0.86,1.02,1.41,2.73,1.21,1.6,1.25,1.75,0.87,2.99,2.45,1.05,1.58,1,1.2,1.39,1.6,1.72,1.41,1.15,1.03,2.07,1.55,0.58,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,0.68,0.75,0.34,0.54,2.21,0.87,0.97,0.99,1.22,0.94,0.88,1.31,1.6,2.92,1.45,1.61,1.28,1.6,0.86,3.03,2.35,1.05,1.67,1.2,1.41,1.87,1.78,1.78,1.83,1.21,1.11,2.34,1.68,0.69,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,0.58,0.68,0.21,0.3,2.26,0.81,0.58,1.03,1.13,0.58,0.55,1.09,1.15,2.65,2.6,1.18,0.96,1.05,0.48,2.63,1.9,0.94,1.35,1.01,1.41,1.58,1.45,1.61,1.43,1.1,0.86,2.59,2.09,0.53,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,0.69,0.73,0.4,0.44,1.8,0.93,0.51,0.79,1.13,1.01,0.73,1.33,1.13,2.77,3.23,1.17,1.35,1.45,0.72,1.93,1.68,0.96,1.36,1.09,1.51,2,1.63,1.43,1.21,0.92,0.82,3.41,2.48,0.56,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
1916,0.7,0.62,0.31,0.48,1.13,0.74,0.48,0.89,0.68,0.86,0.56,0.99,1.18,1.95,1.4,0.68,0.93,1.09,0.49,1.25,1.51,1.08,1.28,1.06,1.37,1.21,1.2,1.28,1.18,1.06,0.71,2.02,1.19,0.48,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,0.67,0.76,0.38,0.3,0.98,0.94,0.38,0.94,0.75,0.84,0.67,0.67,1.14,2,1.43,0.84,1.16,1.38,0.69,1.62,1.52,0.84,1.16,0.92,1.02,1.54,1.15,1.1,1.2,1,0.65,2.01,1.13,0.44,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,0.63,0.43,0.33,0.3,0.87,0.7,0.48,0.85,0.74,0.66,0.47,0.82,0.95,2.13,1.56,0.66,1.01,1.15,0.58,1.68,1.4,0.82,1.02,0.71,0.98,1.15,1.12,0.92,0.8,0.95,0.8,1.87,1.31,0.38,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,0.7,0.59,0.26,0.37,1.09,0.74,0.43,0.85,1.17,0.69,0.58,0.72,1.27,1.81,1.22,0.76,1.04,1.41,0.74,1.72,1.43,0.94,1.18,0.93,1.19,1.53,1.44,0.84,1.16,1,0.72,2.99,1.65,0.4,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
