YEAR  ,Month  ,Precip_mm,Temp_cel,TSNW_cm
1932,4,183.896,3.766666667,33.02
1932,5,80.264,7.827777778,0
1932,6,22.098,13.98333333,0
1932,7,98.044,13.83333333,0
1932,8,39.878,15.05555556,0
1932,9,34.798,13.19444444,0
1932,10,212.344,8.005555556,0
1932,11,474.726,3.783333333,17.78
1932,12,459.994,-2.211111111,132.08
1933,1,497.332,-1.9,251.46
1933,2,272.034,-3.488888889,180.34
1933,3,238.252,0.033333333,60.96
1933,4,67.818,3.65,20.32
1933,5,105.664,5.722222222,0
1933,6,86.614,11.69444444,0
1933,7,7.112,15.39444444,0
1933,8,69.85,16.63333333,0
1933,9,170.434,9.505555556,0
1933,10,268.478,9.294444444,0
1933,11,180.34,5.655555556,0
1933,12,1060.196,2.005555556,73.66
1934,1,519.684,2.211111111,27.94
1934,2,72.39,4.9,0
1934,3,331.978,6.7,0
1934,4,72.136,9.816666667,17.78
1934,5,101.854,10.88333333,0
1934,6,40.894,13.03888889,0
1934,7,17.526,15.33333333,0
1934,8,21.59,16.72222222,0
1934,9,109.22,11.63888889,0
1934,10,251.714,9.005555556,0
1934,11,412.242,4.061111111,38.1
1934,12,452.628,1.233333333,139.7
1935,1,356.616,-2.072222222,149.86
1935,2,110.236,1.872222222,38.1
1935,3,280.162,0.266666667,132.08
1935,4,81.026,4.211111111,40.64
1935,5,26.67,8.883333333,0
1935,6,82.804,13.48333333,0
1935,7,52.578,16.16666667,0
1935,8,26.67,16.11111111,0
1935,9,48.26,14.58333333,0
1935,10,90.17,6.394444444,13.97
1935,11,133.096,1.055555556,15.24
1935,12,209.804,0.916666667,12.7
1936,1,355.854,-0.061111111,72.39
1936,2,197.104,-3.977777778,119.38
1936,3,191.516,1,160.02
1936,4,49.784,6.772222222,10.16
1936,5,159.766,10.53333333,0
1936,6,92.964,12.88333333,0
1936,7,49.022,15.67222222,0
1936,8,27.94,16.46666667,0
1936,9,89.662,12.28888889,0
1936,10,46.736,10.02222222,0
1936,11,44.45,2.35,0
1936,12,404.622,0.327777778,72.39
1937,1,149.606,-6.105555556,158.75
1937,2,291.338,-0.938888889,175.26
1937,3,121.92,2.811111111,22.86
1937,4,229.87,3.961111111,71.12
1937,5,86.868,9.127777778,0
1937,6,193.802,12.98888889,0
1937,7,12.954,16.05,0
1937,8,114.3,14.69444444,0
1937,9,57.912,12.98888889,0
1937,10,150.622,9.461111111,0
1937,11,562.102,3.377777778,5.08
1937,12,419.1,0.927777778,156.21
1938,1,188.468,-0.438888889,40.64
1938,2,211.836,0.594444444,91.44
1938,3,256.794,1.694444444,127
1938,4,164.592,6.022222222,0
1938,5,76.708,9.472222222,20.32
1938,6,36.322,13.28888889,0
1938,7,11.938,17.73888889,0
1938,8,22.352,14.68333333,0
1938,9,44.196,14.49444444,0
1938,10,186.69,8.272222222,0
1938,11,221.234,1.477777778,66.04
1938,12,285.496,0.022222222,68.58
1939,1,344.932,-0.133333333,106.68
1939,2,254.254,-1.311111111,175.26
1939,3,137.668,2.288888889,86.36
1939,4,64.008,6.544444444,0
1939,5,90.17,9.805555556,0
1939,6,119.38,11.15555556,0
1939,7,49.53,16.50555556,0
1939,8,33.02,16.65,0
1939,9,65.278,13.12222222,0
1939,10,190.754,8.283333333,0
1939,11,144.78,4.966666667,0
1939,12,431.8,2.277777778,5.08
1940,1,118.872,0.422222222,48.26
1940,2,458.47,1.816666667,58.42
1940,3,234.95,4.061111111,13.97
1940,4,133.35,6.4,2.54
1940,5,87.884,11.07777778,0
1940,6,19.05,13.98888889,0
1940,7,45.72,16.30555556,0
1940,8,21.336,16.37777778,0
1940,9,68.326,13.94444444,0
1940,10,211.836,9.65,0
1940,11,223.266,1.333333333,33.02
1940,12,229.616,0.988888889,20.32
1941,1,163.068,1.272222222,24.13
1941,2,77.216,2.583333333,1.27
1941,3,68.834,4.738888889,2.54
1941,4,78.994,6.861111111,7.62
1941,5,188.722,9.005555556,0
1941,6,73.406,12.01111111,0
1941,7,5.08,18.32222222,0
1941,8,118.872,16.05,0
1941,9,200.66,11.22777778,0
1941,10,157.226,8.527777778,0
1941,11,228.6,4.227777778,0.508
1941,12,348.488,0.011111111,61.468
1942,1,142.748,-0.85,19.558
1942,2,143.002,0.122222222,62.992
1942,3,116.078,1.644444444,67.564
1942,4,138.938,5.816666667,20.574
1942,5,131.826,8.055555556,2.54
1942,6,173.99,10.79444444,0
1942,7,87.122,16.77222222,0
1942,8,32.004,16.84444444,0
1942,9,2.032,13.78333333,0
1942,10,159.766,8.683333333,5.08
1942,11,434.34,1.1,127
1942,12,351.536,-0.161111111,160.274
1943,1,162.814,-3.177777778,190.5
1943,2,200.914,1.4,93.726
1943,3,262.89,0.811111111,62.992
1943,4,127.762,6.094444444,3.048
1943,5,123.444,7.111111111,2.54
1943,6,97.536,10.79444444,0
1943,7,30.48,15.66111111,0
1943,8,37.592,13.95555556,0
1943,9,24.638,14.17222222,0
1943,10,239.268,7.294444444,2.54
1943,11,99.06,4.544444444,2.794
1943,12,227.076,1.061111111,6.35
1944,1,180.594,-0.566666667,48.514
1944,2,194.818,-0.044444444,87.122
1944,3,151.638,0.755555556,75.438
1944,4,95.25,5.261111111,9.652
1944,5,145.542,9.272222222,1.778
1944,6,39.37,12.19444444,0
1944,7,1.016,16.65555556,0
1944,8,13.716,15.37777778,0
1944,9,187.96,14.25,0
1944,10,61.214,11.61666667,0
1944,11,255.016,3.394444444,10.16
1944,12,133.604,0.677777778,40.64
1945,1,291.084,0.538888889,44.45
1945,2,303.53,0.816666667,101.6
1945,3,257.81,1.433333333,101.6
1945,4,198.628,3.544444444,110.49
1945,5,114.046,10.05,0
1945,6,34.036,12.75,0
1945,7,9.906,18.37777778,0
1945,8,30.48,17.26666667,0
1945,9,196.342,11.47222222,0
1945,10,147.066,9.45,0
1945,11,313.436,1.172222222,177.8
1945,12,330.454,0.066666667,83.82
1946,1,391.414,-1.072222222,194.31
1946,2,237.998,0.372222222,122.428
1946,3,207.264,1.877777778,58.42
1946,4,90.932,4.6,5.08
1946,5,45.466,10.27222222,0
1946,6,151.384,10.75,0
1946,7,43.942,15.98888889,0
1946,8,13.716,16.87777778,0
1946,9,59.436,12.19444444,0
1946,10,327.914,4.727777778,30.48
1946,11,284.988,0.783333333,55.372
1946,12,473.202,-0.377777778,78.74
1947,1,352.806,-3.238888889,153.67
1947,2,156.464,1.65,20.32
1947,3,128.778,5.1,0
1947,4,186.944,7.155555556,21.59
1947,5,32.004,11.99444444,0
1947,6,148.844,11.58333333,0
1947,7,41.656,14.93333333,0
1947,8,25.146,14.43333333,0
1947,9,120.65,13.58333333,0
1947,10,384.556,7.116666667,0
1947,11,369.062,2.005555556,17.78
1947,12,263.906,0.4,76.2
1948,1,232.918,-1.127777778,111.76
1948,2,320.294,-1.738888889,142.24
1948,3,177.292,0.933333333,107.95
1948,4,181.102,2.544444444,41.91
1948,5,187.706,7.55,2.54
1948,6,104.648,14.52777778,0
1948,7,72.644,14.26666667,0
1948,8,79.756,13.54444444,0
1948,9,124.968,11.52777778,0
1948,10,152.654,7.172222222,0
1948,11,453.644,0.061111111,123.19
1948,12,392.938,-2.988888889,292.354
1949,1,71.374,-5.905555556,80.01
1949,2,436.118,-2.127777778,312.42
1949,3,125.984,2.933333333,45.72
1949,4,74.676,5.877777778,2.54
1949,5,78.486,10.66111111,0
1949,6,58.42,11.86111111,0
1949,7,39.116,15.04444444,0
1949,8,36.322,15.76666667,0
1949,9,69.85,14.13888889,0
1949,10,221.488,6.727777778,0
1949,11,331.216,7.061111111,0
1949,12,439.42,-1.711111111,246.38
1950,1,417.068,-7.794444444,384.81
1950,2,296.418,-0.405555556,66.04
1950,3,289.814,0.655555556,74.93
1950,4,155.194,3.377777778,48.26
1950,5,75.184,7.216666667,1.778
1950,6,72.898,12.36111111,0
1950,7,68.834,16.43333333,0
1950,8,55.626,16.21111111,0
1950,9,84.328,13.36111111,0
1950,10,299.212,6.172222222,0
1950,11,389.128,2.005555556,0
1950,12,360.172,3.177777778,50.8
1951,1,328.676,-2.183333333,240.03
1951,2,308.61,-0.016666667,116.078
1951,3,246.38,0.322222222,187.198
1951,4,24.638,7.044444444,0
1951,5,131.572,9.716666667,0
1951,6,12.446,14.08333333,0
1951,7,7.366,16.82222222,0
1951,8,35.814,15.15555556,0
1951,9,133.858,14.63888889,0
1951,10,366.014,7.172222222,2.54
1951,11,293.37,2.061111111,30.48
1951,12,286.766,-2.433333333,191.516
1952,1,175.006,-2.572222222,179.324
1952,2,154.178,-0.127777778,51.308
1952,3,164.846,1.155555556,69.85
1952,4,84.836,6.711111111,2.54
1952,5,70.612,9.883333333,0
1952,6,88.392,11.36111111,0
1952,7,1.016,17.04444444,0
1952,8,21.336,16.65555556,0
1952,9,23.114,15.25,0
1952,10,49.022,12.78333333,0
1952,11,36.068,2.894444444,0
1952,12,229.362,-0.155555556,91.44
1953,1,681.482,1.372222222,81.026
1953,2,200.152,0.872222222,68.58
1953,3,144.272,2.1,39.37
1953,4,124.714,4.488888889,27.94
1953,5,138.43,7.716666667,0
1953,6,127,9.638888889,0
1953,7,28.194,15.87777778,0
1953,8,73.66,15.65555556,0
1953,9,77.216,13.86111111,0
1953,10,135.382,9.616666667,0
1953,11,260.096,4.338888889,8.89
1953,12,598.678,0.4,171.45
1954,1,427.736,-2.238888889,350.012
1954,2,257.556,0.15,71.12
1954,3,107.188,0.1,41.91
1954,4,148.844,3.322222222,31.75
1954,5,93.218,9.05,1.27
1954,6,159.004,9.916666667,1.27
1954,7,58.42,14.04444444,0
1954,8,69.596,13.48888889,0
1954,9,67.818,12.19444444,0
1954,10,132.588,8.005555556,0
1954,11,279.4,5.283333333,10.16
1954,12,285.75,0.122222222,133.35
1955,1,167.64,-0.85,114.3
1955,2,263.652,-1.238888889,180.594
1955,3,325.12,-1.677777778,334.01
1955,4,197.104,1.211111111,122.428
1955,5,109.22,4.938888889,12.7
1955,6,70.612,11.47222222,0
1955,7,104.902,12.98888889,0
1955,8,2.286,15.04444444,0
1955,9,122.428,12.13888889,0
1955,10,436.88,7.394444444,27.94
1955,11,473.964,-0.605555556,72.39
1955,12,366.014,-1.322222222,106.68
1956,1,338.836,-1.461111111,179.07
1956,2,262.382,-2.127777778,309.372
1956,3,351.536,-0.677777778,256.54
1956,4,44.45,4.988888889,2.032
1956,5,48.26,10.77222222,0
1956,6,120.65,10.75,0
1956,7,21.844,16.98888889,0
1956,8,56.642,15.65555556,0
1956,9,98.806,12.75,0
1956,10,267.97,6.005555556,15.24
1956,11,135.89,2.894444444,37.592
1956,12,402.59,0.844444444,43.688
1957,1,159.766,-3.961111111,166.37
1957,2,289.052,-0.405555556,162.56
1957,3,246.634,2.322222222,85.09
1957,4,124.968,5.933333333,7.62
1957,5,91.948,10.93888889,0
1957,6,101.092,12.91666667,0
1957,7,30.226,14.48888889,0
1957,8,40.386,13.76666667,0
1957,9,37.592,15.63888889,0
1957,10,189.992,7.561111111,0
1957,11,219.456,2.338888889,26.67
1957,12,421.386,0.733333333,147.32
1958,1,267.208,0.594444444,25.4
1958,2,231.648,3.65,20.32
1958,3,74.422,2.322222222,38.1
1958,4,230.632,5.1,0
1958,5,56.134,13.10555556,0
1958,6,92.71,15.25,0
1958,7,1.016,19.54444444,0
1958,8,26.162,17.76666667,0
1958,9,119.888,12.02777778,0
1958,10,232.918,9.505555556,0
1958,11,538.988,1.783333333,50.8
1958,12,332.994,2.788888889,6.35
1959,1,426.212,-0.238888889,66.04
1959,2,132.842,0.094444444,69.85
1959,3,236.982,1.711111111,60.96
1959,4,166.116,5.655555556,5.08
1959,5,101.6,7.883333333,1.27
1959,6,98.298,12.41666667,0
1959,7,30.734,16.82222222,0
1959,8,51.816,14.43333333,0
1959,9,339.344,10.75,0
1959,10,348.742,8.005555556,0
1959,11,442.976,3.061111111,2.54
1959,12,225.806,0.566666667,25.4
1960,1,165.354,-1.183333333,99.06
1960,2,224.536,0.038888889,45.72
1960,3,242.824,2.488888889,132.08
1960,4,183.896,5.488888889,67.31
1960,5,263.144,7.05,5.08
1960,6,75.946,12.86111111,0
1960,7,1.778,17.93333333,0
1960,8,126.746,13.93333333,0
1960,9,78.994,13.02777778,0
1960,10,228.092,8.672222222,0
1960,11,424.434,1.894444444,68.58
1960,12,194.056,0.844444444,41.91
1961,1,301.752,2.594444444,2.54
1961,2,489.966,1.538888889,100.33
1961,3,216.154,2.544444444,110.49
1961,4,227.584,4.488888889,45.72
1961,5,100.076,8.827777778,0
1961,6,37.084,15.69444444,0
1961,7,40.386,17.48888889,0
1961,8,39.624,18.82222222,0
1961,9,90.932,11.13888889,0
1961,10,242.824,6.783333333,6.35
1961,11,221.996,0.561111111,57.15
1961,12,376.428,-0.711111111,121.92
1962,1,225.044,-1.294444444,46.99
1962,2,84.328,1.427777778,20.32
1962,3,206.756,1.488888889,152.4
1962,4,203.454,6.877777778,5.08
1962,5,124.714,6.772222222,0
1962,6,70.866,12.30555556,0
1962,7,26.924,15.32222222,0
1962,8,79.502,14.87777778,0
1962,9,110.49,14.08333333,0
1962,10,178.054,8.45,0
1962,11,469.9,3.894444444,13.97
1962,12,195.58,1.622222222,29.21
1963,1,96.52,-2.461111111,33.02
1963,2,286.004,5.15,7.62
1963,3,208.026,2.877777778,83.82
1963,4,145.288,4.155555556,1.27
1963,5,69.342,9.716666667,0
1963,6,100.33,11.63888889,0
1963,7,70.866,13.65555556,0
1963,8,56.134,15.6,0
1963,9,70.612,15.63888889,0
1963,10,160.782,8.783333333,0
1963,11,290.322,2.338888889,12.7
1963,12,194.056,1.177777778,26.67
1964,1,541.782,-0.627777778,310.134
1964,2,130.302,0.761111111,88.9
1964,3,267.208,1.322222222,167.64
1964,4,179.578,2.933333333,40.64
1964,5,89.408,6.661111111,0
1964,6,124.968,10.47222222,0
1964,7,58.166,14.54444444,0
1964,8,134.366,13.87777778,0
1964,9,114.046,11.36111111,0
1964,10,109.474,9.783333333,0
1964,11,255.27,1.394444444,64.77
1964,12,458.978,-1.711111111,189.23
1965,1,492.506,-0.127777778,215.9
1965,2,274.32,0.538888889,110.998
1965,3,34.29,3.877777778,29.21
1965,4,120.904,6.377777778,1.27
1965,5,89.154,7.716666667,7.62
1965,6,12.7,13.25,0
1965,7,19.05,17.43333333,0
1965,8,97.536,15.93333333,0
1965,9,78.74,11.86111111,0
1965,10,108.204,10.50555556,0
1965,11,223.266,4.727777778,34.29
1965,12,182.88,-0.377777778,112.014
1966,1,270.764,-0.572222222,180.34
1966,2,179.07,0.65,147.32
1966,3,216.662,2.6,119.38
1966,4,97.028,5.877777778,20.32
1966,5,75.946,9.827777778,0
1966,6,119.634,11.25,0
1966,7,56.642,14.48888889,0
1966,8,23.876,15.26666667,0
1966,9,53.34,14.13888889,0
1966,10,197.866,7.727777778,17.78
1966,11,275.59,3.45,1.27
1966,12,297.942,1.344444444,80.01
1967,1,556.768,-0.294444444,165.1
1967,2,246.126,1.372222222,139.7
1967,3,188.468,1.1,64.77
1967,4,77.724,3.1,35.56
1967,5,39.37,8.605555556,0
1967,6,66.548,14.58333333,0
1967,7,5.588,16.54444444,0
1967,8,2.032,19.26666667,0
1967,9,53.086,16.41666667,0
1967,10,444.246,7.561111111,0
1967,11,165.862,3.616666667,13.97
1967,12,298.704,-0.822222222,72.39
1968,1,255.778,-1.238888889,139.7
1968,2,325.374,4.038888889,7.62
1968,3,182.118,4.322222222,8.89
1968,4,166.878,4.155555556,54.102
1968,5,91.948,9.55,10.16
1968,6,188.722,12.69444444,0
1968,7,28.956,16.82222222,0
1968,8,212.344,14.04444444,0
1968,9,171.958,12.25,0
1968,10,246.634,6.45,0
1968,11,354.584,2.116666667,40.64
1968,12,330.2,-2.266666667,208.28
1969,1,378.46,-4.127777778,297.18
1969,2,116.078,0.038888889,80.01
1969,3,107.696,3.266666667,11.43
1969,4,138.938,5.155555556,7.62
1969,5,101.6,11.10555556,0
1969,6,84.836,15.13888889,0
1969,7,12.192,14.76666667,0
1969,8,16.51,14.37777778,0
1969,9,212.852,12.19444444,0
1969,10,111.252,6.616666667,0
1969,11,149.606,4.005555556,15.24
1969,12,254.508,0.622222222,63.5
1970,1,557.53,-1.255555556,114.3
1970,2,148.59,2.894444444,40.64
1970,3,156.464,2.705555556,25.4
1970,4,163.576,2.844444444,35.56
1970,5,75.438,8.538888889,0
1970,6,39.37,13.51111111,0
1970,7,15.748,16,0
1970,8,8.382,15.71666667,0
1970,9,157.226,11.06666667,0
1970,10,181.102,6.094444444,2.54
1970,11,268.986,2.4,80.772
1970,12,336.042,-1.283333333,113.03
1971,1,653.796,-1.505555556,261.62
1971,2,281.432,0.116666667,80.01
1971,3,266.446,-0.016666667,88.9
1971,4,65.786,3.9,2.54
1971,5,104.14,8.65,16.764
1971,6,105.918,9.177777778,0
1971,7,45.466,16.16666667,0
1971,8,13.97,17.21666667,0
1971,9,137.668,11.12222222,0
1971,10,139.192,7.15,15.24
1971,11,223.012,1.4,7.62
1971,12,433.832,-1.561111111,276.86
1972,1,603.504,-2.783333333,252.73
1972,2,438.658,0.505555556,53.34
1972,3,355.854,1.594444444,50.8
1972,4,252.222,2.288888889,99.06
1972,5,71.628,9.094444444,0
1972,6,133.858,11.51111111,0
1972,7,55.88,15.27777778,0
1972,8,30.734,16.21666667,0
1972,9,209.55,10.62222222,3.81
1972,10,38.608,8.038888889,25.4
1972,11,218.694,3.011111111,12.7
1972,12,397.51,-2.616666667,99.06
1973,1,178.816,-1.338888889,48.26
1973,2,69.088,2.005555556,10.922
1973,3,107.188,2.761111111,22.86
1973,4,53.34,5.622222222,26.67
1973,5,93.218,9.983333333,0
1973,6,123.444,12.28888889,0
1973,7,0.508,16.22222222,0
1973,8,5.334,14.55,0
1973,9,120.396,12.84444444,0
1973,10,203.2,6.705555556,0
1973,11,381.254,0.066666667,151.13
1973,12,389.382,1.105555556,99.06
1974,1,625.094,-2.338888889,117.856
1974,2,218.948,0.838888889,130.302
1974,3,270.764,1.427777778,110.49
1974,4,202.184,4.066666667,48.006
1974,5,127.508,6.15,21.59
1974,6,127.254,12.67777778,0
1974,7,59.69,14.83333333,0
1974,8,10.414,16.32777778,0
1974,9,18.796,15.45555556,0
1974,10,47.244,9.761111111,0
1974,11,192.278,2.9,2.54
