year,TO04,TO11,TB13,AV14,AX15,AG05,AV06,AM16,AR07,AE10,PARA,PP17,TA01,AV02/AO03,AB08
1940,3204.25,3109.290556,3053.587222,2517.604445,2715.226111,2890.095556,2532.812778,2371.031111,2125.042778,2087.341111,1909.740556,2401.715556,3332.542222,2835.568889,2585.705
1941,3181.559444,3115.845555,3041.296111,2352.613333,2648.461667,2854.154444,2409.926111,2236.430555,1937.797222,1912.317222,1692.918333,2254.487222,3333.541111,2751.166667,2444.242222
1942,2695.414999,2637.522222,2612.08,2180.228889,2369.682222,2494.456666,2212.208889,2095.153889,1821.654444,1786.63,1647.907778,2131.967778,2844.812777,2461.262222,2271.083889
1943,2625.662777,2571.368332,2523.766666,2048.519444,2247.967777,2385.912777,2056.534444,1932.683333,1671.313333,1627.862222,1484.48,1961.363889,2769.648888,2342.762222,2113.316666
1944,2955.154443,2881.358332,2837.345555,2417.347777,2589.958333,2729.060555,2437.675555,2327.604444,2077.162778,2044.064444,1881.741111,2354.66,3100.486666,2685.312777,2491.885555
1945,2833.232776,2780.214443,2716.572221,2303.704999,2490.023888,2609.838332,2342.79611,2214.84,1973.782222,1909.236666,1781.246666,2236.383889,2978.469998,2589.058333,2398.98611
1946,2561.219999,2518.154444,2461.214999,2030.091111,2242.379444,2366.777221,2084.96,1979.594444,1725.348333,1677.06,1521.880555,1987.406111,2721.785555,2343.008888,2137.014444
1947,2925.691111,2835.650556,2790.331667,2305.707222,2536.221667,2671.393334,2352.480556,2224.127778,1960.008334,1933.763334,1770.040556,2249.61,3052.337778,2635.691667,2390.724445
1948,2337.309445,2290.516111,2288.831111,1877.030556,2055.632222,2171.291111,1925.480556,1843.080556,1630.945556,1591.736667,1458.184445,1861.922222,2491.610556,2143.927778,1978.680556
1949,2989.196111,2940.746667,2878.07,2396.606111,2610.898889,2763.802222,2422.69,2282.185,2014.578334,1977.798889,1793.398334,2311.605556,3140.809445,2706.248889,2466.381667
1950,2653.228888,2585.968888,2566.215555,2079.607777,2263.816111,2416.15,2098.952222,1986.897222,1727.333333,1695.006667,1567.77,2008.556111,2777.311111,2379.93,2139.698888
1951,2899.541111,2842.710555,2819.696666,2372.04,2570.393333,2714.856666,2406.646111,2282.026111,1998.733333,1962.947778,1774.9,2302.592778,3040.629444,2669.423333,2464.376111
1952,3093.228334,3048.338889,3023.862223,2597.116667,2775.705,2911.597778,2610.72,2506.553889,2211.368889,2173.223334,2042.321111,2527.936111,3239.800556,2886.545556,2665.11
1953,2773.188334,2699.69,2649.255556,2175.258889,2390.509445,2534.427778,2212.766667,2101.124445,1825.496667,1774.074445,1567.505,2117.566111,2932.012223,2485.345,2262.593889
1954,2529.652223,2474.626111,2451.014445,1994.764445,2206.985,2352.779445,2032.91,1922.411667,1633.601667,1598.562222,1448.648889,1934.405,2652.150556,2305.391111,2089.022223
1955,2177.662778,2119.91,2115.141111,1740.152223,1909.798889,2001.651667,1773.868889,1682.749445,1474.31,1436.113334,1310.460556,1704.096667,2331.316111,1996.05,1825.638334
1956,2719.626111,2659.973334,2631.333334,2162.892223,2363.71,2524.887223,2186.060556,2094.368334,1823.473889,1779.157778,1649.974445,2109.236667,2856.276111,2473.099445,2242.262778
1957,2837.623333,2766.572222,2732.227778,2252.501111,2453.395,2611.741667,2280.334444,2162.157222,1890.5,1859.132778,1702.570556,2177.510556,2973.972778,2549.425,2331.226667
1958,3330.572223,3269.402778,3212.006667,2692.383334,2883.016111,3046.363334,2722.046111,2600.545556,2339.749445,2302.147778,2134.292223,2625.175556,3483.206667,2984.635556,2773.068334
1959,2674.975556,2611.713889,2581.871111,2091.158889,2300.556111,2453.103334,2129.863889,2021.325556,1751.325556,1705.893334,1554.519445,2034.513889,2803.064445,2408.177778,2174.678334
1960,2793.708333,2714.634445,2676.685556,2207.212778,2416.601111,2559.813333,2235.647222,2127.766667,1864.992222,1835.078889,1685.273333,2144.805556,2933.43,2517.947222,2296.012222
1961,2908.325,2826.102222,2773.943889,2270.181111,2501.601667,2652.631111,2317.132222,2203.201111,1969.791666,1936.105,1803.281666,2209.732778,3046.753333,2605.342778,2368.074444
1962,2915.545556,2850.953889,2797.876111,2220.201111,2453.285,2643.483889,2274.457778,2141.519445,1873.700556,1827.918334,1652.384445,2152.967778,3067.858889,2567.02,2324.972222
1963,2912.478889,2858.293889,2808.073889,2244.560556,2462.945556,2649.908889,2262.830556,2144.292223,1901.748334,1861.005556,1725.492223,2166.982223,3053.334445,2555.405556,2318.357778
1964,2408.971111,2329.762778,2294.253333,1887.087778,2079.81,2181.862222,1933.841111,1826.323889,1606.475,1545.54,1390.219445,1853.034445,2543.605555,2169.430556,1971.762778
1965,3110.917222,3049.567778,3008.890556,2451.84,2679.306111,2840.432778,2466.265,2327.744444,2062.369444,2014.511111,1840.78,2348.926667,3254.196111,2778.150556,2512.439444
1966,2869.010556,2790.131111,2744.491667,2220.403334,2429.713889,2608.472222,2252.077778,2128.472223,1829.936111,1804.586111,1634.731667,2135.977223,3001.963889,2542.581667,2297.762223
1967,2976.704444,2915.981111,2883.907778,2410.74,2622.121667,2744.213333,2458.899445,2342.050556,2093.278889,2047.486667,1892.495556,2355.508889,3116.217778,2713.547222,2499.271111
1968,2799.528334,2725.152223,2683.985,2155.185,2372.407223,2544.247778,2188.388334,2058.740556,1813.570556,1779.443889,1619.874445,2084.537778,2937.411667,2470.182778,2235.992778
1969,2875.648333,2818.493889,2764.705,2255.598333,2461.610556,2630.063889,2298.315556,2153.958889,1873.366111,1843.418889,1683.356111,2159.650556,3010.432778,2572.045,2341.692222
1970,2602.151662,2528.708329,2468.462218,1998.157774,2188.692774,2313.055552,2035.752219,1936.224997,1697.764997,1669.991663,1528.343331,1951.74833,2728.760551,2273.502774,2086.719441
1971,2376.39944,2315.729996,2292.369997,1880.473331,2070.324997,2198.167219,1919.453331,1819.616108,1596.619997,1564.924442,1434.203331,1848.961109,2518.94444,2183.779997,1984.485553
1972,2528.93944,2452.38444,2431.910552,1963.30222,2167.154441,2298.852775,2011.13222,1872.183887,1630.743331,1593.013331,1455.534998,1904.189442,2659.300551,2267.659441,2061.354442
1973,2615.801663,2566.501663,2526.492219,2032.995553,2264.349442,2400.502219,2093.099442,1949.458887,1700.37722,1672.334998,1531.098331,1959.099998,2766.31944,2371.058331,2128.253331
1974,2656.410554,2587.203332,2562.184443,2101.176666,2284.968888,2435.89611,2125.165554,2035.423888,1785.781666,1751.079999,1596.894999,2040.32111,2814.572776,2388.208888,2176.720554
1975,2354.274442,2282.671664,2269.952776,1863.685554,2067.319998,2177.541109,1913.406109,1808.604442,1582.671665,1540.814443,1419.614999,1828.120554,2502.518886,2151.709998,1963.794998
1976,2534.232221,2478.164443,2463.028887,1977.123333,2182.879443,2305.767221,2013.238333,1910.752777,1620.41111,1586.135555,1443.278333,1920.90611,2681.948332,2279.758332,2072.503333
1977,2596.685,2518.751111,2487.418333,1999.722778,2213.88,2357.303333,2048.632778,1935.794444,1695.214444,1656.345555,1467.961111,1942.419444,2734.424444,2322.242222,2095.918333
1978,2656.029998,2601.726109,2542.017776,2018.093887,2237.968331,2429.024998,2051.714998,1948.669443,1677.749998,1642.999443,1459.291665,1960.384998,2806.86722,2353.611109,2106.624998
1979,2867.706111,2815.054999,2781.402222,2258.886667,2469.426111,2644.183333,2281.264445,2134.701111,1849.581111,1809.303334,1658.86,2157.408334,2996.914999,2582.863333,2332.456667
1980,2663.912222,2596.713889,2549.696667,2053.438889,2255.280556,2431.561667,2085.356667,1958.212222,1699.401667,1649.618333,1483.361667,1981.968333,2797.841666,2373.269445,2135.606111
1981,2777.653333,2688.412778,2612.586111,2064.871111,2310.196111,2447.257778,2116.938333,1957.381111,1662.194445,1619.783334,1458.45,1960.457778,2920.043889,2407.446667,2184.275
1982,2420.92,2362.149445,2339.540556,1917.675556,2112.719445,2243.777223,1969.714445,1875.915,1637.294445,1603.887778,1453.181667,1899.927223,2567.253889,2225.37,2013.563889
1983,2558.209445,2490.72,2426.23,1937.563334,2152.893334,2281.848334,1977.417778,1858.378889,1580.421667,1531.300556,1361.498889,1873.247222,2723.330556,2250.158889,2022.957223
1984,2265.747223,2208.504445,2177.93,1706.112223,1909.076111,2057.354445,1744.081667,1640.819445,1436.122778,1415.922778,1301.525556,1680.266111,2425.762778,2021.832778,1793.098889
1985,2436.813334,2392.649445,2364.137223,1983.534445,2170.432778,2282.872223,2024.132778,1922.402223,1668.765,1640.676667,1490.675556,1943.113889,2601.947778,2260.547778,2080.522778
1986,2656.607778,2589.282778,2571.891111,2072.713334,2303.387223,2433.812223,2115.116111,1988.847778,1717.671111,1683.721667,1529.253889,2000.316111,2801.26,2403.52,2158.352778
1987,3116.685,3065.101111,3037.270556,2586.393334,2768.552223,2906.407223,2617.180556,2489.768889,2185.679445,2142.749445,1966.777223,2510.916111,3277.443889,2878.526667,2667.482778
1988,2801.414445,2736.778889,2684.891667,2259.881667,2452.502222,2582.575556,2302.796667,2162.101111,1888.459445,1837.972222,1687.210556,2177.3,2935.598889,2559.38,2356.121667
1989,2773.566111,2710.261111,2666.710556,2136.612222,2370.923889,2529.462778,2179.393889,2063.601111,1806.288889,1771.192222,1581.420556,2083.555,2901.66,2493.213333,2225.953333
1990,2806.447222,2748.042778,2688.084445,2181.216111,2397.227223,2562.731111,2228.065,2095.644445,1806.393889,1773.993334,1618.627223,2111.125,2947.213889,2503.726667,2281.116667
1991,2725.045,2664.53,2621.86,2180.034445,2363.636111,2499.756667,2210.966667,2078.196111,1809.142222,1774.320556,1609.882778,2100.926111,2862.435,2470.936667,2271.948889
1992,3281.563334,3214.133889,3166.573334,2574.833889,2811.309445,2976.17,2595.416667,2470.133889,2161.311111,2119.396111,1905.191667,2487.690556,3435.563334,2910.854445,2654.186667
1993,2672.355556,2597.302222,2571.613889,2090.846667,2273.728334,2435.142778,2135.271111,2012.338334,1761.003334,1715.023334,1584.940556,2019.645556,2834.463889,2373.794445,2188.563334
1994,2741.858334,2690.019445,2659.776111,2188.358889,2397.896667,2543.228889,2235.23,2110.890556,1843.915556,1805.237778,1659.008889,2131.580556,2893.812778,2508.581667,2287.167223
1995,2842.942778,2759.088889,2714.968889,2188.23,2405.767222,2583.637222,2213.301111,2101.333889,1831.555556,1777.008889,1619.524445,2121.100556,2979.997778,2519.906111,2266.528334
1996,2594.372778,2513.63,2483.717778,2017.21,2208.437223,2356.26,2065.885556,1950.290556,1730.251667,1701.803334,1531.330556,1980.201111,2740.577223,2317.459445,2122.720556
1997,2662.570556,2584.92,2553.733889,2090.141667,2293.803889,2429.868889,2133.660556,1999.429445,1737.737222,1704.526667,1563.608334,2006.241111,2806.222778,2387.854445,2165.971667
1998,2820.360556,2740.436667,2683.882778,2199.752778,2388.625,2559.071111,2229.618334,2127.856667,1873.617778,1844.725556,1716.877778,2147.563334,2960.295556,2491.986667,2275.077778
1999,2381.432777,2335.882222,2318.578333,1887.551666,2086.027777,2224.258333,1925.312777,1799.148888,1553.270555,1521.31,1399.225,1819.126111,2513.000555,2192.326111,1983.722222
2000,2421.653333,2378.803888,2348.738333,1878.857222,2086.870555,2230.514444,1922.655555,1813.140555,1542.006111,1513.617778,1378.237222,1830.698889,2571.859444,2202.883889,1975.967222
2001,2753.176667,2694.758889,2659.910556,2158.583889,2354.223889,2540.436667,2182.549445,2070.870556,1801.911667,1758.804445,1615.439445,2084.656111,2901.466111,2470.469445,2239.496667
2002,2727.563889,2680.113889,2638.202778,2137.063333,2332.781111,2499.838333,2156.602778,2047.476667,1812.209445,1772.105556,1631.743889,2059.925,2867.652778,2440.515,2206.3
2003,2607.379444,2557.130555,2515.758888,2104.245555,2282.035555,2400.173333,2133.780555,2043.179444,1817.246666,1790.593333,1669.112778,2066.471111,2766.223888,2373.895555,2196.805555
2004,3166.49611,3097.809999,3037.714443,2496.020555,2697.585555,2866.43111,2525.318888,2349.824999,2042.042777,2005.427777,1805.210555,2368.08611,3291.432221,2819.099444,2574.315555
2005,2829.486666,2756.839444,2714.87,2238.047777,2451.822777,2603.645555,2266.875,2128.714444,1843.800555,1812.298888,1605.846111,2175.797777,2956.503333,2567.362222,2325.887222
2006,2813.461665,2754.227776,2726.736109,2291.309998,2477.698887,2607.198331,2321.905554,2207.273887,1936.326665,1914.436665,1753.603887,2238.514998,2960.191109,2586.586665,2377.662776
2007,2610.082219,2560.742219,2515.482775,2045.610554,2265.143887,2396.644998,2101.02722,1953.469443,1695.154998,1675.939998,1524.908887,1971.274443,2764.566664,2384.928331,2149.322776
2008,2380.828884,2315.506662,2286.392217,1834.862774,2054.85944,2165.487218,1868.223885,1773.059441,1541.644996,1512.574441,1402.676107,1799.737218,2547.71555,2154.674996,1929.077774
2009,2606.890531,2546.531087,2504.982198,2113.19609,2261.209978,2382.177199,2146.344423,2051.861645,1793.250535,1769.723313,1641.646092,2082.887756,2754.901086,2384.491088,2204.089423
