Year,TO04,TO11,TB13,AV14,AX15,AG05,AV06,AM16,AR07,AE10,PARA,PP17,TA01,AV02/AO03,AB08
1972,149,153,172,197,192,181,225,244,268,273,296,218,156,183,194
1973,65,67,106,160,145,129,172,194,203,205,224,179,71,133,158
1974,106,113,137,193,187,166,214,240,259,261,275,217,115,172,196
1975,136,147,172,219,212,190,231,252,262,265,275,229,149,199,215
1976,100,101,128,163,157,142,195,222,243,246,265,198,103,144,161
1977,76,82,99,155,146,113,171,191,218,222,232,179,80,119,159
1978,75,76,96,156,142,129,184,210,226,229,251,191,80,132,155
1979,84,88,107,168,158,142,186,201,215,220,238,188,88,147,163
1980,84,87,118,151,145,135,173,200,221,224,240,179,89,138,155
1981,41,48,67,102,96,80,125,163,198,201,232,139,46,88,107
1982,122,129,152,208,201,184,223,234,257,261,276,221,128,190,204
1983,54,58,93,156,150,115,183,203,221,224,249,193,65,134,157
1984,74,79,122,209,195,153,232,252,272,275,290,236,90,167,205
1985,154,156,167,201,195,181,211,229,244,252,260,211,155,183,198
1986,51,58,90,165,152,122,190,202,216,217,233,194,59,132,160
1987,60,71,85,147,135,115,163,175,192,197,211,168,72,123,148
1988,96,105,124,173,163,141,195,216,228,230,244,196,99,148,173
1989,94,99,115,152,148,133,165,198,215,219,236,170,103,137,149
1990,117,118,138,164,166,151,193,223,245,248,275,192,120,152,163
1991,73,86,117,181,173,148,205,233,252,254,267,211,83,155,177
1992,47,48,62,106,102,87,127,153,168,173,191,134,49,93,110
1993,76,81,101,170,165,143,179,190,203,206,220,182,83,155,165
1994,94,96,114,171,168,128,185,197,214,215,237,188,98,146,170
1995,39,47,70,155,146,112,173,188,208,213,250,178,51,125,153
1996,95,95,116,180,163,149,209,231,243,246,266,213,94,156,176
1997,118,126,151,191,183,166,210,229,249,255,271,207,129,168,188
1998,93,96,118,161,158,145,170,201,221,224,249,175,101,150,160
1999,127,139,165,198,196,180,214,237,257,261,275,214,137,181,192
2000,116,120,140,187,181,162,204,223,239,241,255,203,122,165,187
2001,70,77,102,159,149,127,171,186,196,204,228,173,73,130,156
2002,104,114,139,173,170,157,186,199,213,216,229,186,113,159,170
2003,79,82,118,191,183,155,215,232,243,244,256,223,80,167,192
2004,46,49,73,138,118,104,166,197,219,224,243,176,57,110,130
2005,49,53,78,137,121,95,146,164,177,180,202,152,53,115,137
2006,107,110,133,176,169,160,189,205,220,223,238,190,111,165,172
2007,102,105,120,182,168,146,192,205,236,240,259,197,109,158,172
2008,150,152,168,201,195,181,215,223,243,246,265,214,156,183,197
2009,134,134,155,197,194,187,203,213,240,243,252,201,135,188,191
