Year,TO04,TO11,TB13,AV14,AX15,AG05,AV06,AM16,AR07,AE10,PARA,PP17,TA01,AV02AO03,AB08
1954,336.246987,321.4924668,642.1458379,1066.81611,1207.224091,982.7923856,1724.577182,2163.158267,2325.109071,2421.01548,2636.986169,1397.036187,464.2947812,960.6933034,993.4391287
1955,406.9568911,404.2317568,612.3650799,886.0025956,977.6131864,784.7705682,1387.060309,1727.454879,1876.029039,1953.059402,2087.632305,1138.89414,452.322703,737.8184662,805.9985945
1956,483.465869,457.9358334,704.7390909,1110.042448,1211.016263,995.517142,1780.912077,2221.807959,2437.537155,2549.154502,2782.97833,1487.544098,530.8605407,970.6441798,1053.837789
1957,226.8841475,201.0799637,320.9202024,449.6221251,495.2173141,408.1658083,805.0051394,1196.933054,1395.249793,1466.551421,1789.102239,716.790172,273.7426925,381.1598877,432.0341436
1958,57.68452022,53.6072301,113.1625724,341.493025,352.0641354,235.0912866,659.0650933,1005.999779,1084.591132,1134.080056,1551.590467,634.050137,60.53428337,259.9601689,332.8223051
1959,84.6973507,71.10714676,112.9903943,384.0053601,389.4450197,188.5972794,726.6542642,1151.985762,1337.133972,1402.012621,1727.049443,700.1878543,93.80855802,252.5909215,385.9739934
1960,75.81296186,78.44646518,116.4012788,366.8288179,402.5982249,260.7325024,659.095522,871.7381097,954.0323558,1017.904715,1344.660356,577.763924,80.73755465,295.8803107,366.9355528
1961,84.87306377,97.60719335,155.6819555,323.513682,352.9335443,262.3313894,785.1666453,1241.657483,1435.449093,1520.924815,2018.271172,789.3257395,103.260049,279.4793167,353.8633102
1962,84.61251437,77.17462581,124.3300404,349.7153603,344.1710517,241.6266165,733.8173854,1085.281036,1276.572946,1356.74995,1707.358264,706.1955619,83.20483233,256.3717173,358.7077396
1963,117.6370971,98.10508114,146.828502,161.3226904,195.0230116,181.8182047,305.5920045,470.3064277,512.1235474,531.8080907,859.4843206,260.2856751,132.5837136,156.7656556,154.7971211
1964,278.6251151,240.2904801,463.8722763,742.4680176,840.5408947,666.2265794,1293.29176,1742.103083,1999.772788,2085.138064,2339.542745,1093.514196,317.3228901,660.8276336,713.2243129
1965,262.7876236,237.7578124,434.8144529,737.0779556,832.0774297,650.9917405,1283.49258,1696.711376,1809.97901,1865.763386,2115.752448,1072.355407,343.7181194,638.9974977,699.2987659
1966,188.5353135,166.9856743,312.4573823,547.4323218,624.6802504,476.1944985,912.2590378,1136.609741,1224.528656,1276.234355,1362.737854,747.9534531,235.3205421,486.4061259,520.2668639
1967,208.7299329,183.3507152,349.9805715,671.7292993,752.3214431,566.5139755,1209.199111,1576.865756,1768.453718,1834.805899,2149.882293,1013.245752,249.7465089,558.861539,653.0748861
1968,98.89774602,85.09946229,160.3948961,325.4381465,361.9980105,264.0988282,591.6880678,874.1145547,961.9319399,1026.397905,1429.666712,525.5993733,135.4802392,263.0801559,311.2291828
1969,318.8054805,280.3721218,464.0618677,622.4052639,719.2601623,600.4710738,1038.927942,1338.255988,1467.963659,1529.046844,1707.507859,867.7931593,395.1078125,575.9843086,586.85383
1970,182.0766474,162.7639571,330.9962594,483.0879654,583.4654661,471.1419294,867.9861632,1243.925486,1497.349454,1563.066909,1927.129001,732.447694,234.1323688,455.2464461,459.2945212
1971,507.1126699,466.2264378,805.6029945,1129.936322,1276.121542,1077.951775,1853.033451,2298.302274,2498.476843,2601.84589,2922.451073,1541.400797,618.0320591,1022.604968,1072.262913
1972,787.6271012,747.9375671,1139.531318,1364.577438,1597.157612,1427.773458,2237.478615,2771.418931,3171.984314,3319.504261,3703.998871,1809.011369,951.1500143,1333.131782,1298.75884
1973,68.09962702,64.32760893,108.87834,337.680649,282.4633488,176.169387,511.0689505,740.9075286,815.4964755,863.5673921,1027.563756,505.7980306,78.7810684,208.735346,300.5280226
1974,175.0737816,200.6469797,446.2897178,1112.821729,1123.174158,824.3990182,1817.45734,2434.541824,2702.946545,2804.322494,3152.716411,1592.951001,236.4092099,859.9917686,1023.190621
1975,346.6896314,304.9223785,491.6016319,846.4412524,953.242123,740.2680187,1401.914228,1817.650204,1983.073067,2075.691528,2373.498404,1167.603511,403.630206,742.3224379,805.3302701
1976,250.4782214,214.0544228,393.1007545,826.2187393,884.7685963,653.1146561,1422.458933,1920.364212,2140.074516,2238.891353,2687.684141,1251.094648,280.227333,656.1341381,787.7117409
1977,75.3227899,85.36747595,207.1333023,273.5207871,282.767466,221.8033879,487.7562596,737.690532,870.3543129,929.4704237,1181.774014,499.918003,98.5280115,226.4264599,258.4121823
1978,110.4096076,108.7828356,179.2372818,351.3082262,353.8572838,245.2752614,723.5365137,1138.499796,1311.66512,1390.246123,1784.24159,725.9999729,152.6449699,249.1334307,346.2450552
1979,217.6968113,204.3239894,369.6836955,626.2701583,685.4518528,567.2950154,1030.591052,1273.776457,1441.835911,1513.965776,1704.967843,836.9532233,279.5455287,560.2298769,600.4659803
1980,220.1728846,187.9140908,290.857876,376.809302,427.3359274,373.8425709,772.0518466,1137.40355,1289.683343,1348.76205,1615.00778,690.7775303,247.8636177,342.7230462,363.3527684
1981,65.94357487,53.97344461,78.75238109,170.2527727,166.9427541,123.371887,291.2503312,432.2999796,462.7392482,493.5747115,828.4378418,285.7593626,71.22303435,124.8598845,165.1721654
1982,309.1300978,270.6515114,480.3011547,832.0940509,889.8025064,674.674621,1413.572152,1873.440693,2043.656393,2131.142276,2478.330648,1200.774127,360.839964,676.399599,775.9092837
1983,98.97735539,93.21661007,180.9621232,409.1543478,421.348489,291.8650313,785.2988235,1152.909225,1387.105356,1469.492873,1961.847971,735.9892309,126.7101921,305.2289324,417.9175947
1984,182.2937979,181.8720601,278.7405217,403.8181557,452.2739639,357.1325072,778.5555571,1248.079327,1557.685383,1647.431065,2074.768567,753.5456337,249.3221953,347.0075573,401.6540113
1985,260.8117669,249.2593191,407.5016241,610.781424,627.2659745,515.6505759,998.9033419,1257.641197,1427.520751,1510.578897,1696.882841,866.7129608,342.9358182,516.306642,563.89692
1986,130.2946952,114.8098748,157.7585464,419.9471378,449.3151384,318.5585718,748.7761632,1014.434318,1086.237667,1125.933499,1493.275875,640.0074751,145.0217666,323.7674302,403.3639345
1987,99.52062024,88.26559612,154.8900344,334.1742099,349.3940824,232.5771144,645.8656341,943.8726608,1123.297518,1189.497784,1461.266435,630.8267575,116.1283949,238.1955007,341.0083794
1988,113.4693022,102.5502982,170.404998,388.0731358,393.3350208,248.2494324,773.1816371,1125.374967,1272.737972,1342.804642,1631.691304,701.2948731,138.6486594,244.4891117,365.167363
1989,207.5626066,188.0982709,329.3373182,535.5406692,581.6065868,464.2491577,901.9784739,1202.810819,1371.011447,1435.175527,1638.576324,778.6534651,261.5342207,435.4288811,486.9357271
1990,381.2525126,335.3280541,529.3786839,699.8315373,841.7423221,706.3557339,1219.644832,1536.068344,1641.440591,1684.516,1926.437161,950.0585346,430.533048,649.0295925,668.0362286
1991,165.6762737,164.9522642,284.3335537,425.881792,469.7455965,389.2583111,863.1151744,1243.341101,1477.259932,1559.2893,1890.257156,778.1241188,236.2782068,380.5972357,401.4945398
1992,110.4567541,109.4519588,181.3004032,269.299795,286.6414695,253.0140874,401.3164401,578.3981099,655.8090336,686.2779832,886.325135,357.9772129,155.8552743,254.6947498,247.5078271
1993,203.392807,192.3518731,297.5402471,390.3618102,428.8849842,385.4376946,657.2735429,888.4357945,1022.20218,1081.95242,1297.289082,589.8060001,262.6789961,371.993517,357.1990691
1994,154.1640505,143.6973017,237.9590687,454.3571385,405.3555405,345.5483929,621.3112711,862.93308,960.3075037,998.643715,1253.004463,565.551163,192.9490007,340.0236901,377.806243
1995,79.07990005,76.35140174,184.4155483,498.8545563,455.6817905,331.5011323,808.4312404,1144.834198,1329.431244,1407.471386,1786.66271,754.5304751,122.8113851,337.9093471,435.0326431
1996,236.3625343,240.9869443,409.3523271,595.0432485,615.7722913,537.0200858,867.7182147,1066.641232,1237.005948,1314.496529,1574.68402,741.9308115,338.2176127,531.4949377,535.4846509
1997,305.8885025,352.189987,718.1086781,1250.175117,1342.508676,1073.416751,1961.543096,2518.664589,2899.287316,3035.820115,3455.798395,1663.788169,434.9839365,1083.359623,1186.592699
1998,193.1912431,172.9115758,298.310454,441.3396859,499.0098044,409.8747118,821.9477626,1087.731381,1195.248416,1257.920126,1533.918237,700.8269465,233.1979137,383.2790233,429.3345723
1999,272.6775676,271.9587262,575.1693538,921.9561725,1032.599371,848.1855132,1547.421436,1965.011383,2134.005121,2230.814004,2531.764268,1269.471019,372.7369013,823.4692403,870.7001569
2000,271.0916419,241.3967991,428.3407297,707.045842,797.9507222,641.0846368,1161.775768,1456.546079,1550.378639,1616.293839,1754.197816,967.1432693,337.4221755,639.0431484,678.7297642
2001,76.32304744,78.47386857,173.7991331,319.3830135,331.3754652,274.7612843,491.4650701,667.9901768,828.1832225,874.5806665,1051.544663,427.7940262,115.5564339,279.3419753,297.9731413
2002,276.4225225,270.6881785,544.3469665,921.4814007,1011.413069,820.6019008,1493.239364,1846.589788,2053.222248,2145.817257,2366.019884,1245.170738,319.5633255,813.5660886,885.1477874
2003,144.3118393,129.9233675,184.6711699,472.0042017,394.2587403,304.2146621,677.642608,914.8698867,1075.434367,1136.126509,1413.518975,626.0743687,173.9177329,313.0034656,388.3910912
2004,126.4103019,113.3990074,158.1243585,544.2232372,472.8943808,325.1950391,853.7119299,1180.323176,1353.664032,1417.610761,1667.537777,783.0046292,155.9433647,344.6083635,471.1788644
2005,58.12291172,56.85083764,89.14353512,249.2606349,196.6742953,153.5334699,419.7349416,695.808224,885.8352628,945.2770876,1188.901263,451.759902,68.39606273,160.1022515,189.1763848
2006,92.86072696,79.73178234,150.2524717,484.8321812,396.1789029,277.1918903,746.621207,1153.611045,1367.496631,1446.967605,1824.580445,730.8159658,105.6667025,290.0824261,361.7204398
2007,229.1138554,217.936435,355.554598,696.8524621,607.1192449,462.6006404,1003.751609,1310.616256,1494.027246,1544.66807,1734.817045,873.4942271,292.1753811,457.5776627,563.418358
2008,426.1786976,385.9551032,601.8475786,927.2817819,942.8260082,814.8557746,1377.033735,1672.770886,1871.047949,1958.890511,2136.910516,1147.566314,509.87642,769.3660991,801.0527451
2009,328.3328945,332.6293468,578.0874769,897.4160677,942.4553731,794.3228293,1302.955001,1565.426072,1629.236399,1699.593995,1766.014321,1086.659054,433.5480049,769.3125999,790.1174049
