,station,year,month,TMAX,TMIN,PPT
758,paradise,1932,2,0,-7.9,475
759,paradise,1932,3,1.6,-4.4,591
760,paradise,1932,4,6.4,-2.6,267
761,paradise,1932,5,10,-0.8,105
762,paradise,1932,6,15.9,2.6,29
763,paradise,1932,7,15.8,4.4,84
764,paradise,1932,8,16.5,6.6,63
765,paradise,1932,9,16.6,3.5,35
766,paradise,1932,10,9.2,0.6,269
767,paradise,1932,11,4.8,-1.8,663
768,paradise,1932,12,-1.2,-9,465
781,paradise,1933,1,-1.3,-7.4,582
782,paradise,1933,2,-2.4,-10.1,339
783,paradise,1933,3,1.7,-6,393
784,paradise,1933,4,6.5,-4.9,83
785,paradise,1933,5,6.5,-2.2,192
786,paradise,1933,6,12.9,1.8,125
787,paradise,1933,7,18.5,4.3,15
788,paradise,1933,8,18.8,6.4,80
789,paradise,1933,9,11.3,3.6,234
790,paradise,1933,10,10.6,1,378
791,paradise,1933,11,5.4,-2.4,239
792,paradise,1933,12,2.8,-3,1234
805,paradise,1934,1,2.5,-3.6,682
806,paradise,1934,2,5.8,-3.4,104
807,paradise,1934,3,8.7,-2.6,386
808,paradise,1934,4,12,0,127
809,paradise,1934,5,12.6,1.6,120
810,paradise,1934,6,15,2.3,25
811,paradise,1934,7,17.5,5.3,19
812,paradise,1934,8,19.5,6.7,26
813,paradise,1934,9,13.2,4.2,138
814,paradise,1934,10,9.9,1.4,465
815,paradise,1934,11,4.1,-1.6,640
816,paradise,1934,12,1,-4.7,529
829,paradise,1935,1,-0.2,-7.6,638
830,paradise,1935,2,3.4,-5.9,136
831,paradise,1935,3,0.4,-7.5,410
832,paradise,1935,4,6.4,-5.3,136
833,paradise,1935,5,11.2,-1.7,65
834,paradise,1935,6,14.1,2.5,96
835,paradise,1935,7,18,5.4,45
836,paradise,1935,8,17.6,5.3,39
837,paradise,1935,9,17.5,5.4,76
838,paradise,1935,10,8.1,-1,151
839,paradise,1935,11,2.1,-6.3,176
840,paradise,1935,12,1.6,-5.5,301
853,paradise,1936,1,0.9,-5.8,651
854,paradise,1936,2,-3.6,-11.6,497
855,paradise,1936,3,2.2,-6.9,391
856,paradise,1936,4,8.2,-2.8,107
857,paradise,1936,5,12.1,0.9,258
858,paradise,1936,6,14.4,3.9,207
859,paradise,1936,7,18.1,5.8,48
860,paradise,1936,8,18.6,6.4,35
861,paradise,1936,9,15,3.4,115
862,paradise,1936,10,12.3,0.7,78
863,paradise,1936,11,5.5,-5.1,50
864,paradise,1936,12,1.4,-4.9,547
877,paradise,1937,1,-5.3,-15.4,268
878,paradise,1937,2,-0.4,-8.3,505
879,paradise,1937,3,4.4,-4.7,241
880,paradise,1937,4,3.9,-3.5,451
881,paradise,1937,5,11.6,-0.8,77
882,paradise,1937,6,14.3,3.4,253
883,paradise,1937,7,18.4,6,27
884,paradise,1937,8,16.2,5.6,94
885,paradise,1937,9,15.2,5.4,145
886,paradise,1937,10,11,1.7,194
887,paradise,1937,11,3.9,-2,686
888,paradise,1937,12,1.4,-4.7,689
901,paradise,1938,1,0.4,-6.3,384
902,paradise,1938,2,0.7,-6.8,348
903,paradise,1938,3,1.9,-6.1,463
904,paradise,1938,4,7.6,-3.1,279
905,paradise,1938,5,11.4,-0.7,144
906,paradise,1938,6,15.9,3,77
907,paradise,1938,7,20.5,6.2,51
908,paradise,1938,8,17.1,4.6,92
909,paradise,1938,9,18.2,6.3,86
910,paradise,1938,10,9.5,0.5,330
911,paradise,1938,11,1.9,-5.3,387
912,paradise,1938,12,1.4,-5.5,400
925,paradise,1939,1,0.9,-5.1,431
926,paradise,1939,2,-1.4,-8,528
927,paradise,1939,3,4,-5.6,252
928,paradise,1939,4,9.8,-2.6,105
929,paradise,1939,5,11.7,0,159
930,paradise,1939,6,11.3,1.8,119
931,paradise,1939,7,18.5,6,68
932,paradise,1939,8,20.1,6.3,108
933,paradise,1939,9,15.2,4.5,137
934,paradise,1939,10,9.5,0.7,192
935,paradise,1939,11,7.2,-2.7,174
936,paradise,1939,12,3.3,-3,620
949,paradise,1940,1,1.4,-5.9,191
950,paradise,1940,2,1.5,-4.3,639
951,paradise,1940,3,5.8,-3.4,363
952,paradise,1940,4,7.5,-1.9,355
953,paradise,1940,5,13.9,1,161
954,paradise,1940,6,17.1,3.3,92
955,paradise,1940,7,17.9,6.5,96
956,paradise,1940,8,19.3,6.5,69
957,paradise,1940,9,15.6,7,162
958,paradise,1940,10,9.6,2.4,282
959,paradise,1940,11,1.3,-5.4,335
960,paradise,1940,12,1.7,-5.2,258
973,paradise,1941,1,1.3,-5.8,308
974,paradise,1941,2,4.9,-5.3,118
975,paradise,1941,3,8.4,-4,112
976,paradise,1941,4,9.8,-2.5,173
977,paradise,1941,5,9.9,0.5,248
978,paradise,1941,6,13.2,2.7,83
979,paradise,1941,7,21,7.5,10
980,paradise,1941,8,17.1,7.3,116
981,paradise,1941,9,10.8,4.1,233
982,paradise,1941,10,8.2,0.3,251
983,paradise,1941,11,4.9,-2.6,335
984,paradise,1941,12,0.6,-5.4,555
997,paradise,1942,1,-0.3,-8.5,168
998,paradise,1942,2,0.5,-7.1,264
999,paradise,1942,3,3.4,-6.4,176
1000,paradise,1942,4,7.8,-2.7,156
1001,paradise,1942,5,8.8,-0.2,168
1002,paradise,1942,6,11.9,2.2,165
1003,paradise,1942,7,19.2,7.1,74
1004,paradise,1942,8,19.6,7.5,29
1005,paradise,1942,9,16.9,4.6,19
1006,paradise,1942,10,10.7,0.6,265
1007,paradise,1942,11,1.2,-4.5,762
1008,paradise,1942,12,0.5,-5.4,513
1021,paradise,1943,1,-2.7,-11,295
1022,paradise,1943,2,2.6,-6,321
1023,paradise,1943,3,2.4,-6.7,432
1024,paradise,1943,4,9.2,-2.1,259
1025,paradise,1943,5,8.4,-1.2,129
1026,paradise,1943,6,11.7,1.5,140
1027,paradise,1943,7,18.5,5.8,20
1028,paradise,1943,8,16.4,5.6,38
1029,paradise,1943,9,18.5,5.1,23
1030,paradise,1943,10,9.4,0.7,286
1031,paradise,1943,11,4.7,-3.3,163
1032,paradise,1943,12,0.9,-6.7,238
1045,paradise,1944,1,0.7,-7.6,247
1046,paradise,1944,2,0.3,-7,287
1047,paradise,1944,3,2.9,-7,193
1048,paradise,1944,4,6.5,-3.3,187
1049,paradise,1944,5,10.9,-1,145
1050,paradise,1944,6,13.1,2.5,76
1051,paradise,1944,7,18.9,6.2,8
1052,paradise,1944,8,17,6.1,18
1053,paradise,1944,9,16.9,5.4,192
1054,paradise,1944,10,12.7,2,81
1055,paradise,1944,11,2.7,-4.4,306
1056,paradise,1944,12,0.5,-7.1,136
1069,paradise,1945,1,1.6,-5.7,399
1070,paradise,1945,2,1,-5.5,474
1071,paradise,1945,3,1.4,-6.1,385
1072,paradise,1945,4,4.2,-4.6,312
1073,paradise,1945,5,10.9,0.7,180
1074,paradise,1945,6,12.9,1.5,39
1075,paradise,1945,7,19.8,5.7,13
1076,paradise,1945,8,19.1,6.5,34
1077,paradise,1945,9,13.1,3.7,223
1078,paradise,1945,10,10.6,0.9,236
1079,paradise,1945,11,0.9,-4.6,604
1080,paradise,1945,12,-0.2,-6.5,487
1093,paradise,1946,1,0.5,-6.6,540
1094,paradise,1946,2,0.7,-6,436
1095,paradise,1946,3,2.7,-5.1,336
1096,paradise,1946,4,7.4,-3.3,183
1097,paradise,1946,5,12.7,0.2,59
1098,paradise,1946,6,11.9,2.1,182
1099,paradise,1946,7,18.2,6.2,56
1100,paradise,1946,8,18.5,6.4,22
1101,paradise,1946,9,13.8,4.6,116
1102,paradise,1946,10,5.5,-1.6,374
1103,paradise,1946,11,1.7,-5.9,488
1104,paradise,1946,12,0.8,-5.6,598
1117,paradise,1947,1,-1.3,-8.7,475
1118,paradise,1947,2,3.6,-4.9,277
1119,paradise,1947,3,6.7,-3.9,237
1120,paradise,1947,4,8.3,-2.5,228
1121,paradise,1947,5,14.1,1.1,29
1122,paradise,1947,6,11.9,2.4,200
1123,paradise,1947,7,17.1,5.7,45
1124,paradise,1947,8,16.3,5.3,24
1125,paradise,1947,9,15.6,5.1,155
1126,paradise,1947,10,7.6,1.5,543
1127,paradise,1947,11,2.2,-3.6,366
1128,paradise,1947,12,1.3,-4.6,308
1141,paradise,1948,1,0.2,-7.3,488
1142,paradise,1948,2,-0.8,-8,569
1143,paradise,1948,3,1.5,-7.1,278
1144,paradise,1948,4,3.5,-4.5,269
1145,paradise,1948,5,8.7,-0.3,265
1146,paradise,1948,6,15.3,4.4,166
1147,paradise,1948,7,16.2,4.8,82
1148,paradise,1948,8,14.6,6.6,88
1149,paradise,1948,9,14.3,4,159
1150,paradise,1948,10,9,-1,185
1151,paradise,1948,11,0.7,-5,571
1152,paradise,1948,12,-3,-8.8,577
1165,paradise,1949,1,-4.8,-15.4,59
1166,paradise,1949,2,-1.6,-8.7,673
1167,paradise,1949,3,2.8,-5.5,197
1168,paradise,1949,4,8.5,-3.1,105
1169,paradise,1949,5,12.5,0.3,105
1170,paradise,1949,6,13.7,1,54
1171,paradise,1949,7,17.1,4.5,33
1172,paradise,1949,8,17.1,5.7,32
1173,paradise,1949,9,16,4.9,104
1174,paradise,1949,10,6.9,-2.6,284
1175,paradise,1949,11,7.7,-0.4,512
1176,paradise,1949,12,-0.4,-6.9,440
1189,paradise,1950,1,-7.3,-15.2,617
1190,paradise,1950,2,-0.5,-7.6,524
1191,paradise,1950,3,0.6,-6,467
1192,paradise,1950,4,4.6,-4.7,234
1193,paradise,1950,5,9.3,-2.5,67
1194,paradise,1950,6,13.2,2.3,80
1195,paradise,1950,7,18.2,5.4,52
1196,paradise,1950,8,18.7,6.4,59
1197,paradise,1950,9,16,4.5,104
1198,paradise,1950,10,6.7,0.2,473
1199,paradise,1950,11,2.2,-3.5,579
1200,paradise,1950,12,2.4,-2.8,514
1213,paradise,1951,1,-1.6,-7.8,590
1214,paradise,1951,2,0.9,-6.7,502
1215,paradise,1951,3,0.4,-7.8,349
1216,paradise,1951,4,9.8,-4.2,56
1217,paradise,1951,5,10.6,-0.8,149
1218,paradise,1951,6,15.9,2.9,18
1219,paradise,1951,7,19.7,5.6,11
1220,paradise,1951,8,17.9,5.1,38
1221,paradise,1951,9,16.9,4.7,156
1222,paradise,1951,10,7.1,0.4,421
1223,paradise,1951,11,2.3,-4.3,435
1224,paradise,1951,12,-2.2,-8.5,471
1237,paradise,1952,1,-3,-10,291
1238,paradise,1952,2,0.1,-6.6,285
1239,paradise,1952,3,1.2,-6.9,244
1240,paradise,1952,4,8.7,-3.8,97
1241,paradise,1952,5,11,-0.6,86
1242,paradise,1952,6,11.7,1.8,99
1243,paradise,1952,7,19.7,5.6,10
1244,paradise,1952,8,18.2,6.4,35
1245,paradise,1952,9,18.1,4.8,26
1246,paradise,1952,10,14.4,1.9,48
1247,paradise,1952,11,2.8,-6.1,45
1248,paradise,1952,12,0.3,-5.8,364
1261,paradise,1953,1,2.5,-2.8,1061
1262,paradise,1953,2,1.7,-5.4,291
1263,paradise,1953,3,3,-5.1,229
1264,paradise,1953,4,4.7,-3.8,227
1265,paradise,1953,5,8.7,-1,187
1266,paradise,1953,6,9.7,1.4,136
1267,paradise,1953,7,18.1,5.4,28
1268,paradise,1953,8,17.2,6.4,80
1269,paradise,1953,9,15.9,5,89
1270,paradise,1953,10,10.5,1.1,175
1271,paradise,1953,11,4.7,-2,408
1272,paradise,1953,12,1.5,-4.2,563
1285,paradise,1954,1,-1.6,-8.1,749
1286,paradise,1954,2,1.7,-5.1,393
1287,paradise,1954,3,2.1,-8,204
1288,paradise,1954,4,5.2,-4.3,267
1289,paradise,1954,5,11.3,-0.5,116
1290,paradise,1954,6,10.1,1.4,184
1291,paradise,1954,7,15.6,4.4,52
1292,paradise,1954,8,13.5,5.7,77
1293,paradise,1954,9,13.1,4.9,102
1294,paradise,1954,10,8.5,-0.8,198
1295,paradise,1954,11,6.3,-0.7,376
1296,paradise,1954,12,0.7,-6.1,380
1309,paradise,1955,1,-0.4,-6.7,204
