Tab Name,Field Name,Units,Valid values,Description
Andrews_LatLong,Data field name,NA,NA,Name of data labels in fields used within the data files
,Site name,NA,NA,Names individual trees and observational data stations
,Source Files,NA,NA,Name of data files including the sites and data fields
,Lat,decimal degrees,NA,Latitude
,Long,decimal degrees,NA,Longitude
,,,,
treeiso,Year,year,1994 to 2016,Calender year (Jan to Dec)
,AMS06B,per_mil_VSMOW,23.7 to 31.9,Andrews Meadow measured cellulose d18O value versus Vienna Standard Mean Ocean Water for tree 6b in spring discharge area
,AMS07A,per_mil_VSMOW,23.7 to 33.7,Andrews Meadow measured cellulose d18O value versus Vienna Standard Mean Ocean Water for tree 7a in spring discharge area
,AMC01B,per_mil_VSMOW,24.5 to 29.9,Andrews Meadow measured cellulose d18O value versus Vienna Standard Mean Ocean Water for tree 1b in Andrews Creek
,AMC08A,per_mil_VSMOW,23.0 to 28.3,Andrews Meadow measured cellulose d18O value versus Vienna Standard Mean Ocean Water for tree 8a in Andrews Creek
,AMC09A,per_mil_VSMOW,24.7 to 27.9,Andrews Meadow measured cellulose d18O value versus Vienna Standard Mean Ocean Water for tree 9a in Andrews Creek
,Spring,per_mil_VSMOW,23.9 to 32.1,Average measured cellulose d18O value of Andrews Meadow trees 6b and 7a in spring area versus Vienna Standard Mean Ocean Water
,Creek,per_mil_VSMOW,24.3 to 27.5,"Average measured cellulose d18O value of Andrews Meadow trees 1b, 8a, 9a in Andrews Creek versus Vienna Standard Mean Ocean Water"
,ALL,per_mil_VSMOW,24.6 to 29.3,Average measured cellulose d18O value of all Andrews Meadow trees versus Vienna Standard Mean Ocean Water
