"radius","Species","Tag","2008","avg_3","avg_5"
3.175,"Tsme","G7",0.136,0.104666666666667,0.0955
3.21,"Tsme","G30",1.921,1.518,1.501
3.5,"Tsme","G8",0.34,0.457,0.4159
3.55,"Tsme","G23",0.8275,0.817166666666667,0.7389
3.56,"Tsme","G1",0.4335,0.452,0.4279
3.735,"Tsme","G14",0.643,0.677666666666667,0.6962
3.835,"Tsme","G17",0.296,0.375666666666667,0.3957
3.875,"Tsme","G20",0.6525,0.759333333333333,0.8037
2.415,"Xano","G10",0.743,0.657833333333333,0.6907
2.475,"Xano","G24",0.741,0.6605,0.633
2.51,"Xano","G11",0.4995,0.533166666666667,0.5246
2.515,"Xano","G31",0.7635,0.7225,0.784
2.585,"Xano","G3",0.569,0.501166666666667,0.522
2.88,"Xano","G26",0.678,0.737666666666667,0.756
3.19,"Xano","G13",0.7665,0.846166666666667,0.9763
3.19,"Xano","G19",0.641,0.6205,0.6272
3.33,"Xano","G29",1.231,1.33316666666667,1.5511
3.76,"Xano","G16",0.225,0.372,0.35
2.745,"Abam","E23",0.7515,0.650833333333333,0.6948
2.745,"Abam","E27",0.7365,0.774,0.7594
2.8,"Abam","E20",0.8355,1.0155,1.0431
2.93,"Abam","E4",0.137,0.153333333333333,0.1651
3.055,"Abam","E16",0.5985,0.672666666666667,0.7082
3.07,"Abam","E19",0.584,0.602666666666667,0.5729
3.21,"Abam","E15",0.325,0.449333333333333,0.4344
3.235,"Abam","E7",0.674,1.03366666666667,1.1271
3.62,"Abam","E10",0.759,1.07,1.0659
3.65,"Abam","E1",0.2885,0.397,0.4052
5.33,"Psme","E18",0.515,0.792,0.8123
5.41,"Psme","E29",0.29,0.412166666666667,0.4041
5.685,"Psme","E35",0.313,0.341666666666667,0.3413
6.015,"Psme","E24",0.585,0.8145,0.8974
6.32,"Psme","E26",0.2975,0.480333333333333,0.5022
6.375,"Psme","E28",0.311,0.511333333333333,0.5157
6.475,"Psme","E5",0.5225,0.677166666666667,0.6807
6.48,"Psme","E33",0.273,0.540333333333333,0.5724
6.87,"Psme","E9",0.329,0.466166666666667,0.5031
7.175,"Psme","E6",0.413,0.5745,0.5872
2.23,"Thpl","E11",1.4275,1.84066666666667,1.8366
2.38,"Thpl","E38",2.029,2.40766666666667,2.5983
2.775,"Thpl","E34",1.3705,1.45333333333333,1.5325
3.02,"Thpl","E25",1.2985,1.451,1.6368
3.045,"Thpl","E13",1.643,1.90183333333333,2.0285
3.095,"Thpl","E39",1.2065,1.41166666666667,1.4618
3.9,"Thpl","E21",1.0805,1.50666666666667,1.7143
4.12,"Thpl","E40",1.1625,1.55766666666667,1.8552
4.125,"Thpl","E8",0.5515,0.837,0.9786
4.22,"Thpl","E30",0.62,0.750833333333333,0.7741
2.375,"Tshe","E36",2.078,1.93966666666667,1.9506
2.575,"Tshe","E31",0.1875,0.216833333333333,0.2284
2.685,"Tshe","E12",0.8685,1.01616666666667,1.1273
2.74,"Tshe","E2",0.0945,0.101333333333333,0.1174
2.88,"Tshe","E14",0.769,0.769,0.7776
3.415,"Tshe","E17",0.283,0.3565,0.353
3.52,"Tshe","E22",0.2065,0.237,0.2696
3.825,"Tshe","E37",1.6085,1.47033333333333,1.4147
4.085,"Tshe","E32",0.104,0.116666666666667,0.1176
4.175,"Tshe","E3",0.709,0.9155,0.906
2.345,"Psme","D23",0.6505,0.745166666666667,0.7461
2.445,"Psme","D22",0.4455,0.667833333333333,0.714
2.47,"Psme","D21",0.564,0.665166666666667,0.6934
2.475,"Psme","D16",0.628,0.7515,0.8976
2.56,"Psme","D24",0.382,0.454166666666667,0.4346
2.605,"Psme","D19",0.4585,0.532666666666667,0.5129
2.725,"Psme","D14",0.5845,0.717166666666667,0.7057
2.76,"Psme","D11",0.772,0.785833333333333,0.7338
3.675,"Psme","D8",0.797,1.044,1.111
3.96,"Psme","D5",0.6235,0.6765,0.6791
2,"Thpl","D3",0.456,0.537333333333333,0.6156
2.535,"Thpl","D12",1.052,1.2525,1.3332
2.845,"Thpl","D9",0.676,0.8065,0.8582
3.1,"Thpl","D25",1.094,1.25983333333333,1.3679
3.11,"Thpl","D7",1.0055,1.18983333333333,1.2779
2.46,"Tshe","D2",1.1035,1.13,1.2521
2.695,"Tshe","D15",0.574,0.525666666666667,0.4886
2.825,"Tshe","D20",1.083,1.49433333333333,1.6118
2.865,"Tshe","D18",0.661,0.901333333333333,1.043
2.905,"Tshe","D17",1.376,1.71516666666667,1.8803
3.1,"Tshe","D4",0.833,0.986333333333333,1.0664
3.22,"Tshe","D13",0.9525,1.2985,1.3837
3.3,"Tshe","D6",0.5265,0.583333333333333,0.5439
3.32,"Tshe","D1",0.526,0.7865,1.02
3.87,"Tshe","D10",0.5105,0.8455,0.8445
2.625,"Abam","B33",0.223,0.4795,0.5751
2.895,"Abam","B31",0.3915,0.406833333333333,0.5048
3.325,"Abam","B32",0.2125,0.1955,0.1904
2.87,"Psme","B13",0.3115,0.6255,0.6075
3.38,"Psme","B16",0.681,0.674333333333333,0.7368
3.69,"Psme","B15",0.6215,0.7055,0.7043
3.71,"Psme","B11",1.0015,1.55633333333333,1.6777
3.865,"Psme","B19",0.5185,0.861666666666667,0.8159
4.13,"Psme","B17",0.8005,0.777333333333333,0.9104
4.34,"Psme","B12",0.6335,0.8205,0.8945
4.385,"Psme","B14",0.5885,0.6505,0.6263
4.43,"Psme","B20",1.155,1.19183333333333,1.2197
5.665,"Psme","B18",0.993,1.58133333333333,1.7743
2.85,"Thpl","B29",0.255,0.353166666666667,0.4659
2.9,"Thpl","B26",0.3625,0.6305,0.7642
2.94,"Thpl","B28",0.2885,0.394,0.4377
3.08,"Thpl","B30",0.801,1.15783333333333,1.3531
3.19,"Thpl","B24",0.444,0.887166666666667,1.1578
3.535,"Thpl","B22",0.422,0.653833333333333,0.8151
3.725,"Thpl","B27",1.3935,1.50116666666667,1.9251
3.825,"Thpl","B25",0.4865,0.595166666666667,0.6878
4.245,"Thpl","B21",0.449,0.539666666666667,0.5921
4.83,"Thpl","B23",0.445,0.638666666666667,0.6424
2.48,"Tshe","B8",0.66,1.39516666666667,1.4859
2.6,"Tshe","B1",0.977,0.992833333333333,0.9691
2.8,"Tshe","B2",0.267,0.971666666666667,1.1574
2.835,"Tshe","B10",0.432,0.431333333333333,0.4511
3.055,"Tshe","B5",0.303,0.382666666666667,0.3266
3.12,"Tshe","B9",0.274,0.782666666666667,0.839
3.7,"Tshe","B3",0.6465,0.658333333333333,0.6278
3.95,"Tshe","B4",0.7965,0.852333333333333,0.8555
4.22,"Tshe","B7",0.6855,0.924666666666667,0.9488
4.395,"Tshe","B6",1.488,1.49983333333333,1.2867
5.225,"Abam","A11",0.2515,0.694833333333333,0.5811
4.515,"Psme","A19",1.5755,2.00416666666667,2.2934
6.56,"Psme","A35",1.4075,2.02233333333333,2.146
6.895,"Psme","A33",0.448,0.521,0.5618
7.875,"Psme","A30",1.5545,1.7125,1.6892
8.15,"Psme","A32",0.6465,1.20533333333333,1.1696
8.47,"Psme","A29",2.164,3.28083333333333,3.49
9.225,"Psme","A34",0.7565,0.739,0.7963
11.955,"Psme","A31",0.7645,0.87,0.8619
2.28,"Thpl","A23",2.038,2.15966666666667,2.2184
2.685,"Thpl","A25",0.2535,0.666833333333333,0.826
3.64,"Thpl","A24",3.0445,2.99283333333333,3.1676
3.75,"Thpl","A6",1.2065,1.83966666666667,2.3516
3.99,"Thpl","A14",1.9805,3.47083333333333,3.6172
4.61,"Thpl","A13",0.3475,1.48,1.7601
4.735,"Thpl","A20",2.352,3.1705,3.8727
4.82,"Thpl","A10",4.198,4.52783333333333,4.8825
6.92,"Thpl","A28",2.2565,2.25533333333333,2.5462
9,"Thpl","A8",2.45,2.16316666666667,2.3781
2.45,"Tshe","A1",0.8825,1.8085,1.8889
2.93,"Tshe","A2",1.068,1.78383333333333,1.8488
3.325,"Tshe","A5",1.892,2.097,1.8651
3.69,"Tshe","A4",1.532,1.83016666666667,1.9077
3.765,"Tshe","A18",0.6795,0.9405,1.0288
3.8,"Tshe","A9",0.6005,1.18383333333333,1.3353
4.23,"Tshe","A17",0.815,3.79416666666667,3.3055
4.23,"Tshe","A7",0.669,1.3365,1.374
4.64,"Tshe","A15",2.1495,2.67766666666667,2.5775
5.56,"Tshe","A3",2.63,3.03316666666667,2.5535
6.57,"Tshe","A12",0.125,0.179,0.2552
