"radius","Species","Tag","2009"
4.58,"Xano","H53",0.04
2.25,"Abam","G61",0.092
2.6,"Abam","G60",0.271
2.65,"Abam","G47",0.147
2.65,"Abam","G59",0.101
2.75,"Abam","G58",0.0915
2.96,"Abam","G55",0.164
4,"Abam","G53",0.1015
4.04,"Abam","G50",0.112
4.175,"Abam","G57",0.118
4.57,"Abam","G52",0.1175
1.975,"Tsme","G54",0.097
2.085,"Tsme","G32",0.183
2.13,"Tsme","G56",0.1645
2.16,"Tsme","G36",0.198
2.4,"Tsme","G51",0.152
2.685,"Tsme","G38",0.295
2.695,"Tsme","G40",0.099
2.86,"Tsme","G48",0.098
3.825,"Tsme","G49",0.1855
4.405,"Tsme","G34",0.1735
1.985,"Xano","G37",0.118
2.495,"Xano","G44",0.1905
2.52,"Xano","G62",0.0805
2.57,"Xano","G39",0.097
2.59,"Xano","G35",0.2585
2.7,"Xano","G45",0.1675
2.75,"Xano","G33",0.129
2.77,"Xano","G41",0.1035
2.855,"Xano","G42",0.151
3.305,"Xano","G43",0.0985
1.7,"Abam","E42",0.083
2.1,"Abam","E53",0.2755
2.415,"Abam","E55",0.23
2.54,"Abam","E43",0.2565
2.69,"Abam","E45",0.108
2.71,"Abam","E60",0.2765
2.975,"Abam","E44",0.46
3.49,"Abam","E56",0.194
2.075,"Abam","P1",0.534
2.22,"Abam","P3",1.5565
2.24,"Abam","P12",2.685
2.345,"Abam","P16",1.2585
2.53,"Abam","P5",0.949
2.54,"Abam","P41",0.491
2.72,"Abam","P2",1.1945
2.96,"Abam","P9",0.753
2.965,"Abam","P15",1.529
3.09,"Abam","P11",0.46
3.125,"Abam","P18",1.1195
3.325,"Abam","P10",0.8095
3.355,"Abam","P17",1.1445
3.46,"Abam","P19",1.299
3.54,"Abam","P4",0.9885
3.595,"Abam","P13",2.0055
3.655,"Abam","P7",0.397
3.825,"Abam","P14",0.9195
4.105,"Abam","P8",0.7
4.3,"Abam","P6",0.6015
2.11,"Tsme","P35",1.2775
2.335,"Tsme","P40",1.4525
2.56,"Tsme","P21",0.2065
2.585,"Tsme","P36",1.346
2.64,"Tsme","P31",0.5945
2.66,"Tsme","P26",0.9595
2.67,"Tsme","P29",0.9685
2.715,"Tsme","P37",0.892
2.725,"Tsme","P25",0.9735
2.735,"Tsme","P23",0.442
2.83,"Tsme","P39",0.606
3.14,"Tsme","P33",0.887
3.335,"Tsme","P24",0.909
3.41,"Tsme","P38",0.8125
3.45,"Tsme","P27",0.927
3.625,"Tsme","P34",1.081
3.745,"Tsme","P22",1.243
1.99,"Xano","P52",0.2795
2.06,"Xano","P59",0.3715
2.075,"Xano","P57",0.573
2.175,"Xano","P60",0.6
2.195,"Xano","P54",0.6865
2.34,"Xano","P58",0.885
2.35,"Xano","P43",0.392
2.595,"Xano","P55",0.646
2.72,"Xano","P20",0.6565
2.865,"Xano","P42",0.521
2.925,"Xano","P46",0.414
3,"Xano","P45",1.068
3.035,"Xano","P49",0.5175
3.09,"Xano","P50",0.584
3.17,"Xano","P53",0.946
3.42,"Xano","P56",0.572
2.03,"Abam","A40",0.4215
2.095,"Abam","A80",0.7545
2.12,"Abam","A68",0.7375
2.195,"Abam","A45",0.831
2.21,"Abam","A42",0.898
2.21,"Abam","A55",0.2545
2.31,"Abam","A37",0.585
2.325,"Abam","A53",0.1665
2.355,"Abam","A41",0.7415
2.48,"Abam","A36",0.6415
2.485,"Abam","A54",0.4465
2.51,"Abam","A43",0.33
2.525,"Abam","A56",0.6855
2.745,"Abam","A79",0.091
3.1,"Abam","A38",0.7655
