"Plot","Tree Tag #","Species","DBH [cm]","Height [m]","Crown base [m]","Bark Thickness"
"MRS5",379,"ABLA",12.3,6.4,0.3,0.6
"MRS5",365,"PIEN",20.1,11.4,1,1
"MRS5",362,"PIEN",10.4,4.7,0.1,0.5
"MRS5",350,"ABLA",34.1,17.6,3.7,1.3
"MRS5",370,"PIEN",33.8,8.5,1.2,1.8
"MRS5",434,"ABLA",16.8,8.7,1.3,1
"MRS5",426,"PIEN",39,13.9,1.5,1.4
"MRS5",439,"ABLA",12.8,7.6,3,0.8
"MRS5",402,"PIEN",26.5,8.3,1.9,1.1
"MRS5",447,"ABLA",22.6,11.1,6,1
"MRS5",454,"PIEN",47,12,2.7,1.1
"MRS5",456,"ABLA",19.8,5.8,1,1
"MRS5",467,"ABLA",18.2,8.1,0.7,0.7
"MRS5",493,"PIEN",36.6,11.5,2.3,1.4
"MRS5",519,"ABLA",19.6,7.5,0,1
"MRS5",518,"PIEN",29,8.8,0.5,1
"MRS5",516,"PIEN",17.1,8.8,0.7,0.9
"MRS5",542,"ABLA",13.9,9.5,1.8,0.8
"MRS5",563,"ABLA",13.5,7.7,1.1,0.4
"MRS5",510,"PIEN",29.7,14.6,6.4,1.3
"MRS5",505,"ABLA",45.5,13.6,3.2,1.2
"MRS5",622,"ABLA",35.7,13.2,1.4,1
"MRS5",590,"ABLA",9.5,5.3,0.6,0.9
"MRS5",596,"ABLA",12.5,7.6,1.5,9
"MRS5",701,"PIEN",19.7,9.4,0.9,1
"MRS5",600,"PIEN",25.9,12.5,0.7,1.4
"MRS5",541,"ABLA",16.6,10.2,0,0.8
"MRS5",572,"PIEN",11.9,6.7,2.4,0.7
"MRS5",601,"ABLA",11.3,7,0.1,0.8
"MRS5",545,"PIEN",17.5,6.6,0.3,1.1
"MRS5",547,"PIEN",10.7,6.4,1.5,0.6
"MRS5",577,"ABLA",26.3,12,0.1,1.4
"MRS5",587,"PIEN",43.6,10.1,1.3,1.8
"MRS5",712,"ABLA",20.5,10.9,1.9,1.1
"MRS5",711,"PIEN",13,8.5,1.9,0.9
"MRS5",769,"ABLA",29.2,15.1,1.4,1.6
"MRS5",763,"ABLA",20.4,8.5,2,0.9
"MRS5",802,"PIEN",13.3,7,1.6,0.9
"MRS5",760,"ABLA",9.2,4.8,1.2,0.6
"MRS5",617,"PIEN",18.4,10.6,1.2,0.9
"MRS5",825,"ABLA",27.3,10.5,1.5,1.8
"MRS5",821,"PIEN",29.5,10.6,2.1,1
"MRS5",1032,"ABLA",12.5,6.9,1.2,0.7
"MRS5",786,"ABLA",16.3,9.9,4.1,0.9
"MRS5",730,"PIEN",16.8,3.9,1.6,0.8
"MRS5",376,"ABLA",25.7,6.2,0.1,1.5
"MRS5",911,"ABLA",29.8,13.3,0.1,1.4
"MRS5",912,"PIEN",21.8,10.1,1.2,1.1
"MRS5",855,"PIEN",14.8,7.3,0.3,0.9
"MRS5",884,"ABLA",10.9,5,0.8,0.9
"MRS5",919,"ABLA",23.7,9.6,1.6,1
"MRS5",893,"PIEN",11.9,4.7,0.8,1.1
"MRS7",39,"ABLA",7.5,2.5,0.4,0.6
"MRS7",40,"PIFL",29.2,11.9,1.8,1.1
"MRS7",48,"PICO",20,10.8,1.4,0.7
"MRS7",55,"ABLA",11,6.5,1.1,0.6
"MRS7",58,"PIEN",19.5,7.4,4.3,0.7
"MRS7",59,"PIEN",15.1,7.6,2.3,0.5
"MRS7",62,"PIEN",24.2,10,2.2,1.1
"MRS7",65,"PIEN",32.2,11.5,2.4,0.6
"MRS7",66,"PIEN",23.9,11.7,2.4,1
"MRS7",67,"PIEN",21.9,10,3.8,0.9
"MRS7",68,"PIEN",9.8,4.8,1.1,0.5
"MRS7",69,"ABLA",24.4,11.5,2.1,1.1
"MRS7",93,"ABLA",17.1,10,2.4,0.85
"MRS7",94,"PIEN",20.5,5.2,1.7,0.8
"MRS7",96,"PIEN",19.3,10.4,3.4,0.6
"MRS7",97,"ABLA",27.2,12.1,5,0.8
"MRS7",98,"ABLA",8.8,4.6,0,0.3
"MRS7",101,"ABLA",10.7,8.3,1.1,0.6
"MRS7",103,"PIEN",11.7,7.6,1.2,0.9
"MRS7",106,"ABLA",16.3,9.2,3.7,0.9
"MRS7",108,"ABLA",20.2,11.4,2.2,1.5
"MRS7",109,"ABLA",28,12.1,0.9,1.4
"MRS7",127,"PICO",42.3,13,1.4,0.9
"MRS7",143,"ABLA",18,11.9,1,0.7
"MRS7",144,"PIEN",25.1,9.1,2.4,1
"MRS7",145,"PIEN",17.5,5.2,0.8,1.4
"MRS7",146,"PIEN",26.9,12.3,1,1.3
"MRS7",151,"PIEN",34.7,12.8,2,1.4
"MRS7",180,"ABLA",12.1,8.8,1.4,1.3
"MRS7",181,"PIEN",12.6,6.8,0.7,1
"MRS7",182,"PIEN",24.4,13.4,1,1.6
"MRS7",190,"ABLA",19.4,11.5,1.1,0.85
"MRS7",200,"PIFL",24.8,11.9,4.5,0.5
"MRS7",255,"PIEN",47.5,14.1,1.3,1.5
"MRS7",293,"PIEN",40.7,12.4,1,1.4
"MRS7",341,"ABLA",36.5,14.1,3.1,2.8
"MRS7",378,"ABLA",36.5,12.8,1,1.1
"MRS7",380,"ABLA",18.8,10.4,1.4,1.1
"MRS7",1114,"ABLA",8.6,6.3,4.6,0.4
"MRS7",1115,"ABLA",9.2,7.6,1.8,0.3
"MRS7",1156,"PIEN",21.5,7.2,0.7,1.1
"MRS7",1159,"PIEN",29.5,13.3,0.8,0.9
"MRS7",1162,"ABLA",22,11.5,0,0.85
"MRS7",1163,"PIEN",22.9,12,1.6,1.3
"MRS7",1189,"ABLA",25,13.8,3.7,1.2
"MRS7",1191,"PIEN",21.9,10.8,3.2,1
"MRS7",1192,"PIEN",28,11.2,3.2,1.2
"MRS7",1193,"PIEN",14.7,5.6,1,0.9
"MRS7",1230,"ABLA",9.5,6.3,0.1,0.4
"MRS7",1232,"ABLA",15,7.9,1.5,0.6
"MRS7",1233,"PIEN",20.5,11.5,2.7,0.9
"MRS7",1234,"ABLA",21.3,11.6,2.4,0.9
"MRS7",1235,"PIEN",26.2,11.6,2.1,1.1
"MRS7",1236,"ABLA",9.4,3.9,0,0.4
"MRS7",1237,"PIEN",10.2,8.4,2.3,0.7
"MRS7",1238,"ABLA",24.6,12.9,1.5,0.7
"MRS7",1265,"ABLA",23.2,13.1,2,0.6
"MRS7",1266,"PIEN",10.6,7.9,3.1,0.6
"MRS7",1271,"ABLA",21.9,12.9,3,1
"MRS7",1274,"PIEN",13.3,9.4,2.2,0.9
"MRS7",1276,"PIEN",13,8.9,1.7,0.6
"MRS7",1277,"PIEN",15,10.4,1.3,0.8
"MRS7",40,"PIFL",NaN,NaN,NaN,NaN
"MRS7",66,"PIEN",NaN,NaN,NaN,NaN
"MRS7",67,"PIEN",NaN,NaN,NaN,NaN
"MRS7",205,"PICO",NaN,NaN,NaN,NaN
"MRS5",493,"PIEN",NaN,NaN,NaN,NaN
"MRS5",547,"PIEN",NaN,NaN,NaN,NaN
"MRS5",590,"ABLA",NaN,NaN,NaN,NaN
"MRS5",571,"ABLA",NaN,NaN,NaN,NaN
"MRS5",612,"PIEN",NaN,NaN,NaN,NaN
"MRS4",493,"ABLA",NaN,NaN,NaN,NaN
"MRS4",590,"PIEN",NaN,NaN,NaN,NaN
"MRS4",547,"PICO",NaN,NaN,NaN,NaN
"MRS4",39,"ABLA",NaN,NaN,NaN,NaN
"MRS4",66,"PICO",NaN,NaN,NaN,NaN
"MRS4",67,"PIEN",NaN,NaN,NaN,NaN
"MRS4",236,"PICO",NaN,NaN,NaN,NaN
"MRS4",303,"ABLA",NaN,NaN,NaN,NaN
