BLOCK,COL,ROW,STATE,PROV,REP,TREE_ID,DBH,HT,VIGOR
2,8,,M,9,2,28M92,15.2,7.4,G
2,8,,W,1,1,28W11,14,8.1,G
2,8,,W,2,5,28W25,13,7.5,G
2,9,,M,3,4,29M34,15.2,9.5,G
2,10,,C,2,3,210C23,10.9,5.6,E
2,11,,C,12,5,211C125,18.5,8.2,G
2,11,,C,15,4,211C154,14.7,7.3,G
2,11,,W,5A,2,211W5A2,14.5,8.7,G
2,12,,C,9,2,212C92,17.5,8,E
2,12,,M,1,4,212M14,15.2,7.4,E
2,13,,C,11,2,213C112,14,6.8,E
2,13,,M,4,4,213M44,15.5,9.3,E
2,13,,M,8,4,213M84,13.7,10.2,G
2,13,,W,3,4,213W34,15.7,6.7,E
2,15,,C,5,4,215C54,17,8.4,F
2,15,,C,10,3,215C103,14.2,6.4,G
2,15,,C,13,4,215C134,19.6,9.1,P
2,15,,M,3,1,215M31,14.2,8,G
2,15,,M,6,2,215M62,18.8,8.9,E
2,15,,W,1,1,215W11,11.4,6.6,G
2,16,,C,8,4,216C84,16.3,7.5,G
2,16,,C,11,2,216C112,15,6.9,G
2,16,,C,13,1,216C131,18,6.9,E
2,16,,M,2,4,216M24,14,7.6,E
2,16,,M,4,1,216M41,13.7,8.4,E
2,16,,M,8,2,216M82,16.8,8.1,G
2,16,,M,11,2,216M112,18,9,G
3,1,,C,9,2,31C92,15.2,7.5,E
3,2,,C,1,1,32C11,14.2,7.5,E
3,2,,C,2,2,32C22,14.7,7.1,E
3,2,,C,14,3,32C143,16.5,7.6,G
3,2,,W,4,5,32W45,15.5,7.5,F
3,3,,M,11,1,33M111,13.5,8.4,G
3,4,,C,14,5,34C145,13.5,6.9,G
3,4,,C,15,1,34C151,11.9,6.3,F
3,4,,M,8,3,34M83,14,7.5,G
3,5,,C,4,2,35C42,18.3,9.6,E
3,5,,C,8,1,35C81,10.4,6.9,G
3,5,,C,11,1,35C111,11.7,6.6,G
3,5,,M,1,2,35M12,17.5,9,F
3,5,,M,2,2,35M22,13.7,7.5,G
3,5,,M,4,5,35M45,18.8,10.2,E
3,5,,W,4,2,35W42,14,7.9,G
3,6,,M,1,2,36M12,13.5,7.3,G
3,6,,M,2,2,36M22,13.7,7.3,F
3,6,,M,5,2,36M52,19.1,9.4,E
3,6,,M,7,1,36M71,13,6,P
3,6,,M,7,3,36M73,14.2,8.7,G
3,6,,M,10,5,36M105,20.1,10.7,E
3,6,,W,5A,1,36W5A1,13.2,7.3,F
3,7,,C,11,3,37C113,18.3,9.5,E
3,8,,C,2,5,38C25,16.5,7.9,G
3,8,,C,4,3,38C43,16.5,8.4,G
3,8,,M,7,5,38M75,14.2,8,G
3,8,,M,11,5,38M115,15.5,9.7,G
3,9,,C,3,4,39C34,11.7,7.8,G
3,9,,M,3,1,39M31,16.3,9.3,G
3,9,,M,9,1,39M91,14.2,8.2,G
3,9,,M,12,2,39M122,16,8.4,G
3,10,,C,3,2,310C32,13.7,5.2,P
3,10,,C,12,2,310C122,9.4,6.1,NA
3,10,,W,3,1,310W31,12.4,6.2,G
3,11,,C,8,3,311C83,15.5,6.9,G
3,11,,C,12,3,311C123,14.5,7.9,G
3,11,,C,13,4,311C134,13.5,6.6,G
3,11,,W,4,1,311W41,11.4,6,G
3,12,3,W,2,1,3123W21,13.7,7.3,G
3,12,12,W,2,1,31212W21,12.4,7,G
3,12,,C,6,3,312C63,12.4,6.7,G
3,12,,C,7,3,312C73,16.5,8.4,G
3,12,,C,10,3,312C103,17,9,G
3,12,,M,4,1,312M41,17,8.9,G
3,12,,W,5,1,312W51,13.7,7.2,G
3,13,,C,9,2,313C92,16,7,G
3,13,,C,15,2,313C152,15.7,7.7,G
3,13,,M,6,4,313M64,16,9.2,G
3,14,,C,7,2,314C72,17,7.6,E
3,14,,C,13,1,314C131,14,7.8,G
3,14,,C,16,1,314C161,12.4,6.7,G
3,14,,M,6,1,314M61,18.3,10.1,E
3,14,,W,3,1,314W31,11.7,8.1,G
3,15,,M,2,3,315M23,13.7,7.2,G
3,15,,W,5A,3,315W5A3,12.4,6.7,E
