age_CE,LSA01A_raw,LSA01B_raw,LSA01C_raw,LSA01A_raw_outlier_flag,LSA01B_raw_outlier_flag,LSA01C_raw_outlier_flag
879,0.63,0.59,0.62,FALSE,FALSE,FALSE
880,0.34,0.35,0.35,FALSE,FALSE,FALSE
881,0.54,0.6,0.52,FALSE,FALSE,FALSE
882,0.58,0.64,0.56,FALSE,FALSE,FALSE
883,0.6,0.6,0.58,FALSE,FALSE,FALSE
884,0.65,0.62,0.63,FALSE,FALSE,FALSE
885,0.67,0.67,0.66,FALSE,FALSE,FALSE
886,0.72,0.77,0.71,FALSE,FALSE,FALSE
887,0.44,0.4,0.43,FALSE,FALSE,FALSE
888,0.19,0.23,0.21,FALSE,FALSE,FALSE
889,0.26,0.21,0.22,FALSE,FALSE,FALSE
890,0.22,0.25,0.22,FALSE,FALSE,FALSE
891,0.33,0.38,0.3,FALSE,FALSE,FALSE
892,0.39,0.41,0.36,FALSE,FALSE,FALSE
893,0.49,0.49,0.46,FALSE,FALSE,FALSE
894,0.54,0.55,0.47,FALSE,FALSE,FALSE
895,0.46,0.53,0.45,FALSE,FALSE,FALSE
896,0.43,0.4,0.37,FALSE,FALSE,FALSE
897,0.5,0.42,0.46,FALSE,FALSE,FALSE
898,0.5,0.43,0.43,FALSE,FALSE,FALSE
899,0.52,0.51,0.5,FALSE,FALSE,FALSE
900,0.53,0.55,0.5,FALSE,FALSE,FALSE
901,0.5,0.55,0.47,FALSE,FALSE,FALSE
902,0.52,0.52,0.52,FALSE,FALSE,FALSE
903,0.8,0.76,0.8,FALSE,FALSE,FALSE
904,0.82,0.71,0.78,FALSE,FALSE,FALSE
905,0.59,0.49,0.5,FALSE,FALSE,FALSE
906,0.57,0.57,0.54,FALSE,FALSE,FALSE
907,0.76,0.79,0.77,FALSE,FALSE,FALSE
908,0.75,0.73,0.77,FALSE,FALSE,FALSE
909,0.7,0.66,0.7,FALSE,FALSE,FALSE
910,0.64,0.56,0.63,FALSE,FALSE,FALSE
911,0.61,0.54,0.56,FALSE,FALSE,FALSE
912,0.57,0.52,0.52,FALSE,FALSE,FALSE
913,0.61,0.53,0.59,FALSE,FALSE,FALSE
914,0.49,0.47,0.49,FALSE,FALSE,FALSE
915,0.61,0.62,0.65,FALSE,FALSE,FALSE
916,0.53,0.66,0.63,FALSE,FALSE,FALSE
917,0.51,0.58,0.51,FALSE,FALSE,FALSE
918,0.39,0.55,0.41,FALSE,FALSE,FALSE
919,0.49,0.48,0.48,FALSE,FALSE,FALSE
920,0.58,0.49,0.55,FALSE,FALSE,FALSE
921,0.57,0.48,0.62,FALSE,FALSE,FALSE
922,0.35,0.29,0.29,FALSE,FALSE,FALSE
923,0.83,0.87,0.91,FALSE,FALSE,FALSE
