"ba_f","Species","Tag","2008"
3.16692174435936,"Tsme","G7",0.136
3.23712848618546,"Tsme","G30",1.921
3.8484510006475,"Tsme","G8",0.34
3.95919214168654,"Tsme","G23",0.8275
3.98152886545356,"Tsme","G1",0.4335
4.38259243759247,"Tsme","G14",0.643
4.62041100146921,"Tsme","G17",0.296
4.71729771890592,"Tsme","G20",0.6525
1.83224752140827,"Xano","G10",0.743
1.9244218498646,"Xano","G24",0.741
1.97923478768811,"Xano","G11",0.4995
1.98712803923025,"Xano","G31",0.7635
2.09928289696341,"Xano","G3",0.569
2.60576261059352,"Xano","G26",0.678
3.19691610021951,"Xano","G13",0.7665
3.19691610021951,"Xano","G19",0.641
3.48368067763919,"Xano","G29",1.231
4.44145802993911,"Xano","G16",0.225
2.36719791846154,"Abam","E23",0.7515
2.36719791846154,"Abam","E27",0.7365
2.4630086404144,"Abam","E20",0.8355
2.6970258771803,"Abam","E4",0.137
2.93205627757699,"Abam","E16",0.5985
2.96091966008184,"Abam","E19",0.584
3.23712848618546,"Abam","E15",0.325
3.28774739781642,"Abam","E7",0.674
4.11686867697021,"Abam","E10",0.759
4.185386812745,"Abam","E1",0.2885
8.92491915365671,"Psme","E18",0.515
9.19484479445314,"Psme","E29",0.29
10.1533839829716,"Psme","E35",0.313
11.3663529065226,"Psme","E24",0.585
12.5482750406745,"Psme","E26",0.2975
12.7676288937298,"Psme","E28",0.311
13.1713235497161,"Psme","E5",0.5225
13.1916732161297,"Psme","E33",0.273
14.8273434312212,"Psme","E9",0.329
16.1731153302211,"Psme","E6",0.413
1.56228261070367,"Thpl","E11",1.4275
1.7795237426994,"Thpl","E38",2.029
2.41922269280499,"Thpl","E34",1.3705
2.86525816378003,"Thpl","E25",1.2985
2.91289256239009,"Thpl","E13",1.643
3.0093394568553,"Thpl","E39",1.2065
4.77836242611007,"Thpl","E21",1.0805
5.33266503390946,"Thpl","E40",1.1625
5.34561624962388,"Thpl","E8",0.5515
5.59467386121885,"Thpl","E30",0.62
1.77205460616549,"Tshe","E36",2.078
2.08307227887088,"Tshe","E31",0.1875
2.26484482980759,"Tshe","E12",0.8685
2.35858210060907,"Tshe","E2",0.0945
2.60576261059352,"Tshe","E14",0.769
3.66379603845112,"Tshe","E17",0.283
3.8925589615039,"Tshe","E22",0.2065
4.59634640174272,"Tshe","E37",1.6085
5.24244634687999,"Tshe","E32",0.104
5.47599234474786,"Tshe","E3",0.709
1.72756965419066,"Psme","D23",0.6505
1.87805194229761,"Psme","D22",0.4455
1.9166542620286,"Psme","D21",0.564
1.9244218498646,"Psme","D16",0.628
2.05887416145661,"Psme","D24",0.382
2.13189262870767,"Psme","D19",0.4585
2.33282889483127,"Psme","D14",0.5845
2.39313961979856,"Psme","D11",0.772
4.24291722821386,"Psme","D8",0.797
4.92651993565337,"Psme","D5",0.6235
1.25663706143592,"Thpl","D3",0.456
2.01885812503151,"Thpl","D12",1.052
2.54281294779721,"Thpl","D9",0.676
3.01907054009979,"Thpl","D25",1.094
3.03857983047858,"Thpl","D7",1.0055
1.9011662102464,"Tshe","D2",1.1035
2.2817465982839,"Tshe","D15",0.574
2.5071872871055,"Tshe","D20",1.083
2.57868993590121,"Tshe","D18",0.661
2.65119789434606,"Tshe","D17",1.376
3.01907054009979,"Tshe","D4",0.833
3.25732892694804,"Tshe","D13",0.9525
3.42119439975928,"Tshe","D6",0.5265
3.46278908649281,"Tshe","D1",0.526
4.7051319013549,"Tshe","D10",0.5105
2.16475368786422,"Abam","B33",0.223
2.63297665695524,"Abam","B31",0.3915
3.47322702808437,"Abam","B32",0.2125
2.58769845283538,"Psme","B13",0.3115
3.58908111116712,"Psme","B16",0.681
4.2776239730544,"Psme","B15",0.6215
4.32411954432753,"Psme","B11",1.0015
4.69298179176714,"Psme","B19",0.5185
5.35858317330157,"Psme","B17",0.8005
5.91737825859559,"Psme","B12",0.6335
6.04072504015716,"Psme","B14",0.5885
6.16534416674343,"Psme","B20",1.155
10.0820698297351,"Psme","B18",0.993
2.55175863287831,"Thpl","B29",0.255
2.64207942166902,"Thpl","B26",0.3625
2.71546702605687,"Thpl","B28",0.2885
2.98024045490142,"Thpl","B30",0.801
3.19691610021951,"Thpl","B24",0.444
3.92580486576051,"Thpl","B22",0.422
4.35915615639669,"Thpl","B27",1.3935
4.59634640174272,"Thpl","B25",0.4865
5.66115781575044,"Thpl","B21",0.449
7.32899008563309,"Thpl","B23",0.445
1.93220514566387,"Tshe","B8",0.66
2.1237166338267,"Tshe","B1",0.977
2.4630086404144,"Tshe","B2",0.267
2.52496870152482,"Tshe","B10",0.432
2.93205627757699,"Tshe","B5",0.303
3.05815195271045,"Tshe","B9",0.274
4.30084034276443,"Tshe","B3",0.6465
4.90166993776347,"Tshe","B4",0.7965
5.59467386121885,"Tshe","B7",0.6855
6.06830822365568,"Tshe","B6",1.488
8.57674429384098,"Abam","A11",0.2515
6.4042073101775,"Psme","A19",1.5755
13.5194041617522,"Psme","A35",1.4075
14.9354534884129,"Psme","A33",0.448
19.482783190778,"Psme","A30",1.5545
20.8672438033068,"Psme","A32",0.6465
22.538068440192,"Psme","A29",2.164
26.73514983159,"Psme","A34",0.7565
44.9002783776177,"Psme","A31",0.7645
1.63312552504212,"Thpl","A23",2.038
2.26484482980759,"Thpl","A25",0.2535
4.16248460230033,"Thpl","A24",3.0445
4.41786466911065,"Thpl","A6",1.2065
5.00144692044149,"Thpl","A14",1.9805
6.67654412333556,"Thpl","A13",0.3475
7.04352141518302,"Thpl","A20",2.352
7.29867371652595,"Thpl","A10",4.198
15.0439562446862,"Thpl","A28",2.2565
25.4469004940773,"Thpl","A8",2.45
1.88574099031727,"Tshe","A1",0.8825
2.6970258771803,"Tshe","A2",1.068
3.47322702808437,"Tshe","A5",1.892
4.2776239730544,"Tshe","A4",1.532
4.45327827229824,"Tshe","A18",0.6795
4.53645979178366,"Tshe","A9",0.6005
5.62122031914168,"Tshe","A17",0.815
5.62122031914168,"Tshe","A7",0.669
6.76372331947268,"Tshe","A15",2.1495
9.71179386560134,"Tshe","A3",2.63
13.5606532732938,"Tshe","A12",0.125
