Stand,Treeid,Year,Species(neighbor),Distance(neighbor),DBH(neighbor),Canopy?,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Acci,5.18,11.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Abam,4.45,11.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,8.26,11.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,4.25,11.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,8.61,12.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Abam,9.12,12.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,7.28,12.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Abam,8.68,13.5,n,Assumed not in canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,8,13.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,8.19,13.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,2.7,18.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,2.9,20.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,5.67,25.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,5.17,30.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,8.36,60.3,y,canopy status uncertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,9.82,76.0,y,A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Tshe,9.67,98.7,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Abam,8.77,110.7,y,id uncertain - same as all?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A11,2008,Thpl,9.04,190.0,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,6.65,10.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Acci,6.41,11.0,n,"bent over, assumed not in canopy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,6.33,11.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,4,12.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,5.96,12.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,6.58,13.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,6.98,14.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,7.89,14.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,8.61,16.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,7.75,19.5,n,on stump ~ 2.5 ft high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,4.36,25.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,9.55,29.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,4.92,39.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Tshe,6.48,45.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A12,2008,Thpl,7.06,155.8,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,8.48,10.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,9.4,11.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,8.47,16.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,3.69,19.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Abam,4.36,20.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,9.99,21.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,9.67,24.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,7.34,26.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,8.05,31.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,1.55,34.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,7.21,39.8,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Tshe,7.92,50.1,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A13,2008,Thpl,7.97,96.4,y,A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Tshe,7.39,10.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Acci,5.6,10.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Tshe,3.76,22.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Tshe,6.49,40.3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Tshe,5.95,50.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Tshe,6.62,14.0,n,dbh estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A14,2008,Tshe,7.09,30.0,n,dbh estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,7.49,10.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Acci,7.44,10.9,n,bent over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Abam,1.2,11.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,7.2,13.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Abam,8.32,14.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,8.41,14.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,6.6,14.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,9.4,14.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,9.68,14.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,7.1,21.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,7.79,23.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,6.52,23.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,1.02,25.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,9.03,26.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,3.48,49.0,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,6.12,64.2,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Thpl,8.75,147.8,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,7.83,14.0,n,dbh estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A15,2008,Tshe,7.7,30.0,n,dbh estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,7.48,11.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,6.07,13.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Acci,2.28,15.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,4.4,15.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,5.25,17.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,8.13,18.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,8.7,22.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,9.04,25.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,9.94,25.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A16,2008,Tshe,2.63,84.6,y,A17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Acci,7.86,10.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,9.11,11.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,2.59,13.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Acci,7.19,13.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Acci,5.19,15.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,1.08,15.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,6.59,16.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,8.73,18.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,9.13,25.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Thpl,6.53,53.3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Tshe,9.97,75.3,y,A18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A17,2008,Abam,2.63,126.6,y,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Tshe,6.26,11.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Acci,4.99,13.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Tshe,2.85,18.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Tshe,4.22,20.1,n,Assumed not in canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Tshe,6.09,20.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Tshe,7.82,49.0,y,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A18,2008,Tshe,9.97,84.6,y,A17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,8.99,11.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,9.95,12.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,5.05,12.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,7.6,12.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,8.95,13.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,4.12,18.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,9.85,19.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,6.76,20.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,5.69,20.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,6.1,21.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,6.48,30.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Thpl,7.95,38.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Tshe,7.82,63.9,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Thpl,2.73,94.7,y,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A19,2008,Thpl,7.47,130.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,9.2,13.3,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,9.37,14.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,6.59,14.8,n,leaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,8,15.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,4.56,15.5,n,growing together at base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,4.89,16.4,n,growing together at base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,8.29,18.9,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,7.41,19.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,9.98,22.3,,canopy never observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,8.75,29.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,4.7,30.2,y,"measured @ 5'2"" from ground, tree on stump 2.5' high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,9.73,33.0,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,5.98,34.9,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Tshe,6.9,49.0,y,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A2,2008,Thpl,9.62,180.0,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Abam,6.24,12.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,7.31,15.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,5.99,17.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,6.94,19.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,5.79,20.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,8.99,20.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,5.48,20.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,8.37,22.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Thpl,4.74,38.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Tshe,9.54,42.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Psme,2.73,90.3,y,A19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A20,2008,Thpl,10,130.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Acci,6.89,10.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,7.06,12.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,9.48,13.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,2.21,13.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Acci,8.45,14.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,9.08,15.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,6.32,17.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,7.97,17.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,9,20.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,8.52,23.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,1.43,28.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,6.5,37.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,7.74,44.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,2.84,52.3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,8.79,55.1,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,5.69,57.3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Tshe,4.83,85.3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Abam,9.84,114.0,y,A22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A21,2008,Thpl,7.68,134.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Acci,9.76,14.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Tshe,7.07,17.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Tshe,9.42,28.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Thpl,2.18,41.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Tshe,8.24,44.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Thpl,6.29,45.6,n,A23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Tshe,3.12,55.2,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Tshe,5.33,57.2,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Thpl,6.6,72.8,y,A24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A22,2008,Abam,9.84,92.8,y,A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,4.21,11.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Acci,9.66,11.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Acci,4.85,15.5,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,5.41,21.3,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,8.68,23.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Thpl,8.23,41.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,6.46,44.2,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,3.9,55.2,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,7.36,62.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Tshe,5.94,85.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A23,2008,Abam,6.29,114.0,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Acci,5.7,12.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Tshe,6.78,17.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Thpl,5.6,41.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Tshe,9.12,42.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Tshe,7.47,42.8,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Tshe,6.44,56.5,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A24,2008,Abam,6.6,114.0,y,A22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,5.84,11.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,8.11,12.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,9.48,12.9,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Acci,5.72,14.4,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,8.72,16.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,6.09,18.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,7.22,20.7,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,8.5,32.0,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,7,37.8,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Thpl,7.55,43.1,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Tshe,7.36,59.3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A25,2008,Thpl,6.92,138.4,y,A28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO04,A26,2008,Tshe,4.68,15.6,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
