"","years","Tag","Ring_width(mm)"
"297",1869,"MC255807",NA
"298",1869,"MC255808",NA
"299",1869,"MC255809",NA
"300",1869,"MC255811",NA
"301",1869,"MC255814",NA
"302",1869,"MC255815",NA
"303",1869,"MC255817",NA
"304",1869,"MC255824",NA
"305",1869,"MC255825",NA
"306",1869,"MC255826",NA
"307",1869,"MC255827",NA
"308",1869,"MC255828",NA
"309",1869,"MC255830",NA
"310",1869,"MC255831",0.679
"311",1869,"MC255833",NA
"312",1869,"MC300001",NA
"313",1869,"MC300017",NA
"314",1869,"MC300018",NA
"315",1869,"MC300022",NA
"316",1869,"MC300023",NA
"317",1869,"MC300024",NA
"318",1869,"MC300026",NA
"319",1869,"MC300027",NA
"320",1869,"MC300028",NA
"321",1869,"MC300032",NA
"322",1869,"MC300033",NA
"323",1869,"MC302801",NA
"324",1869,"MC302803",NA
"325",1869,"MC302807",NA
"326",1869,"MC302810",NA
"327",1869,"MC302813",NA
"328",1869,"MC302819",NA
"329",1869,"MC302820",NA
"330",1869,"MC302825",NA
"331",1869,"MC302827",NA
"332",1869,"MC302829",NA
"333",1869,"MC302831",NA
"334",1869,"MC302833",NA
"335",1869,"MC302834",NA
"336",1869,"MC302835",NA
"337",1870,"JB118309",NA
"338",1870,"JB118312",NA
"339",1870,"JB118313",NA
"340",1870,"JB118316",NA
"341",1870,"JB118317",NA
"342",1870,"JB118318",NA
"343",1870,"JB118320",NA
"344",1870,"JB118322",NA
"345",1870,"JB118323",0.414
"346",1870,"JB118324",NA
"347",1870,"JB118326",NA
"348",1870,"JB118327",NA
"349",1870,"JB118332",NA
"350",1870,"JB118336",NA
"351",1870,"JB130804",NA
"352",1870,"JB130807",NA
"353",1870,"JB130808",NA
"354",1870,"JB130810",NA
"355",1870,"JB130813",NA
"356",1870,"JB130814",NA
"357",1870,"JB130815",NA
"358",1870,"JB130816",NA
"359",1870,"JB130817",NA
"360",1870,"JB130819",NA
"361",1870,"JB130821",NA
"362",1870,"JB130827",NA
"363",1870,"MC195302",NA
"364",1870,"MC195303",NA
"365",1870,"MC195304",NA
"366",1870,"MC195306",NA
"367",1870,"MC195307",NA
"368",1870,"MC195313",NA
"369",1870,"MC195314",NA
"370",1870,"MC195318",NA
"371",1870,"MC195319",NA
"372",1870,"MC195325",NA
"373",1870,"MC195329",NA
"374",1870,"MC216001",NA
"375",1870,"MC216002",NA
"376",1870,"MC216003",NA
"377",1870,"MC216004",NA
"378",1870,"MC216005",NA
"379",1870,"MC216010",NA
"380",1870,"MC216012",NA
"381",1870,"MC216014",NA
"382",1870,"MC216018",NA
"383",1870,"MC216020",NA
"384",1870,"MC216022",NA
"385",1870,"MC216026",NA
"386",1870,"MC216027",NA
"387",1870,"MC216029",NA
"388",1870,"MC216030",NA
"389",1870,"MC216039",NA
"390",1870,"MC231201",NA
"391",1870,"MC231203",NA
"392",1870,"MC231204",NA
"393",1870,"MC231205",NA
"394",1870,"MC231206",NA
"395",1870,"MC231207",NA
"396",1870,"MC231209",NA
"397",1870,"MC231211",NA
"398",1870,"MC231212",NA
"399",1870,"MC231213",NA
"400",1870,"MC231216",NA
"401",1870,"MC231217",NA
"402",1870,"MC231219",NA
"403",1870,"MC231221",NA
"404",1870,"MC231225",NA
"405",1870,"MC231226",NA
"406",1870,"MC231227",NA
"407",1870,"MC231232",NA
"408",1870,"MC231234",NA
"409",1870,"MC255807",NA
"410",1870,"MC255808",NA
"411",1870,"MC255809",NA
"412",1870,"MC255811",NA
"413",1870,"MC255814",NA
"414",1870,"MC255815",NA
"415",1870,"MC255817",NA
"416",1870,"MC255824",NA
"417",1870,"MC255825",NA
"418",1870,"MC255826",NA
"419",1870,"MC255827",NA
"420",1870,"MC255828",NA
"421",1870,"MC255830",NA
"422",1870,"MC255831",0.103
"423",1870,"MC255833",NA
"424",1870,"MC300001",NA
"425",1870,"MC300017",NA
"426",1870,"MC300018",NA
"427",1870,"MC300022",NA
"428",1870,"MC300023",NA
"429",1870,"MC300024",NA
"430",1870,"MC300026",NA
"431",1870,"MC300027",NA
"432",1870,"MC300028",NA
"433",1870,"MC300032",NA
"434",1870,"MC300033",NA
"435",1870,"MC302801",NA
"436",1870,"MC302803",NA
"437",1870,"MC302807",NA
"438",1870,"MC302810",NA
"439",1870,"MC302813",NA
"440",1870,"MC302819",NA
"441",1870,"MC302820",NA
"442",1870,"MC302825",NA
"443",1870,"MC302827",NA
"444",1870,"MC302829",NA
"445",1870,"MC302831",NA
"446",1870,"MC302833",NA
"447",1870,"MC302834",NA
"448",1870,"MC302835",NA
"449",1871,"JB118309",NA
"450",1871,"JB118312",NA
"451",1871,"JB118313",NA
"452",1871,"JB118316",NA
"453",1871,"JB118317",NA
"454",1871,"JB118318",NA
"455",1871,"JB118320",NA
"456",1871,"JB118322",NA
"457",1871,"JB118323",0.218
"458",1871,"JB118324",NA
"459",1871,"JB118326",NA
"460",1871,"JB118327",NA
"461",1871,"JB118332",NA
"462",1871,"JB118336",NA
"463",1871,"JB130804",NA
"464",1871,"JB130807",NA
"465",1871,"JB130808",NA
"466",1871,"JB130810",NA
"467",1871,"JB130813",NA
"468",1871,"JB130814",NA
"469",1871,"JB130815",NA
"470",1871,"JB130816",NA
"471",1871,"JB130817",NA
"472",1871,"JB130819",NA
"473",1871,"JB130821",NA
"474",1871,"JB130827",NA
"475",1871,"MC195302",NA
"476",1871,"MC195303",NA
"477",1871,"MC195304",NA
"478",1871,"MC195306",NA
"479",1871,"MC195307",NA
"480",1871,"MC195313",NA
"481",1871,"MC195314",NA
"482",1871,"MC195318",NA
"483",1871,"MC195319",NA
"484",1871,"MC195325",NA
"485",1871,"MC195329",NA
"486",1871,"MC216001",NA
"487",1871,"MC216002",NA
"488",1871,"MC216003",NA
"489",1871,"MC216004",NA
"490",1871,"MC216005",NA
"491",1871,"MC216010",NA
"492",1871,"MC216012",NA
"493",1871,"MC216014",NA
"494",1871,"MC216018",NA
"495",1871,"MC216020",NA
"496",1871,"MC216022",NA
"497",1871,"MC216026",NA
"498",1871,"MC216027",NA
"499",1871,"MC216029",NA
"500",1871,"MC216030",NA
"501",1871,"MC216039",NA
"502",1871,"MC231201",NA
"503",1871,"MC231203",NA
"504",1871,"MC231204",NA
"505",1871,"MC231205",NA
"506",1871,"MC231206",NA
"507",1871,"MC231207",NA
"508",1871,"MC231209",NA
"509",1871,"MC231211",NA
"510",1871,"MC231212",NA
"511",1871,"MC231213",NA
"512",1871,"MC231216",NA
"513",1871,"MC231217",NA
"514",1871,"MC231219",NA
"515",1871,"MC231221",NA
"516",1871,"MC231225",NA
"517",1871,"MC231226",NA
"518",1871,"MC231227",NA
"519",1871,"MC231232",NA
"520",1871,"MC231234",NA
"521",1871,"MC255807",NA
"522",1871,"MC255808",NA
"523",1871,"MC255809",NA
"524",1871,"MC255811",NA
"525",1871,"MC255814",NA
"526",1871,"MC255815",NA
"527",1871,"MC255817",NA
"528",1871,"MC255824",NA
"529",1871,"MC255825",NA
"530",1871,"MC255826",NA
"531",1871,"MC255827",NA
"532",1871,"MC255828",NA
"533",1871,"MC255830",NA
"534",1871,"MC255831",0.742
"535",1871,"MC255833",NA
"536",1871,"MC300001",NA
"537",1871,"MC300017",NA
"538",1871,"MC300018",NA
"539",1871,"MC300022",NA
"540",1871,"MC300023",NA
"541",1871,"MC300024",NA
