Year,R04,R07,R09,R11,R13,R18,R22,R24,R33,R35,R36,R41,R44,R47,R49,R52,R58,R60,R02
1944,1.216,2.014,1.538,1.627,1.919,1.949,1.414,2.283,0.772,0.9520001,0.763,0.8800001,0.854,0.697,1.237,0.544,1.79,1.563,0.257
1943,0.798,1.602,1.429,1.529,1.647,1.519,1.23,2.111,0.757,0.677,0.656,0.82,0.696,0.695,0.785,0.489,1.567,1.44,0.236
1942,0.77,1.236,1.005,1.526,1.574,1.684,0.944,1.405,0.662,0.655,0.586,0.808,0.708,0.612,0.796,0.414,1.664,1.502,0.231
1941,1.229,1.549,1.274,2.222,2.401,2.476,1.26,2.194,0.637,0.9310001,0.787,1.111,0.868,0.708,0.848,0.546,2.214,1.833,0.343
1940,1.106,1.292,1.33,2.786,2.855,2.313,1.125,3.004,0.714,0.783,0.745,0.867,0.822,0.704,1.178,0.402,2.85,2.091,0.324
1939,0.798,1.176,1.223,2.248,2.05,1.754,1.004,2.259,0.766,0.634,0.72,0.7320001,0.685,0.624,0.829,0.467,2.278,1.615,0.283
1938,0.618,1.317,1.203,2.151,1.918,2.093,0.774,2.018,1.055,0.718,0.695,0.749,0.729,0.583,0.929,0.397,2.351,1.714,0.284
1937,0.634,1.282,0.925,1.726,1.765,1.605,0.686,1.46,1.055,0.632,0.588,0.9060001,0.733,0.6,1.073,0.279,2.156,1.321,0.24
1936,1.096,1.39,1.161,2.204,1.989,1.905,0.909,1.66,1.487,0.824,0.662,1.17,0.909,0.682,1.435,0.278,2.234,1.387,0.279
1935,1.147,1.252,1.498,2.199,1.928,2.441,0.999,2.134,1.048,0.925,0.622,0.9720001,0.962,0.783,1.491,0.333,2.456,1.547,0.34
1934,1.357,1.416,1.481,1.261,1.56,2.106,1.08,1.458,1.197,0.9810001,0.639,1.173,0.9390001,0.793,1.263,0.36,2.413,1.643,0.375
1933,1.284,1.183,1.228,1.08,1.186,1.74,0.848,1.616,0.679,0.978,0.579,1.004,0.93,0.798,0.821,0.4,2.18,1.475,0.281
1932,1.027,1.144,1.002,0.763,1.298,2.013,0.775,1.658,0.727,0.89,0.429,0.8010001,0.614,0.649,0.899,0.326,1.667,1.291,0.321
1931,0.9590001,1.13,1.271,1.322,1.652,2.567,0.725,1.876,0.842,0.883,0.523,0.61,0.812,0.66,1.132,0.307,1.982,1.503,0.343
1930,1.009,1.386,1.373,1.613,2.023,2.513,0.988,2.146,1.054,0.773,0.699,0.781,0.953,0.694,1.124,0.261,2.007,1.635,0.334
1929,0.9,1.169,1.127,1.466,1.539,1.794,0.963,1.438,0.7550001,0.898,0.552,0.884,0.878,0.631,0.8600001,0.336,1.828,1.466,0.297
1928,0.911,1.014,0.971,1.411,1.565,1.714,1.009,1.296,0.509,0.962,0.587,0.766,0.954,0.635,0.67,0.28,1.652,1.255,0.31
1927,0.72,1.001,0.842,1.179,1.357,1.59,0.902,1.388,0.399,0.908,0.498,0.328,0.8,0.514,0.762,0.325,1.515,1.174,0.294
1926,0.946,1.334,1.216,1.457,1.793,2.574,0.92,1.812,0.547,0.894,0.68,0.526,0.966,0.554,1.023,0.368,2.053,1.456,0.364
1925,0.879,1.128,1.39,1.685,2.191,2.281,0.96,1.649,0.577,0.978,0.667,0.588,0.996,0.614,0.912,0.399,1.911,1.374,0.3
1924,0.845,1.008,1.19,1.566,2.228,2.136,0.909,1.693,0.816,0.854,0.694,0.846,0.714,0.636,0.905,0.393,1.829,1.294,0.415
1923,0.766,1.037,0.927,1.362,1.422,1.955,0.918,1.604,0.516,0.665,0.612,0.647,0.8100001,0.542,0.8850001,0.346,2.123,1.153,0.281
1922,0.8520001,1.003,1.091,1.303,1.302,1.655,0.784,1.313,0.53,0.731,0.588,0.647,0.883,0.595,0.754,0.386,1.597,1.124,0.428
1921,0.874,0.913,0.971,1.384,1.483,1.707,0.534,1.268,0.406,0.543,0.489,0.707,0.5280001,0.631,0.543,0.277,1.859,0.999,0.39
1920,1.044,1.038,1.224,1.542,1.716,1.717,0.921,1.347,0.683,0.877,0.663,0.754,0.8600001,0.624,0.942,0.302,2.159,1.538,0.386
1919,0.802,0.996,1.205,1.411,1.822,2.176,0.913,1.517,0.754,0.915,0.553,0.764,0.994,0.56,1.017,0.275,2.208,1.594,0.37
1918,0.996,0.975,1.19,1.222,1.589,1.952,0.968,1.519,1.177,0.823,0.774,0.731,1.24,0.674,1.24,0.387,1.546,1.619,0.411
1917,1.113,0.894,1.067,1.092,1.249,1.325,0.835,1.414,0.918,0.591,0.453,0.707,1.053,0.531,1.074,0.323,0.92,1.282,0.333
1916,1.294,0.914,0.84,1.25,1.564,1.599,0.654,1.118,0.352,0.546,0.337,0.639,0.554,0.314,0.688,0.158,1.776,1.116,0.303
1915,1.323,1.071,1.2,1.328,1.637,1.825,0.976,1.425,0.527,0.638,0.635,0.828,1.097,0.478,1.137,0.213,2.268,1.441,0.373
1914,1.144,1.399,1.53,1.517,2.176,2.116,1.095,2.213,0.9390001,0.9310001,0.762,0.94,1.697,0.663,1.174,0.267,1.633,1.481,0.462
1913,0.794,1.17,0.995,1.333,1.476,1.29,1.147,1.478,0.663,0.79,0.5,0.837,1.014,0.696,0.937,0.259,2.414,1.171,0.489
1912,0.883,1.167,0.946,1.57,1.597,1.715,1.34,1.686,0.299,0.917,0.507,0.796,0.997,0.561,0.958,0.244,1.706,1.27,0.514
1911,0.892,1.245,1.214,1.397,1.441,1.66,1.172,1.363,0.291,0.8140001,0.633,0.899,1.242,0.588,1.153,0.329,1.718,1.485,0.552
1910,1.101,1.261,1.231,1.33,2.056,1.594,1.201,1.291,0.226,0.582,0.68,0.991,1.405,0.543,1.125,0.212,1.58,1.287,0.48
1909,0.942,1.186,1.024,1.128,1.408,1.289,1.159,1.431,0.161,0.506,0.602,0.739,0.764,0.383,0.8930001,0.161,1.877,1.154,0.267
1908,0.786,1.443,1.246,1.258,1.775,1.552,0.993,1.561,0.178,0.5050001,0.714,1.051,0.961,0.521,1.229,0.181,,1.491,0.396
1907,1.026,1.431,1.253,1.416,1.967,1.728,1.019,1.616,0.283,0.611,0.757,1.119,0.873,0.517,1.048,0.158,,1.451,0.376
1906,0.953,1.362,1.01,1.214,1.915,1.482,0.868,1.32,0.274,0.485,0.56,0.6070001,0.76,0.291,0.751,0.236,,1.134,0.423
1905,1.526,1.601,1.119,1.613,2.47,2.109,1.061,1.854,0.39,0.824,0.704,0.781,0.8560001,0.612,1.152,0.226,,1.666,0.498
1904,1.752,1.878,1.288,1.602,2.325,1.84,1.207,1.741,0.24,0.894,0.61,0.8600001,1.053,0.802,1.389,0.202,,1.681,0.604
1903,1.137,1.713,1.237,1.513,2.015,2.003,1.107,1.504,0.195,0.543,0.558,0.682,0.648,0.604,0.68,0.165,,1.377,0.216
1902,1.066,1.413,1.142,1.33,1.756,1.365,0.995,1.139,0.264,0.542,0.741,0.716,0.73,0.666,0.841,0.234,,1.329,0.326
1901,1.029,1.748,1.254,1.463,1.727,1.46,1.184,1.018,0.29,0.873,0.727,0.9390001,0.812,0.795,0.898,0.216,,1.301,0.346
1900,1.109,1.749,1.111,1.383,1.715,1.365,1.016,1.118,0.319,0.745,0.546,0.817,0.771,0.557,0.741,0.211,,1.2,0.379
1899,0.59,0.771,0.247,0.855,0.839,0.917,0.478,0.708,0.131,0.334,0.285,0.554,0.228,0.383,0.346,0.128,,0.513,0.163
1898,1.148,1.626,1.299,1.379,2.016,1.975,1.103,1.444,0.202,0.564,0.627,0.976,0.979,0.646,0.995,0.266,,0.912,0.497
1897,1.095,1.484,1.138,0.996,2.182,1.685,1.05,1.562,0.206,0.46,0.675,0.8890001,0.92,0.688,0.9720001,0.207,,0.802,0.37
1896,0.9350001,1.126,0.636,1.12,1.516,1.505,0.907,1.513,0.103,0.252,0.475,0.734,0.669,0.753,0.805,0.204,,0.494,0.301
1895,1.164,1.505,1.064,1.13,2.031,1.7,1.221,1.247,0.152,0.437,0.669,0.853,0.97,0.754,1.106,0.219,,0.507,0.363
1894,1.226,1.485,0.654,0.652,1.218,0.932,0.763,1.035,0.232,0.18,0.253,0.66,0.682,0.47,0.771,0.104,,0.337,0.247
1893,1.288,1.328,0.663,0.882,1.332,0.83,0.787,1.38,0.223,0.173,0.348,0.661,0.41,0.448,0.68,0.139,,0.49,0.236
1892,1.167,1.403,0.455,1.065,1.501,0.767,0.474,1.6,0.195,0.416,0.424,0.652,0.226,0.3,0.514,0.141,,0.247,0.219
1891,1.045,1.33,0.508,1.179,0.891,0.756,0.829,2.139,0.201,0.647,0.591,0.46,0.247,0.314,0.437,0.19,,0.146,0.161
1890,1.096,1.494,0.787,0.913,1.294,1.227,1.065,1.397,0.303,0.503,0.57,0.705,0.816,0.516,0.519,0.136,,0.675,0.244
1889,1.82,2.23,1.315,1.383,3.201,2.144,1.08,2.127,0.315,0.4,0.741,1.267,1.36,0.483,1.11,0.22,,1.483,0.295
1888,1.492,1.703,0.904,1.088,1.947,2.064,0.913,1.416,0.37,0.419,0.636,0.837,1.204,0.699,0.905,0.163,,1.116,0.354
1887,1.415,1.015,0.736,0.909,1.796,0.773,1.009,1.604,0.276,0.333,0.565,0.675,0.793,0.526,0.527,0.139,,0.739,0.189
1886,1.385,1.182,0.809,1.099,3.154,2.808,1.302,2.434,0.475,0.478,0.73,0.878,1.311,0.627,0.506,0.27,,1.164,0.421
1885,1.407,1.337,1.162,1.199,2.36,1.605,1.226,1.579,0.451,0.333,0.777,0.895,1.224,0.497,0.355,0.186,,1.27,0.384
1884,1.241,1.201,0.98,1.066,2.052,1.732,1.165,1.457,0.441,0.291,0.706,0.859,1.105,0.707,0.335,0.232,,0.91,0.445
1883,1.744,1.308,1.158,1.052,2.175,1.56,1.283,1.615,0.508,0.229,0.6,0.99,1.342,0.788,0.431,0.185,,0.868,0.497
1882,1.237,1.2,0.8470001,0.735,1.191,0.716,0.858,0.659,0.775,0.124,0.307,0.645,0.838,0.56,0.388,0.213,,0.46,0.347
1881,1.279,1.602,1.174,0.737,1.89,1.137,0.994,,0.7090001,0.228,0.475,0.599,0.748,0.473,0.469,0.136,,0.602,0.331
1880,0.864,0.813,0.475,0.529,1.103,0.338,0.549,,0.547,0.228,0.335,0.534,0.426,0.353,0.343,0.078,,0.347,0.17
