Year,P01,P02,P03,P11,P12,P13,P14,P15,P16,P18,P19,P41,P04,P05,P06,P07,P08,P09,P10,P17
1977,1.155,3.021,2.924,0.422,2.1,2.156,1.223,2.225,3.209,1.172,3.309,1.164,1.83,2.069,1.004,0.568,0.863,0.784,0.869,1.498
1976,0.677,1.959,1.966,0.31,1.73,1.635,0.758,1.352,1.811,0.8800001,2.067,0.821,1.244,1.327,0.585,0.316,0.439,0.53,0.659,0.943
1975,0.749,1.922,2.283,0.279,1.32,1.4,0.809,1.453,1.937,0.8520001,1.686,0.881,1.25,1.37,0.62,0.341,0.488,0.565,0.621,1.125
1974,0.759,1.71,1.658,0.257,1.302,1.098,0.521,1.048,1.411,0.578,1.799,0.673,1.314,0.9350001,0.558,0.292,0.458,0.446,0.585,0.807
1973,1.122,2.243,2.947,0.287,2.966,1.863,1.023,2.493,2.204,1.308,3.835,1.443,2.037,2.267,0.915,0.51,0.694,0.726,0.733,2.249
1972,0.895,1.776,1.901,0.183,1.729,1.269,0.699,1.413,1.123,1.089,2.109,0.686,1.417,1.412,0.675,0.369,0.484,0.413,0.384,0.78
1971,1.055,2.289,2.473,0.235,2.377,1.616,1.171,1.254,1.815,0.882,2.036,0.794,1.42,0.983,0.707,0.355,0.547,0.591,0.57,0.858
1970,1.35,2.501,2.606,0.274,3.231,1.466,1.144,1.723,2.848,1.123,2.496,0.961,1.569,1.423,0.866,0.544,0.729,0.695,0.634,1.212
1969,1.614,2.835,1.939,0.27,2.977,1.405,1.181,1.715,2.808,1.226,2.401,0.784,1.631,1.502,0.9720001,0.613,0.758,0.689,0.686,1.091
1968,1.581,3.175,3.792,0.225,3.573,2.352,1.59,2.673,3.401,1.752,3.348,1.221,1.888,1.847,1.061,0.808,1.076,0.848,0.829,2.208
1967,1.741,3.031,2.92,0.198,3.165,2.061,1.192,1.945,2.653,1.338,2.761,0.859,1.953,2.126,1.052,0.781,0.819,0.773,0.721,1.733
1966,2.101,3.231,2.887,0.214,3.787,2.252,1.661,2.276,2.856,1.454,3.136,1.138,1.852,2.178,1.254,0.796,0.992,0.683,0.627,1.745
1965,1.409,3.097,2.514,0.203,2.958,2.31,1.586,1.847,2.5,1.199,2.357,1.16,1.469,2.234,0.823,0.729,0.637,0.546,0.517,1.459
1964,1.113,2.45,1.895,0.132,2.183,1.58,0.8470001,1.501,1.718,0.819,1.613,0.475,1.353,1.276,0.861,0.586,0.49,0.472,0.543,0.626
1963,1.654,3.623,3.054,0.203,3.945,2.408,1.332,2.669,3.03,1.536,2.579,1.049,1.569,1.541,0.987,0.97,0.913,0.883,0.797,1.485
1962,1.192,3.08,1.777,0.17,1.174,2.206,1.249,2.158,2.136,1.681,2.847,1.037,1.297,1.197,0.961,0.591,0.726,0.743,0.659,1.441
1961,1.481,3.572,1.751,0.177,3.238,2.288,1.532,2.517,2.347,1.751,3.259,1.001,1.263,1.61,1.022,0.859,0.8010001,0.839,0.652,1.423
1960,1.819,4.956,3.047,0.288,4.701,3.736,2.084,2.924,2.932,2.521,4.12,1.789,1.518,2.023,1.147,0.965,1.063,1.312,0.865,2.178
1959,1.25,2.893,2.406,0.272,3.468,2.527,1.409,1.947,1.877,1.5,2.376,1.405,1.059,1.468,0.71,0.7320001,0.71,0.821,0.507,1.764
1958,1.652,2.646,2.482,0.419,3.001,2.319,1.777,2.353,2.173,1.475,2.448,1.538,1.553,2.009,1.022,0.869,0.7320001,0.916,0.762,1.945
1957,1.622,2.207,2.078,0.415,4.309,1.721,1.471,1.699,1.983,1.214,1.959,0.819,1.378,1.291,0.858,0.901,0.688,0.79,0.733,1.38
1956,1.331,2.303,1.779,0.27,2.766,1.435,1.147,1.38,1.476,1.255,2.002,0.736,1.254,0.894,0.749,0.376,0.456,0.565,0.556,0.8340001
1955,1.614,2.102,1.853,0.405,2.146,2.054,1.363,1.485,1.749,1.633,2.462,0.99,1.359,1.708,0.8520001,0.548,0.534,0.851,0.625,1.021
1954,1.25,2.073,1.672,0.263,2.12,1.935,0.92,1.247,1.533,1.075,1.734,0.637,1.115,1.121,0.753,0.506,0.365,0.533,0.471,0.654
1953,1.614,2.833,2.14,0.338,2.888,1.954,1.343,1.552,1.86,1.51,2.674,1.036,1.226,1.414,0.729,0.685,0.482,0.695,0.478,0.951
1952,2.137,3.693,2.413,0.376,,2.095,1.375,1.692,1.92,1.655,3.491,1.89,1.728,1.876,0.818,0.916,0.695,1.073,0.636,1.664
1951,2.19,3.605,2.403,0.455,,2.789,1.766,1.745,2.102,1.892,3.511,2.043,1.926,1.966,0.923,0.932,0.77,1.22,0.734,1.943
1950,2.161,2.755,1.914,0.498,,1.996,1.406,1.428,1.321,1.626,2.585,1.457,1.703,1.868,0.873,1.05,0.529,1.062,0.565,1.403
1949,1.887,2.943,1.763,0.502,,1.801,1.465,1.442,1.335,1.588,2.192,0.97,1.702,1.792,0.835,0.859,0.611,1.11,0.661,1.061
1948,1.974,3.12,2.188,0.656,,2.086,1.887,1.402,1.826,1.725,2.611,1.418,1.821,1.845,1.01,1.076,0.8060001,1.315,0.831,1.304
1947,1.837,3.257,1.75,0.408,,1.441,0.94,1.108,1.651,1.46,2.204,0.951,1.491,1.35,0.809,0.8060001,0.476,1.108,0.689,0.655
1946,1.967,2.755,2.046,0.462,,1.882,1.46,1.203,1.441,1.622,2.456,1.453,1.631,1.565,0.8010001,0.777,0.597,1.383,0.821,1.138
1945,2.685,3.855,2.472,0.79,,2.231,2.013,1.188,1.908,2.119,3.383,1.81,2.031,1.318,1.153,0.936,0.928,1.551,1.118,1.973
1944,2.327,3.121,2.126,0.785,,2.156,1.968,1.32,1.909,2.008,3.491,1.488,2.108,1.41,1.256,1.07,0.957,1.512,1.18,1.659
1943,1.808,2.241,1.744,0.812,,1.874,2.049,0.988,1.483,1.684,2.64,1.524,1.826,0.994,0.974,0.524,0.657,1.173,0.928,1.206
1942,2.882,2.968,2.615,0.957,,2.455,2.472,1.299,1.68,2.39,3.732,2.215,1.879,1.137,0.951,0.811,0.794,1.4,1.159,1.787
1941,2.702,3.678,2.832,0.716,,2.795,2.291,1.455,1.984,2.109,3.922,2.03,2.265,1.409,1.056,0.866,0.973,1.335,1.138,1.683
1940,3.143,3.55,2.06,0.753,,2.499,2.423,1.508,1.632,2.164,3.888,1.472,2.203,1.395,1.186,0.796,1.045,1.238,1.056,1.976
1939,2.417,3.45,1.734,0.429,,2.22,1.745,1.751,1.393,1.938,3.149,1.564,1.798,1.588,0.9260001,0.668,0.677,1.115,0.746,1.601
1938,2.844,3.55,2.162,0.529,,2.164,2.096,1.528,1.381,2.127,3.549,1.81,1.785,1.681,1.048,0.666,0.771,1.116,0.719,1.706
1937,2.359,3.374,1.652,0.518,,2.027,1.714,1.378,1.31,2.016,3.141,1.305,1.652,1.605,0.848,0.725,0.739,0.8470001,0.622,1.279
1936,2.309,3.262,1.392,0.57,,1.795,1.648,1.483,1.391,1.855,3.515,1.577,1.852,1.864,0.791,0.675,0.743,0.85,0.682,1.333
1935,1.739,2.799,1.051,0.944,,2.003,2.061,1.351,1.339,1.815,3.617,1.531,2.369,1.745,0.903,0.694,0.817,1.048,0.916,1.79
1934,3.344,3.711,1.228,0.8850001,,2.529,1.692,1.722,1.473,1.755,5.126,1.401,2.774,1.973,0.791,0.861,0.859,1.127,0.979,1.782
1933,3.271,3.109,0.879,0.771,,2.143,1.503,1.719,0.863,1.62,2.882,1.6,2.485,1.457,0.663,0.609,0.697,1.115,0.784,1.265
1932,2.515,1.817,0.812,0.458,,1.407,1.358,1.052,0.784,1.336,2.389,1.273,1.979,1.132,0.531,0.544,0.529,0.811,0.563,0.964
1931,2.161,2.953,1.795,0.663,,1.803,2.041,1.296,1.597,1.656,,1.389,2.636,1.47,0.649,0.818,0.817,1.072,0.78,1.697
1930,,2.608,1.755,0.619,,1.881,1.994,1.565,1.756,2.131,,1.997,2.693,1.56,0.724,0.8010001,0.903,1.167,0.849,2.378
1929,,2.57,1.655,0.596,,1.984,2.166,1.276,1.757,1.962,,2.079,2.435,1.56,0.697,0.613,0.773,1.048,0.614,2.024
1928,,2.523,1.466,0.578,,2.32,1.751,1.144,1.78,1.625,,2.231,2.542,1.477,0.636,0.762,0.817,0.779,0.593,1.631
1927,,1.805,1.165,0.391,,1.853,1.205,1.446,0.9720001,1.295,,1.823,2.678,1.288,0.491,0.557,0.601,0.967,0.406,1.353
1926,,,1.534,0.642,,2.258,1.97,1.396,1.34,1.941,,2.267,3.109,1.833,0.64,0.777,0.844,1.165,0.521,2.064
1925,,,1.244,0.7550001,,1.638,1.585,1.108,1.04,1.837,,1.739,2.535,1.495,0.57,0.549,0.686,1.26,0.472,2.173
1924,,,1.523,1.097,,2.243,1.738,1.096,1.188,1.559,,2.261,2.313,1.522,0.68,0.722,0.964,1.181,0.65,2.674
1923,,,1.107,1.025,,2.315,1.825,1.358,0.706,1.346,,1.11,2.307,1.71,0.585,0.572,0.74,1.148,0.6300001,1.979
1922,,,1.326,1.158,,1.883,1.476,1.423,0.929,1.892,,2.267,2.595,1.939,0.781,0.744,0.9720001,1.341,0.715,1.633
1921,,,0.779,0.561,,1.228,1.125,1.307,0.342,1.251,,1.551,2.441,1.384,0.522,0.598,0.566,0.839,0.455,0.998
1920,,,1.948,1.353,,2.547,1.654,1.581,0.402,2.063,,2.05,2.933,2.123,0.752,0.93,1.124,1.157,0.751,1.455
1919,,,1.21,0.74,,2.231,1.58,1.51,0.141,1.809,,2.048,2.673,1.878,0.688,0.521,0.857,1.293,0.617,0.865
1918,,,1.097,0.674,,1.709,1.484,1.62,0.403,1.45,,1.877,2.692,2.285,0.765,0.734,1.042,1.197,0.637,1.354
1917,,,0.57,0.48,,0.941,1.161,1.169,0.323,1.018,,1.478,2.772,1.555,0.575,0.536,0.5510001,0.739,0.44,0.844
1916,,,0.498,0.287,,1.356,0.9590001,0.749,0.242,0.72,,0.784,1.992,0.868,0.358,0.378,0.414,0.546,0.395,0.572
1915,,,2.1,0.668,,2.677,1.827,1.172,0.929,1.5,,2.531,3.221,1.921,0.708,0.937,0.844,1.01,0.739,2.04
1914,,,1.229,0.685,,2.526,1.675,1.733,0.707,1.227,,2.838,3.317,2.162,0.868,0.958,0.875,1.344,0.717,2.269
1913,,,0.688,0.561,,1.377,1.796,1.107,0.642,1.016,,1.819,2.709,1.633,0.717,0.66,0.634,1.056,0.489,1.255
1912,,,0.725,0.574,,1.921,1.815,1.463,0.798,1.1,,1.872,2.517,1.761,0.635,0.737,0.602,1.012,0.573,1.189
1911,,,1.319,0.741,,2.211,2.527,1.821,0.361,1.122,,2.149,2.975,1.877,1.05,0.769,0.871,1.28,0.714,1.743
1910,,,,0.474,,2.098,1.646,1.789,0.788,1.015,,1.889,1.714,1.773,0.892,0.697,0.66,0.9720001,0.57,1.148
1909,,,,0.496,,0.9220001,1.48,1.494,0.472,1.101,,1.094,1.597,1.228,0.674,0.669,0.532,0.751,0.468,0.224
1908,,,,1.007,,1.87,2.381,1.855,0.448,1.376,,1.987,1.799,1.819,0.8060001,0.658,0.619,1.245,0.697,1.984
1907,,,,0.951,,2.095,2.354,1.506,0.955,1.122,,1.723,1.571,1.886,0.914,0.753,0.606,1.33,0.739,1.586
1906,,,,0.803,,1.938,2.353,2.038,1.495,1.227,,1.263,1.146,1.853,0.979,0.718,0.643,1.45,0.758,1.081
1905,,,,0.836,,1.754,2.468,1.88,0.923,0.899,,1.383,1.707,2.035,0.892,0.868,0.662,1.301,0.731,0.982
1904,,,,0.945,,1.85,2.704,1.468,1.141,1.153,,1.188,2.005,2.101,0.854,0.73,0.512,1.383,0.744,1.448
1903,,,,0.583,,1.399,1.73,1.149,,1.037,,1.218,1.891,1.233,0.784,0.658,0.391,0.937,0.531,0.829
1902,,,,0.76,,,2.096,1.347,,1.27,,1.279,1.757,1.583,1.045,0.913,0.682,1.031,0.699,1.265
1901,,,,0.82,,,2.337,1.391,,1.291,,1.63,1.864,1.602,0.915,0.923,0.643,1.398,0.795,2.226
1900,,,,0.615,,,1.828,1.222,,1.354,,1.132,1.726,1.917,0.965,0.9520001,0.571,1.185,0.724,1.611
1899,,,,0.448,,,1.143,0.672,,1.312,,0.899,1.362,0.98,0.5840001,0.426,0.381,0.545,0.396,0.139
1898,,,,0.606,,,1.928,1.322,,1.756,,1.147,2.762,1.431,1.288,0.9310001,0.618,0.782,0.613,1.891
1897,,,,0.348,,,1.869,1.207,,1.374,,1.204,2.234,1.374,1.276,1.129,0.539,1.115,0.545,1.524
1896,,,,0.465,,,2.068,0.868,,1.604,,1.124,2.031,1.296,1.367,0.791,0.642,1.223,0.539,1.341
1895,,,,0.614,,,2.3,1.022,,1.599,,0.938,2.156,1.581,1.133,1.157,0.725,1.407,0.693,1.454
1894,,,,0.465,,,1.654,0.383,,1.357,,0.788,1.543,1.246,0.524,0.573,0.379,0.8430001,0.392,0.72
1893,,,,0.31,,,1.937,0.35,,1.503,,0.982,1.614,1.235,0.743,0.737,0.451,0.789,0.416,0.979
1892,,,,0.376,,,2.148,0.497,,1.456,,0.909,1.662,1.447,0.748,0.746,0.495,0.936,0.53,1.285
1891,,,,0.454,,,2.818,0.683,,1.539,,1.387,2.249,1.759,1.089,1.104,0.79,1.001,0.894,1.662
1890,,,,0.601,,,2.492,0.8850001,,1.581,,1.364,2.398,1.891,1.011,1.052,0.601,0.879,0.694,1.217
1889,,,,0.599,,,2.488,0.632,,1.559,,1.113,3.081,2.242,0.9,0.912,0.597,0.805,0.725,1.108
1888,,,,0.652,,,1.698,0.465,,0.987,,0.927,2.158,1.629,0.888,0.928,0.571,0.8270001,0.605,0.982
1887,,,,0.683,,,2.164,0.392,,1.214,,1.08,2.836,1.371,0.769,0.704,0.659,0.717,0.64,0.891
1886,,,,1.081,,,2.542,0.684,,2.032,,1.487,2.578,1.658,1.097,0.789,0.833,1.108,0.907,1.276
1885,,,,0.744,,,1.934,0.588,,1.806,,1.453,2.18,1.646,1.009,0.907,0.73,0.971,0.8140001,1.547
1884,,,,0.632,,,1.694,0.497,,1.876,,1.249,1.594,1.352,0.686,0.612,0.57,0.733,0.707,0.781
1883,,,,0.55,,,2.414,0.468,,1.974,,1.17,1.125,1.685,0.913,0.704,0.662,0.872,0.782,0.7
1882,,,,0.459,,,2.486,0.292,,1.825,,1,1.171,0.945,0.774,0.789,0.611,0.799,0.647,0.516
1881,,,,0.32,,,1.602,0.291,,1.395,,0.891,1.52,1.503,0.69,0.682,0.365,0.523,0.573,0.497
1880,,,,0.281,,,1.495,0.276,,1.398,,0.752,2.197,1.028,0.712,0.507,0.404,0.472,0.563,0.474
