Year,P141,P143,P145,P146,P147,P148,P092,P133,P135,P139
1987,2.748,3.24,0.903,2.081,0.439,1.582,1.962,0.599,1.26,0.791
1986,2.27,3.108,0.8430001,1.631,0.383,1.453,1.533,0.547,1.356,0.626
1985,2.632,3.173,0.716,1.745,0.527,1.587,1.417,0.822,1.366,0.666
1984,2.85,3.043,0.552,2.074,0.383,1.252,0.879,0.875,1.306,0.467
1983,1.734,2.248,0.369,1.422,0.261,0.759,1.119,0.7,1.114,0.375
1982,2.031,2.58,0.577,1.776,0.4,0.857,1.284,0.864,1.17,0.502
1981,2.653,3.353,0.866,2.033,0.379,1.514,1.92,0.668,1.359,0.759
1980,2.024,2.506,0.789,1.653,0.313,1.011,1.104,0.686,0.873,0.674
1979,2.045,2.787,1.088,1.804,0.41,1.219,1.488,0.724,1.325,0.833
1978,1.773,2.608,0.897,1.446,0.315,1.219,1.343,0.648,1.419,0.54
1977,2.51,2.837,1.243,1.387,0.518,1.688,1.446,1.166,1.596,1.102
1976,1.889,2.362,1.065,0.965,0.406,1.232,0.7,0.886,1.348,0.58
1975,2.117,2.369,0.651,1.189,0.344,1.11,0.745,1.078,1.516,0.858
1974,1.603,2.194,0.517,1.06,0.283,0.896,0.412,0.9850001,1.398,0.45
1973,1.916,2.282,0.656,1.328,0.421,1.276,1.037,0.858,1.33,0.599
1972,1.957,2.54,0.683,1.412,0.427,1.173,0.739,0.949,1.751,0.431
1971,2.346,2.927,0.77,2.203,0.506,1.386,0.844,1.005,1.771,0.776
1970,2.679,3.116,0.8890001,2.563,0.558,1.231,1.482,1.248,2.368,1.044
1969,2.686,3.007,1.006,2.612,0.729,0.975,1.727,1.231,2.076,0.862
1968,2.831,2.91,0.851,2.294,0.56,1.093,1.727,1.153,1.925,1.082
1967,3.101,3.285,1.067,2.883,0.75,1.268,1.335,1.394,1.926,1.132
1966,2.994,2.924,1.138,2.453,0.782,1.283,1.617,1.124,1.409,1.015
1965,2.896,3.056,1.106,2.425,0.821,1.143,1.367,1.213,1.509,0.899
1964,2.346,3.124,1.148,2.171,0.75,0.9260001,1.079,1.118,1.627,0.674
1963,2.207,3.826,1.263,2.325,0.867,1.111,1.619,1.193,1.589,0.661
1962,1.785,2.793,1.086,2.322,0.8340001,1.051,1.024,1.35,1.471,0.6300001
1961,1.705,2.832,0.898,2.473,0.75,0.874,0.7550001,1.296,1.543,0.685
1960,1.959,3.045,1.092,3,0.94,1.115,1.044,1.116,1.545,0.793
1959,1.05,2.485,0.879,2.215,0.706,0.8060001,0.395,0.7090001,1.37,0.69
1958,2.851,2.907,1.555,3.04,1.357,1.57,0.776,1.031,1.782,1.2
1957,2.259,2.225,1.216,2.144,1.046,0.96,0.746,0.886,1.337,0.689
1956,2.367,1.227,1.066,1.633,0.986,1.005,0.554,0.819,1.08,0.723
1955,3.554,2.162,1.347,2.469,1.284,1.295,0.848,1.401,1.424,1.107
1954,2.236,1.557,1.231,2.289,1.297,1.249,0.738,1.17,1.248,0.672
1953,2.459,1.496,1.406,2.851,1.138,1.158,1.203,0.94,1.768,0.824
1952,2.524,1.537,1.63,2.858,1.505,1.425,1.405,1.11,1.741,1.116
1951,2.137,1.386,1.499,2.911,1.419,1.43,1.072,1.074,1.134,0.865
1950,2.368,1.318,1.985,3.857,1.631,1.839,0.693,1.612,1.798,1.032
1949,2.386,1.011,1.709,3.264,1.409,1.475,0.665,1.617,0.792,1.085
1948,2.258,2.152,1.892,3.708,1.735,1.821,0.573,2.189,1.847,1.081
1947,2.394,1.702,1.413,3.297,0.987,1.122,0.745,1.458,1.022,0.589
1946,1.971,1.761,1.641,3.211,1.157,1.438,0.569,1.62,1.685,0.832
1945,2.56,1.682,2.297,4.659,1.471,1.993,1.008,1.748,1.472,1.344
1944,,,2.418,,1.568,1.863,0.854,1.492,1.858,1.138
1943,,,2.048,,1.509,1.144,0.909,1.196,1.561,0.97
1942,,,2.059,,1.548,1.394,0.679,1.394,1.54,1.112
1941,,,2.497,,1.752,1.835,,1.278,1.75,1.043
1940,,,2.787,,2.187,1.988,,1.164,1.664,0.861
1939,,,2.44,,1.36,2.082,,1.06,1.419,0.863
1938,,,2.559,,1.613,2.157,,1.383,1.317,1.018
1937,,,2.273,,1.658,1.767,,1.082,1.686,1.208
1936,,,2.232,,1.502,1.563,,0.785,1.138,0.791
1935,,,2.526,,1.576,1.662,,0.809,1.088,0.775
1934,,,2.676,,1.987,1.603,,1.137,1.096,0.654
1933,,,2.327,,2.315,1.766,,1.661,1.134,1.018
1932,,,2.509,,3.119,1.478,,1.224,1.537,0.899
1931,,,3.012,,3.845,1.666,,0.886,1.517,1.289
1930,,,2.746,,3.17,1.718,,0.749,1.495,1.241
1929,,,2.463,,2.97,1.578,,0.808,1.705,1.608
1928,,,2.789,,2.23,1.522,,1.023,,1.181
1927,,,2.338,,2.824,1.491,,1.177,,0.928
1926,,,1.901,,2.904,1.413,,1.016,,0.9390001
1925,,,2.203,,2.092,1.661,,0.725,,1.017
1924,,,2.491,,1.637,1.853,,0.493,,0.929
1923,,,2.233,,1.428,1.737,,0.587,,0.71
1922,,,2.588,,1.388,2.031,,0.8340001,,1.166
1921,,,2.715,,1.607,1.546,,0.714,,0.816
1920,,,2.733,,1.984,2.099,,0.82,,0.795
1919,,,2.75,,1.923,1.823,,0.579,,0.57
1918,,,2.851,,1.922,1.771,,0.771,,0.978
1917,,,2.75,,2.423,1.991,,1.296,,1.396
1916,,,2.243,,1.975,1.54,,0.9810001,,0.995
1915,,,2.67,,1.837,2.444,,0.697,,1.211
1914,,,2.708,,2.558,1.745,,0.831,,1.047
1913,,,2.902,,2.356,1.863,,0.853,,0.789
1912,,,2.861,,2.151,2.115,,0.8100001,,0.563
1911,,,2.714,,2.201,2.304,,0.8270001,,0.628
1910,,,2.594,,0.9350001,2.008,,0.487,,0.281
1909,,,3.23,,2.221,,,1.327,,0.646
1908,,,2.933,,2.517,,,1.617,,0.611
1907,,,2.89,,2.913,,,1.031,,0.694
1906,,,3.3,,3.036,,,0.499,,1.267
1905,,,2.861,,2.585,,,0.647,,1.071
1904,,,2.654,,2.547,,,0.744,,0.728
1903,,,2.357,,2.505,,,0.535,,0.969
1902,,,1.951,,2.447,,,0.642,,1.008
1901,,,,,2.808,,,0.899,,1.289
1900,,,,,2.455,,,0.942,,0.805
1899,,,,,1.981,,,0.569,,0.352
1898,,,,,2.853,,,0.437,,0.8010001
1897,,,,,3.589,,,0.396,,0.848
1896,,,,,5.748,,,0.326,,0.875
1895,,,,,,,,0.242,,0.828
1894,,,,,,,,0.899,,0.296
1893,,,,,,,,0.747,,0.426
1892,,,,,,,,0.946,,0.413
1891,,,,,,,,,,0.401
1890,,,,,,,,,,0.606
1889,,,,,,,,,,0.496
1888,,,,,,,,,,0.637
1887,,,,,,,,,,0.562
1886,,,,,,,,,,0.487
1885,,,,,,,,,,0.425
1884,,,,,,,,,,0.35
1883,,,,,,,,,,0.332
1882,,,,,,,,,,0.223
1881,,,,,,,,,,0.19
1880,,,,,,,,,,0.364
