Year,Q02,Q96,Q20,Q22,Q23,Q31,Q33,Q35,Q68,Q71,Q75,Q76,Q77,Q37,Q39,Q41,Q43,Q50,Q46
1981,0.503,1.152,0.416,0.478,0.299,0.232,0.858,0.182,0.234,0.597,0.581,1.323,0.531,0.595,0.249,0.228,0.377,0.595,0.164
1980,0.478,1.229,0.424,0.493,0.291,0.27,0.791,0.227,0.238,0.598,0.515,1.236,0.567,0.522,0.257,0.25,0.269,0.555,0.162
1979,0.515,1.235,0.429,0.564,0.321,0.274,0.721,0.219,0.274,0.601,0.536,1.334,0.561,0.538,0.223,0.25,0.262,0.513,0.126
1978,0.406,1.025,0.397,0.427,0.283,0.221,0.698,0.194,0.264,0.545,0.533,1.124,0.508,0.483,0.212,0.178,0.256,0.512,0.201
1977,0.543,1.034,0.538,0.559,0.33,0.211,1.03,0.248,0.273,0.6,0.575,1.133,0.54,0.618,0.227,0.24,0.314,0.725,0.255
1976,0.493,0.955,0.479,0.46,0.292,0.252,0.845,0.191,0.208,0.519,0.453,0.859,0.518,0.442,0.238,0.211,0.281,0.644,0.16
1975,0.445,1.273,0.543,0.53,0.275,0.185,0.772,0.192,0.205,0.58,0.571,1.002,0.533,0.5280001,0.293,0.21,0.283,0.652,0.119
1974,0.209,0.934,0.325,0.37,0.174,0.14,0.52,0.146,0.193,0.398,0.438,0.601,0.381,0.326,0.126,0.128,0.171,0.51,0.108
1973,0.471,1.126,0.432,0.412,0.228,0.206,0.715,0.194,0.225,0.567,0.55,0.713,0.444,0.458,0.143,0.151,0.25,0.768,0.182
1972,0.567,1.306,0.501,0.425,0.229,0.192,0.687,0.157,0.313,0.681,0.547,1.082,0.542,0.612,0.27,0.212,0.179,0.794,0.117
1971,0.554,1.315,0.533,0.494,0.443,0.355,0.773,0.21,0.324,0.883,0.629,1.201,0.573,0.687,0.387,0.328,0.293,0.8930001,0.151
1970,0.512,1.287,0.5050001,0.452,0.343,0.292,0.8890001,0.217,0.215,0.745,0.548,1.286,0.512,0.729,0.291,0.263,0.317,0.872,0.145
1969,0.507,1.316,0.445,0.404,0.406,0.246,0.986,0.195,0.27,0.822,0.554,1.228,0.577,0.729,0.222,0.215,0.315,0.982,0.169
1968,0.56,1.462,0.435,0.475,0.404,0.265,0.941,0.239,0.339,0.971,0.619,1.195,0.486,0.735,0.221,0.237,0.342,0.974,0.209
1967,0.605,1.865,0.532,0.579,0.417,0.32,0.883,0.233,0.255,0.781,0.669,1.189,0.509,0.674,0.238,0.249,0.277,1.132,0.167
1966,0.643,2.032,0.501,0.563,0.533,0.485,1.031,0.311,0.227,0.942,0.569,1.724,0.498,0.884,0.328,0.253,0.297,1.337,0.22
1965,0.609,1.993,0.593,0.546,0.519,0.595,1.124,0.268,0.27,1.13,0.708,1.468,0.537,0.927,0.468,0.38,0.446,1.638,0.225
1964,0.372,1.265,0.315,0.37,0.293,0.41,0.89,0.148,0.234,0.713,0.456,1.141,0.384,0.611,0.217,0.174,0.218,1.148,0.175
1963,0.624,1.712,0.494,0.595,0.307,0.632,1.213,0.26,0.375,1.084,0.6760001,1.577,0.568,0.854,0.404,0.29,0.368,1.035,0.314
1962,0.67,1.771,0.474,0.545,0.299,0.508,1.198,0.248,0.288,1.071,0.6300001,1.243,0.492,0.8600001,0.365,0.231,0.407,1.111,0.342
1961,0.723,2.24,0.519,0.606,0.256,0.337,1.06,0.227,0.254,1.036,0.773,1.172,0.559,1.035,0.361,0.283,0.409,1.46,0.306
1960,0.782,2.221,0.617,0.552,0.33,0.465,1.123,0.381,0.317,1.42,0.786,1.609,0.595,1.204,0.348,0.493,0.743,1.741,0.365
1959,0.459,1.695,0.426,0.365,0.186,0.329,0.964,0.238,0.303,0.9720001,0.637,1.229,0.433,0.877,0.295,0.316,0.416,1.598,0.309
1958,0.479,1.189,0.405,0.434,0.465,0.351,0.822,0.243,0.28,1.036,0.695,0.913,0.414,0.738,0.304,0.361,0.517,1.877,0.183
1957,0.472,0.907,0.339,0.416,0.407,0.343,0.673,0.188,0.28,0.757,0.379,0.816,0.317,0.458,0.414,0.263,0.373,1.251,0.06600001
1956,0.364,0.946,0.338,0.366,0.176,0.189,0.498,0.18,0.163,0.61,0.312,0.825,0.276,0.48,0.302,0.223,0.421,0.726,0.117
1955,0.499,1.197,0.422,0.482,0.235,0.215,1.14,0.193,0.354,0.93,0.485,1.608,0.404,0.514,0.25,0.263,0.39,1.045,0.107
1954,0.409,1.008,0.374,0.467,0.252,0.195,1.495,0.16,0.133,0.669,0.413,1.487,0.329,0.586,0.282,0.282,0.351,0.845,0.102
1953,0.575,1.112,0.429,0.497,0.411,0.283,1.495,0.236,0.175,0.8890001,0.65,1.078,0.415,0.647,0.263,0.326,0.423,0.898,0.163
1952,0.647,1.112,0.452,0.438,0.436,0.257,1.44,0.279,0.203,0.984,0.675,1.29,0.392,0.713,0.354,0.423,0.556,0.982,0.184
1951,0.472,1.143,0.301,0.432,0.287,0.208,1.405,0.258,0.159,0.804,0.466,1.246,0.323,0.609,0.261,0.41,0.487,1.02,0.148
1950,0.443,1.156,0.311,0.507,0.242,0.219,1.224,0.236,0.158,0.708,0.397,1.339,0.275,0.51,0.308,0.316,0.471,0.9390001,0.127
1949,0.318,1.233,0.294,0.495,0.308,0.212,1.33,0.197,0.138,0.685,0.391,1.121,0.433,0.513,0.284,0.223,0.484,0.911,0.077
1948,0.424,1.038,0.278,0.496,0.289,0.29,1.376,0.166,0.122,0.699,0.478,1.029,0.255,0.468,0.184,0.304,0.42,0.901,0.131
1947,0.444,0.942,0.283,0.504,0.239,0.341,1.296,0.242,0.166,0.786,0.437,1.166,0.262,0.506,0.296,0.333,0.464,0.758,0.162
1946,0.44,1.15,0.303,0.448,0.325,0.38,1.346,0.148,0.173,0.879,0.493,1.713,0.257,0.557,0.279,0.322,0.508,0.839,0.165
1945,0.495,1.215,0.291,0.493,0.305,0.471,1.417,0.191,0.226,0.804,0.513,1.685,0.463,0.642,0.228,0.332,0.581,0.967,0.249
1944,0.514,1.019,0.307,0.519,0.208,0.419,1.22,0.18,0.172,0.565,0.493,1.355,0.233,0.624,0.247,0.302,0.457,0.849,0.211
1943,0.412,1.013,0.234,0.404,0.235,0.347,1.29,0.174,0.168,0.665,0.369,1.355,0.233,0.638,0.24,0.295,0.461,0.753,0.135
1942,0.516,0.991,0.231,0.312,0.342,0.432,1.695,0.155,0.21,0.798,0.494,2.067,0.231,0.731,0.251,0.25,0.489,0.8890001,0.25
1941,0.587,1.015,0.243,0.404,0.402,0.386,1.732,0.179,0.226,0.674,0.476,1.607,0.242,0.783,0.295,0.316,0.555,0.884,0.237
1940,0.585,1.379,0.24,0.3,0.298,0.396,1.496,0.188,0.204,0.688,0.501,1.643,0.205,0.809,0.262,0.291,0.493,1.006,0.276
1939,0.514,1.398,0.243,0.36,0.277,0.463,1.356,0.187,0.219,0.716,0.484,1.692,0.226,0.803,0.313,0.324,0.487,0.965,0.226
1938,0.486,1.447,0.263,0.365,0.196,0.378,1.02,0.172,0.249,0.625,0.446,1.352,0.244,0.826,0.37,0.435,0.5050001,0.898,0.211
1937,0.471,1.236,0.213,0.343,0.158,0.294,0.773,0.151,0.199,0.447,0.346,1.216,0.168,0.589,0.264,0.29,0.314,0.594,0.108
1936,0.33,1.096,0.184,0.306,0.159,0.344,0.685,0.146,0.151,0.466,0.413,1.167,0.139,0.52,0.317,0.204,0.393,0.547,0.133
1935,0.364,1.052,0.175,0.261,0.204,0.396,0.619,0.174,0.145,0.417,0.399,1.258,0.192,0.563,0.267,0.235,0.439,0.616,0.113
1934,0.433,0.951,0.148,0.223,0.196,0.4,0.753,0.135,0.164,0.556,0.406,1.446,0.206,0.562,0.373,0.276,0.414,0.68,0.087
1933,0.378,1.047,0.243,0.275,0.304,0.271,0.742,0.135,0.204,0.492,0.449,1.046,0.231,0.629,0.395,0.281,0.376,0.69,0.107
1932,0.367,0.794,0.22,0.193,0.25,0.28,0.7090001,0.145,0.153,0.482,0.399,1.209,0.248,0.622,0.458,0.194,0.407,0.577,0.123
1931,0.414,0.791,0.207,0.25,0.322,0.283,0.75,0.141,0.19,0.612,0.452,1.396,0.241,0.609,0.367,0.269,0.492,0.613,0.134
1930,0.539,0.956,0.276,0.372,0.36,0.314,0.803,0.116,0.199,0.641,0.487,1.181,0.26,0.647,0.377,0.275,0.476,0.722,0.166
1929,0.494,0.875,0.27,0.469,0.395,0.27,0.699,0.167,0.169,0.534,0.479,1.361,0.301,0.687,0.498,0.324,0.373,0.661,0.125
1928,0.441,0.879,0.247,0.461,0.378,0.257,0.64,0.126,0.171,0.606,0.443,1.238,0.276,0.6760001,0.493,0.323,0.432,0.5510001,0.151
1927,0.42,0.713,0.23,0.426,0.387,0.243,0.496,0.137,0.183,0.568,0.423,1.282,0.294,0.631,0.491,0.265,0.354,0.503,0.146
1926,0.534,0.841,0.276,0.443,0.348,0.233,0.571,0.169,0.15,0.685,0.448,1.447,0.29,0.759,0.543,0.257,0.353,0.634,0.219
1925,0.431,1.056,0.279,0.487,0.388,0.33,0.631,0.225,0.185,0.691,0.511,1.435,0.283,0.69,0.497,0.336,0.394,0.762,0.209
1924,0.54,0.9,0.273,0.524,0.463,0.339,0.671,0.203,0.158,0.752,0.506,1.653,0.268,0.831,0.501,0.264,0.448,0.718,0.173
1923,0.457,0.796,0.274,0.478,0.307,0.229,0.643,0.162,0.136,0.573,0.462,1.443,0.232,0.793,0.452,0.293,0.298,0.8060001,0.146
1922,0.544,0.832,0.294,0.483,0.478,0.22,0.69,0.192,0.188,0.6300001,0.402,1.16,0.323,0.685,0.459,0.308,0.379,0.883,0.141
1921,0.369,0.796,0.234,0.437,0.283,0.178,0.589,0.125,0.155,0.428,0.334,0.921,0.247,0.784,0.389,0.181,0.263,0.626,0.162
1920,0.618,0.994,0.304,0.501,0.395,0.25,0.936,0.18,0.191,0.593,0.546,1.022,0.37,0.874,0.468,0.338,0.458,0.9020001,0.204
1919,0.469,1.104,0.24,0.441,0.33,0.241,0.842,0.161,0.167,0.472,0.435,0.934,0.328,0.886,0.509,0.318,0.307,0.908,0.182
1918,0.506,0.879,0.29,0.412,0.384,0.276,0.764,0.182,0.167,0.487,0.414,1.067,0.316,0.841,0.489,0.32,0.401,1.001,0.177
1917,0.406,0.956,0.243,0.344,0.411,0.191,0.8140001,0.152,0.169,0.441,0.404,0.9680001,0.355,0.844,0.391,0.254,0.372,0.876,0.149
1916,0.256,0.72,0.167,0.279,0.262,0.127,0.79,0.097,0.119,0.332,0.211,0.538,0.273,0.77,0.537,0.182,0.202,0.611,0.139
1915,0.563,1.356,0.267,0.436,0.42,0.285,1.148,0.187,0.192,0.523,0.464,1.193,0.396,0.918,0.699,0.324,0.413,1.115,0.261
1914,0.506,0.97,0.316,0.504,0.398,0.295,1.136,0.194,0.215,0.625,0.472,0.973,0.391,0.946,0.644,0.392,0.431,1.068,0.261
1913,0.242,0.785,0.302,0.38,0.212,0.227,0.846,0.145,0.207,0.445,0.382,0.678,0.31,0.71,0.597,0.273,0.325,0.619,0.229
1912,0.442,0.803,0.326,0.495,0.381,0.253,0.888,0.172,0.209,0.59,0.46,0.762,0.406,0.8800001,0.654,0.402,0.345,0.671,0.238
1911,0.491,0.747,0.344,0.414,0.402,0.283,0.842,0.175,0.212,0.605,0.394,0.887,0.425,0.855,0.518,0.396,0.357,0.7780001,0.299
1910,0.556,0.997,0.372,0.489,0.445,0.281,0.989,0.212,0.198,0.746,0.426,1.035,0.481,0.878,0.651,0.421,0.42,0.737,0.334
1909,0.395,0.774,0.352,0.441,0.451,0.193,1.099,0.116,0.152,0.59,0.357,0.93,0.359,0.8430001,0.416,0.265,0.276,0.695,0.35
1908,0.423,1.159,0.317,0.451,0.502,0.242,1.179,0.155,0.189,0.69,0.401,0.989,0.457,0.964,0.604,0.418,0.276,1.011,0.355
1907,0.529,1.047,0.335,0.458,0.502,0.281,1.208,0.143,0.199,0.8520001,0.425,1.339,0.475,1.128,0.697,0.514,0.299,1.092,0.316
1906,0.532,1.198,0.318,0.408,0.558,0.266,0.819,0.179,0.184,0.825,0.428,1.214,0.43,0.918,0.642,0.364,0.371,0.86,0.347
1905,0.614,1.148,0.328,0.447,0.542,0.292,0.934,0.215,0.204,0.79,0.404,0.891,0.458,1.022,0.662,0.429,0.343,0.999,0.366
1904,0.492,1.314,0.377,0.437,0.77,0.275,0.987,0.16,0.222,0.795,0.442,1.122,0.421,1.135,0.591,0.47,0.39,1.334,0.23
1903,0.231,0.835,0.278,0.303,0.302,0.181,0.633,0.093,0.115,0.517,0.27,0.878,0.318,0.762,0.577,0.249,0.192,0.707,0.148
1902,0.331,0.9060001,0.344,0.309,0.306,0.171,0.758,0.139,0.139,0.578,0.297,0.826,0.294,0.954,0.569,0.323,0.279,0.826,0.183
1901,0.154,0.594,0.303,0.288,0.279,0.183,0.629,0.146,0.151,0.556,0.34,0.919,0.331,0.861,0.629,0.322,0.22,0.821,0.183
1900,0.218,0.728,0.232,0.314,0.175,0.142,0.723,0.151,0.111,0.626,0.293,1.019,0.329,0.858,0.614,0.264,0.229,0.735,0.188
1899,0.115,0.508,0.153,0.168,0.126,0.092,0.332,0.098,0.069,0.374,0.193,0.508,0.164,0.669,0.436,0.127,0.129,0.479,0.061
1898,0.162,0.51,0.199,0.27,0.284,0.168,0.571,0.085,0.09,0.464,0.231,0.804,0.282,0.673,0.502,0.233,0.177,0.561,0.127
1897,0.173,0.7780001,0.292,0.284,0.332,0.171,0.648,0.155,0.112,0.641,0.274,0.9850001,0.313,0.803,0.61,0.269,0.213,0.641,0.118
1896,0.133,0.6300001,0.25,0.19,0.205,0.146,0.455,0.07300001,0.135,0.372,0.18,0.797,0.255,0.5510001,0.456,0.23,0.195,0.589,0.097
1895,0.142,0.65,0.235,0.202,0.306,0.147,0.513,0.106,0.117,0.407,0.211,0.766,0.216,0.58,0.407,0.208,0.2,0.553,0.113
1894,0.127,0.452,0.194,0.181,0.191,0.095,0.446,0.124,0.124,0.368,0.152,0.672,0.208,0.592,0.336,0.171,0.184,0.51,0.061
1893,0.176,0.791,0.274,0.211,0.367,0.137,0.556,0.129,0.113,0.521,0.187,0.789,0.329,0.68,0.495,0.262,0.215,0.555,0.117
1892,0.2,0.708,0.258,0.2,0.312,0.158,0.592,0.138,0.119,0.598,0.226,0.934,0.304,0.74,0.468,0.25,0.18,0.817,0.139
1891,0.192,0.727,0.313,0.264,0.431,0.163,0.715,0.158,0.113,0.665,0.354,1.191,0.346,0.749,0.488,0.291,0.189,0.852,0.148
1890,0.253,0.74,0.292,0.261,0.557,0.181,0.794,0.157,0.119,0.5840001,0.36,1.34,0.339,0.846,0.479,0.344,0.196,0.742,0.133
1889,0.286,0.774,0.298,0.242,0.488,0.176,0.703,0.198,0.123,0.716,0.355,1.9,0.377,0.963,0.496,0.326,0.257,0.927,0.144
1888,0.298,0.685,0.405,0.339,0.363,0.177,0.897,0.179,0.121,0.53,0.349,1.573,0.398,0.734,0.524,0.306,0.252,0.826,0.14
1887,0.145,0.691,0.337,0.238,0.289,0.12,0.916,0.12,0.128,0.556,0.274,1.492,0.268,0.714,0.552,0.234,0.147,0.935,0.148
1886,0.222,0.674,0.27,0.251,0.299,0.178,1.052,0.152,0.108,0.572,0.293,1.8,0.246,0.672,0.639,0.307,0.186,0.929,0.159
1885,0.282,0.738,0.247,0.295,0.255,0.156,0.9520001,0.147,0.12,0.529,0.262,1.233,0.217,0.635,0.448,0.286,0.221,0.778,0.107
1884,0.188,1.009,0.19,0.253,0.199,0.125,1.032,0.114,0.12,0.496,0.19,1.183,0.183,0.724,0.531,0.304,0.138,0.993,0.087
1883,0.139,0.726,0.311,0.213,0.252,0.219,1.158,0.133,0.151,0.476,0.153,1.439,0.222,0.9520001,0.581,0.328,0.203,0.881,0.082
1882,0.146,0.785,0.28,0.187,0.166,0.104,0.606,0.114,0.105,0.401,0.127,0.964,0.211,0.54,0.246,0.35,0.144,0.758,0.113
1881,0.235,0.876,0.319,0.211,0.129,0.156,0.594,0.136,0.138,0.472,0.155,1.044,0.256,0.478,0.413,0.463,0.287,0.736,0.092
1880,0.165,0.49,0.176,0.162,0.152,0.09,0.587,0.089,0.115,0.343,0.148,0.701,0.173,0.519,0.43,0.235,0.108,0.693,0.025
