Year,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70
1996,0.516,0.227,0.761,0.567,0.374,0.933,1.192,1.227,1.161,2.312,0.949,0.383,1.844,1.509,0.8890001,0.9810001,1.113,1.632,1.959,1.468
1995,0.376,0.172,0.568,0.356,0.333,0.934,0.82,1.23,1.066,1.8,0.796,0.358,1.573,1.431,0.7090001,0.837,0.79,1.266,1.771,1.258
1994,0.419,0.178,0.608,0.465,0.327,0.785,0.849,1.677,1.126,2.649,0.759,0.322,2.168,1.873,0.761,0.888,0.848,1.263,2.061,1.435
1993,0.29,0.128,0.456,0.338,0.212,0.545,0.642,0.983,0.627,2.152,0.553,0.203,2.128,1.544,0.573,0.56,0.523,1.183,1.533,1.061
1992,0.364,0.15,0.424,0.358,0.274,0.626,0.761,0.9390001,0.923,2.66,0.538,0.24,2.996,1.747,0.609,0.643,0.6,1.321,1.664,1.313
1991,0.362,0.12,0.315,0.384,0.268,0.575,0.682,1.002,0.9,1.828,0.519,0.257,1.871,1.117,0.565,0.516,0.45,1.121,1.396,1.224
1990,0.524,0.175,0.434,0.449,0.341,0.864,0.908,1.319,1.079,2.444,0.668,0.34,2.498,1.612,0.5840001,0.721,0.745,1.369,1.977,1.463
1989,0.233,0.157,0.375,0.378,0.259,0.254,0.566,0.622,0.751,1.653,0.49,0.215,1.714,1.257,0.512,0.464,0.453,1.157,1.625,1.129
1988,0.426,0.167,0.465,0.496,0.304,0.661,0.686,1.071,0.837,1.904,0.589,0.214,1.335,1.041,0.514,0.682,0.601,1.16,1.392,1.199
1987,0.553,0.233,0.471,0.547,0.348,0.711,0.749,1.212,0.891,2.072,0.608,0.302,1.483,1.237,0.558,0.736,0.765,1.543,1.594,1.483
1986,0.458,0.222,0.629,0.693,0.375,0.649,0.894,1.208,0.828,2.202,0.6070001,0.405,1.717,1.403,0.672,0.757,0.888,1.606,2.061,1.529
1985,0.473,0.275,0.692,0.724,0.448,0.804,1.108,1.595,1.057,2.108,0.771,0.637,2.066,1.585,0.756,0.822,0.921,1.657,2.151,1.597
1984,0.469,0.274,0.673,0.6530001,0.404,0.761,1.027,1.652,0.936,2.132,0.766,0.616,2.182,1.53,0.807,0.799,1.077,1.703,1.532,1.55
1983,0.204,0.18,0.479,0.392,0.281,0.419,0.775,0.9850001,0.498,1.799,0.423,0.379,1.687,1.261,0.613,0.596,0.652,1.187,1.2,1.028
1982,0.303,0.211,0.569,0.403,0.371,0.667,0.894,1.27,0.627,1.368,0.553,0.446,1.709,1.288,0.65,0.8,0.508,1.022,1.105,1.032
1981,0.504,0.283,0.638,0.787,0.502,0.973,0.8470001,2.164,0.899,2.408,0.771,0.604,2.703,1.658,0.805,0.983,0.918,1.981,1.784,1.354
1980,0.413,0.208,0.581,0.677,0.431,0.715,0.9850001,1.603,0.82,1.884,0.711,0.517,1.834,1.208,0.715,1.009,0.844,1.542,1.476,1.294
1979,0.38,0.253,0.583,0.663,0.398,0.651,0.817,1.283,0.853,1.884,0.641,0.484,1.928,0.92,0.716,1.009,0.756,1.377,1.321,1.406
1978,0.423,0.288,0.639,0.597,0.395,0.738,0.975,1.434,0.995,1.756,0.726,0.5280001,2.079,1.098,0.819,0.888,0.638,1.29,1.288,1.485
1977,0.659,0.348,0.83,1.058,0.491,0.9770001,1.009,1.414,1.159,2.415,0.8800001,0.568,2.555,1.467,0.928,1.136,0.874,2.185,2.247,1.869
1976,0.499,0.285,0.94,0.702,0.414,1.013,0.804,1.184,0.85,2.16,0.7320001,0.598,1.808,1.46,1.005,0.976,0.774,1.519,1.914,1.648
1975,0.604,0.28,0.845,0.52,0.381,0.863,0.9390001,0.9810001,0.777,1.873,0.669,0.532,1.809,1.469,0.9810001,1.008,0.8600001,1.34,2.541,1.649
1974,0.366,0.194,0.887,0.311,0.376,0.839,0.878,0.745,0.591,1.313,0.639,0.444,1.666,1.391,0.996,0.798,0.537,1.05,2.449,1.336
1973,0.594,0.379,1.026,0.809,0.467,0.99,0.897,1.129,1.024,2.03,0.737,0.594,1.591,1.371,0.793,1.219,0.996,1.504,2.902,1.927
1972,0.394,0.119,0.858,0.496,0.39,0.929,0.761,0.631,0.773,1.619,0.541,0.454,1.226,1.179,0.7090001,0.9350001,0.645,1.026,2.873,1.49
1971,0.515,0.27,1.037,0.555,0.412,1.005,0.957,1.008,0.877,1.368,0.693,0.539,1.371,1.292,0.828,1.159,0.813,1.212,2.103,1.785
1970,0.658,0.354,1.183,0.638,0.557,1.074,1.082,1.165,1.109,1.507,0.831,0.612,1.577,1.434,0.796,0.997,1.023,1.265,1.705,1.898
1969,0.455,0.249,1.075,0.617,0.455,0.864,0.919,1.421,1.169,1.704,0.71,0.498,1.548,1.37,0.77,0.945,0.984,0.941,1.954,1.716
1968,0.678,0.287,1.116,0.745,0.466,0.9,0.934,1.456,1.262,1.843,0.648,0.466,1.516,1.291,0.746,0.937,1.095,1.171,1.855,2.095
1967,0.752,0.332,1.102,0.691,0.469,1.343,1.412,1.423,1.285,1.639,0.714,0.546,1.648,1.23,0.8060001,1.202,1.283,1.176,2.608,2.187
1966,0.752,0.325,1.176,0.8,0.513,1.171,0.965,1.544,1.339,2.054,0.775,0.572,1.895,1.424,0.855,1.116,1.479,1.656,1.998,1.908
1965,0.706,0.402,1.425,0.639,0.61,1.21,1.202,1.456,1.284,2,0.786,0.608,2,1.417,0.838,1.287,1.166,1.444,2.327,2
1964,0.458,0.296,1.337,0.6,0.467,0.988,1.033,1.282,1.068,1.656,0.751,0.545,1.562,1.228,0.675,1.16,1.2,1.335,2.241,1.591
1963,0.522,0.331,1.113,0.795,0.546,0.8890001,1.114,1.509,1.243,1.999,0.697,0.466,1.858,1.181,0.642,1.156,1.331,1.649,2.058,1.889
1962,0.508,0.307,0.969,0.594,0.474,1.036,1.117,1.868,1.326,1.653,0.749,0.51,1.885,1.258,0.746,1.167,1.177,1.45,1.711,1.895
1961,0.525,0.308,1.025,0.561,0.511,0.8850001,1.106,2.416,1.486,1.529,0.603,0.434,1.913,1.214,0.773,1.13,1.096,1.256,1.524,1.587
1960,0.718,0.353,1.054,0.958,0.6,1.167,1.141,2.371,1.44,1.601,0.723,0.599,2.218,1.461,0.8140001,1.473,1.5,1.852,2.283,1.985
1959,0.572,0.297,0.726,0.5280001,0.4,0.868,1.074,1.679,1.716,1.105,0.699,0.456,1.443,1.04,0.632,0.901,1.066,1.242,1.449,1.469
1958,0.8270001,0.367,1.169,0.688,0.616,1.014,1.626,2.47,1.418,1.414,0.865,0.554,1.985,1.404,0.872,1.473,1.702,1.775,2.286,1.915
1957,0.695,0.337,1.232,0.8270001,0.558,0.868,1.106,2.249,1.757,1.568,0.662,0.435,1.32,1.047,0.773,1.151,1.524,1.877,2.35,1.743
1956,0.491,0.376,1.272,0.688,0.57,1.219,1.106,1.933,1.432,1.166,0.797,0.488,1.161,1.044,0.8100001,1.264,1.334,1.739,2.434,1.743
1955,0.602,0.508,1.289,0.8850001,0.509,1.417,1.203,2.168,1.725,1.878,0.8430001,0.64,1.542,1.273,1.082,1.46,1.75,1.68,2.791,2.205
1954,0.34,0.367,1.276,0.616,0.301,1.072,0.982,1.748,1.768,1.898,0.698,0.488,1.311,1.165,0.788,0.901,1.249,1.489,2.457,1.633
1953,0.438,0.306,1.115,0.771,0.354,1.104,1.024,2.791,1.476,1.752,0.705,0.464,1.508,1.169,0.838,0.858,1.681,1.654,1.971,2.121
1952,0.517,0.336,1.2,0.812,0.41,1.191,1.156,3.329,2.04,1.872,0.776,0.636,1.702,1.234,0.792,1.275,2.161,1.623,2.529,2.252
1951,0.42,0.377,1.166,0.769,0.4,1.306,1.276,3.195,2.171,1.837,0.846,0.72,1.552,1.125,0.796,1.423,1.776,1.577,2.766,1.901
1950,0.526,0.42,1.36,0.765,0.444,1.476,1.405,3.053,2.067,1.686,1.007,0.78,1.845,1.079,0.987,1.386,1.856,1.959,4.113,1.996
1949,0.41,0.317,1.193,0.848,0.474,1.362,1.172,2.256,1.942,1.812,0.846,0.612,1.574,0.9390001,0.8560001,1.203,1.684,1.967,3.681,1.879
1948,0.7090001,0.46,1.392,1.265,0.552,1.558,1.034,2.065,1.724,2.17,1.093,0.9680001,1.856,1.42,1.026,1.783,2.105,2.029,3.823,2.24
1947,0.372,0.36,1.179,0.777,0.383,1.316,0.638,1.685,1.711,2.158,0.698,0.865,1.407,1.186,0.768,1.368,1.587,1.717,3.424,1.904
1946,0.439,0.342,1.285,0.8470001,0.404,1.51,0.648,1.627,1.318,2,0.8340001,0.629,1.832,1.279,0.727,1.257,1.669,1.806,3.08,2.264
1945,0.569,0.336,0.9720001,1.158,0.447,1.54,0.788,1.749,1.479,2.175,0.9310001,0.729,1.91,1.428,0.784,1.395,1.811,1.88,2.766,2.858
1944,0.677,0.334,0.923,1.184,0.461,1.472,0.744,1.74,1.52,2.549,0.953,0.738,1.989,1.321,0.725,1.445,1.825,2.089,3.134,2.265
1943,0.466,0.268,0.829,0.854,0.32,1.208,0.867,1.398,1.657,2.011,0.766,0.618,1.797,0.987,0.684,1.274,1.487,1.433,2.337,1.879
1942,0.643,0.308,0.921,1.085,0.459,1.202,1.014,1.301,1.336,1.838,0.825,0.7320001,2.015,1.124,0.737,1.509,1.694,1.687,2.485,2.426
1941,0.637,0.351,0.913,1.158,0.455,1.309,0.971,1.701,1.604,1.945,0.839,0.711,2.019,1.007,0.657,1.467,1.87,2.031,3.137,2.568
1940,0.718,0.293,1.073,0.907,0.395,1.344,0.82,1.802,1.616,1.566,0.862,0.809,2.16,0.941,0.664,1.569,1.81,2.038,4.406,2.313
1939,0.608,0.33,1.092,0.979,0.438,1.206,0.674,1.51,1.589,1.309,0.656,0.702,1.908,0.776,0.638,0.9310001,1.726,1.695,3.86,2.132
1938,0.786,0.315,1.096,0.844,0.568,1.241,0.877,1.54,1.659,0.8850001,0.879,0.773,1.838,0.903,0.795,1.379,1.609,1.527,3.247,2.176
1937,0.715,0.357,0.946,0.929,0.492,0.979,0.9350001,1.138,1.589,0.628,0.879,0.731,1.943,1.094,0.71,1.431,1.571,1.397,4.337,2.057
1936,0.628,0.373,1.179,0.83,0.408,1.108,1.016,1.407,1.484,0.565,0.9680001,0.775,1.842,0.853,0.625,1.519,1.57,1.646,2.938,1.493
1935,0.675,0.482,1.558,1.209,0.54,1.326,1.104,1.891,1.759,1.004,0.996,0.932,2.504,0.9350001,0.774,1.554,1.941,2.28,2.579,1.802
1934,0.493,0.292,1.397,1.095,0.433,0.955,0.725,1.987,1.959,0.773,0.804,0.736,2.766,0.774,0.427,1.241,1.578,2.4,2.386,2.255
1933,0.438,0.349,1.569,0.95,0.469,1.283,1.089,1.643,2.397,0.177,1.008,0.803,2.438,1.132,0.564,1.19,1.4,2.053,1.474,1.42
1932,0.601,0.285,1.271,0.851,0.422,1.044,1.052,1.187,1.178,0.323,0.868,0.65,1.793,1.16,0.522,1.211,1.364,1.968,2.032,1.293
1931,0.927,0.345,1.107,1.231,0.512,1.181,0.976,1.269,1.445,0.522,0.872,0.702,2.059,1.286,0.6530001,1.271,1.519,1.921,1.954,1.566
1930,0.967,0.317,0.9850001,1.204,0.46,1.016,0.7780001,1.68,1.571,0.585,0.873,0.662,1.866,1.38,0.577,1.187,1.6,2.163,1.791,1.642
1929,1.08,0.269,1.053,0.882,0.453,1.025,0.908,1.479,1.533,0.544,0.932,0.667,1.738,1.264,0.494,1.148,1.37,2.132,1.583,1.288
1928,1.017,0.23,0.876,0.802,0.449,1.052,0.738,0.837,1.601,0.587,0.857,0.616,1.787,1.036,0.53,1.177,1.439,1.767,1.979,1.502
1927,0.92,0.27,0.795,0.681,0.487,1.037,0.601,0.898,1.334,0.231,0.94,0.746,1.435,0.933,0.619,0.894,1.109,1.481,1.715,1.466
1926,0.796,0.198,0.6,0.8060001,0.46,0.853,0.631,0.816,1.189,0.252,0.8140001,0.531,1.168,0.821,0.581,0.77,1.017,1.41,1.313,1.515
1925,0.887,0.248,0.674,0.534,0.513,0.953,0.875,0.656,1.289,0.314,0.874,0.583,1.191,0.898,0.655,0.912,1.013,1.268,1.396,1.532
1924,0.873,0.256,0.767,0.812,0.62,0.832,0.849,0.894,1.324,0.293,0.909,0.603,1.447,0.9020001,0.659,1.026,1.156,1.652,1.829,1.499
1923,0.855,0.294,0.875,0.803,0.657,0.993,1.024,1.013,1.409,0.272,1.072,0.625,1.602,0.759,0.701,1.105,1.067,1.214,1.571,1.482
1922,1.135,0.442,1.045,1.111,0.826,1.217,0.987,1.7,1.694,0.189,1.267,1.078,1.851,1.183,1.005,1.399,1.366,1.594,2.152,2.053
1921,0.523,0.167,0.896,0.554,0.591,0.907,1.182,1.502,1.078,0.356,1.128,0.437,1.832,1.042,0.613,0.626,0.994,1.013,1.346,1.035
1920,1.032,0.329,1,1.145,0.811,0.98,1.288,1.364,1.756,0.311,1.036,0.666,2.076,1.067,0.655,1.311,1.514,1.608,1.634,1.91
1919,0.8010001,0.274,0.85,0.911,0.566,0.733,1.182,1.343,1.561,0.496,0.808,0.773,1.589,0.704,0.785,0.95,1.034,1.403,1.704,1.203
1918,1.039,0.319,0.912,1.2,0.773,0.9350001,1.245,1.984,1.738,0.654,1.032,0.716,1.817,0.698,0.883,1.145,1.237,1.492,1.055,1.925
1917,0.819,0.422,1.043,0.832,0.625,0.855,1.457,2.162,1.349,1.647,1.109,0.908,2.609,0.802,0.964,1.127,1.15,1.283,1.183,1.847
1916,0.422,0.242,0.824,0.477,0.469,0.721,,1.016,0.85,1.548,0.833,0.559,1.89,0.685,0.684,0.558,0.7,1.179,1.692,1.112
1915,1.14,0.431,1.09,1.485,0.715,1.007,,2.006,1.364,0.837,1.126,1.038,2.674,1.163,1.077,1.468,1.357,2.004,2.093,1.939
1914,1.111,0.504,1.183,1.532,0.888,1.261,,2.484,1.706,0.95,1.299,1.033,2.88,1.115,1.222,1.685,1.672,1.972,1.206,1.952
1913,0.762,0.375,1.053,0.857,0.761,1.085,,1.826,1.127,0.705,1.084,0.803,1.944,0.895,1.049,1.089,1.031,1.636,1.752,1.473
1912,0.921,0.409,1.081,1.094,0.727,1.183,,1.62,1.456,1.334,1.064,0.969,1.506,0.8850001,0.872,1.149,1.068,1.412,1.225,1.931
1911,1.138,0.529,1.203,1.244,0.858,1.208,,1.497,1.566,1.343,1.234,1.238,,1.148,1.087,1.582,1.329,2.048,1.389,1.786
1910,0.918,0.39,1.141,1.099,0.692,1.245,,1.571,1.567,0.667,1.184,0.897,,1.134,1.098,1.868,1.415,2.636,1.286,1.701
1909,0.868,0.431,1.222,0.9260001,0.781,1.035,,1.341,1.371,0.455,1.212,0.905,,1.151,0.888,1.259,1.122,1.947,0.8140001,1.483
1908,1.315,0.48,1.605,0.971,1.011,1.106,,1.709,1.806,0.825,1.482,1.298,,1.495,1.039,1.249,1.028,2.257,1.251,1.762
1907,1.366,0.592,1.546,0.995,1.046,1.297,,1.841,1.737,0.886,1.507,1.248,,1.487,1.235,1.571,1.017,2.532,1.85,1.768
1906,1.378,0.587,1.04,1.051,0.882,0.879,,1.84,1.527,,1.34,1.001,,1.358,0.913,1.535,1.05,1.988,1.119,1.844
1905,1.461,0.436,0.79,1.125,0.864,1.066,,2.04,1.477,,1.478,1.153,,1.2,1.059,1.626,1.09,1.706,1.134,1.803
1904,1.201,0.593,0.995,0.934,1.076,1.295,,2.346,1.374,,1.53,1.506,,1.375,1.657,1.799,1.221,2.187,0.85,1.999
1903,0.882,0.465,0.903,0.667,0.777,1.129,,1.819,0.98,,1.045,1.14,,1.048,0.656,1.164,0.956,1.689,0.813,1.325
1902,0.874,0.453,1.117,0.772,0.829,1.153,,1.599,1.596,,1.216,1.01,,1.011,0.711,1.165,1.153,1.766,1.086,1.463
1901,0.895,0.561,1.661,0.897,1.022,1.561,,1.865,1.485,,1.416,1.16,,0.91,1.021,1.348,1.221,2.023,1.217,1.666
1900,0.835,0.44,1.214,0.87,0.989,1.857,,1.581,1.568,,1.146,0.8850001,,1.111,1.036,1.405,1.377,1.653,0.743,1.644
1899,0.552,0.311,0.829,0.579,0.629,1.229,,1.303,0.944,,0.979,0.833,,0.895,0.876,0.776,0.8600001,0.789,1.492,0.868
1898,0.855,0.53,1.082,0.656,0.817,1.473,,1.783,1.427,,1.094,0.864,,0.992,1.153,1.084,1.089,1.475,2.28,1.415
1897,0.736,0.497,1.145,0.611,0.711,1.533,,1.583,1.824,,1.022,1.018,,0.925,0.811,1.25,1.091,1.672,3.035,1.461
1896,0.592,0.513,1.007,0.522,0.673,1.697,,1.442,0.9520001,,1.074,1.128,,0.846,1.022,1.201,0.746,1.068,1.122,1.405
1895,0.83,0.666,1.103,0.79,0.904,1.468,,1.594,0.917,,1.126,0.996,,0.7550001,1.058,1.136,1.241,1.552,0.568,1.448
1894,0.665,0.545,0.525,0.637,0.786,1.057,,1.162,0.549,,1.021,1.138,,0.638,1.207,0.8930001,1.168,1.253,0.456,1.157
1893,0.621,0.517,0.58,0.609,0.7320001,0.55,,1.026,1.077,,1.07,1.136,,0.727,0.913,1,1.195,1.238,1.046,1.123
1892,0.95,0.524,0.488,0.726,0.74,0.881,,1.264,1.223,,1.015,0.973,,0.904,0.855,0.932,0.92,1.302,0.418,1.15
1891,1.022,0.6,0.701,0.923,0.942,1.132,,1.475,1.646,,1.11,1.112,,0.866,0.928,0.9020001,1.304,2.001,1.153,1.232
1890,1.005,0.478,0.596,0.766,0.825,1.116,,1.499,1.184,,1.017,1.096,,1.134,1.197,1.121,1.399,2.215,,1.409
1889,1.238,0.379,0.388,0.723,0.805,1.087,,1.47,1.417,,0.832,0.991,,1.311,0.848,0.979,1.248,2.299,,1.214
1888,1.025,0.475,0.588,0.76,0.851,2.225,,1.601,1.714,,0.946,0.884,,1.025,0.894,1.079,1.343,2.384,,1.637
1887,0.8060001,0.403,0.5280001,0.497,0.791,1.963,,1.277,1.249,,0.974,0.844,,0.575,0.654,0.637,1.048,1.963,,1.381
1886,1.233,0.679,0.729,0.737,0.918,1.101,,1.474,1.523,,1.222,1.025,,0.646,0.753,0.923,1.302,2.133,,1.416
1885,0.918,0.473,0.631,0.639,0.886,1.351,,1.182,1.587,,0.957,0.881,,0.736,0.703,0.918,1.443,1.826,,1.296
1884,0.7320001,0.524,0.558,0.48,0.726,1.249,,1.426,1.46,,0.845,0.929,,0.503,0.693,0.832,1.05,1.728,,1.331
1883,0.9680001,0.692,0.711,0.581,0.812,1.857,,1.336,1.841,,1.017,1.035,,0.571,1.168,1.109,0.936,1.661,,1.534
1882,0.829,0.715,0.654,0.704,0.788,2.079,,1.311,1.121,,0.734,1.331,,0.521,1.139,1.151,1.02,1.932,,1.331
1881,1.07,0.6070001,0.595,0.839,0.7780001,2.681,,1.448,0.93,,0.9060001,0.936,,0.892,1.454,1.436,1.211,2.682,,1.909
1880,0.58,0.547,0.502,0.574,0.691,1.728,,1.032,0.506,,0.89,0.908,,0.623,1.109,1.242,0.923,1.617,,1.085
