Year,Q01,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q66,Q69,Q72,Q73
1982,0.414,0.204,0.544,1.154,1.474,1.792,1.056,1.152,1.147,0.892,0.448,0.735,0.904,1.276,1.751,0.869,0.792,0.815,0.804,0.565,0.399
1981,0.513,0.336,0.718,1.577,2.085,2.382,1.957,1.417,1.893,1.406,0.645,1.004,1.345,1.931,2.372,1.118,0.984,1.368,1.318,0.848,0.532
1980,0.504,0.287,0.742,1.558,2.067,2.221,1.726,1.335,1.625,1.336,0.572,0.8850001,1.334,1.483,2.199,0.965,0.795,1.255,1.25,0.73,0.406
1979,0.543,0.268,0.689,1.733,1.667,2.093,1.726,1.307,1.741,1.462,0.558,0.915,1.52,1.328,1.881,0.825,0.779,1.171,1.234,0.681,0.47
1978,0.488,0.256,0.671,1.703,1.659,2.074,1.621,1.489,1.636,1.337,0.609,0.867,1.711,1.349,2.143,0.858,0.791,1.311,1.237,0.661,0.42
1977,0.578,0.359,0.78,1.292,2.053,2.334,1.71,1.387,1.963,1.334,0.846,1.117,1.756,1.69,2.32,1.078,0.941,1.652,1.733,0.8,0.605
1976,0.48,0.258,0.646,1.127,1.529,1.848,1.076,1.148,1.175,0.87,0.606,0.7780001,1.523,1.123,1.904,0.853,0.714,1.152,0.881,0.619,0.373
1975,0.514,0.222,0.672,1.275,1.46,1.95,1.196,1.317,1.388,1.045,0.65,0.941,1.507,1.056,2.148,0.941,0.82,1.098,0.873,0.61,0.417
1974,0.385,0.126,0.476,1.102,1.162,1.585,0.874,0.942,1.221,0.825,0.421,0.72,1.28,0.9,1.605,0.693,0.62,0.842,0.542,0.47,0.308
1973,0.569,0.211,0.809,1.556,1.502,2.036,1.514,1.38,1.667,1.365,0.672,1.106,2.047,1.393,1.838,0.965,0.8,1.313,0.837,0.691,0.508
1972,0.49,0.137,0.588,1.084,1.042,1.346,1.192,0.859,1.185,0.749,0.347,0.874,1.11,1.099,1.491,0.868,0.83,1.031,0.492,0.595,0.383
1971,0.594,0.205,0.7320001,1.539,1.645,1.867,1.644,1.529,1.629,1.085,0.663,1.039,1.708,1.453,1.928,1.195,1.142,1.245,0.94,0.836,0.659
1970,0.593,0.233,0.782,1.505,1.692,1.759,1.68,1.383,1.741,1.255,0.792,1.141,1.507,1.691,2.194,1.084,1.19,1.309,1.018,0.881,0.66
1969,0.404,0.195,0.636,1.24,1.473,2.129,1.272,1.214,1.339,1.069,0.637,1.006,1.125,1.489,2.323,0.655,1.056,1.188,0.942,0.6530001,0.616
1968,0.523,0.231,0.774,1.362,2.069,2.701,1.576,1.667,1.568,1.222,0.687,0.913,1.557,1.542,2.821,0.839,1.253,1.393,1.283,0.743,0.773
1967,0.662,0.235,0.867,1.734,1.891,2.399,1.694,1.677,1.666,1.267,0.992,1.166,1.528,1.58,2.892,1.272,1.303,1.192,1.364,0.855,0.853
1966,0.65,0.242,0.812,1.508,1.696,2.117,1.708,1.217,1.596,1.368,0.982,1.101,1.41,1.589,2.369,1.22,1.344,1.238,1.289,0.73,1.008
1965,0.749,0.314,0.821,1.64,1.551,2.362,1.85,1.479,1.617,1.549,1.049,1.145,1.466,1.533,2.218,1.516,1.411,1.359,1.212,0.811,0.664
1964,0.624,0.24,0.72,1.358,1.058,1.836,1.492,1.172,1.379,1.337,0.745,1.026,1.154,1.3,1.448,1.217,1.218,1.009,0.987,0.6300001,0.647
1963,0.664,0.266,0.836,1.645,1.615,2.421,1.714,1.507,1.496,1.633,0.747,1.258,1.311,1.534,2.51,1.252,1.335,1.274,1.243,0.696,0.713
1962,0.595,0.231,0.8010001,1.407,1.613,2.136,1.571,1.507,1.249,1.378,0.739,0.978,1.251,1.261,1.924,1.052,1.319,1.263,1.074,0.538,0.639
1961,0.731,0.266,0.78,1.643,1.22,2.246,1.85,1.192,1.582,1.64,0.9680001,1.04,1.144,1.338,1.892,1.239,1.258,1.508,1.267,0.9,0.826
1960,0.747,0.299,0.8850001,1.82,2.283,2.112,2.03,1.821,1.572,1.674,1.136,1.052,1.493,1.385,2.085,1.663,1.339,1.744,1.591,0.701,1.185
1959,0.656,0.189,0.748,1.429,1.555,1.562,1.469,1.483,1.347,1.25,0.8800001,0.943,1.1,1.039,1.342,0.997,1.106,1.139,1.05,0.56,0.742
1958,0.907,0.497,0.9310001,1.718,1.561,2.214,1.844,1.842,1.784,1.346,1.172,1.168,1.338,1.849,1.78,1.098,1.139,1.452,1.492,0.655,0.892
1957,0.62,0.454,0.776,1.255,1.214,1.742,1.44,1.35,1.425,0.987,0.957,1.097,1.085,1.341,1.619,0.91,1.005,1.247,1.54,0.645,0.765
1956,0.691,0.414,0.7090001,1.257,1.129,1.123,1.37,1.289,1.192,0.642,0.895,0.693,1.082,1.021,1.445,0.967,1.05,1.005,0.95,0.526,0.793
1955,0.871,0.539,0.919,1.461,1.352,1.59,1.496,1.595,1.594,1.35,1.039,1.184,1.218,1.386,1.857,1.141,1.135,1.306,1.298,0.663,0.909
1954,0.73,0.444,0.805,1.377,1.326,1.706,1.282,1.404,1.274,1.182,0.846,1.094,1.301,1.138,1.509,0.869,1.11,1.205,1.26,0.585,0.695
1953,0.728,0.366,0.973,1.592,1.913,1.781,1.56,1.505,1.364,1.298,0.85,1.154,1.482,1.21,1.883,0.773,1.218,1.575,1.45,0.55,0.815
1952,0.914,0.469,1.048,1.767,1.797,1.897,1.948,1.584,1.312,1.269,0.897,1.137,1.705,1.381,1.823,0.823,1.19,1.693,1.702,0.512,0.899
1951,0.867,0.576,1.096,1.626,1.547,1.868,1.779,1.65,1.37,1.06,1.039,1.137,1.591,1.388,2.052,0.9720001,1.272,1.573,1.4,0.66,0.858
1950,1.05,0.759,1.033,1.688,1.195,1.637,2.044,1.424,1.557,0.9810001,1.145,1.237,1.37,1.498,1.697,1.141,1.594,1.458,1.257,0.734,0.907
1949,0.863,0.73,0.947,1.593,1.3,1.56,1.823,1.257,1.151,0.963,0.948,1.114,1.231,1.334,1.626,1.107,1.44,1.246,1.123,0.719,0.8010001
1948,1.112,0.874,1.308,1.801,1.714,1.688,2.057,1.581,1.555,1.373,1.383,1.418,1.8,1.693,1.753,1.168,1.813,1.553,1.69,0.896,0.99
1947,0.824,0.729,1.222,1.544,1.236,1.3,1.764,1.244,1.242,0.93,0.966,1.307,1.606,1.602,1.367,0.9850001,1.709,1.433,1.223,0.824,0.744
1946,0.712,0.734,1.101,1.683,1.236,1.015,2.329,1.072,1.123,0.942,1.007,1.016,1.395,1.345,1.546,1.04,1.883,1.448,1.355,0.991,0.765
1945,0.897,1.041,1.361,2.278,1.73,1.389,2.531,1.602,1.472,0.978,1.203,1.405,1.797,1.553,2.069,1.152,2.5,1.759,1.637,1.012,1.242
1944,0.883,1.091,1.258,2.092,1.806,1.556,2.468,1.417,1.957,1.184,1.13,1.384,1.581,1.436,2.088,1.11,2.454,1.635,1.54,0.911,1.21
1943,0.874,0.815,1.17,1.865,1.48,1.378,1.586,1.775,1.623,0.836,0.99,1.386,1.317,1.044,1.684,0.894,1.999,1.442,1.434,0.842,1.002
1942,1.12,1.18,1.331,2.276,1.86,1.788,1.733,2.005,2.098,1.222,0.989,1.61,1.552,1.171,1.943,0.966,1.876,1.681,1.797,1.011,1.156
1941,0.96,1.451,1.341,2.452,1.708,1.711,1.938,1.62,1.912,1.461,0.9810001,1.74,1.609,1.417,1.693,0.9590001,1.93,1.72,1.796,0.954,1.052
1940,0.954,1.416,1.33,2.254,2.195,2.206,1.838,1.686,1.993,1.449,1.207,1.661,1.386,1.38,1.571,0.9770001,1.795,1.817,1.726,1.008,1.016
1939,0.825,1.564,1.287,2.223,1.711,1.9,2.005,1.592,1.97,1.13,1.144,1.543,1.386,1.305,1.923,0.833,1.641,1.591,1.424,0.839,0.892
1938,0.909,1.379,1.33,1.984,1.65,2.57,2.296,1.417,1.94,1.143,1.557,1.456,1.502,1.502,1.809,0.919,1.563,1.662,1.44,0.909,0.784
1937,0.796,0.879,1.15,1.924,1.736,2.312,1.846,1.252,1.901,0.9390001,1.299,1.341,1.33,1.159,1.308,0.82,1.404,1.669,1.579,0.8060001,0.887
1936,0.737,0.717,0.9810001,1.612,1.573,1.625,1.931,1.211,1.693,0.809,1.207,1.395,1.228,1.215,1.368,0.835,1.492,1.461,1.486,0.879,0.687
1935,0.914,1.03,1.128,1.975,1.475,1.535,2.421,1.092,1.683,1.209,1.559,1.447,1.191,1.41,1.161,0.9390001,1.374,1.552,1.663,1.028,0.841
1934,0.74,0.8890001,0.963,1.696,1.629,1.192,2.551,1.296,1.672,1.511,1.598,1.42,1.24,1.405,0.687,0.9220001,1.258,1.893,1.614,0.974,0.666
1933,0.839,0.74,1.211,1.505,0.95,0.638,1.535,1.211,1.735,1.045,1.259,1.174,1.249,1.151,0.7,1.042,1.247,1.372,0.989,0.819,0.543
1932,0.705,0.608,1.097,1.591,1.163,1.634,1.683,1.242,1.687,0.955,1.196,1.454,1.299,1.226,1.01,0.9350001,1.225,1.223,1.113,0.763,0.503
1931,0.619,0.545,0.991,1.708,1.144,2.089,2.118,1.231,1.854,1.127,1.354,1.211,1.311,1.143,1.149,0.849,1.35,1.383,1.198,0.772,0.662
1930,0.647,0.489,1.215,1.674,1.594,1.935,2.019,1.412,1.695,1.172,1.424,1.26,1.354,0.973,1.052,0.941,1.39,1.63,1.183,0.853,0.703
1929,0.684,0.424,1.167,1.519,1.366,1.689,1.666,1.258,1.583,0.844,0.8930001,1.176,1.229,0.808,0.774,0.796,1.385,1.573,1.126,0.734,0.681
1928,0.582,0.407,1.102,1.461,1.422,2.293,1.583,1.349,1.58,0.993,0.878,1.177,1.074,0.833,0.783,0.805,1.123,1.605,1.207,0.647,0.683
1927,0.552,0.422,0.898,1.656,1.44,2.034,1.399,1.176,1.51,0.912,0.842,1.21,1.044,0.883,0.757,0.722,1.061,1.465,1.201,0.693,0.646
1926,0.522,0.447,0.837,1.968,1.531,2.212,1.562,1.066,1.737,0.954,0.741,1.074,1.096,1.018,0.9720001,0.662,1.179,1.652,1.454,0.674,0.719
1925,0.61,0.474,1.039,2.04,1.23,1.974,1.435,1.326,1.681,0.621,0.8270001,1.21,1.079,1.093,0.666,0.707,0.904,1.811,1.068,0.609,0.643
1924,0.629,0.537,0.8470001,1.922,1.115,1.745,1.282,1.16,1.472,0.672,0.911,1.108,0.964,1.171,0.983,0.637,0.934,1.501,1.204,0.7,0.691
1923,0.599,0.477,0.766,2.16,1.333,1.689,1.268,1.236,1.561,0.609,0.892,1.158,0.988,1.003,0.599,0.693,1.006,1.587,1.275,0.662,0.634
1922,0.888,0.616,1.147,2.11,1.428,2.656,1.487,1.482,1.624,0.825,1.343,1.227,1.243,1.15,1.077,1.048,1.207,1.81,1.507,0.759,0.833
1921,0.5510001,0.522,1.125,1.827,0.659,0.314,1.156,0.835,1.464,0.416,0.784,0.97,0.719,0.929,0.574,0.995,1.167,1.38,0.987,0.536,0.513
1920,0.775,0.646,1.133,2.17,1.431,1.114,1.669,1.248,1.473,0.777,1.211,1.168,0.951,1.118,,1.158,1.307,2.145,1.693,0.692,0.863
1919,0.791,0.581,1.181,2.322,1.011,0.94,1.229,1.012,1.425,0.764,1.084,1.191,1.042,1.185,,0.91,1.116,1.967,1.399,0.666,0.6760001
1918,0.854,0.57,1.207,2.396,1.294,1.299,1.095,1.086,1.679,1.118,1.223,1.142,1.134,1.321,,1.12,1.185,2.046,1.455,0.734,0.745
1917,0.798,0.535,1.029,2.271,1.038,0.817,0.99,1.038,1.643,0.766,1.309,1.326,0.965,1.161,,1.26,1.124,1.397,1.133,0.756,0.67
1916,0.548,0.436,0.921,2.311,1.361,0.48,0.706,0.604,1.467,0.541,0.79,1.295,0.569,1.109,,0.8600001,1.135,1.31,0.958,0.564,0.286
1915,0.817,0.636,1.137,2.906,1.416,1.215,1.604,1.048,1.747,1.28,1.222,1.647,1.073,1.459,,1.04,1.294,2.113,1.554,0.851,0.791
1914,0.955,0.771,1.098,3.625,0.9590001,0.965,1.633,1.21,2.018,1.427,1.371,1.808,1.297,1.664,,1.177,1.431,1.952,1.572,0.947,1.316
1913,0.7550001,0.675,0.863,1.241,0.779,0.861,1.196,0.797,1.587,0.876,1.089,1.485,0.982,1.265,,1.13,1.328,1.516,1.101,0.724,0.688
1912,0.774,0.67,0.708,1.55,1.131,0.8430001,1.436,0.723,1.647,1.121,1.124,1.547,0.8800001,1.4,,1.191,1.319,1.777,1.367,0.8010001,0.832
1911,0.957,0.768,0.928,1.689,1.08,0.633,1.628,0.975,1.645,1.013,1.351,1.539,1.091,1.384,,1.268,1.521,1.97,1.163,0.781,1.173
1910,0.796,0.756,0.825,1.534,1.282,0.8430001,1.943,0.882,1.827,0.96,1.166,1.71,1.039,1.452,,1.311,1.466,1.708,0.585,0.857,1.139
1909,0.699,0.629,0.79,1.597,1.033,0.738,1.533,0.87,1.624,1.025,1.16,1.825,1.042,1.401,,1.378,1.484,1.552,1.162,0.8060001,1.07
1908,0.866,0.626,0.99,2.111,,0.927,1.71,0.92,1.905,1.191,1.528,1.878,1.14,1.48,,1.713,1.696,1.576,1.395,0.862,1.423
1907,0.747,0.537,0.767,1.861,,1.397,1.559,0.859,1.934,1.106,1.351,1.697,1.066,1.519,,1.481,1.76,1.7,1.354,0.8010001,1.494
1906,0.7320001,0.609,0.787,2.163,,1.248,1.815,0.904,2.51,1.655,1.66,1.821,1.123,1.71,,1.417,1.759,1.957,1.785,0.8270001,1.847
1905,0.738,0.578,0.842,2.135,,1.2,1.795,0.94,2.256,2.134,1.664,1.831,1.056,1.487,,1.461,1.499,2.215,1.516,0.846,0.844
1904,0.897,0.621,0.991,2.314,,1.704,1.749,0.964,2.198,1.732,1.627,1.579,1.109,1.45,,1.841,1.348,1.74,1.455,0.76,0.848
1903,0.673,0.5840001,0.775,1.77,,0.903,1.66,0.747,1.638,1.354,1.365,1.513,0.93,1.382,,1.796,1.204,1.153,1.128,0.656,0.511
1902,0.767,0.561,0.79,1.914,,1.099,1.778,0.903,1.819,1.587,1.301,1.504,0.911,1.304,,1.82,1.142,1.675,1.445,0.636,0.691
1901,0.698,0.6760001,0.776,1.971,,2.556,1.95,0.953,2.141,1.368,0.973,1.8,1.016,1.317,,1.796,1.143,1.611,1.282,0.671,0.74
1900,0.649,0.57,0.846,1.375,,,1.468,0.84,1.782,1.39,1.142,1.447,0.784,1.356,,1.771,0.964,1.574,1.286,0.612,0.655
1899,0.48,0.45,0.628,0.966,,,0.965,0.5510001,1.217,0.674,0.919,0.859,0.648,0.9310001,,1.311,0.786,1.014,0.819,0.533,0.377
1898,0.569,0.513,0.772,1.457,,,1.495,0.742,1.462,1.249,1.175,1.227,0.9020001,1.142,,1.534,0.934,1.687,1.145,0.6,0.512
1897,0.412,0.496,0.743,1.372,,,1.14,0.734,1.327,1.31,1.028,1.193,0.809,1.24,,1.226,0.724,1.383,1.04,0.525,0.418
1896,0.428,0.561,0.692,1.05,,,1.083,0.69,1.346,0.773,0.993,1.209,0.895,1.166,,0.9720001,0.794,1.154,0.908,0.523,0.575
1895,0.482,0.547,0.708,1.252,,,1.218,0.85,1.568,1.191,1.13,1.248,0.937,1.334,,0.995,0.909,1.471,1.158,0.548,0.703
1894,0.422,0.444,0.572,1.092,,,0.849,0.615,1.375,0.9,1.088,0.874,0.804,1.018,,1.162,0.804,0.9810001,0.863,0.567,0.695
1893,0.358,0.412,0.713,1.326,,,1.048,0.715,1.455,0.744,1.235,1.155,0.868,1.142,,1.059,1.01,1.071,0.82,0.663,0.781
1892,0.5050001,0.441,0.613,1.427,,,1.199,0.768,1.662,0.923,1.342,1.248,0.848,1.333,,1.079,1.066,1.233,1.052,0.754,0.9590001
1891,1.03,0.522,0.846,1.817,,,1.59,0.913,2.022,1.423,1.376,1.446,1.015,1.591,,1.227,1.346,1.382,1.304,0.648,1.627
1890,0.793,0.518,0.91,1.846,,,1.539,0.956,2.333,1.456,1.448,1.485,0.859,1.622,,1.037,1.161,1.853,1.023,0.602,1.148
1889,0.796,0.547,0.773,1.672,,,1.518,1.13,2.028,1.927,1.365,1.073,0.876,1.255,,0.825,0.9350001,1.798,1.035,0.542,0.787
1888,0.77,0.531,0.762,1.562,,,1.378,1.182,1.754,1.045,1.404,1.13,0.888,1.328,,0.627,0.872,1.52,0.943,0.529,0.738
1887,0.615,0.43,0.74,1.501,,,1.143,0.956,1.632,0.573,1.261,0.874,0.909,1.094,,0.602,0.675,1.475,0.764,0.429,0.476
1886,0.818,0.626,0.899,1.995,,,1.475,0.759,1.927,1.056,1.762,1.201,0.881,1.249,,0.775,0.817,1.666,0.892,0.509,0.7
1885,0.67,0.615,0.909,1.95,,,1.484,0.777,1.96,1.589,1.33,1.13,1.061,1.39,,0.8,0.715,1.905,1.101,0.517,0.763
1884,0.622,0.587,0.781,1.477,,,1.148,0.844,1.777,1.086,1.101,0.82,0.8,1.16,,0.776,0.675,1.662,0.887,0.417,0.568
1883,0.7780001,0.711,0.954,1.357,,,1.365,1.307,1.866,0.907,1.575,1.001,1.154,1.373,,0.579,0.624,1.377,0.793,0.53,0.764
1882,0.679,0.592,0.917,1.302,,,0.909,0.944,1.473,0.765,1.311,0.948,0.871,0.983,,0.474,0.582,0.9220001,0.782,0.423,0.548
1881,0.665,0.543,0.934,1.442,,,1.194,0.883,1.177,1.13,1.343,1.044,0.961,1.149,,0.616,0.503,1.363,0.795,0.549,0.627
1880,0.554,0.411,0.969,1.053,,,0.694,0.355,1.287,0.59,1.114,0.767,0.696,0.846,,0.428,0.712,0.946,0.808,0.401,0.602
