Year,P22,P23,P25,P27,P32,P33,P34,P35,P36,P37,P38,P39,P40,P21,P31,P29,P30,P24,P28,P26
1977,1.173,0.603,0.832,1.218,1.261,1.36,1.787,1.514,2.59,1.148,1.615,0.685,1.676,1.066,0.492,0.9850001,1.009,1.22,1.769,0.916
1976,1.067,0.502,0.713,0.849,0.8890001,1.174,1.281,0.93,1.616,0.995,1.282,0.487,1.126,0.758,0.332,0.789,0.9310001,0.765,1.464,0.593
1975,1.019,0.526,0.686,0.8430001,0.839,1.209,1.292,0.878,1.886,1.002,1.297,0.541,1.021,0.678,0.362,0.824,0.844,0.831,1.507,0.671
1974,0.55,0.339,0.575,0.716,0.96,0.954,0.77,0.447,1.365,0.639,0.803,0.222,0.802,0.592,0.331,0.695,0.964,0.596,1.217,0.434
1973,0.7550001,0.707,0.8010001,1.378,1.538,1.61,1.566,1.116,2.108,1.157,1.543,0.707,1.618,1.293,0.282,0.794,0.98,1.134,2.082,0.747
1972,0.783,0.439,0.894,0.918,1.097,1.179,1.114,0.9810001,1.369,1.112,1.15,0.44,1.059,0.837,0.28,0.944,1.218,0.899,1.669,0.424
1971,0.745,0.406,0.886,0.796,0.93,1.195,1.019,0.735,1.119,0.999,1.053,0.301,0.924,0.674,0.247,0.989,1.056,1.186,1.728,0.426
1970,0.673,0.6530001,0.872,0.9720001,0.992,1.018,1.137,0.982,2.012,0.893,0.969,0.734,1.772,0.901,0.292,0.841,1.539,1.062,2.315,0.596
1969,0.614,0.622,0.841,1.192,1.37,0.993,1.368,1.239,2.325,1.156,1.065,0.679,1.862,0.859,0.291,0.874,1.681,1.248,2.411,0.503
1968,1.083,0.861,1.426,1.209,2.067,1.156,1.651,1.491,2.069,1.145,1.115,0.771,1.936,1.045,0.366,1.036,1.431,1.456,2.407,0.632
1967,1.143,0.634,1.005,1.292,2.059,1.154,2.09,1.471,2.188,0.796,1.393,0.557,2.305,1.238,0.332,0.734,2.086,1.4,2.611,0.788
1966,1.027,0.768,1.223,1.396,2.472,1.225,2.157,1.139,2.238,1.118,1.308,0.682,2.067,1.358,0.346,1.192,1.415,1.256,1.943,0.8890001
1965,0.808,0.526,0.9220001,1.255,2.673,0.895,1.63,1.029,2.019,1.04,1.234,0.445,2.405,1.144,0.195,0.907,1.361,1.4,2.273,0.655
1964,0.628,0.438,0.966,1.113,2.368,0.8010001,1.349,0.825,1.683,0.762,1.123,0.377,1.608,0.62,0.194,0.58,1.204,0.874,1.677,0.526
1963,0.6530001,0.64,1.285,1.418,3.259,0.929,1.428,1.08,2.423,1.059,1.467,0.762,2.867,0.83,0.122,0.664,1.502,1.108,2.153,0.784
1962,0.523,0.621,1.214,1.157,1.512,0.936,1.65,0.812,1.867,1.009,1.476,0.8,1.974,0.746,0.119,0.612,1.289,1.177,1.942,0.703
1961,0.597,0.745,1.906,1.934,1.719,0.759,2.203,1.119,2.729,1.519,2.362,1.132,2.659,0.9770001,0.149,0.622,1.555,1.767,2.873,0.753
1960,0.75,0.924,1.924,1.927,2.45,1.109,2.626,1.249,2.534,1.669,1.805,1.395,2.317,1.126,0.357,0.635,1.243,1.755,3.153,1.038
1959,0.698,0.739,1.268,1.573,2.671,1.026,2.329,1.043,1.758,1.177,1.488,0.858,1.686,0.783,0.639,0.707,0.84,1.468,2.452,0.749
1958,1.007,0.963,1.541,2.024,2.596,1.688,2.084,1.721,2.168,1.214,1.617,1.274,2.111,1.203,1.112,0.715,1.335,1.642,3.219,0.945
1957,0.794,0.882,1.915,1.398,2.82,1.527,1.384,1.33,1.957,1.203,1.62,1.125,2.219,1.166,0.677,0.741,1.277,1.356,2.044,0.881
1956,0.7550001,0.646,1.193,1.095,1.104,0.818,1.091,0.735,1.473,1.032,0.727,0.583,1.81,0.9220001,0.418,0.495,0.993,1.114,1.661,0.5280001
1955,0.704,0.573,1.35,1.567,1.711,1.141,1.491,1.399,1.516,1.134,0.895,0.842,2.315,0.83,0.441,0.39,1.138,1.2,2.225,0.667
1954,0.515,0.404,1.21,1.16,0.909,0.803,1.482,1.351,1.418,1.111,0.938,0.559,2.046,0.745,0.293,0.368,0.94,0.938,1.151,0.46
1953,0.616,0.444,1.237,1.399,1.062,1.002,1.433,1.559,1.494,1.378,1.054,0.769,2.692,0.914,0.349,0.432,0.9770001,0.936,1.988,0.635
1952,0.876,0.787,1.512,1.748,1.947,1.13,2.164,1.832,1.598,1.987,1.35,1.24,2.924,1.019,0.663,0.464,0.9310001,1.411,2.343,0.736
1951,0.946,1.076,1.692,1.964,3.519,1.336,2.314,2.247,1.624,2.21,1.88,1.547,2.903,1.446,0.432,0.484,0.98,1.577,2.395,0.7
1950,0.652,0.8600001,1.18,1.689,2.486,1.162,1.772,1.868,1.556,1.529,1.388,1.032,2.394,1.02,0.704,0.348,0.696,1.536,2.125,0.65
1949,0.674,0.734,0.951,1.327,1.499,1.195,1.515,1.66,1.671,1.152,1.271,0.832,2.727,1.317,0.35,0.442,0.704,1.242,1.707,0.726
1948,0.49,0.619,0.923,1.482,1.025,1.17,1.601,1.803,1.888,1.15,1.485,0.913,2.565,1.456,0.348,0.465,0.958,1.221,2.365,0.78
1947,0.785,0.547,1.062,1.258,1.18,1.295,2.024,2.095,1.895,1.292,1.473,1.091,2.164,1.62,0.291,0.518,0.999,1.151,2.631,0.8010001
1946,0.6530001,0.46,1.067,0.796,0.835,1.011,1.612,1.866,1.456,1.348,1.258,0.71,2.127,1.347,0.364,0.484,0.57,1.008,2.14,0.545
1945,0.742,0.441,1.19,1.405,0.986,1.311,1.736,2.065,1.909,1.472,1.485,1.271,2.487,1.49,0.331,0.379,0.668,1.165,2.523,0.556
1944,0.543,0.548,1.14,1.368,1.51,1.171,1.52,2.151,2.068,1.155,1.368,1.048,2.592,1.611,0.428,0.289,0.726,1.039,3.777,0.649
1943,0.488,0.565,0.899,1.141,1.493,1.048,1.324,1.915,1.613,1.118,1.14,0.79,2.055,1.236,0.472,0.326,0.792,1.078,2.324,0.48
1942,0.504,0.615,0.8,1.418,1.973,1.262,1.496,1.98,1.361,0.955,1.456,0.9770001,2.404,1.367,0.46,0.432,0.815,1.318,3.394,0.493
1941,0.677,0.8520001,0.919,1.953,1.624,1.34,1.953,1.895,1.856,1.503,1.581,1.278,3.215,1.657,0.432,0.495,1.173,1.186,1.02,0.68
1940,0.542,1.021,0.917,2.117,1.971,1.395,2.139,2.266,2.017,1.427,1.773,1.338,2.974,2.175,0.492,0.483,1.07,1.256,1.295,0.548
1939,0.623,0.9770001,0.914,1.465,1.523,1.197,1.919,1.577,1.379,1.466,1.549,0.899,2.551,1.256,0.548,0.605,0.902,1.356,1.118,0.512
1938,0.51,0.794,1.129,1.561,1.471,1.162,1.579,1.803,1.431,1.261,1.265,1.211,2.747,1.424,0.726,0.521,1.09,1.26,1.206,0.526
1937,0.502,0.51,1.327,1.649,1.202,1.021,1.359,1.756,1.536,0.972,1.138,1.227,2.27,1.332,0.333,0.632,1.046,0.867,1.022,0.51
1936,0.849,0.634,1.603,1.963,1.685,1.029,1.611,2.403,1.923,1.284,1.42,1.49,2.233,1.534,0.492,0.496,1.158,1.241,1.274,0.53
1935,0.674,0.65,0.961,1.741,1.287,0.989,1.507,1.675,1.479,1.274,1.293,1.014,2.181,1.029,0.777,0.641,0.964,1.177,1.302,0.556
1934,0.711,0.726,0.989,2.602,1.252,1.469,1.852,2.515,2.316,1.381,1.952,1.136,2.563,1.705,0.873,0.599,1.069,1.09,1.289,0.604
1933,0.507,0.56,0.78,1.9,1.22,1.242,1.642,1.8,1.892,1.254,1.544,0.808,2.062,1.202,0.73,0.637,0.708,1.178,1.301,0.487
1932,0.521,0.5510001,0.666,1.286,1.076,1.05,1.629,1.133,1.893,1.132,1.258,0.621,1.387,0.983,0.57,0.685,0.818,0.934,1.04,0.443
1931,0.597,0.721,0.828,1.133,1.36,1.17,1.867,1.427,2.219,1.192,1.547,1.057,3.073,1.11,0.633,0.711,1.129,0.914,1.301,0.389
1930,0.562,0.749,0.78,1.342,1.41,1.125,2.144,1.695,2.467,1.296,1.682,1.099,2.492,1.091,0.57,0.77,1.287,0.966,1.418,0.734
1929,0.523,0.627,0.5280001,1.346,1.118,0.986,1.736,1.582,1.731,1.21,1.468,0.999,2.101,1.417,0.49,0.711,1.471,0.929,1.234,0.598
1928,0.544,0.609,0.562,1.149,0.821,0.8800001,1.856,1.349,1.624,1.085,1.437,0.879,1.935,1.515,0.6,0.695,1.452,1.016,1.372,0.573
1927,0.453,0.529,0.417,1.034,0.635,0.861,1.856,1.585,1.464,1.18,1.304,0.568,3.168,1.118,0.427,0.573,1.087,0.866,1.214,0.437
1926,0.552,0.901,0.808,2.003,1.175,1.133,2.146,1.87,2.611,1.363,1.838,0.981,,1.533,0.727,0.618,1.118,1.15,1.547,0.742
1925,0.603,0.892,0.796,2.042,1.732,0.946,2.353,1.943,2.357,1.464,2.03,0.732,,1.212,0.347,0.671,0.973,1.284,1.041,0.558
1924,0.671,1.375,1.101,2.228,1.831,1.139,2.165,2.133,2.529,1.548,2.346,0.87,,1.435,0.739,0.6530001,1.271,1.19,1.093,0.533
1923,0.648,1.044,0.832,1.437,1.485,0.851,2.073,2.03,1.705,1.114,1.919,0.644,,1.144,0.487,0.609,1.259,0.838,1.079,0.517
1922,0.633,0.909,1.012,1.844,1.209,0.825,2.003,2.055,1.807,1.116,1.868,0.683,,1.262,0.566,0.555,1.335,0.677,1.477,0.662
1921,0.692,0.861,0.9680001,1.704,1.076,0.818,1.546,1.442,1.475,0.951,1.558,0.627,,1.051,0.519,0.565,1.149,0.728,1.246,0.335
1920,0.8600001,1.292,1.508,2.22,1.428,1.074,1.548,2.27,2.258,1.405,1.996,1.309,,1.27,1.022,0.691,1.401,1.22,1.931,0.56
1919,0.737,1.145,1.407,1.877,1.598,1.125,1.682,2.292,2.374,1.503,2.065,1.226,,1.097,0.661,0.707,1.402,1.351,2.191,0.42
1918,0.712,0.997,1.253,1.392,1.514,1.006,1.586,2.242,1.609,1.292,1.523,1.127,,1.727,0.549,0.686,1.385,1.304,3.31,0.69
1917,0.633,0.677,0.994,1.436,1.201,1.085,1.261,2.017,1.427,1.096,1.37,0.832,,1.416,0.455,0.603,0.843,1.219,2.26,0.421
1916,0.291,0.423,0.536,0.8,0.888,0.794,1.365,1.205,1.165,0.819,1.013,0.263,,0.969,0.267,0.601,0.853,0.803,1.9,0.296
1915,0.639,1.023,0.675,1.777,1.445,1.174,1.848,2.31,2.342,1.078,1.471,1.033,,1.867,0.849,0.579,1.074,1.323,2.788,0.552
1914,0.874,1.357,1.255,2.051,1.8,1.428,2.208,2.777,2.019,1.574,2.078,1.355,,2.563,0.989,0.8140001,1.096,1.542,3.341,0.758
1913,0.715,0.602,0.9590001,1.267,1.017,1.108,1.424,2.265,1.3,1.168,1.325,0.784,,1.67,0.503,0.646,0.601,1.18,2.199,0.673
1912,0.7,0.802,0.971,1.351,1.369,1.013,1.567,2.69,1.807,1.248,1.295,1.01,,1.564,0.438,0.74,0.7,1.136,1.767,0.606
1911,0.718,0.878,0.82,1.168,1.16,1.103,1.573,3.262,1.56,1.336,1.307,1.023,,1.437,0.61,0.69,0.905,1.114,1.6,0.665
1910,0.702,1.003,0.946,1.871,1.552,1.313,2.014,4.369,1.985,1.767,1.783,1.077,,2.045,0.595,0.666,1.071,1.141,2.083,0.792
1909,0.38,0.615,0.655,1.556,1.137,0.975,1.466,2.842,1.576,1.241,1.33,0.76,,1.38,0.501,0.372,0.725,1.05,,0.467
1908,0.717,0.95,1.02,2.135,1.702,1.117,2.061,3.062,1.974,1.856,1.885,1.103,,1.275,0.724,0.4,1.17,1.35,,0.626
1907,0.592,1.032,0.877,1.906,1.708,1.122,1.964,3.332,2.264,1.799,2.024,1.462,,1.554,1.118,0.47,1.46,1.274,,0.636
1906,0.741,0.967,0.844,1.825,1.355,0.999,1.81,2.292,2.759,1.385,1.477,1.362,,1.56,0.929,0.64,1.058,1.27,,0.495
1905,0.734,1.263,1.411,2.49,2.38,1.428,2.398,3.615,4.922,1.624,2.194,1.708,,2.564,1.179,0.554,1.143,1.706,,0.665
1904,0.737,1.242,1.252,2.335,2.35,1.472,1.928,3.748,2.65,1.923,2.01,1.219,,2.376,1.164,0.548,1.254,1.551,,0.611
1903,0.587,0.789,0.757,1.531,1.465,1.21,1.514,2.845,,1.33,1.622,0.805,,1.727,0.379,0.403,0.966,1.18,,0.334
1902,0.594,1.117,0.909,1.291,1.55,1.111,1.497,2.626,,1.675,1.528,1.07,,1.77,0.52,0.423,1.14,0.992,,0.392
1901,0.796,1.466,0.728,1.503,1.965,1.309,1.648,1.456,,1.801,1.851,1.136,,1.837,0.854,0.485,1.219,1.412,,0.375
1900,0.604,1.036,0.608,1.901,1.213,1.361,1.631,1.904,,2.112,1.607,0.97,,1.923,0.612,0.429,1.162,1.109,,0.64
1899,0.299,0.43,0.507,0.89,0.465,0.673,0.838,0.903,,0.839,0.794,0.473,,0.9850001,0.569,0.439,0.627,0.75,,0.402
1898,0.646,1.039,1.102,1.961,1.374,1.365,1.098,1.612,,1.664,1.446,0.977,,1.755,0.742,0.7320001,1.159,1.383,,0.851
1897,0.649,1.054,1.054,2.119,1.723,1.577,1.325,1.588,,1.877,1.844,1.195,,2.14,0.649,0.648,1.056,1.274,,1.238
1896,0.535,0.693,0.791,1.345,0.7550001,1.115,0.803,1.291,,1.317,1.201,0.88,,1.396,0.697,0.574,0.923,1.077,,0.896
1895,0.811,1.206,1.079,1.452,1.37,1.301,1.374,1.27,,2.02,1.577,1.382,,1.754,1.346,0.812,1.237,1.41,,1.478
1894,0.437,0.512,0.796,1.456,0.886,0.815,0.933,1.047,,1.274,1.135,0.988,,1.327,1.009,0.627,1.07,1.07,,0.583
1893,0.467,0.8470001,0.665,1.179,0.991,1.334,0.986,1.003,,1.294,1.489,1.225,,1.41,0.69,0.565,1.068,1.046,,1.108
1892,0.533,0.913,0.537,1.471,1.095,1.271,1.272,1.186,,1.365,1.389,1.41,,1.36,0.781,0.626,1.324,1.271,,1.13
1891,0.601,1.425,0.9220001,1.596,1.349,1.18,1.104,1.181,,1.573,1.596,1.412,,1.664,0.9680001,0.68,1.633,1.375,,1.229
1890,0.561,1.183,0.99,1.422,1.529,1.275,1.253,1.213,,1.654,1.904,1.318,,1.26,0.749,0.636,1.311,1.167,,0.941
1889,0.435,1.439,1.367,1.81,2.376,1.432,1.494,1.953,,2.008,1.755,1.387,,2.165,1.161,0.627,1.72,1.46,,1.056
1888,0.383,1.15,1.011,1.539,1.21,1.238,1.242,1.234,,1.498,1.529,1.131,,1.873,0.723,0.543,1.268,1.248,,0.8100001
1887,0.403,1.28,0.648,1.328,1.333,1.149,1.174,0.822,,1.294,1.442,0.851,,2.101,0.691,0.675,1.006,1.24,,0.688
1886,0.473,1.689,0.538,1.479,1.782,1.345,1.088,1.216,,1.759,2.019,1.292,,1.814,0.942,0.742,0.919,1.664,,0.979
1885,0.484,2.026,0.769,1.95,3.262,1.492,1.597,1.291,,2.077,2.168,0.986,,1.936,0.643,0.812,0.875,1.486,,1.349
1884,0.334,1.327,0.745,1.411,3.039,1.105,0.975,1.249,,2.203,1.846,0.84,,1.375,0.815,0.623,0.639,1.187,,1.125
1883,0.462,0.8340001,0.673,1.283,2.578,1.01,0.677,0.928,,1.746,1.942,0.813,,1.647,0.799,0.737,0.907,1.093,,0.936
1882,0.461,0.744,0.541,1.129,1.39,0.933,0.499,0.484,,0.757,1.042,0.547,,1.041,0.548,0.532,0.509,0.808,,0.618
1881,0.507,1.033,0.523,1.261,1.512,1.125,0.655,0.503,,1.117,1.395,0.621,,1.079,0.594,0.499,0.538,0.756,,0.725
1880,0.312,0.529,0.519,0.974,1.18,0.733,0.635,0.294,,0.521,1.161,0.521,,0.385,0.389,0.521,0.559,0.629,,0.47
