Year,R05,R15,R21,R23,R25,R26,R28,R30,R32,R39,R40,R48,R51,R53,R55,R59,R29,R34,R46,R27
1952,1.175,0.262,0.97,0.487,0.805,1.747,0.392,1.634,0.805,0.568,1.241,0.585,0.592,1.339,0.998,0.811,0.698,0.817,0.302,0.756
1951,0.966,0.242,0.877,0.371,0.694,,0.368,1.628,0.767,0.445,0.909,0.539,0.491,1.542,0.686,0.743,0.595,0.658,0.351,0.604
1950,0.6300001,0.264,0.6300001,0.244,0.374,,0.178,1.327,0.76,0.39,0.614,0.48,0.421,0.857,0.472,0.346,0.447,0.464,0.101,0.334
1949,0.687,0.264,0.785,0.33,0.436,,0.197,1.305,0.933,0.421,0.752,0.557,0.427,1.001,0.653,0.705,0.522,0.459,0.126,0.49
1948,0.855,0.293,0.686,0.351,0.464,,0.215,1.35,0.754,0.388,0.901,0.482,0.46,0.989,0.67,0.665,0.535,0.478,0.186,0.592
1947,0.8340001,0.304,0.697,0.389,0.444,,0.198,1.001,0.975,0.456,0.7090001,0.565,0.374,1.313,0.791,0.641,0.517,0.413,0.209,0.433
1946,0.831,0.286,0.825,0.443,0.595,,0.254,1.343,0.884,0.483,0.887,0.492,0.386,1.299,0.888,0.761,0.582,0.439,0.16,0.372
1945,1.162,0.272,0.993,0.644,0.6760001,,0.324,1.934,1.109,0.821,0.9590001,0.62,0.509,1.54,0.851,0.789,0.595,0.631,0.316,0.411
1944,0.954,0.296,0.896,0.359,0.556,,0.275,1.488,0.93,0.833,0.8430001,0.683,0.457,1.309,0.771,0.74,0.517,0.601,0.307,0.411
1943,0.934,0.273,0.773,0.317,0.531,,0.279,1.535,1.004,0.488,0.749,0.5280001,0.362,0.98,0.764,0.612,0.474,0.342,0.238,0.338
1942,1.141,0.25,0.911,0.356,0.695,,0.275,1.628,0.984,0.67,0.958,0.794,0.468,1.273,0.758,0.746,0.593,0.38,0.212,0.441
1941,1.199,0.351,1.186,0.37,0.731,,0.329,1.487,0.817,0.702,1.115,0.869,0.515,1.416,0.839,0.798,0.696,0.541,0.309,0.531
1940,1.213,0.295,0.971,0.383,0.705,,0.327,1.437,0.728,0.775,0.918,0.721,0.512,1.519,0.562,0.644,0.562,0.51,0.269,0.412
1939,1.122,0.373,1.047,0.443,0.891,,0.364,1.449,0.656,0.621,1,0.759,0.511,1.292,0.778,0.643,0.718,0.469,0.242,0.386
1938,1.241,0.351,0.949,0.44,0.859,,0.398,1.464,0.662,0.741,1.074,0.896,0.502,1.535,0.698,0.597,0.752,0.675,0.316,0.446
1937,0.718,0.301,0.725,0.298,0.623,,0.234,1.1,0.427,0.438,0.872,0.734,0.401,1.082,0.603,0.51,0.544,0.459,0.132,0.335
1936,0.837,0.275,0.66,0.27,0.5,,0.234,1.145,0.449,0.402,0.825,0.815,0.319,1.24,0.521,0.45,0.575,0.34,0.172,0.275
1935,0.8800001,0.268,0.595,0.354,0.579,,0.33,1.337,0.307,0.387,0.788,0.671,0.356,1.401,0.541,0.412,0.484,0.396,0.222,0.319
1934,0.762,0.189,0.595,0.228,0.545,,0.198,1.115,0.371,0.578,0.595,0.884,0.398,1.304,0.453,0.419,0.442,0.223,0.148,0.367
1933,0.666,0.318,0.403,0.226,0.593,,0.194,1.009,0.221,0.428,0.64,0.622,0.455,0.727,0.367,0.242,0.397,0.262,0.056,0.319
1932,0.829,0.327,0.487,0.333,0.625,,0.284,0.955,0.264,0.429,0.748,0.671,0.477,0.962,0.424,0.337,0.429,0.333,0.134,0.338
1931,1.075,0.308,0.637,0.362,0.636,,0.326,0.998,0.361,0.784,0.696,0.71,0.49,1.249,0.367,0.326,0.508,0.492,0.282,0.404
1930,0.979,0.322,0.672,0.304,0.7320001,,0.344,1.042,0.369,0.7320001,0.711,0.845,0.458,1.364,0.458,0.345,0.475,0.571,0.233,0.381
1929,0.8270001,0.389,0.516,0.298,0.616,,0.263,0.995,0.428,0.585,0.573,0.825,0.452,1.062,0.514,0.27,0.41,0.468,0.164,0.374
1928,1.103,0.371,0.545,0.314,0.623,,0.316,1.046,0.547,0.644,0.596,0.871,0.452,0.949,0.513,0.307,0.408,0.476,0.191,0.371
1927,0.8800001,0.352,0.498,0.281,0.612,,0.25,1.041,0.294,0.496,0.514,0.64,0.479,0.903,0.429,0.226,0.354,0.382,0.196,0.364
1926,0.804,0.308,0.693,0.269,0.545,,0.246,1.016,0.476,0.759,0.55,0.751,0.425,0.978,0.438,0.22,0.35,0.465,0.188,0.431
1925,1.046,0.414,0.7,0.338,0.638,,0.405,1.319,0.526,0.627,0.641,0.933,0.452,1.294,0.548,0.303,0.445,0.433,0.194,0.436
1924,1.295,0.372,0.763,0.315,0.623,,0.388,1.53,0.566,0.782,0.633,1.029,0.465,1.291,0.39,0.29,0.392,0.447,0.235,0.497
1923,0.9,0.365,0.46,0.321,0.486,,0.271,1.245,0.332,0.423,0.507,0.619,0.33,0.914,0.343,0.243,0.295,0.281,0.147,0.431
1922,0.859,0.335,0.546,0.23,0.5510001,,0.236,1.141,0.537,0.704,0.556,0.82,0.415,1.075,0.227,0.17,0.377,0.471,0.179,0.483
1921,0.833,0.328,0.419,0.224,0.438,,0.161,0.949,0.582,0.522,0.585,0.663,0.402,0.785,0.293,0.113,0.358,0.323,0.104,0.455
1920,1.31,0.383,0.73,0.36,0.585,,0.312,1.392,0.738,0.857,0.813,0.979,0.455,0.946,0.315,0.239,0.473,0.703,0.241,0.625
1919,1.324,0.443,0.736,0.395,0.73,,0.333,1.408,0.744,0.688,0.864,0.924,0.431,0.92,0.406,0.368,0.506,0.668,0.243,0.579
1918,1.285,0.393,0.621,0.318,0.708,,0.333,1.433,0.8270001,0.706,0.77,0.905,0.447,1.051,0.227,0.331,0.448,0.649,0.243,0.485
1917,0.941,0.224,0.484,0.275,0.536,,0.234,1.285,0.42,0.64,0.631,0.642,0.327,0.782,0.121,0.18,0.314,0.441,0.083,0.336
1916,0.85,0.306,0.267,0.34,0.55,,0.252,0.934,0.689,0.447,0.77,0.556,0.274,0.734,0.227,0.32,0.336,0.283,0.155,0.438
1915,0.919,0.347,0.442,0.345,0.51,,0.286,0.969,0.661,0.858,0.878,0.818,0.279,0.995,0.303,0.319,0.421,0.485,0.172,0.452
1914,1.26,0.393,0.489,0.331,0.608,,0.374,1.158,0.691,1.012,0.873,1.019,0.378,1.061,0.304,0.29,0.574,0.6530001,0.161,0.494
1913,0.609,0.384,0.287,0.237,0.434,,0.191,0.988,0.503,0.622,0.634,0.596,0.41,0.736,0.203,0.267,0.402,0.442,0.116,0.42
1912,0.875,0.395,0.314,0.399,0.558,,0.232,1.059,0.626,0.7090001,0.672,0.802,0.481,0.992,0.104,0.317,0.474,0.558,0.172,0.525
1911,1.115,0.419,0.444,0.337,0.575,,0.295,0.951,0.556,0.864,0.642,0.895,0.346,0.9310001,0.18,0.403,0.453,0.611,0.243,0.523
1910,0.858,0.414,0.581,0.383,0.715,,0.358,1.087,0.784,0.9520001,0.718,0.945,0.393,1.223,0.298,0.404,0.531,0.579,0.205,0.58
1909,0.854,0.373,0.353,0.321,0.652,,0.185,1.074,0.55,0.742,0.714,0.825,0.349,1.362,0.312,0.367,0.42,0.502,0.134,0.599
1908,1.101,0.413,0.5280001,0.37,0.821,,0.344,1.54,0.515,0.923,1.016,0.986,0.432,1.335,0.223,0.429,0.476,0.622,0.177,0.6760001
1907,1.407,0.458,0.608,0.444,0.836,,0.384,1.582,0.817,1.176,1.116,1.105,0.494,1.662,0.246,0.431,0.484,0.703,0.23,0.742
1906,0.694,0.343,0.736,0.382,0.772,,0.352,1.236,0.577,1.031,0.8140001,0.978,0.426,1.362,0.316,0.359,0.405,0.535,0.201,0.486
1905,1.102,0.387,0.9220001,0.402,0.807,,0.359,1.548,0.868,0.919,0.934,0.987,0.428,1.268,0.208,0.409,0.441,0.614,0.267,0.481
1904,1.231,0.434,0.967,0.45,0.805,,0.436,2.023,0.947,0.837,0.789,1.122,0.558,1.198,0.293,0.426,0.52,0.639,0.174,0.406
1903,0.8850001,0.357,0.663,0.372,0.56,,0.322,1.359,0.661,0.539,0.792,0.605,0.478,0.441,0.279,0.378,0.455,0.429,0.202,0.335
1902,0.719,0.386,0.845,0.356,0.495,,0.318,1.509,0.686,0.731,0.933,0.7780001,0.366,0.594,0.246,0.403,0.384,0.476,0.173,0.296
1901,0.567,0.349,0.561,0.384,0.47,,0.275,1.739,0.813,0.663,1.012,0.768,0.364,0.598,0.222,0.397,0.397,0.357,0.154,0.347
1900,0.8890001,0.297,0.578,0.279,0.475,,0.37,1.181,0.7090001,0.609,0.8800001,0.703,0.367,0.87,0.219,0.501,0.369,0.444,0.161,0.436
1899,0.46,0.15,0.152,0.208,0.218,,0.17,0.615,0.388,0.242,0.371,0.269,0.193,0.439,0.226,0.229,0.175,0.162,0.198,0.262
1898,0.68,0.303,0.848,0.408,0.706,,0.258,1.747,0.892,0.908,1.029,0.696,0.442,0.804,0.219,0.41,0.359,0.498,0.222,0.457
1897,0.644,0.304,0.8800001,0.476,0.734,,0.304,1.764,0.764,0.805,1.038,0.8060001,0.394,0.8010001,0.48,0.397,0.377,0.478,0.188,0.459
1896,0.581,0.321,0.408,0.407,0.656,,0.253,1.246,0.353,0.678,0.716,0.546,0.371,0.642,0.479,0.221,0.403,0.42,0.174,0.385
1895,0.492,0.265,0.567,0.396,0.566,,0.277,0.848,0.38,0.674,0.724,0.809,0.381,0.696,0.435,0.378,0.295,0.319,0.201,0.392
1894,0.511,0.191,0.275,0.302,0.288,,0.185,0.6530001,0.299,0.51,0.41,0.593,0.287,0.543,0.331,0.245,0.208,0.245,0.06,0.23
1893,0.516,0.294,0.438,0.492,0.501,,0.289,1.212,0.663,0.523,0.597,0.752,0.412,0.726,0.305,0.285,0.31,0.523,0.098,0.413
1892,0.504,0.306,0.315,0.499,0.4,,0.179,0.899,0.494,0.622,0.547,0.837,0.408,0.608,0.35,0.259,0.356,0.42,0.095,0.372
1891,0.672,0.296,0.421,0.396,0.508,,0.26,0.855,0.675,0.835,0.8,0.974,0.434,0.799,0.358,0.39,0.435,0.504,0.212,0.532
1890,0.521,0.287,0.397,0.445,0.532,,0.262,1.084,0.993,0.776,0.955,0.892,0.418,0.522,0.349,0.37,0.394,0.419,0.199,0.457
1889,0.759,0.393,0.76,0.511,0.582,,0.291,1.535,1.024,0.895,1.114,1.298,0.565,,0.349,0.467,0.509,0.558,0.282,0.534
1888,0.708,0.322,0.461,0.384,0.597,,0.297,1.238,0.559,0.758,0.811,0.788,0.587,,0.34,0.342,0.5,0.429,0.247,0.447
1887,0.734,0.312,0.563,0.431,0.484,,0.249,1.358,0.62,0.565,0.596,0.658,0.471,,0.251,0.359,0.445,0.456,0.135,0.356
1886,0.791,0.348,0.718,0.481,0.533,,0.287,1.276,0.672,0.739,0.792,0.796,0.585,,0.348,0.513,0.441,0.48,0.34,0.492
1885,0.529,0.364,0.58,0.459,0.456,,0.239,1.423,0.721,0.665,0.771,0.687,0.459,,0.488,0.413,0.579,0.532,0.255,0.467
1884,0.723,0.363,0.54,0.49,0.399,,0.179,1.21,0.824,0.516,0.631,0.6,0.533,,0.503,0.426,0.489,0.386,0.261,0.312
1883,1.365,0.38,0.775,0.565,0.46,,0.318,1.267,0.422,0.434,0.636,0.684,0.496,,0.509,0.469,0.49,0.501,0.275,0.366
1882,0.821,0.321,0.492,0.334,0.256,,0.177,0.592,0.295,0.415,0.421,0.361,0.357,,0.222,0.389,0.179,0.331,0.127,0.193
1881,0.824,0.279,0.5840001,0.441,0.323,,0.257,0.903,0.424,0.491,0.68,0.592,0.326,,0.364,0.46,0.3,0.43,0.191,0.334
1880,0.642,0.248,0.358,0.355,0.223,,0.175,0.742,0.282,0.244,0.479,0.429,0.156,,0.285,0.414,0.252,0.244,0.203,0.243
