Year,R01,R03,R06,R08,R10,R12,R14,R16,R19,R31,R37,R38,R42,R43,R45,R50,R54,R56,R57
1998,0.96,0.96,0.346,1.326,1.51,1.031,0.997,1.011,2.614,1.786,0.5510001,1.105,0.389,0.99,0.7,0.727,0.403,0.789,2.716
1997,0.537,0.336,0.227,0.825,0.49,0.634,0.435,0.5840001,1.411,1.117,0.273,0.461,0.233,0.541,0.326,0.299,0.115,0.461,1.902
1996,0.773,0.822,0.342,1.163,1.011,0.91,0.869,0.978,2.292,1.34,0.428,0.91,0.267,0.824,0.461,0.599,0.204,0.882,2.434
1995,0.582,0.713,0.326,0.993,1.018,0.829,0.741,0.884,2.323,1.264,0.335,0.98,0.242,0.619,0.407,0.511,0.265,0.775,2.495
1994,0.724,0.9260001,0.364,1.157,1.142,0.862,0.8890001,0.838,3.153,1.293,0.35,1.21,0.298,0.754,0.481,0.673,0.264,1.161,2.697
1993,0.444,0.501,0.229,0.686,0.617,0.642,0.5510001,0.576,1.847,0.992,0.361,0.628,0.253,0.454,0.31,0.418,0.136,0.486,1.913
1992,0.609,0.878,0.38,1.015,0.998,0.692,0.804,0.869,2.918,1.235,0.281,1.151,0.262,0.6300001,0.338,0.574,0.241,0.776,2.584
1991,0.433,0.582,0.278,0.768,0.681,0.616,0.619,0.638,2.156,0.807,0.257,0.996,0.237,0.432,0.248,0.305,0.165,0.734,2.639
1990,0.743,1.022,0.399,1.226,1.39,0.93,0.973,0.941,3.202,1.18,0.381,1.857,0.295,0.593,0.429,0.545,0.456,1.219,3.441
1989,0.52,0.703,0.331,0.786,0.936,0.73,0.632,0.669,1.778,0.803,0.238,1.082,0.275,0.292,0.297,0.377,0.248,0.759,2.406
1988,0.707,0.75,0.392,0.857,1.053,0.773,0.805,0.649,2.199,0.85,0.326,1.053,0.285,0.408,0.374,0.456,0.269,0.759,2.718
1987,0.83,0.888,0.443,0.962,1.239,0.692,0.823,0.669,2.432,0.846,0.331,1.132,0.326,0.521,0.561,0.622,0.235,0.911,2.727
1986,0.647,0.665,0.424,0.788,0.986,0.569,0.69,0.587,1.852,0.616,0.329,1.01,0.284,0.481,0.457,0.494,0.219,0.746,2.443
1985,0.708,0.919,0.402,0.961,1.269,0.734,0.757,0.636,2.391,0.8010001,0.315,1.368,0.327,0.602,0.53,0.527,0.258,1.077,2.184
1984,0.702,1.07,0.435,0.995,1.482,0.642,0.8470001,0.636,2.467,0.951,0.3,1.539,0.312,0.54,0.566,0.66,0.272,1.219,2.69
1983,0.598,0.679,0.339,0.663,1.137,0.377,0.5510001,0.552,1.916,0.672,0.273,1.257,0.226,0.339,0.42,0.495,0.198,0.946,2.167
1982,0.583,0.664,0.355,1.011,0.929,0.412,0.587,0.597,1.952,0.694,0.216,1.128,0.248,0.254,0.376,0.388,0.228,1.07,1.977
1981,0.752,0.95,0.431,1.035,1.506,0.448,0.711,0.702,3.039,0.99,0.255,1.782,0.347,0.471,0.5840001,0.728,0.369,1.396,3.071
1980,0.911,0.983,0.411,1.027,1.338,0.54,0.78,0.712,2.763,0.901,0.338,1.59,0.389,0.476,0.683,0.748,0.323,0.837,3
1979,0.713,0.763,0.389,0.785,1.103,0.537,0.733,0.579,2.258,0.766,0.352,1.511,0.437,0.385,0.588,0.713,0.331,0.751,2.013
1978,0.573,0.666,0.344,0.677,0.792,0.364,0.672,0.526,2.618,0.722,0.342,1.586,0.331,0.381,0.516,0.681,0.412,0.678,2.514
1977,0.8060001,1.11,0.467,0.8430001,1.017,0.521,0.715,0.574,3.261,0.8560001,0.474,1.492,0.473,0.678,0.746,0.938,0.379,0.866,2.499
1976,0.475,0.5510001,0.308,0.838,0.728,0.337,0.503,0.494,1.861,0.645,0.285,0.793,0.325,0.349,0.469,0.477,0.166,0.526,1.906
1975,0.6300001,0.85,0.36,0.807,0.704,0.333,0.623,0.496,2.238,0.761,0.438,0.844,0.419,0.529,0.632,0.654,0.328,0.791,2.142
1974,0.413,0.516,0.225,0.652,0.53,0.261,0.475,0.355,1.506,0.558,0.28,0.614,0.327,0.329,0.461,0.467,0.168,0.52,1.548
1973,0.702,0.971,0.405,0.898,0.943,0.477,0.61,0.652,2.435,0.725,0.503,1.201,0.501,0.76,0.688,0.811,0.363,0.944,2.484
1972,0.475,0.645,0.294,0.67,0.503,0.209,0.415,0.419,1.334,0.559,0.277,0.839,0.386,0.461,0.501,0.537,0.206,0.6530001,1.543
1971,0.694,0.92,0.349,1.221,0.998,0.669,0.643,0.707,2.438,0.746,0.34,1.278,0.449,0.695,0.786,0.726,0.265,0.863,1.95
1970,0.763,1.063,0.401,1.299,1.155,0.831,0.818,0.8600001,2.548,0.928,0.449,1.851,0.522,0.616,0.9220001,0.9520001,0.468,0.98,2.332
1969,0.686,0.924,0.39,0.9770001,1.113,0.597,0.826,0.928,2.123,0.804,0.36,1.747,0.492,0.372,0.702,0.805,0.34,1.028,2.396
1968,0.714,1.062,0.346,0.8,1.288,0.463,0.711,0.786,2.384,0.8800001,0.407,1.859,0.461,0.471,0.642,1.002,0.438,0.948,2.72
1967,0.735,1.011,0.386,0.912,1.277,0.56,0.9220001,0.8010001,2.865,0.888,0.492,1.932,0.567,0.739,0.851,0.928,0.465,1.057,2.141
1966,0.706,0.986,0.33,0.8520001,1.048,0.493,0.811,0.677,2.448,0.771,0.477,1.668,0.456,0.704,0.826,0.725,0.408,0.905,2.063
1965,0.7,1.043,0.353,0.85,0.94,0.558,0.855,0.919,2.581,0.72,0.395,1.574,0.563,0.753,0.9020001,0.746,0.601,0.9680001,2.493
1964,0.622,0.685,0.26,0.688,1.009,0.377,0.557,0.735,1.721,0.557,0.391,0.975,0.493,0.362,0.556,0.59,0.258,0.822,1.742
1963,0.774,1.105,0.38,0.812,1.579,0.487,0.767,0.8930001,2.738,0.722,0.519,1.731,0.552,0.582,0.705,0.783,0.44,1.023,2.637
1962,0.646,0.838,0.355,0.684,1.157,0.486,0.565,0.862,2.442,0.629,0.484,1.321,0.432,0.491,0.618,0.675,0.388,0.832,2.077
1961,0.704,1.136,0.38,0.751,1.173,0.689,0.752,0.954,3.445,0.643,0.558,1.848,0.53,0.59,0.632,0.582,0.538,0.996,1.754
1960,0.725,1.14,0.473,0.875,1.502,0.58,0.772,0.994,3.351,0.507,0.543,2.075,0.473,0.647,0.643,0.721,0.498,0.9260001,2.237
1959,0.532,0.576,0.28,0.779,1.007,0.496,0.535,0.686,2.603,0.515,0.471,1.356,0.434,0.497,0.536,0.564,0.382,0.572,1.841
1958,0.736,0.881,0.422,1.096,1.092,0.705,0.495,0.837,3.555,0.609,0.632,1.547,0.61,0.851,0.617,0.783,0.521,0.845,1.712
1957,0.673,0.569,0.436,0.749,0.914,0.595,0.57,0.669,1.964,0.685,0.655,1.07,0.624,0.664,0.611,0.669,0.419,0.668,1.515
1956,0.502,0.491,0.306,0.524,0.796,0.559,0.572,0.66,2.058,0.577,0.523,0.784,0.467,0.685,0.443,0.315,0.243,0.441,1.32
1955,0.628,0.615,0.388,0.67,0.896,0.577,0.692,0.822,2.019,0.554,0.581,0.945,0.652,0.7090001,0.68,0.659,0.246,0.589,1.624
1954,0.545,0.463,0.33,0.683,0.909,0.59,0.572,0.776,1.5,0.554,0.474,0.862,0.552,0.53,0.576,0.549,0.222,0.614,1.455
1953,0.689,0.807,0.377,0.786,0.8140001,0.695,0.613,0.733,2.473,0.745,0.526,1.192,0.633,0.663,0.56,0.862,0.363,0.745,2.029
1952,0.646,0.8470001,0.429,0.823,0.85,0.645,0.664,0.763,2.852,0.832,0.692,1.347,0.624,0.817,0.622,0.94,0.47,0.7,1.373
1951,0.805,0.825,0.616,0.898,0.9520001,0.598,0.787,0.794,3.19,0.8430001,0.792,1.913,1.017,1.168,0.824,1.053,0.588,0.986,1.692
1950,0.638,0.633,0.556,0.874,0.804,0.627,0.762,1.024,2.193,0.825,0.711,1.385,0.907,0.815,0.9220001,0.969,0.383,0.903,1.26
1949,0.687,0.613,0.511,0.669,0.762,0.5,0.836,0.934,1.82,0.851,0.776,1.138,0.742,0.665,0.701,0.891,0.358,0.797,1.598
1948,0.925,0.983,0.731,1.109,1.237,0.666,1.268,1.253,2.058,0.95,0.8850001,1.522,0.95,0.888,0.995,1.127,0.524,1.149,1.601
1947,0.678,0.799,0.553,0.661,0.943,0.423,0.858,0.791,1.65,0.917,0.689,1.058,0.697,0.608,0.749,0.779,0.34,0.815,1.862
1946,0.833,0.936,0.64,0.777,1.132,0.425,0.95,0.936,2.044,1.03,0.744,1.394,0.6760001,0.686,0.67,0.992,0.312,0.912,1.717
1945,1.059,1.607,0.807,1.049,0.928,0.597,1.59,1.163,3.344,1.277,0.978,2.206,0.864,1.048,1.036,1.325,0.54,1.28,2.585
1944,1.086,1.37,0.742,1.046,1.451,0.602,1.564,0.907,3.265,1.265,0.9020001,2.046,0.901,0.948,0.854,1.202,0.59,1.127,2.406
1943,0.894,1.183,0.668,0.8800001,1.33,0.649,1.332,0.979,2.444,1.082,0.779,1.657,0.8430001,0.734,0.636,1.007,0.444,0.944,1.712
1942,1.016,1.361,0.646,0.9350001,1.525,0.645,1.278,1.068,3.416,1.119,0.947,2.575,0.8850001,0.8140001,0.722,1.266,0.531,0.982,2.234
1941,1.211,1.675,0.799,1.002,1.708,0.752,1.437,0.854,4.14,1.037,1.008,2.565,1.036,1.092,0.854,1.472,0.47,0.971,2.613
1940,1.291,1.724,0.773,1.128,1.503,0.794,1.359,0.897,3.843,1.198,0.914,2.58,0.911,0.9,1.029,1.259,0.562,0.929,3.265
1939,1.134,1.403,0.692,0.8800001,1.407,0.739,1.139,0.964,3.104,1.076,0.8060001,1.995,0.727,0.815,0.682,0.962,0.276,0.747,1.316
1938,1.206,1.557,0.9,1.06,1.819,0.7,1.171,1.016,3.514,1.232,0.769,2.497,0.809,0.964,0.991,0.887,0.419,0.987,0.983
1937,1.065,1.211,0.84,1.015,1.21,0.67,1.134,1.249,2.679,1.065,0.646,1.692,0.886,0.783,0.807,0.804,0.306,0.879,1.379
1936,1.066,1.317,0.815,1.024,1.52,0.596,1.054,1.148,2.519,1.073,0.556,1.736,0.911,0.784,0.842,0.636,0.382,1.012,
1935,1.089,1.409,0.971,1.214,1.739,0.829,1.117,1.343,2.579,1.237,0.769,2.077,0.924,1.071,1.098,0.857,0.365,1.088,
1934,0.924,1.16,0.83,0.785,1.678,0.561,0.988,1.108,2.478,1.2,0.556,2.215,0.763,1.032,0.745,1.136,0.305,1.098,
1933,0.948,1,0.8100001,0.863,1.682,0.6760001,1.041,1.169,2.008,1.205,0.611,1.513,0.657,0.733,0.699,0.961,0.261,1.046,
1932,0.854,1.208,0.744,0.8010001,1.673,0.748,1.15,1.164,1.929,1.126,0.705,1.778,0.659,0.7,0.774,0.958,0.24,0.914,
1931,0.995,1.428,0.803,0.724,1.741,0.896,1.1,1.293,2.598,1.338,0.632,2.004,0.638,0.739,0.664,1.283,0.381,0.8520001,
1930,1.028,1.31,0.718,0.652,1.684,0.8060001,1.077,1.198,2.602,1.258,0.548,2.09,0.68,0.782,0.888,1.125,0.327,0.923,
1929,1.002,1.147,0.71,0.692,1.536,0.656,1.075,0.951,2.06,1.217,0.637,2.004,0.648,0.736,0.761,1.053,0.316,0.934,
1928,0.813,1.185,0.644,0.7550001,1.647,0.566,1.147,1.142,2.322,1.081,0.599,1.995,0.512,0.846,0.667,0.839,0.288,0.929,
1927,0.8140001,1.098,0.596,0.739,1.441,0.608,0.883,1.191,1.8,1.13,0.526,1.839,0.419,0.677,0.5,1.034,0.259,0.784,
1926,0.8140001,1.262,0.6070001,0.617,1.086,0.529,0.873,1.167,2.751,1.009,0.549,1.908,0.53,0.683,0.555,1.161,0.293,0.708,
1925,0.8270001,1.198,0.608,0.6300001,1.197,0.581,0.819,1.161,2.542,0.957,0.498,1.572,0.535,0.733,0.562,0.976,0.314,0.808,
1924,0.945,1.285,0.668,0.67,1.013,0.606,0.8340001,1.206,2.15,0.9,0.569,1.628,0.491,0.69,0.567,1.123,0.384,0.967,
1923,0.99,1.041,0.559,0.698,0.9310001,0.601,0.8270001,1.188,1.929,0.9,0.51,1.397,0.672,0.587,0.527,0.933,0.307,1.013,
1922,0.955,1.408,0.763,0.851,0.995,0.883,1.133,1.11,2.102,0.849,0.623,1.691,0.673,0.937,0.761,1.052,0.387,1.033,
1921,0.706,1.172,0.595,0.72,0.794,0.704,1.052,1.09,1.492,0.703,0.48,1.154,0.678,0.656,0.504,0.858,0.166,0.896,
1920,0.958,1.563,0.792,0.929,1.016,0.873,1.298,1.217,1.964,1.052,0.46,1.868,0.708,0.85,0.669,1.295,0.3,1.031,
1919,0.954,1.392,0.586,0.862,1.09,0.76,1.067,1.052,2.129,0.9680001,0.687,1.379,0.627,0.787,0.594,1.155,0.282,0.838,
1918,1.049,1.479,0.713,0.857,1.119,0.673,1.008,1.078,2.564,1.206,0.916,1.669,0.625,0.913,0.705,1.177,0.376,0.658,
1917,0.848,1.127,0.609,0.601,0.937,0.416,0.808,0.8140001,1.733,0.942,0.734,1.146,0.657,0.631,0.606,1.092,0.279,0.48,
1916,0.742,0.996,0.473,0.642,1.203,0.525,1.035,0.802,1.094,0.8560001,0.536,1.064,0.552,0.722,0.495,0.791,0.183,0.41,
1915,0.904,1.343,0.724,0.707,1.159,0.525,1.018,1.029,2.004,0.97,0.748,1.981,0.645,0.83,0.818,1.267,0.284,0.562,
1914,1.082,1.61,0.771,0.816,1.377,0.618,1.222,1.152,2.367,1.16,0.9060001,2.031,0.688,0.747,0.836,1.279,0.344,0.7320001,
1913,1.159,1.226,0.7,0.911,1.218,0.412,0.978,1.015,1.934,0.884,0.738,1.323,0.662,0.743,0.714,1.052,0.234,0.618,
1912,1.08,1.362,0.65,0.874,1.154,0.362,1.11,0.913,2.027,1.005,0.825,1.379,0.619,0.721,0.711,0.953,0.258,0.438,
1911,1.206,1.501,0.669,0.923,1.452,0.462,1.162,1.048,2.314,0.962,0.934,1.747,0.718,0.7320001,0.863,1.169,0.283,0.324,
1910,1.013,1.383,0.648,0.616,1.176,0.5280001,0.962,0.875,2.092,0.913,0.605,1.339,0.577,0.684,0.613,1.077,0.255,0.367,
1909,1.078,1.372,0.734,0.817,1.302,0.719,1.016,1.055,1.965,0.9,0.562,1.452,0.538,0.735,0.716,0.93,0.203,0.244,
1908,1.453,1.804,0.846,1.106,1.631,0.824,1.175,1.283,2.48,0.891,0.648,1.89,0.728,0.891,0.846,0.9260001,0.302,0.257,
1907,1.205,1.753,0.706,0.99,1.53,0.776,1.18,1.117,2.299,0.808,0.83,1.739,0.769,0.744,0.786,0.986,0.301,0.344,
1906,1.05,1.3,0.503,0.516,1.475,0.64,0.784,1.028,1.986,0.631,0.613,1.729,0.54,0.598,0.594,0.909,0.217,0.228,
1905,1.132,1.476,0.654,0.787,1.519,0.701,0.839,0.925,,0.751,0.848,1.422,0.736,0.705,0.799,1.047,0.291,0.231,
1904,1.369,1.544,0.684,1.265,1.708,0.865,1.017,1.157,,0.937,0.901,1.405,0.87,1.032,1.044,0.872,0.353,0.323,
1903,1.139,1.127,0.59,0.953,1.203,0.748,0.8560001,0.909,,0.79,0.751,1.077,0.853,0.854,0.79,0.544,0.29,0.207,
1902,1.261,1.31,0.67,1.125,1.276,0.666,0.9520001,0.9520001,,0.925,0.75,1.435,0.854,0.8100001,0.949,0.565,0.305,0.224,
1901,1.157,1.418,0.663,1.01,1.316,0.611,0.8,0.948,,0.864,0.554,1.498,0.703,0.7550001,1.037,0.536,0.256,0.182,
1900,0.996,1.036,0.64,0.853,1.044,0.538,0.738,0.958,,0.909,0.588,0.886,0.609,0.728,0.875,0.476,0.3,0.179,
1899,0.674,0.642,0.455,0.481,0.646,0.315,0.538,0.672,,0.487,0.323,0.415,0.511,0.306,0.737,0.26,0.112,0.054,
1898,1.207,1.544,0.72,0.689,1.347,0.628,1.037,0.91,,0.873,0.728,1.351,0.636,0.651,0.652,0.482,0.32,0.146,
1897,0.805,1.253,0.6300001,0.538,1.062,0.561,0.879,0.691,,0.795,0.546,1.036,0.483,0.565,0.574,0.558,0.27,0.158,
1896,0.839,1.174,0.669,0.724,1.09,0.779,0.8850001,0.853,,0.689,0.473,0.921,0.546,0.585,0.628,0.462,0.277,0.17,
1895,0.909,1.392,0.858,0.832,1.228,0.726,1.125,0.853,,0.879,0.622,1.369,0.574,0.637,0.783,0.737,0.322,0.152,
1894,0.768,1.057,0.655,0.601,0.9350001,0.486,0.674,0.862,,0.723,0.403,0.884,0.467,0.537,0.532,0.6300001,0.226,0.126,
1893,1.102,1.293,0.9520001,0.883,1.447,0.457,0.724,1.046,,0.953,0.508,1.023,0.617,0.619,0.68,0.643,0.241,0.108,
1892,1.149,1.09,0.758,0.823,1.561,0.5510001,0.858,1.011,,0.575,0.47,1.149,0.698,0.455,0.5840001,0.612,0.226,0.075,
1891,1.593,1.319,0.832,0.898,1.651,0.714,1.113,1.088,,0.913,0.582,1.359,0.705,0.642,0.614,0.9,0.418,0.146,
1890,1.174,1.394,0.8340001,0.864,1.616,0.845,0.9720001,1.092,,0.84,0.621,1.269,0.743,0.602,1.008,0.969,0.328,0.149,
1889,0.883,1.404,0.707,0.848,1.481,0.762,0.984,0.855,,0.9260001,0.542,1.456,0.869,0.78,0.773,0.876,0.324,0.186,
1888,1.009,1.414,0.808,0.8060001,1.515,0.659,0.8140001,0.683,,0.743,0.468,1.205,0.726,0.728,0.706,0.945,0.381,0.146,
1887,0.699,1.242,0.609,0.692,1.311,0.437,0.786,0.651,,0.702,0.465,0.94,0.633,0.606,0.425,0.879,0.25,0.11,
1886,0.908,1.787,0.785,0.863,1.675,0.748,1.041,0.78,,0.722,0.593,1.235,0.822,0.819,0.637,1.218,0.412,0.142,
1885,0.76,1.618,0.745,0.724,1.186,0.7,1.174,0.672,,0.675,0.519,1.246,0.715,0.567,0.557,1.087,0.353,0.144,
1884,0.687,1.087,0.691,0.703,0.874,0.591,0.8520001,0.588,,0.697,0.452,0.8890001,0.71,0.522,0.55,0.69,0.316,0.104,
1883,0.857,1.42,0.898,0.818,1.29,0.708,1.254,0.682,,0.7780001,0.349,1.007,0.781,0.818,0.8850001,0.695,0.385,0.15,
1882,0.879,1.153,0.836,0.74,1.135,0.515,0.897,0.664,,0.735,0.467,0.791,0.752,0.681,0.637,0.705,0.326,0.118,
1881,0.682,0.929,0.79,0.556,1.055,0.44,0.803,0.697,,0.695,0.402,0.705,0.632,0.526,0.599,0.6760001,0.263,0.196,
1880,0.697,0.845,0.736,0.549,0.78,0.422,0.7550001,0.622,,0.649,0.44,0.431,0.609,0.421,0.301,0.552,0.115,0.137,
