Year,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79
1985,1.065,0.425,2.346,0.68,1.538,0.296,0.832,1.128,1.782,1.842,2.282,0.936,2.407,0.561,0.706,2.258,2.699,0.474,0.836
1984,1.276,0.482,2.035,0.811,1.29,0.314,0.8,1.301,1.785,1.317,2.538,0.853,2.721,0.624,0.726,2.694,2.704,0.55,0.851
1983,0.97,0.363,1.843,0.47,1.224,0.187,0.598,1.079,1.578,1.314,2.563,0.875,2.544,0.705,0.473,2.445,2.66,0.382,0.716
1982,0.868,0.353,1.821,0.561,1.119,0.163,0.583,0.925,1.442,1.065,1.884,0.868,1.797,0.927,0.467,2.006,2.201,0.369,0.786
1981,1.222,0.491,2.856,0.738,1.535,0.325,1.008,1.245,1.845,1.106,2.669,1.199,2.728,1.551,0.721,3.004,2.697,0.669,0.958
1980,1.461,0.455,2.572,0.701,1.448,0.371,1.036,1.37,1.836,0.803,2.747,1.285,2.881,1.516,0.748,2.945,2.672,0.667,0.9810001
1979,1.719,0.393,2.703,0.8430001,1.682,0.324,0.759,1.273,1.884,0.738,2.81,1.273,2.65,1.362,0.525,2.679,2.979,0.586,0.792
1978,2.138,0.355,2.884,0.894,1.638,0.347,0.765,1.377,1.879,0.612,3.141,1.436,3.384,1.311,0.515,2.623,3.063,0.525,0.864
1977,2.764,0.59,4.072,1.102,1.856,0.488,1.266,1.891,2.422,0.956,3.737,1.772,4.267,1.816,0.881,2.973,3.145,0.805,1.482
1976,1.899,0.49,3.083,0.658,1.556,0.43,0.915,1.876,2.254,0.674,2.72,1.115,3.055,1.44,0.574,2.529,2.18,0.587,1.11
1975,2.01,0.436,3.832,0.722,1.448,0.279,0.799,1.747,2.814,0.703,3.423,1.091,3.693,1.683,0.61,2.457,2.169,0.692,0.946
1974,1.205,0.351,3.187,0.533,1.033,0.227,0.489,1.222,1.931,0.457,3.256,1.004,2.758,1.34,0.433,1.408,1.628,0.554,0.683
1973,2.064,0.521,3.805,0.797,1.252,0.485,0.956,2.036,3.26,0.539,4.388,1.678,4.167,2.095,0.637,2.279,2.24,0.669,1.115
1972,1.12,0.264,2.548,0.804,1.119,0.356,0.611,1.207,1.605,0.361,2.907,1.031,2.686,1.477,0.421,1.115,1.701,0.519,0.798
1971,1.189,0.465,2.359,0.836,1.015,0.345,0.956,1.503,1.651,0.485,2.592,1.106,2.645,2.031,0.559,1.589,2.203,0.839,1.27
1970,1.916,0.5050001,2.702,0.879,1.609,0.391,1.212,1.708,2.036,0.858,4.061,1.536,2.577,2.027,0.71,2.324,2.9,1.268,1.642
1969,1.908,0.461,2.745,0.9770001,1.523,0.314,1.041,1.871,2.074,0.688,3.507,1.733,2.704,2.219,0.511,2.518,2.668,1.121,1.617
1968,2.028,0.405,1.789,0.858,1.344,0.371,1.065,1.911,2.609,0.649,3.697,1.695,3.192,2.365,0.635,2.829,2.596,0.928,1.533
1967,1.954,0.449,2.759,1.12,1.588,0.42,1.047,1.589,2.516,0.679,4.113,1.759,3.045,2.551,0.512,3.03,2.961,1.331,1.763
1966,2.016,0.623,2.57,1.002,1.834,0.549,1.387,1.718,2.936,0.548,3.784,2.321,2.729,2.161,0.636,2.723,3.12,1.304,1.559
1965,2.076,0.488,3.121,0.994,2.07,0.495,1.462,1.694,3.52,0.838,3.828,2.085,2.907,2.365,0.581,2.157,3.267,1.5,1.595
1964,0.962,0.382,1.502,0.697,1.371,0.256,0.69,1.317,1.598,0.534,2.245,1.394,0.837,1.619,0.346,1.24,1.798,0.905,0.917
1963,1.603,0.441,2.051,0.908,1.476,0.461,1.139,2.067,2.445,0.679,3.131,2.361,1.925,2.208,0.611,3.091,2.047,0.907,1.152
1962,1.235,0.507,1.726,0.911,1.599,0.435,0.9310001,1.908,2.313,0.48,2.532,1.882,1.507,2.124,0.568,2.721,2.654,0.923,1.324
1961,1.31,0.451,1.907,0.742,1.449,0.407,0.874,2.067,2.336,0.484,2.892,2.256,2.337,2.313,0.486,2.648,2.783,1.222,1.164
1960,1.635,0.555,2.569,0.87,1.518,0.507,0.996,2.727,2.884,0.613,2.706,3.03,5.764,2.225,0.657,3.288,2.788,0.736,0.991
1959,1.38,0.456,2.602,0.637,1.283,0.325,0.714,2.163,2.11,0.474,2.133,2.261,2.552,1.462,0.46,2.305,2.449,0.532,0.933
1958,1.754,0.555,4.513,0.984,1.906,0.427,1.168,3.286,2.589,0.966,2.678,2.572,4.067,3.041,0.9310001,2.139,3.523,0.894,1.56
1957,1.378,0.483,2.554,0.624,1.559,0.471,1.12,2.788,2.013,0.675,1.41,1.641,1.937,1.572,0.705,1.501,2.4,0.623,1.077
1956,1.092,0.536,2.772,0.697,1.555,0.586,0.8140001,2.816,1.659,0.668,1.661,1.869,1.388,2.234,0.706,1.323,2.625,0.602,0.901
1955,1.106,0.538,4.171,0.868,1.891,0.554,0.897,2.732,1.996,0.966,3.754,2.57,1.519,3.031,1.002,1.71,3.28,0.869,1.299
1954,0.9810001,0.404,3.274,0.532,1.245,0.412,0.481,2.466,1.753,0.863,2.984,1.572,1.435,2.234,0.698,1.351,2.638,0.552,0.973
1953,1.333,0.49,4.332,0.649,1.33,0.502,0.724,2.624,2.553,0.911,3.481,1.722,2.208,2.215,1.16,2.023,3.162,0.668,1.312
1952,1.493,0.531,,0.751,1.058,0.526,0.784,3.015,2.708,1.006,3.513,2.308,2.352,3.164,1.249,1.899,3.554,0.94,1.278
1951,1.913,0.604,,0.804,1.142,0.588,0.9020001,3.494,2.955,1.13,3.503,2.114,2.216,3.59,1.144,1.454,4.54,0.825,1.605
1950,1.72,0.503,,0.815,1.614,0.538,1.057,2.394,2.412,0.838,3.202,1.886,1.144,2.81,0.909,1.383,4.297,0.681,1.507
1949,1.301,0.602,,0.925,1.447,0.57,1.065,2.739,2.435,1.118,3.49,2.247,1.793,2.722,1.268,1.378,3.355,1.032,1.564
1948,1.353,0.9850001,,1.24,1.854,0.818,1.976,3.014,2.885,1.107,3.749,2.604,2.512,3.344,1.659,1.533,3.275,1.536,1.998
1947,1.861,0.689,,0.808,1.47,0.782,1.148,2.802,3.014,0.807,4.266,2.354,2.448,2.986,1.415,1.853,2.483,0.844,1.575
1946,1.479,0.727,,0.859,1.556,0.771,1.538,2.879,2.603,0.821,4.625,2.203,2.549,3.473,1.463,1.515,3.289,0.83,1.53
1945,1.995,0.925,,1.273,1.902,0.833,1.575,2.386,3.023,1.245,4.352,3.126,2.366,3.788,2.224,1.774,3.098,1.426,1.732
1944,1.855,1.028,,1.218,1.578,0.953,1.551,2.866,3.199,1.493,3.658,2.956,2.317,3.589,1.901,1.754,2.805,1.656,1.267
1943,1.217,0.726,,0.828,1.404,0.743,1.306,1.971,2.032,0.976,2.766,2.373,1.402,2.602,1.733,1.311,2.552,1.264,0.938
1942,1.784,0.772,,1.049,1.573,0.791,1.645,1.93,2.525,1.467,3.198,2.678,,3.672,2.434,1.604,3.901,1.459,1.464
1941,1.756,0.758,,1.002,1.955,0.933,1.465,1.723,3.028,1.864,2.852,3.219,,3.411,3.086,2.434,2.503,1.574,1.602
1940,1.556,0.738,,1.112,2.093,0.779,1.674,2.002,2.832,1.838,3.039,3.346,,4.564,2.343,3.909,3.067,1.772,1.976
1939,1.372,0.638,,1.028,1.849,0.694,1.737,2.004,2.239,1.66,,2.808,,4.238,2.057,3.367,2.839,1.543,1.864
1938,1.534,0.5510001,,1.1,2.047,0.736,1.485,2.469,2.534,1.727,,2.824,,4.511,1.885,,3.133,1.873,2.331
1937,1.555,0.513,,0.855,1.956,0.811,1.045,2.011,1.795,1.449,,2.714,,3.771,1.49,,3.164,1.665,1.663
1936,1.607,0.648,,0.9020001,1.654,0.8270001,1.317,1.91,1.764,1.775,,2.48,,3.887,1.418,,3.981,1.57,1.669
1935,,0.615,,1.241,1.953,0.975,1.453,1.811,3.283,1.702,,3.077,,4.954,1.789,,3.332,1.698,2.461
1934,,0.539,,0.635,1.781,0.934,1.354,1.045,,1.25,,3.34,,3.403,1.519,,2.272,0.898,2.071
1933,,0.5050001,,0.969,1.819,1.27,1.41,0.994,,1.026,,2.494,,2.533,1.569,,2.598,1.141,1.809
1932,,0.5280001,,1.028,1.992,1.214,1.276,1.132,,1.507,,2.804,,3.641,1.839,,2.779,1.677,1.517
1931,,0.641,,1.143,2.096,1.35,1.59,1.857,,1.411,,3.173,,4.473,1.96,,2.612,1.8,1.434
1930,,0.67,,1.09,2.017,1.21,1.387,1.593,,1.826,,3.032,,4.007,1.957,,2.689,1.788,1.662
1929,,0.624,,0.923,1.651,1.166,1.116,1.605,,1.93,,2.731,,2.877,1.955,,3.241,1.725,1.726
1928,,0.544,,0.854,1.716,1.328,1.614,1.23,,1.841,,3.393,,2.053,1.779,,3.258,1.65,1.563
1927,,0.475,,0.913,1.394,1.032,1.434,2.022,,1.33,,2.565,,1.786,1.749,,2.714,1.408,1.201
1926,,0.459,,0.911,1.615,1.1,1.096,2.111,,1.317,,2.574,,1.731,1.569,,1.869,1.538,1.269
1925,,0.456,,0.877,1.502,1.094,1.41,,,1.604,,2.568,,2.415,1.584,,2.658,1.996,1.437
1924,,0.476,,0.93,1.639,1.2,1.147,,,1.666,,1.831,,2.152,1.375,,3.258,1.815,1.578
1923,,0.465,,0.825,1.514,1.008,1.026,,,1.336,,1.495,,1.293,1.251,,2.433,1.566,1.28
1922,,0.494,,0.962,1.452,1.096,0.938,,,1.636,,2.536,,1.829,1.154,,3.052,1.627,1.833
1921,,0.377,,0.945,1.754,1.23,0.983,,,1.32,,1.65,,1.143,0.91,,1.688,2.018,1.433
1920,,0.456,,1.054,1.629,1.513,1.349,,,1.659,,2.86,,1.859,1.265,,1.944,1.879,1.889
1919,,0.554,,0.8470001,2.086,1.342,1.344,,,1.599,,1.648,,1.198,1.332,,2.133,1.652,1.688
1918,,0.541,,0.848,1.627,1.346,0.964,,,1.45,,1.804,,1.113,1.375,,,1.764,2.445
1917,,0.383,,0.941,1.258,1.11,0.782,,,1.149,,1.573,,1.031,1.026,,,1.737,2.811
1916,,0.279,,0.962,1.658,0.942,0.791,,,0.862,,1.169,,1.032,1.275,,,1.311,1.404
1915,,0.419,,0.908,2.466,1.195,1.569,,,1.418,,1.974,,1.156,1.728,,,1.635,1.704
1914,,0.5280001,,0.947,1.801,1.202,1.746,,,1.684,,2.463,,1.028,1.583,,,2.498,2.915
1913,,0.454,,0.964,,0.944,1.182,,,1.116,,1.759,,0.942,1.031,,,2.167,2.212
1912,,0.476,,0.836,,0.815,1.361,,,1.197,,1.683,,1.148,1.06,,,1.611,1.238
1911,,0.539,,1.09,,1.225,1.572,,,1.253,,1.829,,1.357,1.24,,,2.046,1.375
1910,,0.403,,0.68,,1.268,1.279,,,1.353,,1.919,,1.672,1.084,,,1.663,1.429
1909,,0.341,,0.734,,1.121,1.719,,,1.135,,1.247,,1.045,1.106,,,1.819,1.599
1908,,0.426,,1.122,,1.239,2.002,,,1.439,,1.791,,0.998,1.676,,,2.073,1.985
1907,,0.469,,1.185,,1.544,2,,,1.532,,2.141,,1.791,2.239,,,2.517,2.227
1906,,0.431,,0.888,,1.136,0.8060001,,,1.331,,1.336,,1.384,1.255,,,1.22,1.202
1905,,0.389,,0.987,,1.344,1.933,,,1.155,,1.7,,1.155,1.369,,,1.786,1.823
1904,,0.451,,1.246,,1.436,1.023,,,1.551,,1.857,,0.797,1.592,,,2.134,2.574
1903,,0.329,,1.223,,1.239,1.595,,,1.216,,1.607,,0.735,1.345,,,1.411,2.004
1902,,0.437,,1.287,,1.182,1.544,,,1.277,,2.075,,0.82,1.326,,,1.774,1.993
1901,,0.482,,1.485,,1.5,1.723,,,1.378,,2.922,,0.862,1.595,,,2.32,2.319
1900,,0.46,,1.045,,1.308,1.886,,,1.156,,3.018,,0.526,0.9810001,,,1.312,2.134
1899,,0.321,,0.562,,0.712,0.626,,,0.461,,0.9260001,,0.126,0.514,,,0.552,0.365
1898,,0.415,,1.455,,1.656,1.542,,,1.146,,2.468,,0.61,1.273,,,1.797,1.725
1897,,0.457,,1.251,,1.127,1.511,,,1.202,,2.924,,0.567,1.014,,,1.197,1.886
1896,,0.522,,1.37,,0.937,1.043,,,0.869,,1.858,,0.283,0.637,,,1.504,1.13
1895,,0.52,,1.474,,1.221,1.487,,,1.315,,2.678,,0.535,1.067,,,1.768,2.089
1894,,0.395,,0.9,,0.817,0.815,,,0.947,,1.583,,0.231,0.699,,,1.366,1.492
1893,,0.337,,1.087,,1.153,1.547,,,1.113,,1.572,,0.462,1.238,,,2.047,1.821
1892,,0.458,,1.095,,1.115,1.554,,,1.341,,1.903,,0.567,1.337,,,1.797,1.304
1891,,0.359,,1.564,,1.691,2.48,,,1.587,,3.384,,0.883,2.092,,,2.907,2.351
1890,,0.5,,1.731,,1.683,1.886,,,1.237,,3.394,,0.546,1.728,,,2.482,2.074
1889,,0.383,,1.385,,1.755,1.626,,,1.187,,4.337,,0.768,1.799,,,2.22,1.484
1888,,0.439,,1.16,,1.657,1.61,,,1.469,,2.937,,0.538,1.321,,,2.017,1.582
1887,,0.461,,1.204,,1.367,1.018,,,0.94,,1.477,,0.232,1.309,,,1.461,1.166
1886,,0.381,,1.515,,1.637,,,,1.251,,2.25,,0.106,2.096,,,1.923,1.066
1885,,0.482,,1.358,,1.597,,,,1.297,,2.43,,0.084,1.642,,,1.714,1.206
1884,,0.36,,1.208,,1.408,,,,1.256,,1.989,,0.179,1.415,,,1.686,1.159
1883,,0.454,,1.263,,1.219,,,,1.157,,,,0.379,1.14,,,2.187,1.169
1882,,0.502,,1.137,,1.278,,,,1.036,,,,0.327,1.045,,,1.917,0.588
1881,,0.6530001,,0.82,,1.486,,,,1.003,,,,0.422,0.816,,,1.522,0.949
1880,,0.285,,1.032,,1.312,,,,0.618,,,,0.517,0.695,,,1.101,1.193
