Sample_ID,Plot_ID,Spp,Stand_down,Diam
J04-D01,J04,POTR5,D,9.5
J04-D02,J04,POTR5,S,29
J04-D03,J04,POTR5,D,25.5
J04-D04,J04,POTR5,S,28
J04-D05,J04,POTR5,D,17
J04-D06,J04,POTR5,D,20.5
J04-D07,J04,POTR5,D,35.5
J04-D08,J04,POTR5,S,19.5
J04-D09,J04,POTR5,D,21
J04-D10,J04,POTR5,D,21.5
J04-D11,J04,POTR5,D,19.5
J04-D12,J04,POTR5,D,27.5
J04-D13,J04,POTR5,S,29
J04-D14,J04,POTR5,D,26.5
J04-D15,J04,POTR5,D,16.5
J04-D16,J04,POTR5,D,26.5
J04-D17,J04,POTR5,D,12
J05-D01,J05,ABLA,D,23
J05-D02,J05,POTR5,S,13
J05-D03,J05,POTR5,D,12
J05-D04,J05,POTR5,S,25.5
J05-D05,J05,POTR5,D,24.5
J05-D06,J05,POTR5,D,13.5
J05-D07,J05,POTR5,S,15
J05-D08,J05,POTR5,D,17.5
J05-D09,J05,POTR5,D,17.5
J05-D10,J05,POTR5,D,18.5
J05-D11,J05,POTR5,D,15.5
J05-D12,J05,POTR5,D,18.5
J05-D13,J05,POTR5,S,39
J05-D14,J05,POTR5,D,34.5
J05-D15,J05,POTR5,S,22.5
J06-D01,J06,POTR5,S,12
J06-D02,J06,POTR5,S,15
J06-D03,J06,POTR5,D,14
J06-D04,J06,POTR5,D,14
J06-D05,J06,POTR5,D,12.5
J06-D06,J06,POTR5,S,8
J06-D07,J06,POTR5,D,16
J06-D08,J06,POTR5,D,19.5
J06-D09,J06,POTR5,S,20
J06-D10,J06,POTR5,S,16.5
J06-D11,J06,POTR5,D,16
J06-D12,J06,POTR5,S,19.5
J06-D13,J06,POTR5,S,14.5
J06-D14,J06,POTR5,D,19.5
J06-D15,J06,POTR5,S,20
J06-D16,J06,POTR5,D,11
J06-D17,J06,POTR5,S,15
J06-D18,J06,POTR5,D,16
J06-D19,J06,POTR5,S,20
J06-D20,J06,POTR5,S,13
J06-D21,J06,POTR5,D,11.5
J06-D22,J06,POTR5,S,13
J06-D23,J06,POTR5,D,13
J06-D24,J06,POTR5,S,17
J06-D25,J06,POTR5,S,21
J06-D26,J06,POTR5,S,18.5
J06-D27,J06,POTR5,S,17
J06-D28,J06,POTR5,D,17.5
J06-D29,J06,POTR5,S,18
J06-D30,J06,POTR5,S,20
J06-D31,J06,POTR5,S,11
J06-D32,J06,POTR5,D,15
J06-D33,J06,POTR5,D,12
J06-D34,J06,POTR5,S,15.5
J06-D35,J06,POTR5,D,19
J06-D36,J06,POTR5,D,16
J06-D37,J06,POTR5,S,20
J06-D38,J06,POTR5,S,21
J06-D39,J06,POTR5,S,14
J07-D01,J07,POTR5,S,16
J07-D02,J07,POTR5,D,16
J07-D03,J07,POTR5,S,15
J07-D04,J07,POTR5,S,17
J07-D05,J07,ABLA,D,18
J07-D06,J07,POTR5,S,18
J07-D07,J07,POTR5,D,15
J07-D08,J07,POTR5,S,16
J07-D09,J07,POTR5,D,15.5
J07-D10,J07,POTR5,S,22
J07-D11,J07,POTR5,S,16
J07-D12,J07,POTR5,S,12.5
J07-D13,J07,POTR5,D,13
J07-D14,J07,POTR5,D,15
J08-D01,J08,POTR5,D,9
J08-D04,J08,POTR5,D,11.5
J09-D02,J09,POTR5,D,14
J09-D03,J09,POTR5,S,17
J09-D04,J09,POTR5,S,10.5
J09-D05,J09,POTR5,D,9.5
J09-D06,J09,POTR5,D,10
J09-D07,J09,POTR5,D,23.5
J09-D08,J09,POTR5,D,12
J09-D09,J09,POTR5,D,11.5
J09-D10,J09,POTR5,S,11
J09-D11,J09,POTR5,S,16
J09-D14,J09,POTR5,D,8.5
J09-D15,J09,POTR5,D,9
J09-D16,J09,POTR5,S,10.5
J09-D17,J09,POTR5,S,12.5
J09-D18,J09,POTR5,D,9.5
J09-D19,J09,POTR5,S,13.5
J09-D20,J09,POTR5,D,15
J09-D21,J09,POTR5,D,11
J09-D22,J09,POTR5,D,7.5
J09-D24,J09,POTR5,S,13
J10-D02,J10,POTR5,D,8
J10-D05,J10,POTR5,S,7.5
J10-D07,J10,POTR5,S,17
J10-D08,J10,POTR5,S,27
J10-D09,J10,POTR5,D,11
J10-D10,J10,POTR5,D,14
J10-D11,J10,POTR5,D,11.5
J10-D12,J10,POTR5,D,16
J10-D13,J10,POTR5,D,17
J10-D14,J10,POTR5,D,15
J10-D15,J10,POTR5,D,9.5
J10-D16,J10,POTR5,D,14
J10-D17,J10,POTR5,D,18
J10-D18,J10,POTR5,D,24
J10-D19,J10,POTR5,S,7.5
J10-D20,J10,POTR5,S,11
J10-D21,J10,POTR5,D,15
J10-D22,J10,POTR5,D,29
J10-D23,J10,POTR5,D,18
J10-D24,J10,POTR5,D,26
J10-D25,J10,POTR5,D,9
J10-D26,J10,POTR5,S,21
J10-D27,J10,POTR5,S,18.5
J11-D02,J11,ABLA,S,10
J11-D03,J11,POTR5,D,12
J11-D04,J11,POTR5,S,16
J11-D05,J11,POTR5,D,8.5
J11-D06,J11,POTR5,D,19
J11-D07,J11,POTR5,S,27
J11-D08,J11,POTR5,D,27.5
J11-D09,J11,POTR5,S,19.5
J11-D10,J11,POTR5,S,9
J11-D11,J11,POTR5,D,12
J11-D12,J11,ABLA,S,11
J11-D13,J11,ABLA,S,9
J11-D16,J11,POTR5,D,31
J11-D17,J11,POTR5,D,10
J11-D18,J11,POTR5,D,30
J11-D19,J11,POTR5,D,25
J11-D20,J11,POTR5,D,9.5
J11-D21,J11,POTR5,D,14
J11-D22,J11,POTR5,D,20
J11-D23,J11,POTR5,D,11
J11-D24,J11,POTR5,S,23
J11-D25,J11,POTR5,D,11
J11-D26,J11,POTR5,D,23
J11-D29,J11,POTR5,S,29
J11-D30,J11,POTR5,S,25
J11-D31,J11,POTR5,S,13
J11-D32,J11,POTR5,D,22
J11-D33,J11,POTR5,D,11
J11-D34,J11,POTR5,D,44
J11-D35,J11,POTR5,D,32
J11-D36,J11,ABLA,D,19.5
J11-D37,J11,POTR5,D,16.5
J12-D01,J12,POTR5,S,7.5
J12-D02,J12,POTR5,S,22.5
J12-D03,J12,POTR5,D,29.5
J12-D04,J12,POTR5,D,29.5
J12-D05,J12,POTR5,D,27.5
J12-D06,J12,POTR5,D,25.5
J12-D07,J12,POTR5,D,28.5
J12-D08,J12,POTR5,D,29
J12-D09,J12,POTR5,D,24.5
J12-D10,J12,POTR5,S,41.5
J12-D11,J12,POTR5,D,24.5
J12-D12,J12,POTR5,D,14.5
J12-D13,J12,POTR5,S,15
J12-D14,J12,POTR5,D,30.5
J12-D15,J12,POTR5,D,23.5
J12-D16,J12,POTR5,D,25.5
J12-D17,J12,POTR5,D,27
J12-D18,J12,POTR5,D,20
J12-D19,J12,POTR5,D,30
J13-D02,J13,POTR5,S,10
J13-D03,J13,POTR5,S,22
J13-D04,J13,POTR5,D,14
J13-D06,J13,POTR5,D,8
J13-D07,J13,POTR5,S,16.5
J13-D08,J13,POTR5,D,21
J13-D09,J13,POTR5,D,18
J13-D10,J13,POTR5,D,10
J13-D11,J13,POTR5,D,18
J13-D12,J13,POTR5,D,10
J13-D13,J13,POTR5,D,11.5
J13-D14,J13,POTR5,D,10
J13-D15,J13,POTR5,S,16.5
J13-D16,J13,POTR5,D,11
J13-D17,J13,POTR5,D,10
J13-D18,J13,POTR5,D,10
J13-D19,J13,POTR5,D,9
J13-D20,J13,POTR5,D,12
J13-D21,J13,POTR5,D,8.5
J13-D22,J13,POTR5,S,8
J13-D23,J13,POTR5,D,9.5
J13-D24,J13,POTR5,D,21.5
J13-D25,J13,POTR5,D,12
J13-D26,J13,POTR5,S,13
J13-D27,J13,POTR5,D,15
J13-D28,J13,POTR5,D,23
J13-D29,J13,POTR5,S,28
J13-D30,J13,POTR5,D,16
J13-D31,J13,POTR5,S,16
J13-D32,J13,POTR5,S,33.5
J13-D33,J13,POTR5,D,19
J13-D34,J13,POTR5,D,15
J13-D35,J13,POTR5,D,16.5
J13-D36,J13,POTR5,D,15
J13-D37,J13,POTR5,S,18
J13-D38,J13,POTR5,D,20.5
J13-D39,J13,POTR5,D,22
J13-D40,J13,POTR5,S,37.5
J14-D01,J14,POTR5,S,9
J14-D02,J14,POTR5,D,22
J14-D03,J14,POTR5,D,14
J14-D04,J14,POTR5,D,17.5
J14-D05,J14,POTR5,D,18.5
J14-D06,J14,POTR5,D,17.5
J14-D08,J14,POTR5,S,9
J14-D09,J14,POTR5,D,18.5
J15-D01,J15,POTR5,S,7.5
J15-D04,J15,POTR5,S,7.5
J15-D05,J15,POTR5,D,15.5
J15-D06,J15,POTR5,S,19
J15-D07,J15,POTR5,D,12.5
J15-D08,J15,POTR5,S,19
J15-D09,J15,POTR5,D,15.5
J15-D10,J15,POTR5,D,9
J15-D11,J15,POTR5,S,10.5
J15-D13,J15,POTR5,S,9
J15-D14,J15,POTR5,S,12
J15-D15,J15,POTR5,S,17
J15-D16,J15,POTR5,S,18.5
J15-D17,J15,POTR5,D,11
J15-D18,J15,POTR5,D,15.5
J15-D19,J15,POTR5,S,17
J15-D20,J15,POTR5,D,16.5
J15-D21,J15,POTR5,S,19.5
J15-D22,J15,POTR5,S,25.5
J15-D23,J15,POTR5,D,9.5
J15-D24,J15,POTR5,S,18
J15-D25,J15,POTR5,S,16.5
J15-D26,J15,POTR5,S,8.5
J15-D28,J15,POTR5,S,18.5
J15-D29,J15,POTR5,S,12.5
J15-D30,J15,POTR5,S,14
J15-D31,J15,POTR5,S,13
J15-D32,J15,POTR5,D,17
J15-D33,J15,POTR5,S,14
J15-D34,J15,POTR5,S,13
J15-D35,J15,POTR5,S,13
J15-D36,J15,POTR5,S,28
J15-D37,J15,POTR5,S,10
J15-D38,J15,POTR5,S,7.5
J15-D39,J15,POTR5,D,19.5
J15-D40,J15,POTR5,S,13
J16-D01,J16,POTR5,D,11
J16-D02,J16,POTR5,D,13.5
J16-D03,J16,POTR5,D,11
J16-D04,J16,POTR5,S,8
J16-D07,J16,POTR5,D,19.5
J16-D08,J16,POTR5,D,8
J16-D10,J16,POTR5,D,24
J16-D12,J16,POTR5,S,9.5
J16-D13,J16,POTR5,D,35
J16-D14,J16,POTR5,S,9
J16-D16,J16,POTR5,D,11
J16-D17,J16,POTR5,D,12
J16-D18,J16,POTR5,S,33
J16-D19,J16,POTR5,S,32
J16-D20,J16,POTR5,S,35
J16-D21,J16,POTR5,S,32
J16-D22,J16,POTR5,S,26.5
J16-D23,J16,POTR5,S,13.5
J16-D24,J16,POTR5,S,9
J16-D26,J16,POTR5,D,14.5
J17-D01,J17,POTR5,S,7.5
J17-D02,J17,POTR5,S,13
J17-D03,J17,POTR5,D,11
J17-D04,J17,POTR5,S,18.5
J17-D05,J17,POTR5,S,12
J17-D06,J17,POTR5,S,10
J17-D07,J17,POTR5,S,11
J17-D08,J17,POTR5,S,19
J17-D09,J17,POTR5,S,11
J17-D10,J17,POTR5,D,15
J17-D11,J17,POTR5,S,15
J17-D12,J17,POTR5,S,11.5
J17-D13,J17,POTR5,S,15.5
J17-D14,J17,POTR5,D,19
J17-D15,J17,POTR5,S,14
J17-D16,J17,POTR5,S,13
J17-D17,J17,POTR5,S,8.5
J17-D18,J17,POTR5,S,16
J17-D19,J17,POTR5,D,15.5
J17-D20,J17,POTR5,D,8.5
J17-D21,J17,POTR5,D,10.5
J17-D22,J17,POTR5,S,12
J17-D23,J17,POTR5,S,14.5
J17-D24,J17,POTR5,D,16
J17-D25,J17,POTR5,S,8
J17-D26,J17,POTR5,S,10
J17-D27,J17,POTR5,S,10
J17-D28,J17,POTR5,D,22
J18-D01,J18,POTR5,S,17.5
J18-D02,J18,POTR5,D,18.5
J19-D01,J19,POTR5,D,27.5
J19-D02,J19,POTR5,D,8
J19-D03,J19,POTR5,D,23
J19-D04,J19,POTR5,S,9
J19-D05,J19,POTR5,S,9
J19-D06,J19,POTR5,D,12.5
J19-D07,J19,POTR5,D,21
J19-D08,J19,POTR5,D,26.5
J19-D10,J19,POTR5,S,10
J19-D11,J19,POTR5,D,35
J19-D12,J19,POTR5,S,10.5
J19-D13,J19,POTR5,S,11
J19-D15,J19,POTR5,S,12.5
J19-D16,J19,POTR5,S,9.5
J20-D01,J20,POTR5,D,16.5
J20-D03,J20,POTR5,D,12
J20-D04,J20,POTR5,D,23
J20-D05,J20,POTR5,D,11
J20-D06,J20,POTR5,S,27.5
J20-D07,J20,POTR5,S,10.5
J20-D08,J20,POTR5,D,20
J20-D09,J20,POTR5,S,12
J20-D10,J20,POTR5,D,12
J20-D11,J20,POTR5,D,13
J20-D12,J20,POTR5,S,9.5
J20-D13,J20,POTR5,S,10.5
J20-D17,J20,POTR5,D,14
J20-D18,J20,POTR5,S,16
J20-D19,J20,POTR5,D,9.5
J20-D20,J20,POTR5,D,19
J20-D21,J20,POTR5,D,11
J20-D22,J20,POTR5,D,9
J20-D23,J20,POTR5,D,9.5
J20-D24,J20,POTR5,S,14
J20-D25,J20,POTR5,D,10
J20-D26,J20,POTR5,D,9
J20-D27,J20,POTR5,D,28
J21-D01,J21,POTR5,D,9
J21-D02,J21,POTR5,D,7.5
J21-D03,J21,POTR5,S,9.5
J21-D05,J21,POTR5,S,7.5
J21-D06,J21,POTR5,S,37
J21-D07,J21,POTR5,S,35
J22-D01,J22,POTR5,S,35
J22-D02,J22,ABLA,S,8
J22-D03,J22,POTR5,S,15.5
J22-D04,J22,ABLA,S,17.5
J22-D05,J22,POTR5,D,23
J22-D06,J22,POTR5,D,20.5
J22-D07,J22,ABLA,S,8
J22-D08,J22,ABLA,S,49
J22-D09,J22,POTR5,S,8
J22-D10,J22,POTR5,S,12
J22-D11,J22,POTR5,S,18
J22-D12,J22,POTR5,S,14
J22-D13,J22,POTR5,S,10
J22-D14,J22,POTR5,D,26
J22-D15,J22,POTR5,S,11
J22-D16,J22,POTR5,D,14
J22-D17,J22,ABLA,S,10
J22-D18,J22,ABLA,D,16.5
J22-D19,J22,ABLA,D,27
J22-D20,J22,ABLA,D,22
J22-D21,J22,POTR5,D,16
J23-D01,J23,POTR5,D,13
J23-D02,J23,POTR5,S,11.5
J23-D03,J23,POTR5,D,21.5
J23-D04,J23,POTR5,D,20
J23-D05,J23,POTR5,S,10
J23-D06,J23,POTR5,S,9
J23-D07,J23,POTR5,S,8
J23-D09,J23,POTR5,D,15.5
J23-D10,J23,POTR5,D,24.5
J23-D11,J23,POTR5,D,16.5
J23-D12,J23,POTR5,D,17
J23-D13,J23,POTR5,D,19.5
J23-D14,J23,POTR5,D,25.5
J23-D15,J23,POTR5,S,7.5
J23-D16,J23,POTR5,D,24.5
J23-D18,J23,POTR5,D,15.5
J23-D19,J23,POTR5,D,20
J23-D20,J23,POTR5,D,25.5
J23-D21,J23,POTR5,D,22
J23-D22,J23,POTR5,D,17
J24-D01,J24,POTR5,S,9
J24-D04,J24,POTR5,S,12
J24-D05,J24,POTR5,S,10
J24-D06,J24,POTR5,S,11.5
J24-D07,J24,POTR5,S,8.5
J25-D01,J25,POTR5,D,27
J25-D02,J25,POTR5,D,34
J25-D03,J25,POTR5,S,10
J25-D04,J25,POTR5,D,14
J25-D05,J25,POTR5,D,13
J25-D06,J25,POTR5,S,24
J25-D07,J25,POTR5,D,20.5
J25-D08,J25,POTR5,D,17.5
J25-D09,J25,POTR5,D,18
J25-D11,J25,POTR5,D,23
J25-D12,J25,POTR5,D,22
J25-D13,J25,POTR5,D,16
J25-D14,J25,POTR5,D,17
J25-D15,J25,POTR5,D,12
J25-D16,J25,POTR5,D,13.5
J25-D17,J25,POTR5,D,10.5
J25-D18,J25,POTR5,D,9.5
J25-D19,J25,POTR5,D,9
J25-D20,J25,POTR5,S,13
J25-D21,J25,POTR5,S,19
J25-D23,J25,POTR5,D,22
J25-D24,J25,POTR5,S,20
J25-D25,J25,POTR5,S,32.5
J25-D26,J25,POTR5,D,25
J25-D27,J25,POTR5,S,19.5
J25-D28,J25,POTR5,S,19
J25-D29,J25,POTR5,D,20
J26-D01,J26,POTR5,S,10
J26-D02,J26,POTR5,D,13
J26-D03,J26,POTR5,D,13.5
J26-D04,J26,POTR5,S,10
J26-D06,J26,POTR5,D,7.5
J26-D08,J26,POTR5,D,7.5
J26-D09,J26,POTR5,D,10
J26-D10,J26,POTR5,S,11.5
J26-D11,J26,POTR5,S,10
J26-D12,J26,POTR5,S,9.5
J27-D01,J27,POTR5,S,8
J27-D02,J27,POTR5,S,9.5
J27-D03,J27,POTR5,S,9
J27-D04,J27,POTR5,D,13
J27-D05,J27,POTR5,S,8
J27-D06,J27,POTR5,D,7.5
J27-D07,J27,POTR5,S,8
J27-D08,J27,POTR5,S,10.5
J27-D09,J27,POTR5,D,10
J27-D10,J27,POTR5,D,8.5
J27-D11,J27,POTR5,D,8
J27-D12,J27,POTR5,D,9
J27-D13,J27,POTR5,S,10
J27-D14,J27,POTR5,D,9.5
J27-D15,J27,POTR5,S,9.5
J27-D17,J27,POTR5,D,10
J27-D18,J27,POTR5,S,9
J27-D19,J27,POTR5,D,13
J27-D20,J27,POTR5,D,8
J28-D01,J28,POTR5,S,8
J28-D02,J28,POTR5,S,32.5
J28-D03,J28,POTR5,S,24
J28-D04,J28,POTR5,D,10
J28-D05,J28,POTR5,D,42
J28-D08,J28,POTR5,D,31.5
J28-D09,J28,POTR5,D,22
J28-D10,J28,POTR5,D,25
J28-D11,J28,POTR5,D,33
J28-D12,J28,POTR5,D,15
J28-D13,J28,POTR5,D,26.5
J28-D15,J28,POTR5,D,26
J28-D16,J28,POTR5,D,26
J28-D17,J28,POTR5,D,26.5
J28-D18,J28,POTR5,D,23
J28-D19,J28,POTR5,S,23
J28-D20,J28,POTR5,D,17.5
J28-D21,J28,POTR5,D,26
J28-D22,J28,POTR5,D,26
J28-D23,J28,POTR5,D,32
J29-D01,J29,POTR5,D,18
J29-D02,J29,POTR5,S,40
J29-D03,J29,POTR5,D,37.5
J29-D04,J29,POTR5,D,49.5
J29-D05,J29,POTR5,S,33
J29-D06,J29,POTR5,D,15
J29-D07,J29,POTR5,S,25
J29-D08,J29,POTR5,S,12
J29-D09,J29,POTR5,S,28
J29-D10,J29,POTR5,D,24
J29-D11,J29,POTR5,D,22
J29-D12,J29,POTR5,S,30
J29-D13,J29,POTR5,D,42
J29-D14,J29,POTR5,D,23
J29-D15,J29,POTR5,S,24
J30-D01,J30,ABLA,S,18
J30-D02,J30,ABLA,S,14
J30-D03,J30,ABLA,D,49
J30-D04,J30,ABLA,S,41
J30-D05,J30,ABLA,D,67
J30-D06,J30,ABLA,S,35
J30-D07,J30,ABLA,S,40
J30-D08,J30,ABLA,S,66
J30-D09,J30,POTR5,D,11
J30-D10,J30,POTR5,D,14
J30-D11,J30,POTR5,S,23
J30-D12,J30,POTR5,S,18
J30-D13,J30,POTR5,D,24
J30-D14,J30,POTR5,D,14
J31-D01,J31,POTR5,D,12
J31-D02,J31,POTR5,D,14
J31-D03,J31,POTR5,D,17.5
J31-D04,J31,POTR5,S,13
J31-D05,J31,POTR5,S,10.5
J31-D06,J31,POTR5,S,17
J31-D08,J31,POTR5,S,7.5
J31-D09,J31,POTR5,D,10.5
J31-D10,J31,POTR5,S,8
J32-D01,J32,POTR5,D,16
J32-D02,J32,POTR5,S,9.5
J32-D03,J32,POTR5,S,18.5
J32-D04,J32,POTR5,S,21.5
J32-D06,J32,POTR5,S,30
J32-D07,J32,POTR5,D,25.5
J32-D08,J32,POTR5,D,13
J32-D09,J32,POTR5,D,25.5
J32-D10,J32,POTR5,D,15
J32-D11,J32,POTR5,D,18.5
J32-D12,J32,POTR5,D,20
J32-D13,J32,POTR5,D,12.5
J32-D14,J32,POTR5,D,14
J33-D01,J33,POTR5,S,9.5
J33-D02,J33,POTR5,S,10.5
J33-D03,J33,POTR5,S,20
J33-D04,J33,POTR5,S,8
J33-D05,J33,POTR5,S,10.5
J33-D06,J33,POTR5,D,10
J33-D07,J33,POTR5,S,13.5
J33-D08,J33,POTR5,S,17
J33-D09,J33,POTR5,S,15
J34-D01,J34,POTR5,S,12
J34-D02,J34,POTR5,D,23.5
J34-D03,J34,POTR5,D,19
J34-D04,J34,POTR5,D,21
J34-D05,J34,POTR5,D,17
J34-D06,J34,POTR5,D,16.5
J34-D07,J34,POTR5,S,21
J34-D08,J34,POTR5,S,12
J34-D09,J34,POTR5,S,12
J34-D10,J34,POTR5,D,12.5
J34-D11,J34,POTR5,S,18
J34-D12,J34,POTR5,D,9.5
J34-D13,J34,POTR5,D,8
J34-D14,J34,POTR5,D,11.5
J34-D15,J34,POTR5,D,19.5
J34-D16,J34,POTR5,D,16.5
J34-D17,J34,POTR5,S,14
J34-D18,J34,POTR5,S,8
J34-D19,J34,POTR5,S,9.5
J34-D20,J34,POTR5,S,14
J34-D21,J34,POTR5,D,12.5
J34-D22,J34,POTR5,D,8
J34-D23,J34,POTR5,S,8
J34-D24,J34,POTR5,S,9
J34-D25,J34,POTR5,D,8
J34-D26,J34,POTR5,D,10.5
J34-D27,J34,POTR5,S,15
J34-D28,J34,POTR5,D,9.5
J34-D29,J34,POTR5,D,7.5
J34-D30,J34,POTR5,D,9
J34-D31,J34,POTR5,S,14
J34-D32,J34,POTR5,S,12
J34-D33,J34,POTR5,S,17
J34-D34,J34,POTR5,D,12.5
J34-D35,J34,POTR5,D,9.5
J34-D36,J34,POTR5,S,13
J34-D37,J34,POTR5,D,12
J34-D38,J34,POTR5,S,8
J34-D39,J34,POTR5,S,10
J34-D40,J34,POTR5,D,8
J34-D41,J34,POTR5,D,13
J34-D42,J34,POTR5,S,14
J34-D43,J34,POTR5,S,7.5
J34-D44,J34,POTR5,D,14
J34-D45,J34,POTR5,D,13
J34-D46,J34,POTR5,D,11
J34-D47,J34,POTR5,S,16
J35-D01,J35,POTR5,S,21
J36-D01,J36,POTR5,D,22
J36-D02,J36,POTR5,D,46
J36-D03,J36,POTR5,D,15
J36-D04,J36,POTR5,S,35.5
J36-D05,J36,POTR5,D,17
J36-D06,J36,POTR5,D,28.5
J36-D07,J36,POTR5,D,16
J36-D08,J36,POTR5,S,18
J36-D09,J36,POTR5,D,18
J36-D12,J36,POTR5,S,28.5
J36-D13,J36,POTR5,D,20.5
J36-D14,J36,POTR5,S,33.5
J36-D15,J36,POTR5,D,39
J36-D16,J36,POTR5,S,17
J36-D17,J36,POTR5,D,24
J36-D18,J36,POTR5,D,33
J36-D19,J36,POTR5,D,35
J36-D20,J36,POTR5,D,22
J36-D21,J36,POTR5,D,42.5
J36-D22,J36,POTR5,S,34
J36-D23,J36,POTR5,S,24
J37-D01,J37,POTR5,D,16
J37-D02,J37,POTR5,D,17
J37-D03,J37,POTR5,D,25
J37-D04,J37,POTR5,S,43
J37-D05,J37,POTR5,S,22
J37-D06,J37,POTR5,D,18
J37-D07,J37,POTR5,D,15.5
J37-D08,J37,POTR5,D,19.5
J37-D09,J37,POTR5,D,20.5
J37-D10,J37,POTR5,D,10
J37-D11,J37,POTR5,D,28
J37-D12,J37,POTR5,D,15.5
J37-D13,J37,POTR5,S,25
J37-D14,J37,POTR5,D,18.5
J38-D01,J38,POTR5,S,15.5
J38-D02,J38,POTR5,D,8.5
J38-D03,J38,POTR5,S,16.5
J38-D04,J38,POTR5,S,13
J38-D05,J38,POTR5,S,27
J38-D06,J38,POTR5,S,22.5
J38-D07,J38,POTR5,S,21
J38-D08,J38,POTR5,S,20
J38-D09,J38,POTR5,D,10.5
J38-D10,J38,POTR5,D,13.5
J39-D01,J39,POTR5,S,13
J39-D02,J39,POTR5,S,11
J39-D03,J39,POTR5,D,15
J39-D04,J39,POTR5,D,13
J39-D05,J39,POTR5,D,18
J39-D06,J39,POTR5,S,10
J39-D07,J39,POTR5,S,16.5
J39-D08,J39,POTR5,D,10.5
J39-D09,J39,POTR5,D,9.5
J39-D10,J39,POTR5,D,16.5
J39-D11,J39,POTR5,D,16
J39-D12,J39,POTR5,D,11
J39-D14,J39,POTR5,D,7.5
J39-D16,J39,POTR5,D,16
