Sample_ID,Plot_ID,Spp,Avg_diam,Height (cm),Out_of_plot,Year_origin,Year_origin_est
J04-S65,J04,POTR5,,350,N,,
J04-S66,J04,POTR5,,120,N,,
J04-S67,J04,POTR5,,85,N,,
J04-S68,J04,POTR5,,96,N,,
J04-S69,J04,POTR5,,400,N,,
J04-S70,J04,POTR5,,96,N,,
J04-S71,J04,POTR5,,115,N,,
J04-S72,J04,POTR5,,420,N,,
J04-S73,J04,POTR5,,140,N,,
J04-S74,J04,POTR5,,350,N,,
J04-S75,J04,POTR5,,90,N,,
J04-S76,J04,POTR5,,125,N,,
J04-S77,J04,POTR5,,110,N,,
J04-S78,J04,POTR5,,75,N,,
J04-S79,J04,POTR5,,76,N,,
J04-S80,J04,POTR5,,37,N,,
J04-S81,J04,POTR5,,68,N,,
J04-S82,J04,POTR5,,55,N,,
J04-S83,J04,POTR5,,37,N,,
J04-S84,J04,POTR5,,44,N,,
J04-S85,J04,POTR5,,99,N,,
J04-S86,J04,POTR5,,60,N,,
J04-S87,J04,POTR5,,55,N,,
J04-S88,J04,POTR5,,64,N,,
J04-S89,J04,POTR5,,86,N,,
J04-S90,J04,POTR5,,82,N,,
J04-S91,J04,POTR5,,64,N,,
J04-S92,J04,POTR5,,500,N,,
J04-S93,J04,POTR5,,450,N,,
J04-S94,J04,POTR5,,59,N,,
J05-S01,J05,POTR5,4.37,335,N,1982,
J05-S02,J05,POTR5,0.46,27,N,2009,
J05-S03,J05,POTR5,0.61,10,N,2009,
J05-S04,J05,POTR5,,23,N,,
J05-S05,J05,POTR5,0.58,3,N,2009,
J05-S06,J05,POTR5,,7,N,2011,
J05-S07,J05,POTR5,0.62,33,N,2009,
J05-S08,J05,POTR5,0.32,25,N,2011,
J05-S09,J05,POTR5,0.54,16,N,2010,
J05-S10,J05,POTR5,1.22,15,N,2008,
J05-S11,J05,POTR5,,25,N,,
J05-S12,J05,POTR5,0.41,13,N,2010,
J05-S13,J05,POTR5,,11,N,2011,
J05-S14,J05,POTR5,,5,N,2011,
J05-S15,J05,POTR5,0.64,10,N,2010,
J05-S16,J05,POTR5,,15,N,,
J05-S17,J05,POTR5,0.35,12,N,2009,
J05-S18,J05,POTR5,,15,N,,
J05-S19,J05,POTR5,1.67,13,N,2002,
J05-S20,J05,POTR5,,5,N,,
J05-S21,J05,POTR5,0.38,11,N,2010,
J05-S22,J05,POTR5,0.36,13,N,2010,
J05-S23,J05,POTR5,1.94,125,N,1997,
J05-S24,J05,POTR5,,70,N,,
J05-S25,J05,POTR5,,8,N,,
J05-S26,J05,POTR5,,10,N,,
J05-S27,J05,POTR5,,16,N,,
J05-S28,J05,POTR5,,3,N,,
J05-S29,J05,POTR5,,9,N,,
J05-S30,J05,POTR5,,13,N,,
J05-S31,J05,POTR5,,110,N,,
J05-S32,J05,POTR5,,20,N,,
J05-S33,J05,POTR5,,58,N,,
J05-S34,J05,POTR5,,56,N,,
J05-S35,J05,POTR5,,80,N,,
J05-S36,J05,POTR5,,420,N,,
J05-S37,J05,POTR5,,65,N,,
J05-S38,J05,POTR5,,400,N,,
J05-S39,J05,POTR5,,70,N,,
J05-S40,J05,POTR5,,30,N,,
J05-S41,J05,POTR5,,7,N,,
J05-S42,J05,POTR5,,15,N,,
J05-S43,J05,POTR5,,20,N,,
J05-S44,J05,POTR5,,5,N,,
J05-S45,J05,POTR5,,65,N,,
J05-S46,J05,POTR5,,80,N,,
J05-S47,J05,POTR5,,27,N,,
J06-S01,J06,POTR5,0.27,36,N,2009,
J06-S02,J06,POTR5,0.38,32,N,2010,
J06-S03,J06,POTR5,,5,N,2010,
J06-S04,J06,POTR5,,4,N,2010,
J06-S05,J06,POTR5,2.72,300,N,1995,
J06-S06,J06,POTR5,1.35,165,N,2007,
J06-S07,J06,POTR5,1.76,170,N,1998,
J06-S08,J06,POTR5,0.86,30,N,2007,
J06-S09,J06,POTR5,,65,N,,
J06-S10,J06,POTR5,0.76,65,N,2008,
J06-S11,J06,POTR5,2.8,210,N,1997,
J06-S12,J06,POTR5,0.64,40,N,2007,
J06-S13,J06,POTR5,,10,N,2010,
J07-S01,J07,POTR5,0.56,74,N,2007,
J07-S02,J07,POTR5,0.95,115,N,2007,
J07-S03,J07,POTR5,1,31,N,2005,
J07-S04,J07,POTR5,0.34,20,N,2009,
J07-S05,J07,POTR5,,39,N,,
J07-S06,J07,POTR5,0.68,24,Y,2007,
J07-S07,J07,POTR5,0.42,43,Y,2010,
J07-S08,J07,POTR5,0.9,36,Y,2009,
J07-S09,J07,POTR5,1.42,95,Y,2003,
J07-S10,J07,POTR5,0.55,34,Y,2010,
J07-S11,J07,POTR5,0.5,53,Y,2009,
J07-S12,J07,POTR5,1.04,55,Y,2008,
J08-S01,J08,POTR5,2.48,175,N,2001,
J08-S02,J08,POTR5,6.7,335,N,1983,
J08-S03,J08,POTR5,5.1,366,N,2002,
J08-S04,J08,POTR5,6.49,275,N,1989,
J08-S05,J08,POTR5,3.08,275,N,2000,
J08-S06,J08,POTR5,3.82,300,N,1996,
J08-S07,J08,POTR5,5.14,274,N,1992,
J08-S08,J08,POTR5,4.43,305,N,1995,
J08-S09,J08,POTR5,4.51,274,N,1996,
J08-S10,J08,POTR5,1.3,60,N,2004,
J08-S11,J08,POTR5,4.02,244,N,1996,
J08-S12,J08,POTR5,2.45,65,N,1998,
J09-S01,J09,POTR5,2.96,220,N,1994,
J09-S02,J09,POTR5,3.92,225,N,1992,
J09-S03,J09,POTR5,4.94,410,N,1989,
J09-S04,J09,POTR5,0.86,90,N,2006,
J09-S05,J09,POTR5,3.43,272,N,1996,
J09-S06,J09,POTR5,0.77,72,N,2007,
J09-S07,J09,POTR5,,140,N,,
J09-S08,J09,POTR5,,110,N,,
J09-S09,J09,POTR5,2.69,205,N,1989,
J09-S10,J09,POTR5,4.26,245,N,1986,
J09-S11,J09,POTR5,3.58,285,N,1991,
J09-S12,J09,POTR5,2.26,175,N,1993,
J09-S13,J09,POTR5,1.67,174,N,1991,
J09-S14,J09,POTR5,3.03,260,N,1992,
J09-S15,J09,POTR5,2.08,170,N,1997,
J09-S16,J09,POTR5,3.24,280,N,1990,
J09-S17,J09,POTR5,4.92,430,N,1991,
J09-S18,J09,POTR5,,100,N,,
J09-S19,J09,POTR5,,185,N,,
J09-S20,J09,POTR5,,135,N,,
J10-S01,J10,POTR5,1.2,90,N,2005,
J10-S02,J10,POTR5,0.88,46,N,2007,
J10-S03,J10,POTR5,5.16,335,N,1979,
J10-S04,J10,POTR5,2.71,250,N,1995,
J10-S05,J10,POTR5,1.62,130,N,1999,
J10-S06,J10,POTR5,0.9,80,N,2005,
J10-S07,J10,POTR5,0.65,50,N,2007,
J10-S08,J10,POTR5,,5,N,2010,
J10-S09,J10,POTR5,0.68,50,N,2003,
J10-S10,J10,POTR5,0.68,60,N,2005,
J10-S11,J10,POTR5,,110,N,,
J10-S12,J10,POTR5,2.2,125,N,1992,
J10-S13,J10,POTR5,6.5,488,N,1975,
J10-S14,J10,POTR5,2.3,80,N,2000,
J10-S15,J10,POTR5,1.9,100,N,1993,
J10-S16,J10,POTR5,2.18,95,N,1991,
J10-S17,J10,POTR5,0.45,40,N,2008,
J10-S18,J10,POTR5,,35,N,,
J10-S19,J10,POTR5,,396,N,,
J10-S20,J10,POTR5,,335,N,,
J10-S21,J10,POTR5,,250,N,,
J10-S22,J10,POTR5,,244,N,,
J10-S23,J10,POTR5,,274,N,,
J10-S24,J10,POTR5,,366,N,,
J10-S25,J10,POTR5,,488,N,,
J10-S26,J10,POTR5,,50,N,,
J10-S27,J10,POTR5,,65,N,,
J10-S28,J10,POTR5,,35,N,,
J10-S29,J10,POTR5,,65,N,,
J10-S30,J10,POTR5,,427,N,,
J10-S31,J10,POTR5,,150,N,,
J10-S32,J10,POTR5,,427,N,,
J10-S33,J10,POTR5,,396,N,,
J10-S34,J10,POTR5,,396,N,,
J10-S35,J10,POTR5,,250,N,,
J10-S36,J10,POTR5,,300,N,,
J10-S37,J10,POTR5,,200,N,,
J10-S38,J10,POTR5,,250,N,,
J10-S39,J10,POTR5,,75,N,,
J10-S40,J10,POTR5,,200,N,,
J10-S41,J10,POTR5,,457,N,,
J10-S42,J10,POTR5,,125,N,,
J10-S43,J10,POTR5,,250,N,,
J10-S44,J10,POTR5,,60,N,,
J10-S45,J10,POTR5,,488,N,,
J10-S46,J10,POTR5,,200,N,,
J11-S01,J11,POTR5,1.17,145,N,2002,
J11-S02,J11,POTR5,2.42,100,N,1995,
J11-S03,J11,POTR5,1.81,80,N,1999,
J11-S04,J11,POTR5,,175,N,,
J11-S05,J11,POTR5,1.19,195,N,2007,
J11-S06,J11,POTR5,2.82,210,N,1998,
J11-S07,J11,POTR5,,205,N,,
J11-S08,J11,POTR5,,95,N,,
J11-S09,J11,POTR5,,145,N,,
J11-S10,J11,POTR5,2.5,220,N,1992,
J11-S11,J11,POTR5,2.66,95,N,1989,
J11-S12,J11,ABLA,0.14,5,N,2010,
J11-S13,J11,POTR5,3.32,210,Y,1988,
J11-S14,J11,POTR5,3.72,285,Y,1989,
J11-S15,J11,ABLA,6,250,Y,1956,
J11-S16,J11,ABLA,3.45,165,Y,1957,
J11-S17,J11,ABLA,3.4,160,Y,1963,
J12-S01,J12,POTR5,4.52,400,N,1993,
J12-S02,J12,POTR5,6.35,350,N,1995,
J12-S03,J12,POTR5,1.8,175,Y,1993,
J12-S04,J12,POTR5,4.71,170,Y,1993,
J12-S05,J12,POTR5,1.96,160,Y,1996,
J12-S06,J12,POTR5,5.16,366,Y,1996,
J12-S07,J12,POTR5,7.11,396,Y,1998,
J12-S08,J12,POTR5,3.3,200,Y,1994,
J12-S09,J12,POTR5,2.37,120,Y,1999,
J12-S10,J12,POTR5,2.3,110,Y,2001,
J12-S11,J12,POTR5,,396,N,,
J12-S12,J12,POTR5,,244,N,,
J13-S01,J13,POTR5,2.48,167,N,2001,
J13-S02,J13,POTR5,1.92,200,N,2000,
J13-S03,J13,POTR5,1.04,87,N,2005,
J13-S04,J13,POTR5,2.87,285,N,1999,
J13-S05,J13,POTR5,1.62,166,N,2001,
J13-S06,J13,POTR5,2.88,225,N,2002,
J13-S07,J13,POTR5,0.48,64,N,2009,
J13-S08,J13,POTR5,1.42,142,N,2002,
J13-S09,J13,POTR5,4.66,385,N,2000,
J13-S10,J13,POTR5,1.82,200,N,1999,
J13-S11,J13,POTR5,2.64,245,N,2000,
J13-S12,J13,POTR5,0.58,65,N,2008,
J13-S13,J13,POTR5,0.5,58,N,2010,
J13-S14,J13,POTR5,0.47,57,N,2009,
J13-S15,J13,POTR5,4.16,365,N,1981,
J13-S16,J13,POTR5,,44,N,,
J13-S17,J13,POTR5,,130,N,,
J13-S18,J13,POTR5,,420,N,,
J13-S19,J13,POTR5,,26,N,,
J14-S01,J14,POTR5,0.63,40,N,2009,
J14-S02,J14,POTR5,0.33,47,N,2010,
J14-S03,J14,POTR5,0.18,19,N,2011,
J14-S04,J14,POTR5,0.5,65,N,2009,
J14-S05,J14,POTR5,0.2,35,N,2010,
J14-S06,J14,POTR5,0.27,30,N,2011,
J14-S07,J14,POTR5,2.16,140,N,2000,
J14-S08,J14,POTR5,0.53,71,N,2007,
J14-S09,J14,POTR5,2.64,200,N,1989,
J14-S10,J14,POTR5,0.7,95,N,2009,
J14-S11,J14,POTR5,4.29,500,N,1988,
J14-S12,J14,POTR5,2.5,270,N,1999,
J14-S13,J14,POTR5,,195,N,,
J14-S14,J14,POTR5,0.7,65,N,2009,
J14-S15,J14,POTR5,1.04,110,N,2001,
J14-S16,J14,POTR5,,470,N,,
J14-S17,J14,POTR5,,195,N,,
J14-S18,J14,POTR5,,40,N,,
J14-S19,J14,POTR5,,77,N,,
J14-S20,J14,POTR5,,30,N,,
J15-S01,J15,POTR5,1.84,220,N,2006,
J15-S02,J15,POTR5,1.44,200,N,2006,
J15-S03,J15,POTR5,0.75,98,N,2009,
J15-S04,J15,POTR5,0.8,115,N,2008,
J15-S05,J15,POTR5,0.54,68,N,2008,
J15-S06,J15,POTR5,0.54,94,N,2010,
J15-S07,J15,POTR5,0.5,83,N,2009,
J15-S08,J15,POTR5,1.68,110,N,2007,
J15-S09,J15,POTR5,0.96,138,N,2007,
J15-S10,J15,POTR5,0.3,45,N,2010,
J15-S11,J15,POTR5,0.71,80,N,2009,
J15-S12,J15,POTR5,0.78,120,N,2006,
J15-S13,J15,POTR5,2.31,290,N,2007,
J15-S14,J15,POTR5,0.71,80,N,2008,
J15-S15,J15,POTR5,1.46,240,N,2006,
J15-S16,J15,POTR5,,125,N,,
J15-S17,J15,POTR5,,45,N,,
J15-S18,J15,POTR5,,105,N,,
J15-S19,J15,POTR5,,95,N,,
J15-S20,J15,POTR5,,105,N,,
J15-S21,J15,POTR5,,110,N,,
J15-S22,J15,POTR5,,120,N,,
J15-S23,J15,POTR5,,245,N,,
J15-S24,J15,POTR5,,160,N,,
J15-S25,J15,POTR5,,145,N,,
J15-S26,J15,POTR5,,170,N,,
J15-S27,J15,POTR5,,160,N,,
J15-S28,J15,POTR5,,140,N,,
J15-S29,J15,POTR5,,125,N,,
J15-S30,J15,POTR5,,80,N,,
J15-S31,J15,POTR5,,200,N,,
J15-S32,J15,POTR5,,200,N,,
J15-S33,J15,POTR5,,200,N,,
J15-S34,J15,POTR5,,115,N,,
J15-S35,J15,POTR5,,125,N,,
J15-S36,J15,POTR5,,17,N,,
J15-S37,J15,POTR5,,27,N,,
J15-S38,J15,POTR5,,36,N,,
J15-S39,J15,POTR5,,45,N,,
J15-S40,J15,POTR5,,420,N,,
J15-S41,J15,POTR5,,194,N,,
J15-S42,J15,POTR5,,54,N,,
J15-S43,J15,POTR5,,40,N,,
J15-S44,J15,POTR5,,150,N,,
J15-S45,J15,POTR5,,145,N,,
J15-S46,J15,POTR5,,85,N,,
J15-S47,J15,POTR5,,176,N,,
J15-S48,J15,POTR5,,165,N,,
J15-S49,J15,POTR5,,125,N,,
J15-S50,J15,POTR5,,146,N,,
J15-S51,J15,POTR5,,70,N,,
J15-S52,J15,POTR5,,96,N,,
J15-S53,J15,POTR5,,248,N,,
J15-S54,J15,POTR5,,110,N,,
J15-S55,J15,POTR5,,175,N,,
J15-S56,J15,POTR5,,147,N,,
J16-S01,J16,POTR5,2.93,205,N,1985,
J16-S02,J16,POTR5,2.65,205,N,1980,
J16-S03,J16,POTR5,1,84,N,2003,
J16-S04,J16,POTR5,3.98,210,N,1988,
J16-S05,J16,POTR5,1.27,93,N,1994,
J16-S06,J16,POTR5,3.66,367,N,1987,
J16-S07,J16,POTR5,0.72,91,N,2005,
J16-S08,J16,POTR5,2.12,90,N,2001,
J16-S09,J16,POTR5,2.38,115,N,1999,
J16-S10,J16,POTR5,2.72,215,N,1990,
J16-S11,J16,POTR5,5.25,475,N,1976,
J16-S12,J16,POTR5,1.4,120,N,2002,
J16-S13,J16,POTR5,4.54,335,N,1975,
J17-S01,J17,POTR5,,16,N,,
J17-S02,J17,POTR5,0.86,85,N,2008,
J17-S03,J17,POTR5,,150,N,,
J17-S04,J17,ABLA,3.24,200,N,1992,
J17-S05,J17,POTR5,,30,N,2010,
J17-S06,J17,POTR5,1.27,105,N,1994,
J17-S07,J17,POTR5,3.38,220,N,1991,
J17-S08,J17,POTR5,,25,N,2010,
J17-S09,J17,POTR5,,30,N,2010,
J17-S10,J17,POTR5,,30,N,2010,
J17-S11,J17,POTR5,2.08,250,N,2000,
J17-S12,J17,POTR5,0.8,120,N,2001,
J17-S13,J17,POTR5,2.13,300,N,1996,
J17-S14,J17,POTR5,5.28,200,Y,,
J17-S15,J17,POTR5,1.3,150,Y,2000,
J18-S01,J18,POTR5,7.62,518,N,1989,
J18-S02,J18,POTR5,7.57,488,N,1987,
J18-S03,J18,POTR5,,105,N,,
J18-S04,J18,POTR5,2.43,185,N,1999,
J18-S05,J18,POTR5,1.57,105,N,2000,
J18-S06,J18,POTR5,2.2,120,N,1998,
J18-S07,J18,POTR5,2.53,115,Y,1995,
J18-S08,J18,POTR5,2.5,125,Y,1998,
J18-S09,J18,POTR5,3.39,275,Y,1994,
J18-S10,J18,POTR5,3.92,250,Y,1993,
J19-S01,J19,POTR5,2.09,170,Y,2001,
J19-S02,J19,POTR5,1.25,90,Y,2004,
J19-S03,J19,POTR5,1.86,135,Y,2003,
J19-S04,J19,POTR5,2.46,175,Y,2000,
J19-S05,J19,POTR5,2.84,200,Y,2000,
J19-S06,J19,POTR5,3.08,230,Y,1999,
J19-S07,J19,POTR5,2.24,190,Y,2004,
J19-S08,J19,POTR5,2.94,230,Y,2001,
J19-S09,J19,POTR5,3.24,290,Y,2003,
J19-S10,J19,POTR5,2.42,210,Y,2003,
J20-S01,J20,POTR5,5.59,280,N,1986,
J20-S02,J20,ABLA,5.22,200,Y,1984,
J20-S03,J20,ABLA,3.72,200,Y,1989,
J20-S04,J20,POTR5,4.72,300,Y,1993,
J20-S05,J20,POTR5,3.82,200,Y,1993,
J20-S06,J20,POTR5,2.08,80,Y,1997,
J20-S07,J20,POTR5,1.97,165,Y,1999,
J20-S08,J20,ABLA,6.16,280,Y,1984,
J20-S09,J20,POTR5,3.99,240,Y,1988,
J20-S10,J20,POTR5,1.84,170,Y,2000,
J21-S01,J21,ABLA,,47,N,,
J21-S02,J21,POTR5,1.64,143,N,1999,
J21-S03,J21,POTR5,2.71,80,N,1999,
J21-S04,J21,POTR5,1.04,66,N,2003,
J21-S05,J21,POTR5,1.74,144,N,2004,
J21-S06,J21,POTR5,,63,Y,,
J21-S07,J21,POTR5,4.62,175,Y,1993,
J21-S08,J21,POTR5,1.8,145,Y,2000,
J21-S09,J21,POTR5,2.1,129,Y,1991,
J21-S10,J21,ABLA,4.38,181,Y,1983,
J22-S01,J22,ABLA,5.06,200,N,1974,
J22-S02,J22,POTR5,1.61,100,Y,2000,
J22-S03,J22,POTR5,1.24,120,Y,2000,
J22-S04,J22,POTR5,2.78,200,Y,1999,
J22-S05,J22,POTR5,2.44,300,Y,1999,
J22-S06,J22,POTR5,2.7,220,Y,2002,
J22-S07,J22,POTR5,3.53,400,Y,1991,
J22-S08,J22,POTR5,3.72,300,Y,1986,
J22-S09,J22,POTR5,1.7,125,Y,1988,
J22-S10,J22,POTR5,2.06,150,Y,1990,
J23-S01,J23,POTR5,0.37,85,N,2010,
J23-S02,J23,POTR5,0.34,76,N,2009,
J23-S03,J23,POTR5,0.34,37,N,2010,
J23-S04,J23,POTR5,0.86,77,N,2010,
J23-S05,J23,POTR5,0.42,67,N,2008,
J23-S06,J23,POTR5,3.18,285,N,1990,
J23-S07,J23,POTR5,0.28,31,N,2010,
J23-S08,J23,POTR5,0.26,18,N,2010,
J23-S09,J23,POTR5,,67,N,,
J23-S10,J23,POTR5,2.08,180,N,1989,
J23-S11,J23,POTR5,1.39,140,N,1995,
J23-S12,J23,POTR5,0.44,60,N,2008,
J23-S13,J23,POTR5,2.16,266,N,1989,
J23-S14,J23,POTR5,0.68,80,N,2009,
J23-S15,J23,POTR5,0.54,77,N,2010,
J23-S16,J23,POTR5,1.49,155,N,2000,
J23-S17,J23,POTR5,0.38,61,N,2010,
J23-S18,J23,POTR5,,41,N,,
J23-S19,J23,POTR5,,9,N,2011,
J23-S20,J23,POTR5,,325,N,,
J23-S21,J23,POTR5,,325,N,,
J24-S01,J24,POTR5,0.44,55,N,2009,
J24-S02,J24,POTR5,0.36,50,N,2009,
J24-S03,J24,POTR5,0.8,110,N,2008,
J24-S04,J24,POTR5,4.08,275,N,1989,
J24-S05,J24,POTR5,2.22,175,N,1998,
J24-S06,J24,POTR5,2.2,175,N,1991,
J24-S07,J24,POTR5,2.51,240,N,1998,
J24-S08,J24,POTR5,1.28,145,N,1992,
J24-S09,J24,POTR5,0.54,95,N,2009,
J24-S10,J24,POTR5,0.42,77,N,2009,
J24-S11,J24,POTR5,0.4,55,N,2010,
J24-S12,J24,POTR5,0.44,80,N,2009,
J24-S13,J24,POTR5,1.65,195,N,2001,
J24-S14,J24,POTR5,1.31,145,N,2001,
J24-S15,J24,POTR5,1.52,130,N,2000,
J24-S16,J24,POTR5,,100,N,,
J24-S17,J24,POTR5,,65,N,,
J24-S18,J24,POTR5,,90,N,,
J24-S19,J24,POTR5,,120,N,,
J24-S20,J24,POTR5,6.3,350,N,1966,
J24-S21,J24,POTR5,,75,N,,
J24-S22,J24,POTR5,,145,N,,
J24-S23,J24,POTR5,,120,N,,
J24-S24,J24,POTR5,,45,N,,
J24-S25,J24,POTR5,,45,N,,
J25-S01,J25,POTR5,,75,N,,
J25-S02,J25,POTR5,,145,N,,
J25-S03,J25,POTR5,,60,Y,,
J25-S04,J25,POTR5,,115,Y,,
J25-S05,J25,POTR5,,250,N,,1999
J25-S06,J25,POTR5,,75,Y,,
J25-S07,J25,POTR5,,235,Y,,
J25-S08,J25,POTR5,,145,Y,,
J25-S09,J25,POTR5,0.83,45,Y,2008,
J25-S10,J25,POTR5,0.7,40,Y,2007,
J25-S11,J25,POTR5,0.63,60,Y,2007,
J26-S01,J26,POTR5,7.6,350,N,1986,
J26-S02,J26,POTR5,4.1,310,N,1993,
J26-S03,J26,POTR5,1.65,120,N,2001,
J26-S04,J26,POTR5,5.95,400,N,1987,
J26-S05,J26,POTR5,2.84,160,N,1992,
J26-S06,J26,POTR5,1.13,80,N,2003,
J26-S07,J26,POTR5,0.98,65,N,2003,
J26-S08,J26,POTR5,0.42,24,N,2008,
J26-S09,J26,POTR5,1.34,75,N,2008,
J26-S10,J26,POTR5,0.38,20,N,2011,
J26-S11,J26,POTR5,,125,N,,
J26-S12,J26,POTR5,0.5,50,N,2004,
J26-S13,J26,POTR5,4.64,420,N,1996,
J26-S14,J26,POTR5,,155,N,,
J26-S15,J26,POTR5,3.24,165,N,1987,
J26-S16,J26,POTR5,4.9,310,N,1982,
J26-S17,J26,POTR5,1.94,145,N,1990,
J26-S18,J26,POTR5,,290,N,,
J26-S19,J26,POTR5,,450,N,,
J27-S01,J27,POTR5,5.85,310,N,1984,
J27-S02,J27,POTR5,1.64,160,N,2000,
J27-S03,J27,POTR5,1.74,145,N,2000,
J27-S04,J27,POTR5,5.84,325,N,1986,
J27-S05,J27,POTR5,4.63,265,N,1994,
J27-S06,J27,POTR5,0.64,45,N,2009,
J27-S07,J27,POTR5,,300,N,,
J27-S08,J27,POTR5,0.9,60,N,2002,
J27-S09,J27,POTR5,5.26,270,N,1993,
J27-S10,J27,POTR5,3.64,230,N,1995,
J27-S11,J27,POTR5,1.4,75,N,2001,
