"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885"
"61","MT","ABLA","H","3C","ABLA-H-3C",0.4805,0.501,0.3805,0.3495,0.4125,0.254,0.2875,0.2685,0.326,0.263,0.286,0.372,0.4615,0.477,0.431,0.4965,0.43,0.5705,0.427,0.6295,0.2285,0.371,0.286,0.4875,0.476,0.6215,0.5305,0.317,0.232,0.452,0.4355,0.5525,0.7485,0.6255,0.836,0.843,0.865,0.9955,0.933,0.548,0.3905,0.264,0.294,0.5045,0.418,0.324,0.4905,0.677,0.6455,0.4575,0.573,0.34,0.3685,0.417,0.5835,0.511,0.502,0.272,0.3865,0.314,0.502,0.271,0.4145,0.527,0.372,0.3,0.382,0.2375,0.464,0.328,0.3925,0.2225,0.194,0.219,0.22,0.378,0.3225,0.4055,0.3385,0.3835,0.518,0.4545,0.372,0.5485,0.561,0.3,0.6715,0.638,0.5495,0.4795,0.5615,0.488,0.3605,0.349,0.4135,0.4035,0.4225,0.4205,0.3865,0.72,0.7735,0.684,0.5,0.6625,0.714,0.897,0.7045,0.541,0.4155,0.506,0.5495,0.5765,0.5685,0.818,0.646,0.824,0.5195,0.5365,0.4055,0.3595,0.2905,0.327,0.742,0.75,0.3655,0.3875,0.451,0.5485,0.4365
"62","MT","ABLA","H","3N","ABLA-H-3N",0.324,0.357,0.347,0.326,0.3785,0.2835,0.303,0.3245,0.291,0.302,0.3005,0.365,0.385,0.3645,0.3365,0.413,0.253,0.415,0.3455,0.432,0.3005,0.3735,0.3385,0.4085,0.4385,0.46,0.407,0.3545,0.408,0.504,0.453,0.6105,0.532,0.615,0.7585,0.8625,0.714,0.8415,0.82,0.936,0.715,0.6105,0.5565,0.646,0.5065,0.5315,0.816,0.708,0.7605,0.884,0.915,0.579,0.756,0.952,1.0415,0.82,0.7395,0.4175,0.8095,0.7035,0.8485,0.6255,0.863,0.8985,0.8625,0.873,0.8415,0.65,0.8935,0.667,0.7855,0.528,0.6145,0.833,0.571,0.7655,0.83,0.901,0.778,0.7285,0.5785,0.4435,0.5245,0.6135,0.749,0.7025,0.574,0.563,0.6275,0.8345,0.817,0.99,0.8215,0.674,0.754,0.678,0.8195,0.9495,0.5185,0.7945,0.8715,0.705,0.619,0.562,0.8495,1.1395,1.7405,0.7235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","MT","ABLA","H","4C","ABLA-H-4C",0.779,0.9405,0.9625,0.9465,0.9995,0.6555,0.825,0.92,0.8775,0.8245,1.0995,1.11,1.2475,1.532,1.2885,1.2245,1.053,1.2345,1.2485,1.2175,0.562,1.2435,0.906,0.831,0.842,1.1375,0.9175,0.936,1.045,1.024,1.002,0.934,0.944,0.612,1.2545,0.8675,1.2325,1.2655,1.1855,1.2605,0.9715,0.5765,0.756,0.787,0.5745,0.5005,0.5435,0.4905,0.55,0.535,0.606,0.4535,0.346,0.3975,0.522,0.9145,1.2655,0.4245,0.9795,1.0115,1.139,0.322,1.0965,0.872,0.6455,0.895,0.537,0.746,0.9935,0.93,1.1865,0.9665,1.032,0.835,1.2905,1.4985,0.9995,1.2795,1.0945,0.5125,0.434,0.333,0.7655,0.782,0.3885,0.73,0.645,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","MT","ABLA","H","4N","ABLA-H-4N",0.812,1.2785,1.1375,1.1905,1.1165,0.886,1.0335,1.1485,1.0765,1.0025,1.2985,1.259,1.316,1.2795,1.1635,1.7025,1.5025,1.2695,1.301,1.735,0.672,1.344,1.1835,1.0785,1.2265,1.206,1.0565,0.53,0.7165,0.532,0.546,0.6545,0.596,0.7105,0.686,0.802,1.8355,1.663,1.3015,1.077,1.4205,1.0975,1.07,1.179,1.31,1.2245,1.537,1.2185,1.243,0.8875,1.2925,0.814,0.93,0.4905,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","MT","ABLA","H","5C","ABLA-H-5C",0.222,0.2465,0.317,0.3685,0.445,0.2345,0.2535,0.2805,0.2395,0.228,0.2745,0.321,0.4225,0.473,0.368,0.537,0.4775,0.6975,0.541,0.5635,0.3275,0.569,0.477,0.722,0.682,0.743,0.8105,0.37,0.5225,0.6795,0.602,0.5,0.7005,0.5445,0.718,0.6645,0.6195,0.7455,0.285,0.231,0.359,0.1025,0.3015,0.315,0.294,0.272,0.4825,0.8425,0.8985,0.7295,0.76,0.5215,0.517,0.582,0.5565,0.671,0.646,0.35,0.711,0.6055,0.913,0.493,0.7445,0.6175,0.6065,0.5435,0.6295,0.644,0.947,0.6565,1.1275,0.74,0.9205,0.839,0.6935,0.9195,0.7135,0.9365,0.722,0.6265,0.8425,0.64,0.6295,0.8595,0.84,0.661,0.777,1.0815,1.249,0.9745,0.943,0.792,0.7505,0.761,1.025,0.9505,1.0775,0.782,0.6655,0.877,0.7715,0.6645,0.761,0.632,0.719,0.973,0.9395,0.7155,0.6965,0.6305,0.756,0.5585,0.6535,0.6525,0.4945,0.6725,0.4305,0.5785,0.461,0.649,0.721,0.682,0.6235,0.5855,0.607,0.9085,0.5845,0.8125,0.782
"66","MT","ABLA","H","5N","ABLA-H-5N",0.875,1.192,1.065,1.0375,1.0555,0.898,0.7415,0.9205,0.988,0.6335,1.0365,1.143,1.32,1.2985,1.1215,1.064,0.812,1.1325,1.002,1.7865,0.816,1.446,1.2005,1.234,1.07,1.651,1.3045,0.925,0.987,1.287,1.213,1.147,1.3105,0.827,1.2355,1.3695,1.557,1.0995,0.7365,0.449,0.67,0.462,0.632,0.7985,0.7815,0.4255,0.582,0.857,0.7945,0.508,0.783,0.59,0.8225,0.421,0.5275,0.619,0.666,0.2545,1.118,1.482,1.6815,0.6875,0.943,0.955,1.1185,1.266,0.5515,0.2605,0.576,0.783,0.9145,0.5855,0.722,0.477,0.8065,0.7875,0.527,0.807,0.6665,0.6155,0.3865,0.2515,0.211,0.212,0.52,1.1265,0.682,0.6,0.396,0.664,0.679,0.83,0.705,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","MT","ABLA","H","6C","ABLA-H-6C",0.293,0.3155,0.3985,0.3775,0.398,0.304,0.293,0.365,0.334,0.292,0.355,0.3975,0.4085,0.42,0.284,0.3395,0.26,0.4,0.305,0.518,0.2805,0.41,0.3565,0.449,0.4495,0.523,0.537,0.3955,0.304,0.441,0.3245,0.356,0.5735,0.4955,0.516,0.4635,0.41,0.4045,0.319,0.2595,0.429,0.297,0.3565,0.487,0.3705,0.3105,0.494,0.585,0.5865,0.534,0.5395,0.382,0.485,0.527,0.517,0.548,0.509,0.3105,0.5965,0.492,0.6165,0.384,0.5825,0.708,0.5605,0.4975,0.4755,0.4755,0.589,0.4625,0.4645,0.4965,0.4845,0.5155,0.433,0.618,0.536,0.607,0.5435,0.635,0.698,0.6255,0.5395,0.665,0.6855,0.6325,0.7115,0.7565,0.94,0.736,0.777,0.7405,0.575,0.451,0.5125,0.5925,0.6795,0.589,0.4805,0.747,0.718,0.7695,0.905,0.962,1.016,1.2385,0.688,0.6375,0.6545,0.9465,0.861,0.772,0.9685,1.3305,0.9655,1.4335,0.954,1.2015,1.201,1.026,0.8515,0.9035,1.123,1.193,1.321,1.9895,1.747,0.946,1.097
"68","MT","ABLA","H","6N","ABLA-H-6N",0.814,1.0335,0.815,0.892,0.8805,0.9035,0.979,0.9145,1.1155,1.1025,1.182,1.0645,1.363,1.2925,1.0265,1.4845,0.8295,1.3505,1.2655,1.6995,0.846,1.27,1.1195,1.5025,1.495,1.4175,1.2285,1.183,0.995,0.935,0.9755,1.094,1.3675,1.2675,1.512,1.8335,1.8255,1.7245,1.021,0.8285,1.1945,1.038,1.355,1.585,1.32,1.087,1.0315,1.585,1.3725,1.244,1.531,1.0985,1.4805,1.6095,1.174,1.67,2.0865,1.1105,1.936,1.4415,1.2875,1.527,1.7625,1.9525,2.067,1.9695,1.5025,1.173,1.656,1.554,1.236,1.9005,1.7455,1.245,1.285,1.3225,1.763,1.96,2.281,1.8905,1.4165,1.87,2.239,1.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","MT","ABLA","H","7C","ABLA-H-7C",0.412,0.469,0.4615,0.4115,0.448,0.396,0.349,0.4145,0.3505,0.442,0.47,0.4995,0.597,0.673,0.4505,0.6005,0.403,0.482,0.321,0.4655,0.3665,0.3585,0.383,0.5255,0.4425,0.483,0.508,0.3425,0.3785,0.546,0.4685,0.417,0.5425,0.501,0.6395,0.5965,0.501,0.4385,0.2995,0.19,0.386,0.281,0.4165,0.508,0.4135,0.301,0.451,0.6365,0.5845,0.44,0.5795,0.4375,0.5105,0.5695,0.4415,0.456,0.6505,0.443,0.6775,0.6315,0.7475,0.683,1.111,1.141,1.0305,1.135,1.0955,1.0805,1.366,1.1995,1.2545,1.062,1.0425,1.11,0.8925,1.1885,1.088,1.2325,1.007,1.0105,0.9295,0.794,0.85,1.0415,0.9745,1.115,1.3005,1.3175,1.4055,1.0795,1.328,1.231,0.869,0.8985,1.163,1.062,0.891,1.017,1.1995,1.1975,1.4085,1.1455,1.16,1.2755,1.3305,1.4655,1.429,1.4085,1.6775,1.721,1.406,1.34,1.82,2.2885,0.987,1.104,0.907,0.92,1.15,0.983,0.67,1.154,1.378,1.389,1.371,1.183,1.634,1.152,1.008
"70","MT","ABLA","H","7N","ABLA-H-7N",0.6135,0.954,1.025,1.1085,1.0905,0.7555,0.7725,1.005,1.0415,0.9225,1.137,1.0855,1.0465,1.18,0.924,1.1415,1.005,1.135,1.0245,1.563,0.996,1.195,0.91,1.1725,1.1165,1.1495,1.114,0.922,0.5935,0.7745,0.9815,0.9,1.22,0.954,1.1485,1.259,1.1285,1.1985,0.826,0.7615,0.849,0.8155,0.9865,1.024,1.1185,0.6485,0.7415,1.0265,1.0555,1.0315,1.375,0.839,0.897,0.8655,0.907,1.128,1.214,0.9315,1.599,1.3025,1.0145,1.112,1.166,1.391,1.7055,1.6885,1.7245,1.629,1.546,1.319,1.4465,1.542,1.3355,1.024,1.0585,0.9865,0.701,0.994,1.0005,1.319,0.8895,0.9485,1.4035,0.822,0.972,0.718,0.569,1.055,0.804,0.91,1.246,0.76,0.866,0.802,0.846,0.296,0.529,0.571,0.973,1.037,0.741,0.719,0.91,0.931,1.141,1.014,0.887,0.761,0.896,2.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","MT","ABLA","H","8C","ABLA-H-8C",0.2735,0.39,0.401,0.348,0.3775,0.2705,0.4295,0.42,0.5135,0.335,0.451,0.3455,0.462,0.5595,0.43,0.579,0.4675,0.712,0.5905,0.9465,0.615,0.6805,0.556,0.6945,0.598,0.5585,0.5805,0.417,0.3735,0.639,0.508,0.5025,0.6085,0.5225,0.6335,0.735,0.5815,0.655,0.4915,0.3545,0.47,0.285,0.4685,0.519,0.5785,0.3825,0.5425,0.5895,0.6055,0.395,0.5515,0.3615,0.4735,0.5635,0.688,0.734,0.742,0.418,0.759,0.5845,0.598,0.429,0.771,0.747,0.676,0.82,0.765,0.7685,0.9155,0.9245,0.9415,0.7945,0.62,0.5125,0.5225,0.492,0.48,0.6295,0.557,0.6535,0.556,0.505,0.6245,0.819,0.92,1.498,1.151,0.9255,0.829,0.564,0.6015,0.504,0.457,0.4175,0.489,0.467,0.6875,0.6375,0.486,0.585,0.6355,0.642,0.582,0.557,0.565,0.5765,0.5195,0.471,0.4875,0.7885,0.8305,0.62,0.8855,1.2915,1.039,1.285,1.013,1.294,1.4675,2.2355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","MT","ABLA","H","8N","ABLA-H-8N",0.5,0.576,0.671,0.614,0.6385,0.46,0.528,0.577,0.4735,0.452,0.5175,0.4725,0.594,0.7055,0.592,0.5895,0.4765,0.734,0.6505,1.044,0.654,0.5925,0.4455,0.8485,0.9245,0.9065,0.803,0.6345,0.374,0.8535,0.9765,0.886,1.4295,1.144,1.2875,1.5105,1.344,1.337,1.108,0.693,0.888,0.7315,0.7585,0.8955,0.881,0.502,0.549,0.8325,0.8105,0.6115,0.797,0.4055,0.543,0.654,0.5665,0.8335,1.0635,0.8305,1.2215,1.222,1.0235,0.918,0.9575,1.091,1.186,1.134,1.0355,0.9895,1.0175,1.1555,1.0585,1.117,1.137,0.9525,0.9405,0.651,0.5955,0.9695,0.794,1.169,0.8715,0.4815,0.637,0.7725,0.9205,1.172,0.6175,0.776,1.162,0.9735,1.0455,0.9215,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","MT","ABLA","H","9C","ABLA-H-9C",0.571,0.6405,0.556,0.9695,0.6275,0.4725,0.5775,0.609,0.5885,0.442,0.6315,0.6,0.695,0.7885,0.7355,0.8405,0.482,0.8165,0.6155,1.1055,0.7935,0.9485,0.721,0.888,1.102,1.1125,1.0615,0.969,0.6985,1.237,1.131,0.9445,1.0865,0.844,1.057,1.239,1.6445,1.417,1.007,0.6595,0.894,0.5415,0.86,1.1625,0.9655,0.684,0.8565,0.8945,0.7795,0.7055,0.872,0.6855,0.7435,0.735,0.8405,0.676,0.6345,0.3325,0.871,0.695,0.871,0.512,0.9085,0.6865,0.943,0.9395,0.578,0.6515,0.8755,0.7275,0.696,0.5705,0.708,0.6555,0.507,0.7145,0.5255,0.629,0.7015,0.7325,0.478,0.5375,0.5405,0.5205,0.6405,0.5495,0.4275,0.8035,0.515,0.749,0.782,0.585,0.519,0.445,0.712,0.379,0.5485,0.5095,0.4445,0.7585,0.5565,0.7665,0.5525,0.4765,0.719,0.6605,0.4505,0.411,0.546,0.6335,0.847,0.611,0.876,0.994,0.588,0.5565,0.873,0.5785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
