age_CE,DP0701A_raw,DP0702A_raw,DP0703B_raw,DP0705B_raw,DP0706B_raw,DP0707B_raw,DP0708B_raw,DP0709A_raw,DP0710B_raw,DP0713A_raw,DP0714A_raw,DP0715A_raw,DP0717B_raw,DP0718A_raw,DP0721B_raw,DP0722B_raw,DP0723A_raw,DP0724B_raw,DP0725B_raw,DP0726A_raw,DP0727A_raw,DP0728A_raw,DP0729A_raw,DP0731A_raw,DP0732B_raw,DP0733A_raw,DP0701A_raw_outlier_flag,DP0702A_raw_outlier_flag,DP0703B_raw_outlier_flag,DP0705B_raw_outlier_flag,DP0706B_raw_outlier_flag,DP0707B_raw_outlier_flag,DP0708B_raw_outlier_flag,DP0709A_raw_outlier_flag,DP0710B_raw_outlier_flag,DP0713A_raw_outlier_flag,DP0714A_raw_outlier_flag,DP0715A_raw_outlier_flag,DP0717B_raw_outlier_flag,DP0718A_raw_outlier_flag,DP0721B_raw_outlier_flag,DP0722B_raw_outlier_flag,DP0723A_raw_outlier_flag,DP0724B_raw_outlier_flag,DP0725B_raw_outlier_flag,DP0726A_raw_outlier_flag,DP0727A_raw_outlier_flag,DP0728A_raw_outlier_flag,DP0729A_raw_outlier_flag,DP0731A_raw_outlier_flag,DP0732B_raw_outlier_flag,DP0733A_raw_outlier_flag
1867,NA,2.64,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,NA,2.59,2.3,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,2.35,2.71,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1869,2.38,1.82,1.61,NA,1.88,NA,NA,NA,2.06,NA,NA,NA,NA,NA,1.75,2.17,1.77,NA,1.81,NA,NA,0.98,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA
1870,2.58,2.22,1.87,NA,1.82,NA,NA,NA,2.38,NA,NA,NA,NA,NA,1.82,2.52,2.19,NA,2.1,NA,NA,0.52,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA
1871,1.95,1.73,1.39,NA,1.42,NA,NA,1.73,2.04,NA,NA,NA,NA,NA,1.3,2.04,1.55,NA,1.4,NA,NA,0.35,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA
1872,2.52,2.37,1.7,NA,1.47,NA,NA,1.44,1.81,NA,NA,NA,NA,NA,1.65,2.1,1.79,NA,1.64,NA,NA,0.6,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA
1873,2.89,2.66,1.88,NA,1.34,NA,NA,1.79,1.99,NA,NA,NA,NA,NA,1.78,1.88,1.65,NA,1.43,NA,NA,0.87,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA
1874,2.95,2.66,2.05,NA,1.96,NA,NA,1.48,2.15,NA,NA,NA,NA,NA,2.08,2.33,2.04,NA,1.54,NA,NA,1.16,NA,1.67,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,NA
1875,2.57,1.79,2.11,1.41,2.12,NA,NA,1.42,2.03,NA,NA,NA,NA,NA,2.05,2.2,1.45,NA,1.6,NA,NA,1.36,NA,1.98,2.52,2.32,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE
1876,2.18,2.27,2.49,2.02,2.39,NA,NA,1.52,1.97,NA,NA,NA,2.25,NA,1.69,2.18,1.71,NA,2.19,NA,2.21,1.61,NA,1.6,2,2.73,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1877,2.59,2.73,2.26,2.76,2.77,NA,NA,1.58,1.78,NA,NA,NA,2.52,NA,1.38,2.03,2.16,NA,2.13,NA,2.99,1.8,NA,1.47,1.71,2.53,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1878,2.34,2.64,2.36,2.48,2.38,NA,NA,1.38,2.23,NA,NA,NA,1.98,NA,1.46,2.05,2.08,NA,2.21,NA,2.9,1.48,NA,1.59,1.33,2.11,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1879,2.15,2.3,2.24,2.32,2.73,NA,NA,1.28,2.31,NA,NA,NA,1.88,NA,1.44,2.06,2.06,NA,2.43,NA,2.52,1.49,NA,1.39,1.44,1.94,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1880,1.77,1.86,2.01,2.04,2.19,NA,NA,1.6,1.87,NA,NA,NA,1.52,NA,0.79,1.63,1.86,NA,2.37,NA,2.24,1.15,NA,1.36,1.32,1.89,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1881,2.09,2.32,1.68,2.19,2.69,NA,NA,1.45,2.15,NA,NA,NA,2.07,NA,1.02,1.4,2.49,NA,2.22,NA,3.12,1.03,NA,1.38,2.16,2.14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1882,2.03,2.2,2.29,2.54,2.75,NA,NA,1.78,2.13,NA,NA,NA,1.79,NA,1.09,1.29,1.75,NA,2.35,NA,2.75,0.5,NA,1.58,1.87,2.02,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1883,1.42,1.45,1.62,1.53,1.73,NA,NA,1.25,1.59,NA,NA,NA,1.46,NA,0.84,1.13,1.21,NA,1.04,NA,1.32,0.5,NA,1.28,1.69,1.59,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1884,1.78,2.05,1.64,1.9,2.6,NA,NA,1.32,1.95,NA,NA,NA,1.88,NA,0.71,1.19,1.28,NA,2.06,NA,3.41,0.65,NA,1.39,1.32,2.08,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1885,1.55,1.63,1.12,1.98,1.9,NA,NA,1.35,1.36,NA,NA,NA,1.85,NA,0.57,1.13,1.51,NA,2.22,NA,2.79,0.54,NA,1.43,1.33,1.27,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1886,2.01,2.14,2.31,2.47,2.65,NA,NA,1.99,2.42,NA,NA,NA,2.16,NA,1.65,1.75,1.74,NA,2.58,NA,4.55,1.29,NA,2.07,2.06,2.87,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,FALSE,FALSE,FALSE
1887,1.68,1.89,2.34,1.86,2.46,NA,NA,1.85,2.48,NA,NA,NA,1.52,NA,1.13,1.7,1.64,NA,2.12,NA,3.73,1.49,NA,2.04,1.58,2.53,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1888,1.92,2.36,2.47,2.23,2.76,NA,NA,1.96,2.47,NA,NA,NA,2.05,NA,1.03,1.61,1.39,NA,2.65,NA,3.6,1.11,NA,1.95,1.48,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1889,1.57,1.69,2.21,2,2.35,NA,NA,1.63,1.84,0.79,NA,NA,1.72,2.13,0.93,1.45,1.8,NA,1.75,NA,2.7,1,NA,1.75,1.17,2.39,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1890,1.97,2.39,2.37,2.21,2.32,NA,NA,1.56,1.81,1.21,NA,NA,2.27,2.36,0.89,1.84,1.73,NA,2.15,NA,3.07,1.49,NA,1.81,0.76,2.34,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1891,1.78,1.83,2.36,2.01,2,NA,NA,1.5,1.78,1.73,1.69,NA,2.29,1.95,1.02,1.61,1.78,NA,1.85,NA,3.06,1.4,NA,1.84,1,2.27,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1892,1.4,1.41,2.11,2.02,2.03,NA,NA,1.76,1.92,1.43,1.71,2.53,3.51,1.77,1.06,1.24,1.65,NA,2.49,3.16,2.29,1.4,1.74,2.14,1.25,2.04,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1893,1.48,1.28,2.14,1.99,2.09,NA,NA,1.68,1.9,1.57,1.77,2.31,3.13,1.66,1.12,1.28,1.6,2.66,2.6,3,2.25,1.55,1.58,1.95,1.13,1.77,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1894,1.28,1.47,2.61,2.02,1.78,NA,NA,1.41,2.22,1.89,1.77,2.8,2.56,1.88,1.06,1.54,1.35,2.9,2.82,2.67,2.31,1.49,1.38,2.08,1.26,1.96,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1895,1.37,1.27,2.41,2.06,1.97,1.62,1.87,1.28,1.88,1.42,1.64,2.84,2.93,1.98,1.01,1.34,1.69,1.99,2,2.87,1.98,1.56,1.13,1.85,1.06,1.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1896,0.87,1.08,2.06,1.66,1.24,0.73,1.44,1.18,1.5,1.45,1.68,2.13,2.61,1.57,0.65,1.01,1.18,2.68,1.57,2.1,1.31,1,1.4,0.57,0.71,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1897,0.96,1.21,2.28,2.31,1.73,1.23,2.61,1.59,1.72,1.51,1.89,3.1,3.37,1.69,0.69,1.36,1.54,2.28,2.02,2.45,1.99,1.69,1.46,0.31,0.92,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1898,1.18,1.17,2.35,2.47,1.16,1.78,2.15,1.51,1.7,1.43,1.78,2.55,2.91,1.99,0.78,1.2,1.45,2.31,1.93,2.31,2.11,1.53,1.66,0.93,1.47,1.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1899,1,1.26,2.18,1.62,1.43,1.88,1.7,1.25,1.44,1.13,1.44,2,2.23,1.78,0.73,0.76,1.12,2.01,1.6,1.76,1.33,1.23,1.28,0.69,1.3,1.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1900,1.09,1.94,2.45,1.94,1.87,2.28,2.56,1.96,1.84,1.55,1.97,2.9,3.76,1.92,0.82,0.97,1.53,2.7,2.21,2.4,2.41,1.63,1.7,1,1.87,1.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1901,1.43,2.29,2.7,1.88,1.68,2.1,2.48,2.27,1.94,1.06,2.24,2.63,3.45,1.81,0.85,0.98,1.81,1.98,1.95,1.91,2.19,1.73,1.58,1.12,2.12,2.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1902,1.5,2.17,2.78,2.07,1.73,2.35,2.38,3.14,1.97,0.54,2.36,2.84,2.99,1.97,0.87,0.98,1.58,2.05,1.31,2.2,1.82,1.69,1.9,1.35,1.87,2.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1903,1.51,1.69,2.97,2.27,1.76,2.19,2.35,3.16,1.97,0.72,2.26,2.35,2.92,1.79,1,1.19,1.64,2.42,2.89,2.25,1.85,1.7,2.15,1.41,1.61,2.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1904,1.49,1.65,2.38,2.18,1.62,1.76,2.11,2.81,1.73,0.9,1.9,3.8,3.24,1.87,0.88,1.01,1.55,1.41,1.99,2.22,1.74,1.32,1.28,1.31,2.02,2.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1905,1.62,1.9,2.43,1.76,1.72,1.85,2.15,3.54,1.97,1.17,2.08,3.32,3.62,1.75,0.88,0.75,1.46,1.31,1.79,2.42,2.08,1.83,1.98,1.53,2,2.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,1.53,1.24,2.23,1.92,1.32,1.64,1.95,2.94,1.76,1.01,1.8,2.25,3.6,1.64,0.65,0.67,1.27,1.65,1.5,1.87,1.59,1.36,1.8,1.57,1.74,2.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,1.74,1.65,2.68,2.65,1.43,1.42,2.64,2.97,2.22,1.33,2.37,2.67,3.77,2.31,1.11,0.84,1.5,2.34,1.9,3.05,1.83,1.5,2.3,2.61,1.69,3.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1908,1.55,1.3,2.27,2.22,1.1,1.57,2.38,2.58,1.69,1.01,2.26,2.51,2.92,1.97,0.86,0.88,1.43,2.32,1.67,2.31,1.31,1.25,1.63,2.05,1.56,2.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1909,1.51,1.5,1.95,2.14,1.19,1.76,2.08,2.48,1.51,1.6,2.62,2.76,2.47,1.52,0.88,0.71,1.58,1.83,2.46,2.12,1.33,1.49,2.16,2.16,1.53,2.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,1.45,1.24,2.22,2.17,1.12,1.86,2.44,2.3,1.23,1.39,2.82,2.81,2.56,1.52,0.83,0.69,1.34,2.42,2.37,1.95,0.93,1.35,2.2,2.01,1.81,2.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,1.42,1.23,2.11,2.12,1.26,2.01,2.35,2.64,1.46,1.26,2.55,2.19,2.64,1.97,0.97,0.66,1.37,1.96,1.92,2.07,1.08,1.44,1.99,1.79,1.65,2.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.33,1.5,2.4,2.57,1.27,2.29,2.6,3.18,1.91,1.62,2.5,2.5,2.89,2.54,1.04,0.79,1.72,2.15,2.41,2.35,1.64,1.78,2.4,2.24,1.73,2.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.31,1.28,2.21,2.31,1.32,2.06,2.4,2.34,1.58,1.67,2.32,2.07,1.9,2.23,1.01,0.74,1.62,2.19,2.23,2.05,1.19,1.18,1.79,2.17,1.47,2.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,1.36,1.22,2.24,2.28,1.24,1.93,1.91,1.69,1.47,1.12,2.44,2.42,2.12,1.96,0.94,0.7,1.79,1.46,2.17,1.94,1.25,1.09,1.48,2.3,1.63,2.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.27,1.07,2.31,2.6,1.31,1.86,2.24,2.01,1.42,1.4,2.3,2.41,2.75,2,0.9,0.74,1.47,1.5,2.25,1.89,1.14,1.27,2.04,2.51,1.67,2.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,0.99,0.83,2.01,2.22,1.21,1.88,1.92,1.55,1.19,1.08,2.04,2.69,2.55,1.79,0.84,0.66,1.31,1.19,1.45,1.79,0.84,1.02,1.95,2.33,1.5,1.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
