park,tree,oldest_rng,center_yr,lat_dd,lon_dd,date,dbh_cm,height_m,std_dead,fall_dead,vigor_pct,fire
dinosaur nm,DLP10,2007,2007,40.449883,-108.519649,9/2/2018,13.1,8.4,0,0,90,0
dinosaur nm,DLP11,1985,1984,40.449592,-108.519923,9/2/2018,21.6,13,0,0,70,0
dinosaur nm,DLP12,1920,1919,40.452257,-108.517257,9/2/2018,81.5,17.6,0,0,85,0
dinosaur nm,DLP13,1918,1918,40.452283,-108.517831,9/2/2018,63.7,15.9,0,0,80,0
dinosaur nm,DLP14,1928,1927,40.452302,-108.519547,9/2/2018,108.5,21.9,0,0,75,0
dinosaur nm,DLP15,1934,1925,40.453112,-108.521322,9/2/2018,118.2,21.1,0,0,90,0
dinosaur nm,DLP16,1917,1916,40.452819,-108.524652,9/2/2018,97.5,19.1,0,0,95,0
dinosaur nm,DLP17,2008,2008,40.443866,-108.513772,9/3/2018,17.9,7.3,0,0,100,0
dinosaur nm,DLP18,1997,1996,40.442894,-108.51423,9/3/2018,27.5,14.8,0,0,55,0
dinosaur nm,DLP19,1757,1757,40.443417,-108.512846,9/3/2018,157.5,19.8,0,0,95,0
dinosaur nm,DLP20,2004,2002,40.442517,-108.511309,9/3/2018,17.1,10.2,0,0,100,0
dinosaur nm,DLP21,2008,2008,40.448563,-108.509815,9/3/2018,13,8.3,0,0,90,0
dinosaur nm,DLP22,2005,2005,40.448324,-108.50946,9/3/2018,26,11.7,0,0,100,0
dinosaur nm,DLP23,1993,1993,40.447015,-108.508599,9/3/2018,30.1,13.3,0,0,80,0
dinosaur nm,DLP24,1935,1935,40.44716,-108.508247,9/3/2018,112.5,16,0,0,95,0
dinosaur nm,DLP25,1926,1924,40.447273,-108.507208,9/3/2018,109.6,17.6,0,0,90,0
dinosaur nm,DLP26,1839,1832,40.447021,-108.505958,9/3/2018,151.4,20.2,0,0,70,0
dinosaur nm,DLP27,1879,-999,40.44667,-108.505865,9/3/2018,77.4,16,0,0,60,0
dinosaur nm,DLP28,1906,1904,40.446495,-108.506492,9/3/2018,70.5,15.2,0,0,90,0
dinosaur nm,DLP29,1845,1834,40.446668,-108.505657,9/3/2018,97.8,17.7,0,0,60,0
dinosaur nm,DLP30,1834,1834,40.44647,-108.50522,9/3/2018,103.7,14.6,0,0,60,0
dinosaur nm,DLP31,1993,1993,40.446697,-108.508445,9/3/2018,30.1,10.3,0,0,100,0
dinosaur nm,DLP32,2003,2003,40.446348,-108.508398,9/3/2018,14.8,9.1,0,0,100,0
dinosaur nm,DLP33,1902,1900,40.446395,-108.50745,9/4/2018,47.2,11.2,0,0,70,0
dinosaur nm,DLP34,1927,1927,40.445553,-108.50533,9/4/2018,51.3,12.9,0,0,85,0
dinosaur nm,DLP35,1934,1934,40.44562,-108.504746,9/4/2018,93.7,16,0,0,80,0
dinosaur nm,DLP36,1930,1929,40.445077,-108.504384,9/4/2018,48,14.7,0,0,90,0
dinosaur nm,DLP37,1800,1800,40.444561,-108.502949,9/4/2018,65.8,19.3,0,0,80,0
dinosaur nm,DLP38,1926,1926,40.444053,-108.504076,9/4/2018,89,14.1,0,0,75,0
dinosaur nm,DLP39,1905,-999,40.443545,-108.50454,9/4/2018,73.4,16.2,0,0,75,0
dinosaur nm,DLP40,1890,1888,40.443119,-108.504222,9/4/2018,95.1,17,0,0,85,0
dinosaur nm,DLP41,1878,1871,40.442358,-108.503388,9/4/2018,74.5,17.5,0,0,70,0
dinosaur nm,DLP42,1915,1912,40.442808,-108.505661,9/4/2018,78.6,16.2,0,0,80,0
dinosaur nm,DLP43,1919,1919,40.44291,-108.506349,9/4/2018,68.2,15,0,0,90,0
dinosaur nm,DLP44,1996,1996,40.443164,-108.507156,9/4/2018,29.1,11.4,0,0,95,0
dinosaur nm,DLP45,1993,1993,40.44423,-108.507257,9/4/2018,24.3,9.3,0,0,95,0
dinosaur nm,DLP46,1906,1904,40.443968,-108.506739,9/4/2018,105,16.5,0,0,80,0
dinosaur nm,DLP47,1900,1899,40.444489,-108.506242,9/4/2018,56.9,17.3,0,0,80,0
dinosaur nm,DLP48,1899,1898,40.444741,-108.506587,9/4/2018,63.4,14,0,0,80,0
dinosaur nm,DLP49,1922,1920,40.444881,-108.507858,9/4/2018,77.9,20,0,0,75,0
dinosaur nm,DLP50,1996,1996,40.445134,-108.508465,9/4/2018,31.2,12.4,0,0,85,0
dinosaur nm,ILP01,1976,1968,40.51235431,-109.1225814,6/20/2019,72.3,12,0,0,95,0
dinosaur nm,ILP02,1921,1920,40.51458254,-109.1260872,6/20/2019,132,16.6,0,0,95,0
dinosaur nm,ILP03,1926,1921,40.51466051,-109.1269118,6/20/2019,133.8,20.4,0,0,85,0
dinosaur nm,ILP04,1977,1974,40.51501101,-109.1290349,6/20/2019,71.4,20,0,0,90,0
dinosaur nm,ILP05,1934,1925,40.51480221,-109.1324312,6/20/2019,117,17.4,0,0,80,0
dinosaur nm,ILP06,1980,1977,40.51523853,-109.1297585,6/20/2019,69.5,19.6,0,0,95,0
dinosaur nm,ILP07,1887,1882,40.51356261,-109.1315061,6/21/2019,80,14,0,0,90,0
dinosaur nm,ILP08,-999,-999,40.51300601,-109.1314207,6/21/2019,127.9,11,0,0,90,0
dinosaur nm,ILP09,1842,1818,40.51885317,-109.140948,6/23/2019,183.2,20.6,0,0,80,0
dinosaur nm,ILP10,1898,1897,40.52108173,-109.1415631,6/20/2019,100.5,16.7,0,0,80,0
dinosaur nm,ILP11,1849,1839,40.521887,-109.1402858,6/20/2019,106,14,0,0,80,0
dinosaur nm,ILP12,1934,1920,40.52133305,-109.1419057,6/20/2019,98.5,18,0,0,85,0
dinosaur nm,ILP13,1817,1811,40.52230082,-109.1408793,6/20/2019,171.4,19.3,0,0,70,0
dinosaur nm,ILP14,1958,-999,40.5219298,-109.1438566,6/20/2019,130.6,14.4,0,0,80,0
dinosaur nm,ILP15,1916,1911,40.5236233,-109.1452423,6/20/2019,117.4,20,0,0,90,0
dinosaur nm,ILP16,1831,1811,40.52321208,-109.1547558,6/22/2019,110.3,17.8,0,0,80,0
dinosaur nm,ILP17,1923,1921,40.52242123,-109.1555479,6/22/2019,81.6,14.8,0,0,85,0
dinosaur nm,ILP18,1996,1993,40.52471197,-109.1550079,6/23/2019,14.7,8.8,0,0,95,0
dinosaur nm,ILP19,2002,2002,40.52535295,-109.1559641,6/23/2019,25.7,10.8,0,0,95,0
dinosaur nm,ILP20,1991,1989,40.52616895,-109.1582727,6/23/2019,41.5,18.5,0,0,95,0
dinosaur nm,ILP21,1805,1800,40.52121587,-109.1524323,6/21/2019,112.6,17,0,0,90,0
dinosaur nm,ILP22,1935,1921,40.5199095,-109.1550802,6/21/2019,62.2,11.4,0,0,95,0
dinosaur nm,ILP23,1906,1901,40.5195418,-109.155871,6/21/2019,67.2,15.4,0,0,95,0
dinosaur nm,ILP24,1818,1817,40.51953522,-109.1534229,6/21/2019,104.2,17,0,0,75,0
dinosaur nm,ILP25,1831,1828,40.51925291,-109.1528825,6/21/2019,80.4,17.8,0,0,75,0
dinosaur nm,ILP26,1872,1864,40.5186798,-109.1523411,6/21/2019,114,14.2,0,0,95,0
dinosaur nm,ILP27,1892,-999,40.51748144,-109.1596382,6/22/2019,86.6,19.8,0,0,95,0
dinosaur nm,ILP28,1909,1905,40.516255,-109.1579458,6/22/2019,135.5,23.2,0,0,90,0
dinosaur nm,ILP29,1828,1823,40.51684022,-109.1521212,6/21/2019,112.3,14.6,0,0,80,0
dinosaur nm,ILP30,1824,1822,40.51663244,-109.1516683,6/21/2019,83.5,13.4,0,0,70,0
dinosaur nm,ILP31,1844,1835,40.51581784,-109.1519001,6/21/2019,117.7,17.2,0,0,90,0
dinosaur nm,ILP32,1820,1820,40.51500698,-109.1518442,6/21/2019,114.5,19.8,0,0,65,0
dinosaur nm,ILP33,1820,1815,40.51493968,-109.1507997,6/21/2019,81,17,0,0,80,0
dinosaur nm,ILP34,1839,1827,40.51471738,-109.1488937,6/21/2019,119.1,23,0,0,65,0
dinosaur nm,ILP35,1988,1984,40.51389418,-109.1469983,6/21/2019,17.1,10,0,0,90,0
dinosaur nm,ILP36,1995,1993,40.5142097,-109.1468308,6/21/2019,33.6,11.3,0,0,85,0
dinosaur nm,ILP37,1984,1984,40.51323877,-109.1472814,6/22/2019,30.9,11.8,0,0,90,0
dinosaur nm,ILP38,1983,1982,40.51331808,-109.1461462,6/22/2019,22.7,12.7,0,0,70,0
dinosaur nm,ILP39,1994,1995,40.5137708,-109.1451539,6/21/2019,30,13.3,0,0,85,0
dinosaur nm,ILP40,1991,1991,40.51378167,-109.1446929,6/21/2019,29.4,5.4,0,0,98,0
dinosaur nm,ILP41,1979,-999,40.51363339,-109.1443001,6/21/2019,43.6,13.7,0,0,80,0
dinosaur nm,ILP42,1934,1933,40.51203965,-109.1430754,6/21/2019,72.1,13,0,0,95,0
dinosaur nm,ILP43,1963,1955,40.51137187,-109.1414713,6/21/2019,59.3,4.4,0,0,98,0
dinosaur nm,ILP44,1961,1959,40.51144932,-109.1413485,6/21/2019,41.5,12.4,0,0,95,0
dinosaur nm,ILP45,1828,-999,40.509672,-109.1423514,6/21/2019,79.8,14.1,0,0,98,0
dinosaur nm,ILP46,1821,1808,40.50953495,-109.1427668,6/21/2019,79.4,14.4,0,0,85,0
dinosaur nm,ILP47,1972,1972,40.5100366,-109.1406863,6/21/2019,47.4,13.6,0,0,85,0
dinosaur nm,ILP48,1995,1993,40.50920205,-109.140955,6/21/2019,34.7,11,0,0,98,0
dinosaur nm,ILP49,1974,1969,40.50935075,-109.1408328,6/21/2019,72.5,14.2,0,0,95,0
dinosaur nm,ILP50,1831,1821,40.50880985,-109.1394491,6/21/2019,60,10.8,0,1,0,0
