year,month,tmax,tmin,prec
1955.00,2.00,28.71,-2.36,28.00
1955.00,3.00,33.77,3.29,50.60
1955.00,4.00,42.79,6.28,5.00
1955.00,5.00,56.80,22.20,41.90
1955.00,6.00,61.30,28.60,51.70
1955.00,7.00,75.71,30.39,38.70
1955.00,8.00,75.06,38.55,57.60
1955.00,9.00,76.43,31.60,21.40
1955.00,10.00,65.79,21.36,24.40
1955.00,11.00,45.14,13.04,64.80
1955.00,12.00,30.36,4.36,37.70
1956.00,1.00,35.45,0.03,66.40
1956.00,2.00,26.10,-0.55,59.70
1956.00,3.00,30.48,0.06,15.30
1956.00,4.00,44.33,10.77,71.30
1956.00,5.00,54.61,24.26,31.00
1956.00,6.00,69.13,30.53,12.50
1956.00,7.00,73.20,31.70,67.50
1956.00,8.00,74.55,34.10,54.10
1956.00,9.00,70.70,28.47,6.40
1956.00,10.00,68.52,22.21,14.50
1956.00,11.00,44.00,11.14,21.50
1956.00,12.00,33.70,2.43,48.90
1957.00,1.00,30.57,4.23,71.90
1957.00,2.00,29.39,-2.57,33.50
1957.00,3.00,39.68,10.94,54.20
1957.00,4.00,39.97,13.27,86.90
1957.00,5.00,49.77,21.26,113.50
1957.00,6.00,59.43,28.57,71.80
1957.00,7.00,70.94,33.97,90.10
1957.00,8.00,72.55,40.10,66.40
1957.00,9.00,66.77,30.63,29.30
1957.00,10.00,62.16,24.45,46.80
1957.00,11.00,44.70,18.83,21.90
1957.00,12.00,31.90,-2.03,35.50
1958.00,1.00,31.68,-3.59,23.60
1958.00,2.00,29.64,2.29,33.60
1958.00,3.00,36.97,6.39,48.50
1958.00,4.00,42.20,12.43,38.70
1958.00,5.00,51.25,19.64,32.90
1958.00,6.00,68.80,29.73,19.10
1958.00,7.00,71.97,30.03,19.80
1958.00,8.00,77.21,34.11,46.80
1958.00,9.00,74.93,33.30,27.20
1958.00,10.00,64.87,24.35,6.20
1958.00,11.00,52.87,17.87,30.30
1958.00,12.00,39.65,11.90,67.50
1959.00,1.00,35.15,0.91,45.70
1959.00,2.00,30.00,1.89,45.00
1959.00,3.00,33.13,5.06,27.30
1959.00,4.00,40.27,11.17,41.90
1959.00,5.00,51.61,22.68,40.90
1959.00,6.00,64.00,27.37,55.60
1959.00,7.00,73.58,32.16,18.90
1959.00,8.00,76.00,35.52,41.00
1959.00,9.00,76.52,31.14,101.30
1959.00,10.00,56.77,24.81,58.40
1959.00,11.00,48.80,15.13,25.40
1959.00,12.00,39.23,6.13,9.40
1960.00,1.00,29.87,-1.94,28.20
1960.00,2.00,31.28,3.17,54.40
1960.00,3.00,28.16,1.55,70.30
1960.00,4.00,45.77,16.13,27.00
1960.00,5.00,53.84,21.74,61.00
1960.00,6.00,64.70,27.33,29.00
1960.00,7.00,73.03,30.74,59.60
1960.00,8.00,78.39,33.65,17.20
1960.00,9.00,77.70,31.57,62.70
1960.00,10.00,67.65,25.16,19.60
1960.00,11.00,51.14,18.07,26.80
1960.00,12.00,41.39,4.35,26.80
1961.00,1.00,28.74,-5.45,8.10
1961.00,2.00,32.50,-6.50,23.30
1961.00,3.00,35.81,7.06,35.60
1961.00,4.00,42.30,14.57,80.40
1961.00,5.00,50.87,18.19,74.30
1961.00,6.00,63.47,27.03,31.20
1961.00,7.00,73.68,32.61,81.00
1961.00,8.00,74.58,35.16,83.90
1961.00,9.00,68.57,35.40,159.80
1961.00,10.00,57.71,23.68,12.40
1961.00,11.00,50.27,16.70,36.90
1961.00,12.00,33.52,5.39,42.10
1962.00,1.00,30.94,-2.90,64.90
1962.00,2.00,31.57,-3.89,52.10
1962.00,3.00,33.48,8.23,22.40
1962.00,4.00,38.90,7.47,60.70
1962.00,5.00,58.97,21.90,44.50
1962.00,6.00,59.93,27.43,57.50
1962.00,7.00,72.19,32.32,42.20
1962.00,8.00,73.68,31.32,17.30
1962.00,9.00,73.52,27.62,15.80
1962.00,10.00,67.37,25.67,21.30
1962.00,11.00,56.30,17.17,14.70
1962.00,12.00,42.32,12.55,11.90
1963.00,1.00,31.00,1.35,61.00
1963.00,2.00,28.86,5.50,33.20
1963.00,3.00,33.23,3.97,32.60
1963.00,4.00,45.90,13.07,24.90
1963.00,5.00,56.81,22.84,20.40
1963.00,6.00,64.70,28.30,78.70
1963.00,7.00,73.74,34.29,23.20
1963.00,8.00,77.26,37.26,123.70
1963.00,9.00,70.83,36.97,24.40
1963.00,10.00,71.48,26.90,9.40
1963.00,11.00,56.40,21.87,18.10
1963.00,12.00,42.55,5.39,38.30
1964.00,1.00,26.23,-1.20,23.50
1964.00,2.00,28.38,-6.10,21.80
1964.00,3.00,26.87,-4.77,58.30
1964.00,4.00,37.47,6.83,60.80
1964.00,5.00,48.58,20.10,29.60
1964.00,6.00,65.80,27.83,61.00
1964.00,7.00,73.23,31.84,43.10
1964.00,8.00,76.52,38.97,68.70
1964.00,9.00,71.21,30.52,34.30
1964.00,10.00,65.68,24.48,6.00
1964.00,11.00,56.24,16.38,26.40
1964.00,12.00,32.84,8.65,84.30
1965.00,1.00,33.52,1.77,80.80
1965.00,2.00,32.71,7.46,15.10
1965.00,3.00,31.30,-3.93,46.30
1965.00,4.00,37.00,10.43,33.60
1965.00,5.00,52.03,21.52,54.60
1965.00,6.00,59.07,27.38,41.20
1965.00,7.00,70.16,33.06,100.70
1965.00,8.00,72.71,37.39,44.90
1965.00,9.00,67.63,32.33,48.40
1965.00,10.00,59.00,26.23,2.60
1965.00,11.00,56.57,19.20,57.40
1965.00,12.00,38.10,13.10,31.90
1966.00,1.00,30.06,-4.68,15.40
1966.00,2.00,27.04,-4.89,24.10
1966.00,3.00,30.58,1.19,17.00
1966.00,4.00,46.73,13.60,34.80
1966.00,5.00,53.19,20.55,37.10
1966.00,6.00,62.33,27.87,37.00
1966.00,7.00,72.58,34.16,33.90
1966.00,8.00,74.53,41.13,56.50
1966.00,9.00,71.00,32.80,27.10
1966.00,10.00,63.58,28.61,33.20
1966.00,11.00,50.10,18.10,18.20
1966.00,12.00,39.53,14.30,57.70
1967.00,1.00,23.97,1.19,56.20
1967.00,2.00,32.32,5.32,53.00
1967.00,3.00,35.00,4.58,51.90
1967.00,4.00,47.90,19.60,40.10
1967.00,5.00,49.71,20.16,33.50
1967.00,6.00,60.57,27.83,46.80
1967.00,7.00,67.07,35.87,49.50
1967.00,8.00,73.00,39.94,56.20
1967.00,9.00,69.68,32.79,70.90
1967.00,10.00,62.03,28.20,23.70
1967.00,11.00,49.27,14.80,26.40
1967.00,12.00,37.19,7.81,81.50
1968.00,1.00,28.52,0.68,13.40
1968.00,2.00,36.00,-1.21,73.30
1968.00,3.00,36.55,8.45,9.80
1968.00,4.00,40.63,8.47,37.80
1968.00,5.00,47.90,17.90,47.40
1968.00,6.00,57.34,28.41,13.70
1968.00,7.00,71.32,32.94,37.00
1968.00,8.00,72.39,40.61,54.70
1968.00,9.00,66.90,32.07,21.10
1968.00,10.00,60.16,26.65,27.70
1968.00,11.00,48.17,18.00,76.60
1968.00,12.00,32.87,1.94,21.70
1969.00,1.00,35.46,4.23,60.80
1969.00,2.00,32.75,6.43,34.40
1969.00,3.00,34.39,1.19,11.40
1969.00,4.00,41.23,10.50,46.60
1969.00,5.00,53.39,22.97,70.60
1969.00,6.00,65.27,29.33,163.70
1969.00,7.00,66.00,33.52,32.80
1969.00,8.00,76.94,41.71,38.90
1969.00,9.00,72.10,37.10,36.20
1969.00,10.00,57.97,27.94,103.50
1969.00,11.00,40.91,13.96,16.50
1969.00,12.00,33.24,2.69,32.80
1970.00,1.00,28.54,-1.86,41.00
1970.00,2.00,34.00,10.36,25.10
1970.00,3.00,39.83,5.22,46.30
1970.00,4.00,35.39,6.61,60.10
1970.00,5.00,44.81,14.45,11.40
1970.00,6.00,62.26,26.04,36.80
1970.00,7.00,71.35,34.77,53.00
1970.00,8.00,75.42,39.45,49.30
1970.00,9.00,71.50,36.31,48.50
1970.00,10.00,63.08,25.81,41.90
1970.00,11.00,44.12,15.88,38.50
1970.00,12.00,36.86,14.11,22.30
1971.00,1.00,28.08,0.81,58.60
1971.00,2.00,30.32,9.29,40.20
1971.00,3.00,28.47,0.43,38.40
1971.00,4.00,37.70,9.67,74.70
1971.00,5.00,49.18,18.50,58.60
1971.00,6.00,56.48,26.76,9.60
1971.00,7.00,70.77,32.35,31.00
1971.00,8.00,72.60,36.90,31.00
1971.00,9.00,73.40,36.28,40.90
1971.00,10.00,59.35,26.48,30.50
1971.00,11.00,52.67,20.78,28.90
1971.00,12.00,39.45,9.52,41.90
1972.00,1.00,30.19,-5.14,57.90
1972.00,2.00,29.59,0.34,39.30
1972.00,3.00,35.12,5.96,41.20
1972.00,4.00,43.83,16.00,52.10
1972.00,5.00,50.10,20.50,20.70
1972.00,6.00,61.73,26.77,34.20
1972.00,7.00,69.65,34.00,39.60
1972.00,8.00,73.55,35.26,81.00
1972.00,9.00,69.69,35.59,40.40
1972.00,10.00,61.57,29.03,56.60
1972.00,11.00,50.23,23.73,31.90
1972.00,12.00,36.82,7.36,20.50
1973.00,1.00,33.93,1.66,24.20
1973.00,2.00,27.22,-3.30,23.50
1973.00,3.00,34.74,-4.97,39.60
1973.00,4.00,38.37,3.20,67.60
1973.00,5.00,40.26,8.10,95.70
1973.00,6.00,55.48,25.19,24.50
1973.00,7.00,63.74,27.97,112.20
1973.00,8.00,73.03,36.50,45.80
1973.00,9.00,71.23,35.17,28.80
1973.00,10.00,66.00,29.31,23.00
1973.00,11.00,58.80,19.43,41.40
1973.00,12.00,42.00,13.87,50.50
1974.00,1.00,30.43,-0.53,54.60
1974.00,2.00,24.83,-7.13,15.70
1974.00,3.00,29.79,-8.86,35.50
1974.00,4.00,41.25,3.30,46.20
1974.00,5.00,46.82,14.82,4.60
1974.00,6.00,58.84,24.36,53.90
1974.00,7.00,68.85,32.33,71.10
1974.00,8.00,72.96,37.41,11.90
1974.00,9.00,71.72,30.69,49.40
1974.00,10.00,68.13,27.84,72.60
1974.00,11.00,59.00,23.72,12.70
1974.00,12.00,42.39,13.84,44.50
1975.00,1.00,32.26,7.03,60.70
1975.00,2.00,26.18,-2.11,29.90
1975.00,3.00,31.42,-0.03,51.00
1975.00,4.00,40.17,13.45,67.70
1975.00,5.00,41.10,7.47,37.20
1975.00,6.00,54.03,22.43,28.30
1975.00,7.00,61.68,31.87,64.30
1975.00,8.00,74.43,38.20,26.60
1975.00,9.00,68.67,37.47,22.30
1975.00,10.00,68.26,30.71,33.80
1975.00,11.00,61.27,19.97,34.40
1975.00,12.00,45.42,11.13,10.20
1976.00,1.00,31.97,-3.37,39.50
1976.00,2.00,30.72,3.03,36.80
1976.00,3.00,35.42,4.68,10.30
1976.00,4.00,39.17,5.97,33.40
1976.00,5.00,46.68,17.71,65.00
1976.00,6.00,56.53,26.33,54.70
1976.00,7.00,66.65,30.55,70.20
1976.00,8.00,74.17,37.33,65.10
1976.00,9.00,70.57,38.37,58.50
1976.00,10.00,67.13,32.30,8.60
1976.00,11.00,56.33,22.54,18.00
1976.00,12.00,44.81,13.44,17.70
1977.00,1.00,31.55,13.26,16.00
1977.00,2.00,28.75,4.36,19.70
1977.00,3.00,36.68,3.97,22.80
1977.00,4.00,34.07,4.20,69.30
1977.00,5.00,46.26,17.55,62.00
1977.00,6.00,59.47,25.67,18.90
1977.00,7.00,70.32,34.90,60.20
1977.00,8.00,74.19,40.84,75.30
1977.00,9.00,71.60,39.70,31.10
1977.00,10.00,68.00,32.16,43.50
1977.00,11.00,57.47,22.43,66.90
1977.00,12.00,45.06,15.48,72.20
1978.00,1.00,25.52,2.19,55.70
1978.00,2.00,30.39,9.07,57.40
1978.00,3.00,32.06,1.84,51.20
1978.00,4.00,40.50,13.67,27.10
1978.00,5.00,51.26,20.29,70.80
1978.00,6.00,55.30,24.67,7.30
1978.00,7.00,71.16,31.16,24.60
1978.00,8.00,80.97,34.34,12.00
1978.00,9.00,77.33,32.96,27.80
1978.00,10.00,71.59,28.76,8.70
1978.00,11.00,64.47,21.13,18.50
1978.00,12.00,48.71,13.48,94.70
1979.00,1.00,33.30,1.93,82.30
1979.00,2.00,26.13,0.97,33.90
1979.00,3.00,30.19,0.58,38.20
1979.00,4.00,39.97,9.17,29.10
1979.00,5.00,48.26,17.84,81.80
1979.00,6.00,55.36,24.00,28.50
1979.00,7.00,67.08,29.52,16.20
1979.00,8.00,76.55,37.03,59.40
1979.00,9.00,75.76,37.60,2.90
1979.00,10.00,72.75,30.14,22.00
1979.00,11.00,66.17,25.69,34.80
1979.00,12.00,39.65,9.00,21.70
1980.00,1.00,37.68,11.61,122.90
1980.00,2.00,35.90,13.03,62.50
1980.00,3.00,34.03,6.16,52.00
1980.00,4.00,38.34,6.90,26.40
1980.00,5.00,43.23,11.84,46.00
1980.00,6.00,54.17,27.07,2.50
1980.00,7.00,71.45,28.87,45.30
1980.00,8.00,80.52,38.35,60.80
1980.00,9.00,78.62,34.52,38.00
1980.00,10.00,69.57,33.87,28.80
1980.00,11.00,62.67,23.07,25.70
1980.00,12.00,45.23,14.26,11.50
1981.00,1.00,36.17,12.43,8.40
1981.00,2.00,34.32,3.71,8.40
1981.00,3.00,36.21,4.21,31.50
1981.00,4.00,40.60,12.37,19.90
1981.00,5.00,48.67,19.67,95.10
1981.00,6.00,56.73,26.37,35.40
1981.00,7.00,69.00,35.32,56.90
1981.00,8.00,76.16,40.52,49.10
1981.00,9.00,74.57,38.53,16.30
1981.00,10.00,71.53,32.70,49.80
1981.00,11.00,59.46,27.18,18.20
1981.00,12.00,45.73,19.33,61.40
1982.00,1.00,34.77,7.93,53.20
1982.00,2.00,26.39,0.04,9.50
1982.00,3.00,30.37,3.60,32.60
1982.00,4.00,41.50,14.67,28.20
1982.00,5.00,44.87,14.13,63.80
1982.00,6.00,52.07,25.48,29.60
1982.00,7.00,63.79,29.34,22.60
1982.00,8.00,75.47,36.03,64.00
1982.00,9.00,76.67,41.67,81.60
1982.00,10.00,69.31,36.12,30.40
1982.00,11.00,56.52,22.85,37.40
1982.00,12.00,41.63,14.38,41.70
1983.00,1.00,32.08,13.31,15.50
1983.00,2.00,30.14,4.75,29.90
1983.00,3.00,34.72,4.96,87.20
1983.00,4.00,44.38,16.12,81.20
1983.00,5.00,35.10,7.97,82.20
1983.00,6.00,50.48,24.31,44.30
1983.00,7.00,59.28,29.03,69.00
1983.00,8.00,74.00,35.58,113.50
1983.00,9.00,77.34,42.66,25.60
1983.00,10.00,75.06,38.71,45.30
1983.00,11.00,63.88,30.40,60.90
1983.00,12.00,55.37,22.37,111.50
1984.00,1.00,41.31,14.55,15.90
1984.00,2.00,32.90,4.87,14.70
1984.00,3.00,31.10,0.33,40.50
1984.00,4.00,35.07,3.83,69.20
1984.00,5.00,42.10,15.10,39.70
1984.00,6.00,44.23,19.07,138.20
1984.00,7.00,65.93,30.83,90.20
1984.00,8.00,70.00,35.70,135.30
1984.00,9.00,75.85,41.44,107.70
1984.00,10.00,73.63,40.33,60.50
1984.00,11.00,66.31,32.12,24.20
1984.00,12.00,47.89,21.59,27.50
1985.00,1.00,42.70,17.50,37.50
1985.00,2.00,31.81,8.85,24.80
1985.00,3.00,33.18,4.47,42.10
1985.00,4.00,26.54,-0.96,52.40
1985.00,5.00,40.87,12.17,38.90
1985.00,6.00,48.23,20.93,23.40
1985.00,7.00,57.33,27.67,84.90
1985.00,8.00,70.50,32.33,8.40
1985.00,9.00,74.33,38.89,118.90
1985.00,10.00,73.33,37.67,68.80
1985.00,11.00,71.27,33.31,87.80
1985.00,12.00,53.35,24.32,34.50
1986.00,1.00,45.74,19.87,13.30
1986.00,2.00,38.04,7.25,150.60
1986.00,3.00,35.56,3.34,31.20
1986.00,4.00,35.27,8.67,87.00
1986.00,5.00,43.83,17.67,33.90
1986.00,6.00,52.13,20.00,34.30
1986.00,7.00,55.53,26.53,49.10
1986.00,8.00,69.32,32.19,46.30
1986.00,9.00,74.23,39.77,58.90
1986.00,10.00,75.00,37.30,90.90
1986.00,11.00,68.07,34.38,31.10
1986.00,12.00,57.73,26.19,4.50
1987.00,1.00,49.33,23.19,26.70
1987.00,2.00,35.29,7.07,17.20
1987.00,3.00,29.97,0.58,21.70
1987.00,4.00,38.45,9.34,19.80
1987.00,5.00,43.29,10.61,21.50
1987.00,6.00,45.27,12.70,27.40
1987.00,7.00,62.00,29.10,58.50
1987.00,8.00,66.00,33.13,33.10
1987.00,9.00,75.45,34.86,32.20
1987.00,10.00,78.17,40.07,40.70
1987.00,11.00,68.39,31.07,28.50
1987.00,12.00,65.23,25.84,50.40
1988.00,1.00,51.48,24.29,35.40
1988.00,2.00,35.43,6.18,41.60
1988.00,3.00,27.38,1.25,45.90
1988.00,4.00,32.44,0.48,38.00
1988.00,5.00,40.63,1.80,45.70
1988.00,6.00,49.54,11.14,41.90
1988.00,7.00,55.79,25.38,56.80
1988.00,8.00,68.39,33.32,41.70
1988.00,9.00,76.60,40.03,21.30
1988.00,10.00,77.73,39.63,10.20
1988.00,11.00,73.73,35.03,42.10
1988.00,12.00,64.20,28.60,37.30
1989.00,1.00,49.39,17.65,37.90
1989.00,2.00,39.82,9.07,51.60
1989.00,3.00,26.91,4.09,31.20
1989.00,4.00,33.41,1.11,38.40
1989.00,5.00,42.59,12.00,32.00
1989.00,6.00,46.60,19.30,26.40
1989.00,7.00,58.87,26.97,38.90
1989.00,8.00,65.81,31.23,52.10
1989.00,9.00,78.67,38.07,26.00
1989.00,10.00,75.60,39.30,28.80
1989.00,11.00,73.11,33.61,33.70
1989.00,12.00,67.06,28.10,50.60
1990.00,1.00,51.00,18.77,13.20
1990.00,2.00,43.27,10.73,33.70
1990.00,3.00,29.13,-1.97,75.50
1990.00,4.00,35.40,5.00,49.30
1990.00,5.00,41.60,10.63,58.30
1990.00,6.00,47.38,17.66,12.00
1990.00,7.00,53.55,24.23,52.50
1990.00,8.00,66.23,30.39,56.50
1990.00,9.00,78.00,37.97,48.10
1990.00,10.00,72.84,36.52,36.70
1990.00,11.00,75.67,37.20,23.50
1990.00,12.00,64.32,29.77,36.60
1991.00,1.00,49.35,17.32,41.90
1991.00,2.00,35.50,8.50,20.40
1991.00,3.00,34.40,-0.13,47.80
1991.00,4.00,32.17,1.40,54.60
1991.00,5.00,39.74,10.19,51.80
1991.00,6.00,45.67,14.27,55.80
1991.00,7.00,49.33,20.07,85.60
1991.00,8.00,64.97,31.13,54.00
1991.00,9.00,75.10,35.90,20.70
1991.00,10.00,73.03,38.06,32.30
1991.00,11.00,72.83,37.73,41.90
1991.00,12.00,67.60,25.63,10.20
1992.00,1.00,48.32,20.58,31.60
1992.00,2.00,33.07,6.79,21.60
1992.00,3.00,30.56,1.28,37.80
1992.00,4.00,35.69,0.24,59.90
1992.00,5.00,40.26,11.74,50.10
1992.00,6.00,48.23,17.87,45.60
1992.00,7.00,60.33,25.87,33.90
1992.00,8.00,62.47,30.80,50.80
1992.00,9.00,71.53,36.47,26.60
1992.00,10.00,73.33,36.87,36.70
1992.00,11.00,69.83,33.23,41.20
1992.00,12.00,67.06,27.90,23.90
1993.00,1.00,45.58,17.48,36.50
1993.00,2.00,35.68,8.18,96.90
1993.00,3.00,31.81,3.03,40.20
1993.00,4.00,35.20,5.20,69.70
1993.00,5.00,36.13,10.23,43.60
1993.00,6.00,45.50,17.50,48.90
1993.00,7.00,50.55,21.19,14.70
1993.00,8.00,64.13,30.84,43.10
1993.00,9.00,72.03,33.62,71.40
1993.00,10.00,76.23,37.00,72.90
1993.00,11.00,72.55,35.48,28.00
1993.00,12.00,66.07,28.14,23.80
1994.00,1.00,52.70,23.73,29.90
1994.00,2.00,36.74,8.74,43.10
1994.00,3.00,34.74,6.23,30.60
1994.00,4.00,32.40,1.70,45.60
1994.00,5.00,40.03,9.97,11.30
1994.00,6.00,46.17,14.13,22.80
1994.00,7.00,56.35,24.84,9.00
1994.00,8.00,70.16,31.55,43.50
1994.00,9.00,77.43,37.87,21.30
1994.00,10.00,79.42,39.94,37.60
1994.00,11.00,75.78,36.93,37.60
1994.00,12.00,63.90,30.10,19.70
1995.00,1.00,52.65,20.16,36.40
1995.00,2.00,43.69,21.34,43.40
1995.00,3.00,31.19,2.84,28.40
1995.00,4.00,35.73,10.10,77.10
1995.00,5.00,41.00,12.07,107.10
1995.00,6.00,48.57,17.07,94.50
1995.00,7.00,47.10,22.32,51.40
1995.00,8.00,58.34,31.34,43.50
1995.00,9.00,68.13,34.17,37.40
1995.00,10.00,77.74,38.65,20.20
1995.00,11.00,77.86,41.68,45.40
1995.00,12.00,60.80,29.93,35.40
1996.00,1.00,51.83,18.10,104.80
1996.00,2.00,40.00,14.30,50.30
1996.00,3.00,29.87,9.84,41.10
1996.00,4.00,31.50,3.87,28.70
1996.00,5.00,39.87,10.84,36.20
1996.00,6.00,46.47,14.20,34.10
1996.00,7.00,51.81,23.06,34.10
1996.00,8.00,65.77,30.74,15.60
1996.00,9.00,76.10,37.41,58.40
1996.00,10.00,78.47,40.33,42.30
1996.00,11.00,78.43,37.17,35.40
1996.00,12.00,63.39,31.87,88.60
1997.00,1.00,52.60,20.40,84.70
1997.00,2.00,35.96,10.39,22.80
1997.00,3.00,33.10,3.65,14.00
1997.00,4.00,31.67,7.00,81.30
1997.00,5.00,36.84,4.10,93.70
1997.00,6.00,51.03,16.41,38.50
1997.00,7.00,48.83,21.20,56.00
1997.00,8.00,64.50,32.27,97.00
1997.00,9.00,71.14,35.43,84.80
1997.00,10.00,76.43,41.50,31.30
1997.00,11.00,72.10,40.03,36.10
1997.00,12.00,69.10,33.71,16.00
1998.00,1.00,53.94,24.45,49.70
1998.00,2.00,46.36,18.71,29.90
1998.00,3.00,33.74,8.06,18.10
1998.00,4.00,33.73,6.93,28.80
1998.00,5.00,34.87,9.60,34.50
1998.00,6.00,45.62,15.97,47.90
1998.00,7.00,50.90,22.97,85.90
1998.00,8.00,65.07,29.79,73.20
1998.00,9.00,70.97,36.23,29.60
1998.00,10.00,75.35,43.39,71.90
1998.00,11.00,76.80,40.23,15.60
1998.00,12.00,68.16,33.81,31.00
1999.00,1.00,61.74,19.48,81.10
1999.00,2.00,47.93,12.90,17.90
1999.00,3.00,30.55,5.69,12.40
1999.00,4.00,36.83,9.59,39.60
1999.00,5.00,41.65,10.52,36.20
1999.00,6.00,50.57,16.73,36.40
1999.00,7.00,49.45,21.48,84.50
1999.00,8.00,63.13,28.77,85.20
1999.00,9.00,73.11,36.36,18.90
1999.00,10.00,74.72,42.83,3.60
1999.00,11.00,72.90,39.90,19.50
1999.00,12.00,68.13,28.45,33.30
2000.00,1.00,55.97,21.10,73.30
2000.00,2.00,33.73,2.69,67.70
2000.00,3.00,30.67,4.82,42.70
2000.00,4.00,35.93,10.47,35.80
2000.00,5.00,43.65,15.55,29.80
2000.00,6.00,44.17,15.67,38.70
2000.00,7.00,60.13,25.71,27.40
2000.00,8.00,68.16,32.71,48.50
2000.00,9.00,74.36,36.32,38.70
2000.00,10.00,80.07,41.77,5.80
2000.00,11.00,75.57,40.30,39.90
2000.00,12.00,69.03,31.50,59.50
2001.00,1.00,56.30,25.07,14.40
2001.00,2.00,44.93,15.68,19.80
2001.00,3.00,32.44,3.88,33.70
2001.00,4.00,34.23,0.67,24.80
2001.00,5.00,41.16,11.94,28.10
2001.00,6.00,46.33,21.27,22.70
2001.00,7.00,54.71,24.29,41.50
2001.00,8.00,67.52,30.94,66.80
2001.00,9.00,77.69,37.31,36.50
2001.00,10.00,79.47,42.67,11.20
2001.00,11.00,74.60,40.20,42.30
2001.00,12.00,71.65,32.23,22.00
2002.00,1.00,52.61,21.03,32.00
2002.00,2.00,38.86,11.39,20.70
2002.00,3.00,31.94,5.29,32.70
