"","stand","tree_id","year","rw_core1 (mm)","rw_core2 (mm)"
"51","AE10","AE10_F1",1895,2.827,2.403
"52","AE10","AE10_F1",1896,1.468,1.86
"53","AE10","AE10_F1",1897,1.504,2.093
"54","AE10","AE10_F1",1898,1.535,2.008
"55","AE10","AE10_F1",1899,0.578,0.655
"56","AE10","AE10_F1",1900,1.775,1.965
"57","AE10","AE10_F1",1901,2.031,2.305
"58","AE10","AE10_F1",1902,1.702,1.756
"59","AE10","AE10_F1",1903,1.269,1.142
"60","AE10","AE10_F1",1904,1.767,1.649
"61","AE10","AE10_F1",1905,1.798,1.585
"62","AE10","AE10_F1",1906,1.525,1.798
"63","AE10","AE10_F1",1907,1.125,1.481
"64","AE10","AE10_F1",1908,1.005,1.481
"65","AE10","AE10_F1",1909,1.028,1.249
"66","AE10","AE10_F1",1910,1.247,1.649
"67","AE10","AE10_F1",1911,1.31,1.945
"68","AE10","AE10_F1",1912,1.066,1.881
"69","AE10","AE10_F1",1913,1.216,2.049
"70","AE10","AE10_F1",1914,1.772,2.791
"71","AE10","AE10_F1",1915,1.526,2.432
"72","AE10","AE10_F1",1916,0.586,0.529
"73","AE10","AE10_F1",1917,1.052,1.565
"74","AE10","AE10_F1",1918,1.47,2.137
"75","AE10","AE10_F1",1919,1.125,1.947
"76","AE10","AE10_F1",1920,1.54,2.049
"77","AE10","AE10_F1",1921,0.844,1.123
"78","AE10","AE10_F1",1922,1.73,1.939
"79","AE10","AE10_F1",1923,1.31,1.725
"80","AE10","AE10_F1",1924,1.607,1.783
"81","AE10","AE10_F1",1925,1.565,1.682
"82","AE10","AE10_F1",1926,2.053,2.021
"83","AE10","AE10_F1",1927,1.037,0.863
"84","AE10","AE10_F1",1928,1.079,0.864
"85","AE10","AE10_F1",1929,1.354,1.201
"86","AE10","AE10_F1",1930,1.418,1.455
"87","AE10","AE10_F1",1931,1.439,1.893
"88","AE10","AE10_F1",1932,0.761,1.068
"89","AE10","AE10_F1",1933,0.804,1.552
"90","AE10","AE10_F1",1934,1.333,1.993
"91","AE10","AE10_F1",1935,0.783,1.516
"92","AE10","AE10_F1",1936,1.037,1.541
"93","AE10","AE10_F1",1937,1.016,1.477
"94","AE10","AE10_F1",1938,1.184,1.636
"95","AE10","AE10_F1",1939,1.013,1.476
"96","AE10","AE10_F1",1940,1.14,1.393
"97","AE10","AE10_F1",1941,1.246,1.312
"98","AE10","AE10_F1",1942,0.57,1.202
"99","AE10","AE10_F1",1943,0.802,0.883
"100","AE10","AE10_F1",1944,1.841,1.598
"101","AE10","AE10_F1",1945,2.264,1.533
"102","AE10","AE10_F1",1946,1.46,0.812
"103","AE10","AE10_F1",1947,1.789,1.067
"104","AE10","AE10_F1",1948,1.803,1.204
"105","AE10","AE10_F1",1949,1.472,0.899
"106","AE10","AE10_F1",1950,1.888,1.074
"107","AE10","AE10_F1",1951,1.969,1.269
"108","AE10","AE10_F1",1952,1.401,1.267
"109","AE10","AE10_F1",1953,0.816,0.829
"110","AE10","AE10_F1",1954,0.377,0.376
"111","AE10","AE10_F1",1955,1.009,1.026
"112","AE10","AE10_F1",1956,1.391,0.881
"113","AE10","AE10_F1",1957,2.48,1.542
"114","AE10","AE10_F1",1958,2.111,1.532
"115","AE10","AE10_F1",1959,1.2,1.141
"116","AE10","AE10_F1",1960,2.298,1.548
"117","AE10","AE10_F1",1961,1.639,1.481
"118","AE10","AE10_F1",1962,1.371,1.543
"119","AE10","AE10_F1",1963,2.257,1.966
"120","AE10","AE10_F1",1964,0.823,1.04
"121","AE10","AE10_F1",1965,1.886,1.203
"122","AE10","AE10_F1",1966,2.909,1.346
"123","AE10","AE10_F1",1967,3.311,1.645
"124","AE10","AE10_F1",1968,2.691,1.588
"125","AE10","AE10_F1",1969,2.621,1.25
"126","AE10","AE10_F1",1970,2.155,1.154
"127","AE10","AE10_F1",1971,1.185,0.932
"128","AE10","AE10_F1",1972,1.508,0.973
"129","AE10","AE10_F1",1973,2.358,1.43
"130","AE10","AE10_F1",1974,0.591,0.533
"131","AE10","AE10_F1",1975,0.824,0.762
"132","AE10","AE10_F1",1976,0.972,0.514
"133","AE10","AE10_F1",1977,1.14,1.288
"134","AE10","AE10_F1",1978,0.633,0.835
"135","AE10","AE10_F1",1979,1.289,1.093
"136","AE10","AE10_F1",1980,1.542,1.123
"137","AE10","AE10_F1",1981,1.099,1.293
"138","AE10","AE10_F1",1982,0.381,0.627
"139","AE10","AE10_F1",1983,0.423,0.841
"140","AE10","AE10_F1",1984,0.466,1.099
"141","AE10","AE10_F1",1985,0.593,1.351
"142","AE10","AE10_F1",1986,0.592,1.372
"143","AE10","AE10_F1",1987,0.719,1.179
"144","AE10","AE10_F1",1988,0.656,1.263
"145","AE10","AE10_F1",1989,0.275,0.566
"146","AE10","AE10_F1",1990,0.423,1.048
"147","AE10","AE10_F1",1991,0.412,0.778
"148","AE10","AE10_F1",1992,0.455,1.204
"149","AE10","AE10_F1",1993,0.508,0.623
"150","AE10","AE10_F1",1994,0.951,1.139
"151","AE10","AE10_F1",1995,0.529,0.611
"152","AE10","AE10_F1",1996,0.571,0.824
"153","AE10","AE10_F1",1997,0.338,0.499
"154","AE10","AE10_F1",1998,0.381,0.726
"155","AE10","AE10_F1",1999,0.233,0.416
"156","AE10","AE10_F1",2000,0.549,0.775
"157","AE10","AE10_F1",2001,0.585,0.945
"158","AE10","AE10_F1",2002,0.479,0.698
"159","AE10","AE10_F1",2003,0.542,0.867
"160","AE10","AE10_F1",2004,0.338,0.614
"161","AE10","AE10_F1",2005,0.317,0.529
"162","AE10","AE10_F1",2006,0.339,0.614
"163","AE10","AE10_F1",2007,0.286,0.741
"164","AE10","AE10_F1",2008,0.233,0.497
"165","AE10","AE10_F10",1862,NA,1.395
"166","AE10","AE10_F10",1863,NA,2.369
"167","AE10","AE10_F10",1864,NA,1.62
"168","AE10","AE10_F10",1865,NA,1.77
"169","AE10","AE10_F10",1866,NA,1.608
"170","AE10","AE10_F10",1867,NA,1.596
"171","AE10","AE10_F10",1868,NA,1.796
"172","AE10","AE10_F10",1869,NA,2.11
"173","AE10","AE10_F10",1870,NA,1.499
"174","AE10","AE10_F10",1871,NA,1.864
"175","AE10","AE10_F10",1872,NA,2.385
"176","AE10","AE10_F10",1873,NA,2.276
"177","AE10","AE10_F10",1874,NA,2.289
"178","AE10","AE10_F10",1875,NA,1.633
"179","AE10","AE10_F10",1876,NA,1.95
"180","AE10","AE10_F10",1877,NA,3.653
"181","AE10","AE10_F10",1878,NA,3.35
"182","AE10","AE10_F10",1879,NA,2.454
"183","AE10","AE10_F10",1880,NA,1.438
"184","AE10","AE10_F10",1881,NA,2.466
"185","AE10","AE10_F10",1882,2.18,2.15
"186","AE10","AE10_F10",1883,2.61,1.995
"187","AE10","AE10_F10",1884,2.126,1.7
"188","AE10","AE10_F10",1885,2.807,2.761
"189","AE10","AE10_F10",1886,2.856,1.651
"190","AE10","AE10_F10",1887,2.175,1.82
"191","AE10","AE10_F10",1888,2.749,2.039
"192","AE10","AE10_F10",1889,3.185,2.127
"193","AE10","AE10_F10",1890,3.005,2.732
"194","AE10","AE10_F10",1891,3.392,3.156
"195","AE10","AE10_F10",1892,1.993,1.907
"196","AE10","AE10_F10",1893,2.072,1.525
"197","AE10","AE10_F10",1894,1.569,1.388
"198","AE10","AE10_F10",1895,2.499,2.093
"199","AE10","AE10_F10",1896,2.079,1.263
"200","AE10","AE10_F10",1897,2.976,1.719
"201","AE10","AE10_F10",1898,2.628,1.572
"202","AE10","AE10_F10",1899,1.626,0.91
"203","AE10","AE10_F10",1900,2.847,2.02
"204","AE10","AE10_F10",1901,3.214,2.324
"205","AE10","AE10_F10",1902,2.553,1.77
"206","AE10","AE10_F10",1903,2.691,1.695
"207","AE10","AE10_F10",1904,3.123,2.03
"208","AE10","AE10_F10",1905,3.456,2.205
"209","AE10","AE10_F10",1906,3.585,2.069
"210","AE10","AE10_F10",1907,2.202,1.533
"211","AE10","AE10_F10",1908,2.362,1.455
"212","AE10","AE10_F10",1909,1.664,1.356
"213","AE10","AE10_F10",1910,2.87,1.713
"214","AE10","AE10_F10",1911,2.624,1.379
"215","AE10","AE10_F10",1912,2.387,1.126
"216","AE10","AE10_F10",1913,2.136,1.19
"217","AE10","AE10_F10",1914,3.055,1.666
"218","AE10","AE10_F10",1915,2.746,1.777
"219","AE10","AE10_F10",1916,1.223,0.666
"220","AE10","AE10_F10",1917,1.918,1.174
"221","AE10","AE10_F10",1918,2.092,1.254
"222","AE10","AE10_F10",1919,2.132,1.505
"223","AE10","AE10_F10",1920,2.712,1.901
"224","AE10","AE10_F10",1921,1.917,1.394
"225","AE10","AE10_F10",1922,2.274,1.566
"226","AE10","AE10_F10",1923,1.983,1.094
"227","AE10","AE10_F10",1924,2.195,1.157
"228","AE10","AE10_F10",1925,2.322,1.316
"229","AE10","AE10_F10",1926,0.649,1.047
"230","AE10","AE10_F10",1927,1.299,0.808
"231","AE10","AE10_F10",1928,2.758,1.22
"232","AE10","AE10_F10",1929,1.668,1.266
"233","AE10","AE10_F10",1930,1.992,0.966
"234","AE10","AE10_F10",1931,2.654,1.298
"235","AE10","AE10_F10",1932,1.956,0.807
"236","AE10","AE10_F10",1933,2.373,1.197
"237","AE10","AE10_F10",1934,3.155,1.772
"238","AE10","AE10_F10",1935,2.214,1.267
"239","AE10","AE10_F10",1936,1.938,1.154
"240","AE10","AE10_F10",1937,1.879,1.06
"241","AE10","AE10_F10",1938,1.619,1.014
"242","AE10","AE10_F10",1939,1.87,1.111
"243","AE10","AE10_F10",1940,1.412,1.143
"244","AE10","AE10_F10",1941,2.035,1.283
"245","AE10","AE10_F10",1942,1.594,0.813
"246","AE10","AE10_F10",1943,1.495,0.813
"247","AE10","AE10_F10",1944,1.654,1.037
"248","AE10","AE10_F10",1945,1.453,0.804
"249","AE10","AE10_F10",1946,1.629,0.708
"250","AE10","AE10_F10",1947,2.14,1.242
"251","AE10","AE10_F10",1948,1.555,1.269
"252","AE10","AE10_F10",1949,0.506,1.564
"253","AE10","AE10_F10",1950,0.905,1.472
"254","AE10","AE10_F10",1951,1.402,1.178
"255","AE10","AE10_F10",1952,1.818,0.818
"256","AE10","AE10_F10",1953,1.169,0.66
"257","AE10","AE10_F10",1954,1.095,0.723
"258","AE10","AE10_F10",1955,1.746,1.237
"259","AE10","AE10_F10",1956,1.463,0.997
"260","AE10","AE10_F10",1957,1.551,1.616
"261","AE10","AE10_F10",1958,1.473,1.255
"262","AE10","AE10_F10",1959,1.496,0.734
"263","AE10","AE10_F10",1960,2.517,1.68
"264","AE10","AE10_F10",1961,1.656,1.036
"265","AE10","AE10_F10",1962,1.584,0.768
"266","AE10","AE10_F10",1963,1.688,1.316
"267","AE10","AE10_F10",1964,1.275,0.847
"268","AE10","AE10_F10",1965,1.175,1.115
"269","AE10","AE10_F10",1966,1.031,1.132
"270","AE10","AE10_F10",1967,1.2,1.233
"271","AE10","AE10_F10",1968,1.158,1.101
"272","AE10","AE10_F10",1969,0.903,1.247
"273","AE10","AE10_F10",1970,0.942,0.994
"274","AE10","AE10_F10",1971,0.845,0.775
"275","AE10","AE10_F10",1972,0.713,0.552
"276","AE10","AE10_F10",1973,1.408,0.9
"277","AE10","AE10_F10",1974,0.506,0.552
"278","AE10","AE10_F10",1975,0.903,0.755
"279","AE10","AE10_F10",1976,0.998,0.677
"280","AE10","AE10_F10",1977,1.33,0.849
"281","AE10","AE10_F10",1978,1.633,1.055
"282","AE10","AE10_F10",1979,1.565,1.065
"283","AE10","AE10_F10",1980,1.394,1.197
"284","AE10","AE10_F10",1981,0.475,1.189
"285","AE10","AE10_F10",1982,0.459,0.871
"286","AE10","AE10_F10",1983,0.855,0.948
"287","AE10","AE10_F10",1984,0.389,0.822
"288","AE10","AE10_F10",1985,1.034,0.945
"289","AE10","AE10_F10",1986,0.784,0.931
"290","AE10","AE10_F10",1987,0.918,1.49
"291","AE10","AE10_F10",1988,0.793,1.156
"292","AE10","AE10_F10",1989,0.444,0.675
"293","AE10","AE10_F10",1990,0.672,0.759
"294","AE10","AE10_F10",1991,0.441,0.511
"295","AE10","AE10_F10",1992,0.859,0.882
"296","AE10","AE10_F10",1993,0.482,0.652
"297","AE10","AE10_F10",1994,0.711,1.113
"298","AE10","AE10_F10",1995,0.443,0.531
"299","AE10","AE10_F10",1996,0.72,0.705
"300","AE10","AE10_F10",1997,0.483,0.519
"301","AE10","AE10_F10",1998,0.705,0.976
"302","AE10","AE10_F10",1999,0.396,0.564
"303","AE10","AE10_F10",2000,0.737,1.129
"304","AE10","AE10_F10",2001,0.896,1.241
"305","AE10","AE10_F10",2002,0.692,0.88
"306","AE10","AE10_F10",2003,0.659,0.967
"307","AE10","AE10_F10",2004,0.547,0.653
"308","AE10","AE10_F10",2005,0.658,0.821
"309","AE10","AE10_F10",2006,0.697,0.599
"310","AE10","AE10_F10",2007,0.729,0.584
"311","AE10","AE10_F10",2008,0.309,0.539
"312","AE10","AE10_F12",1827,NA,1.517
"313","AE10","AE10_F12",1828,NA,1.47
"314","AE10","AE10_F12",1829,NA,1.276
"315","AE10","AE10_F12",1830,NA,1.216
"316","AE10","AE10_F12",1831,NA,1.245
"317","AE10","AE10_F12",1832,NA,1.534
"318","AE10","AE10_F12",1833,NA,1.295
"319","AE10","AE10_F12",1834,NA,1.338
"320","AE10","AE10_F12",1835,NA,1.71
"321","AE10","AE10_F12",1836,NA,1.13
"322","AE10","AE10_F12",1837,NA,1.161
"323","AE10","AE10_F12",1838,NA,1.442
"324","AE10","AE10_F12",1839,NA,1.144
"325","AE10","AE10_F12",1840,NA,1.446
"326","AE10","AE10_F12",1841,NA,1.078
"327","AE10","AE10_F12",1842,NA,1.565
"328","AE10","AE10_F12",1843,NA,1.667
"329","AE10","AE10_F12",1844,NA,1.699
"330","AE10","AE10_F12",1845,NA,1.95
"331","AE10","AE10_F12",1846,NA,2.106
"332","AE10","AE10_F12",1847,NA,2.205
"333","AE10","AE10_F12",1848,NA,2.435
"334","AE10","AE10_F12",1849,NA,1.69
"335","AE10","AE10_F12",1850,1.903,1.801
"336","AE10","AE10_F12",1851,2.05,1.96
"337","AE10","AE10_F12",1852,1.903,1.504
"338","AE10","AE10_F12",1853,1.945,1.416
"339","AE10","AE10_F12",1854,1.913,1.425
"340","AE10","AE10_F12",1855,1.663,1.394
"341","AE10","AE10_F12",1856,1.966,1.293
"342","AE10","AE10_F12",1857,1.67,1.277
"343","AE10","AE10_F12",1858,1.704,1.748
"344","AE10","AE10_F12",1859,1.899,1.804
"345","AE10","AE10_F12",1860,1.839,1.705
"346","AE10","AE10_F12",1861,2.609,1.83
"347","AE10","AE10_F12",1862,1.495,1.358
"348","AE10","AE10_F12",1863,1.777,1.943
"349","AE10","AE10_F12",1864,1.333,1.357
"350","AE10","AE10_F12",1865,1.861,1.743
"351","AE10","AE10_F12",1866,1.057,1.357
"352","AE10","AE10_F12",1867,1.29,1.129
"353","AE10","AE10_F12",1868,1.036,1.005
"354","AE10","AE10_F12",1869,1.12,0.964
"355","AE10","AE10_F12",1870,0.846,1.005
"356","AE10","AE10_F12",1871,0.972,0.985
"357","AE10","AE10_F12",1872,1.375,1.151
"358","AE10","AE10_F12",1873,1.268,1.133
"359","AE10","AE10_F12",1874,1.31,1.054
"360","AE10","AE10_F12",1875,1.268,1.035
"361","AE10","AE10_F12",1876,1.163,0.995
"362","AE10","AE10_F12",1877,1.057,1.141
"363","AE10","AE10_F12",1878,1.459,1.756
"364","AE10","AE10_F12",1879,1.29,1.717
"365","AE10","AE10_F12",1880,0.93,1.068
"366","AE10","AE10_F12",1881,1.015,1.047
"367","AE10","AE10_F12",1882,1.416,1.529
"368","AE10","AE10_F12",1883,1.163,1.278
"369","AE10","AE10_F12",1884,0.93,1.236
"370","AE10","AE10_F12",1885,0.824,0.776
"371","AE10","AE10_F12",1886,1.539,1.196
"372","AE10","AE10_F12",1887,1.242,0.922
"373","AE10","AE10_F12",1888,1.304,1.11
"374","AE10","AE10_F12",1889,0.989,0.795
"375","AE10","AE10_F12",1890,1.346,1.15
"376","AE10","AE10_F12",1891,1.596,1.213
"377","AE10","AE10_F12",1892,1.704,1.068
"378","AE10","AE10_F12",1893,2.087,0.901
"379","AE10","AE10_F12",1894,1.454,1.154
"380","AE10","AE10_F12",1895,1.983,1.339
"381","AE10","AE10_F12",1896,1.415,1.232
"382","AE10","AE10_F12",1897,1.263,0.939
"383","AE10","AE10_F12",1898,1.685,1.065
"384","AE10","AE10_F12",1899,0.97,0.711
"385","AE10","AE10_F12",1900,1.392,0.672
"386","AE10","AE10_F12",1901,1.837,0.798
"387","AE10","AE10_F12",1902,1.859,0.758
"388","AE10","AE10_F12",1903,1.861,0.842
"389","AE10","AE10_F12",1904,2.095,1.074
"390","AE10","AE10_F12",1905,1.691,0.779
"391","AE10","AE10_F12",1906,1.412,0.653
"392","AE10","AE10_F12",1907,1.538,0.738
"393","AE10","AE10_F12",1908,1.516,0.737
"394","AE10","AE10_F12",1909,1.138,0.716
"395","AE10","AE10_F12",1910,1.182,0.887
"396","AE10","AE10_F12",1911,1.499,1.055
"397","AE10","AE10_F12",1912,1.182,0.716
"398","AE10","AE10_F12",1913,1.204,0.93
"399","AE10","AE10_F12",1914,1.52,0.962
"400","AE10","AE10_F12",1915,1.225,1.089
"401","AE10","AE10_F12",1916,0.655,0.55
"402","AE10","AE10_F12",1917,0.994,0.656
"403","AE10","AE10_F12",1918,0.994,0.593
"404","AE10","AE10_F12",1919,1.1,0.741
"405","AE10","AE10_F12",1920,1.121,0.719
"406","AE10","AE10_F12",1921,0.635,0.529
"407","AE10","AE10_F12",1922,1.206,0.888
"408","AE10","AE10_F12",1923,1.248,0.867
"409","AE10","AE10_F12",1924,1.312,0.93
"410","AE10","AE10_F12",1925,1.164,0.782
"411","AE10","AE10_F12",1926,0.931,0.888
"412","AE10","AE10_F12",1927,0.868,0.676
"413","AE10","AE10_F12",1928,1.037,0.655
"414","AE10","AE10_F12",1929,1.079,0.655
"415","AE10","AE10_F12",1930,0.952,0.697
"416","AE10","AE10_F12",1931,0.995,0.591
"417","AE10","AE10_F12",1932,0.698,0.484
"418","AE10","AE10_F12",1933,0.846,0.526
"419","AE10","AE10_F12",1934,1.206,0.694
"420","AE10","AE10_F12",1935,1.185,1.031
"421","AE10","AE10_F12",1936,0.91,0.673
"422","AE10","AE10_F12",1937,0.868,0.672
"423","AE10","AE10_F12",1938,0.868,0.818
"424","AE10","AE10_F12",1939,0.825,0.629
"425","AE10","AE10_F12",1940,1.016,0.565
"426","AE10","AE10_F12",1941,1.079,0.63
"427","AE10","AE10_F12",1942,0.677,0.589
"428","AE10","AE10_F12",1943,0.571,0.568
"429","AE10","AE10_F12",1944,0.783,0.59
"430","AE10","AE10_F12",1945,0.91,0.696
"431","AE10","AE10_F12",1946,0.571,0.528
"432","AE10","AE10_F12",1947,0.952,0.718
"433","AE10","AE10_F12",1948,1.227,0.718
"434","AE10","AE10_F12",1949,1.079,0.444
"435","AE10","AE10_F12",1950,1.058,0.57
"436","AE10","AE10_F12",1951,1.079,0.59
"437","AE10","AE10_F12",1952,0.993,0.608
"438","AE10","AE10_F12",1953,0.802,0.54
"439","AE10","AE10_F12",1954,0.549,0.302
"440","AE10","AE10_F12",1955,1.352,0.553
"441","AE10","AE10_F12",1956,1.12,0.441
"442","AE10","AE10_F12",1957,1.184,0.611
"443","AE10","AE10_F12",1958,1.056,0.484
"444","AE10","AE10_F12",1959,0.887,0.442
"445","AE10","AE10_F12",1960,1.416,0.506
"446","AE10","AE10_F12",1961,1.161,0.443
"447","AE10","AE10_F12",1962,1.35,0.38
"448","AE10","AE10_F12",1963,1.309,0.485
"449","AE10","AE10_F12",1964,0.929,0.358
"450","AE10","AE10_F12",1965,1.161,0.547
"451","AE10","AE10_F12",1966,1.351,0.519
"452","AE10","AE10_F12",1967,1.818,0.532
"453","AE10","AE10_F12",1968,1.225,0.417
"454","AE10","AE10_F12",1969,0.972,0.481
"455","AE10","AE10_F12",1970,1.079,0.479
"456","AE10","AE10_F12",1971,0.797,0.351
"457","AE10","AE10_F12",1972,0.733,0.232
"458","AE10","AE10_F12",1973,1.007,0.365
"459","AE10","AE10_F12",1974,0.381,0.195
"460","AE10","AE10_F12",1975,0.55,0.274
"461","AE10","AE10_F12",1976,0.592,0.479
"462","AE10","AE10_F12",1977,0.803,0.338
"463","AE10","AE10_F12",1978,0.676,0.36
"464","AE10","AE10_F12",1979,1.015,0.423
"465","AE10","AE10_F12",1980,0.951,0.43
"466","AE10","AE10_F12",1981,0.867,0.381
"467","AE10","AE10_F12",1982,0.804,0.267
"468","AE10","AE10_F12",1983,0.803,0.338
"469","AE10","AE10_F12",1984,0.423,0.225
"470","AE10","AE10_F12",1985,0.804,0.451
"471","AE10","AE10_F12",1986,0.698,0.316
"472","AE10","AE10_F12",1987,0.762,0.365
"473","AE10","AE10_F12",1988,0.762,0.357
"474","AE10","AE10_F12",1989,0.275,0.078
"475","AE10","AE10_F12",1990,0.423,0.225
"476","AE10","AE10_F12",1991,0.296,0.204
"477","AE10","AE10_F12",1992,0.487,0.282
"478","AE10","AE10_F12",1993,0.338,0.296
"479","AE10","AE10_F12",1994,0.486,0.317
"480","AE10","AE10_F12",1995,0.381,0.233
"481","AE10","AE10_F12",1996,0.423,0.19
"482","AE10","AE10_F12",1997,0.232,0.204
"483","AE10","AE10_F12",1998,0.422,0.395
"484","AE10","AE10_F12",1999,0.295,0.205
"485","AE10","AE10_F12",2000,0.592,0.472
"486","AE10","AE10_F12",2001,0.952,0.487
"487","AE10","AE10_F12",2002,0.656,0.487
"488","AE10","AE10_F12",2003,0.719,0.549
"489","AE10","AE10_F12",2004,0.423,0.458
"490","AE10","AE10_F12",2005,0.423,0.374
"491","AE10","AE10_F12",2006,0.444,0.501
"492","AE10","AE10_F12",2007,0.423,0.331
"493","AE10","AE10_F12",2008,0.317,0.444
"494","AE10","AE10_F15",1845,NA,1.777
"495","AE10","AE10_F15",1846,NA,1.998
"496","AE10","AE10_F15",1847,NA,1.542
"497","AE10","AE10_F15",1848,NA,2.151
"498","AE10","AE10_F15",1849,NA,1.29
"499","AE10","AE10_F15",1850,NA,1.016
"500","AE10","AE10_F15",1851,NA,1.541
"501","AE10","AE10_F15",1852,NA,1.564
"502","AE10","AE10_F15",1853,NA,1.332
"503","AE10","AE10_F15",1854,NA,1.278
"504","AE10","AE10_F15",1855,NA,1.502
"505","AE10","AE10_F15",1856,NA,1.163
"506","AE10","AE10_F15",1857,NA,1.438
"507","AE10","AE10_F15",1858,NA,1.291
"508","AE10","AE10_F15",1859,NA,1.183
"509","AE10","AE10_F15",1860,NA,1.65
"510","AE10","AE10_F15",1861,NA,1.481
"511","AE10","AE10_F15",1862,NA,1.142
"512","AE10","AE10_F15",1863,NA,1.417
"513","AE10","AE10_F15",1864,NA,0.783
"514","AE10","AE10_F15",1865,NA,1.312
"515","AE10","AE10_F15",1866,NA,0.931
"516","AE10","AE10_F15",1867,NA,1.1
"517","AE10","AE10_F15",1868,NA,1.371
"518","AE10","AE10_F15",1869,NA,1.154
"519","AE10","AE10_F15",1870,NA,1.052
"520","AE10","AE10_F15",1871,NA,1.137
"521","AE10","AE10_F15",1872,NA,1.354
"522","AE10","AE10_F15",1873,NA,1.164
"523","AE10","AE10_F15",1874,NA,1.333
"524","AE10","AE10_F15",1875,NA,0.944
"525","AE10","AE10_F15",1876,NA,0.656
"526","AE10","AE10_F15",1877,NA,1.375
"527","AE10","AE10_F15",1878,NA,1.036
"528","AE10","AE10_F15",1879,NA,1.09
"529","AE10","AE10_F15",1880,0.488,0.719
"530","AE10","AE10_F15",1881,0.616,1.731
"531","AE10","AE10_F15",1882,0.663,0.719
"532","AE10","AE10_F15",1883,0.555,0.677
"533","AE10","AE10_F15",1884,0.538,0.465
"534","AE10","AE10_F15",1885,0.565,0.671
"535","AE10","AE10_F15",1886,0.618,0.484
"536","AE10","AE10_F15",1887,0.373,0.864
"537","AE10","AE10_F15",1888,0.556,0.842
"538","AE10","AE10_F15",1889,0.444,0.735
"539","AE10","AE10_F15",1890,0.492,0.988
"540","AE10","AE10_F15",1891,0.871,1.093
"541","AE10","AE10_F15",1892,0.825,0.836
"542","AE10","AE10_F15",1893,0.976,0.948
"543","AE10","AE10_F15",1894,0.768,1.272
"544","AE10","AE10_F15",1895,1.347,1.975
"545","AE10","AE10_F15",1896,1.032,1.458
"546","AE10","AE10_F15",1897,0.881,1.266
"547","AE10","AE10_F15",1898,0.783,1.056
"548","AE10","AE10_F15",1899,0.554,0.686
"549","AE10","AE10_F15",1900,0.917,1.204
"550","AE10","AE10_F15",1901,1.07,0.87
"551","AE10","AE10_F15",1902,0.896,0.828
"552","AE10","AE10_F15",1903,0.762,0.685
"553","AE10","AE10_F15",1904,1.047,1.06
"554","AE10","AE10_F15",1905,0.904,1.083
"555","AE10","AE10_F15",1906,0.682,0.998
"556","AE10","AE10_F15",1907,0.762,1.192
"557","AE10","AE10_F15",1908,0.841,1.295
"558","AE10","AE10_F15",1909,0.73,0.863
"559","AE10","AE10_F15",1910,0.635,0.802
"560","AE10","AE10_F15",1911,0.809,0.882
"561","AE10","AE10_F15",1912,0.778,0.701
