"","year","rw_core1 (mm)","rw_core2 (mm)"
"174",1964,0.959,1.237
"175",1965,1.43,1.474
"176",1966,1.7,1.614
"177",1967,1.086,1.088
"178",1968,1.118,1.561
"179",1969,1.103,0.899
"180",1970,0.93,0.93
"181",1971,1.025,1.31
"182",1972,0.836,1.439
"183",1973,1.025,1.328
"184",1974,0.6,0.806
"185",1975,0.978,0.984
"186",1976,0.851,0.92
"187",1977,0.803,0.889
"188",1978,0.866,0.968
"189",1979,1.322,1.46
"190",1980,0.943,1.143
"191",1981,1.133,1.587
"192",1982,0.834,1.159
"193",1983,1.024,0.682
"194",1984,1.072,0.889
"195",1985,0.806,0.841
"196",1986,0.6,0.841
"197",1987,0.869,1.111
"198",1988,0.885,1.126
"199",1989,0.665,0.762
"200",1990,0.586,0.682
"201",1991,0.555,0.936
"202",1992,0.586,0.73
"203",1993,0.698,0.698
"204",1994,0.967,1.364
"205",1995,0.523,1.078
"206",1996,0.523,0.983
"207",1997,0.341,0.73
"208",1998,0.42,0.761
"209",1999,0.286,0.627
"210",2000,0.444,0.928
"211",2001,0.46,0.984
"212",2002,0.524,0.762
"213",2003,0.476,0.73
"214",2004,0.428,0.841
"215",2005,0.476,0.762
"216",2006,0.444,0.905
"217",2007,0.556,1.143
"218",2008,0.365,0.81
"219",2009,0.331,0.222
