age_CE,MD0101A_raw,MD0102A_raw,MD0103B_raw,MD0104B_raw,MD0106A_raw,MD0107B_raw,MD0108A_raw,MD0109A_raw,MD0110A_raw,MD0111B_raw,MD0112A_raw,MD0113B_raw,MD0117B_raw,MD0118A_raw,MD0119A_raw,MD0120A_raw,MD0121B_raw,MD0122B_raw,MD0123A_raw,MD0124B_raw,MD0125B_raw,MD0130B_raw,MD0131A_raw,MD0135B_raw,MD0101A_raw_outlier_flag,MD0102A_raw_outlier_flag,MD0103B_raw_outlier_flag,MD0104B_raw_outlier_flag,MD0106A_raw_outlier_flag,MD0107B_raw_outlier_flag,MD0108A_raw_outlier_flag,MD0109A_raw_outlier_flag,MD0110A_raw_outlier_flag,MD0111B_raw_outlier_flag,MD0112A_raw_outlier_flag,MD0113B_raw_outlier_flag,MD0117B_raw_outlier_flag,MD0118A_raw_outlier_flag,MD0119A_raw_outlier_flag,MD0120A_raw_outlier_flag,MD0121B_raw_outlier_flag,MD0122B_raw_outlier_flag,MD0123A_raw_outlier_flag,MD0124B_raw_outlier_flag,MD0125B_raw_outlier_flag,MD0130B_raw_outlier_flag,MD0131A_raw_outlier_flag,MD0135B_raw_outlier_flag
1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,0.32,NA,0.53,NA,NA,NA,0.49,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,0.3,NA,0.42,NA,NA,NA,0.49,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,0.53,NA,0.58,NA,NA,NA,0.4,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,0.3,NA,0.52,NA,NA,NA,0.2,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.26,NA,0.2,NA,NA,NA,0.18,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,0.38,NA,0.54,NA,NA,NA,0.57,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,0.24,NA,0.56,NA,NA,NA,0.25,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,0.36,NA,0.46,NA,NA,NA,0.38,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,0.13,NA,0.66,NA,NA,NA,0.23,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.22,NA,0.61,NA,NA,NA,0.37,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0.64,NA,0.44,NA,NA,NA,0.19,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,0.84,NA,0.54,NA,NA,NA,0.32,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,0.47,NA,0.68,NA,NA,NA,0.29,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,0.5,NA,0.54,NA,NA,NA,0.15,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.7,NA,0.52,NA,NA,NA,0.22,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,0.19,NA,0.65,NA,0.44,NA,NA,NA,0.32,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,0.15,NA,0.69,NA,0.43,NA,NA,NA,0.33,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,0.21,NA,0.43,NA,0.35,NA,NA,NA,0.34,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,0.22,NA,0.44,NA,0.29,NA,NA,NA,0.24,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,0.3,NA,0.63,NA,0.39,NA,NA,NA,0.23,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,0.34,NA,0.41,NA,0.3,NA,NA,NA,0.28,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,0.17,NA,0.49,NA,0.39,NA,NA,NA,0.19,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,0.4,NA,0.19,NA,0.32,NA,NA,NA,0.24,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0.28,NA,0.25,NA,0.29,NA,NA,NA,0.19,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1882,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.26,NA,0.33,NA,0.51,NA,NA,NA,0.14,NA,0.31,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1883,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,0.31,NA,0.34,NA,0.51,NA,NA,NA,0.37,NA,0.44,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1884,1.22,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,0.65,NA,0.27,NA,0.78,NA,0.39,NA,NA,NA,0.32,NA,0.29,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1885,1.25,NA,NA,NA,NA,0.37,NA,NA,0.5,NA,NA,0.54,NA,0.26,NA,0.62,NA,0.45,NA,NA,NA,0.34,NA,0.34,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1886,1.25,NA,NA,NA,NA,0.35,NA,NA,0.6,1.1,NA,0.86,NA,0.23,NA,0.25,NA,0.57,NA,NA,NA,0.38,NA,0.39,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1887,0.87,NA,NA,NA,NA,0.71,NA,NA,0.81,1.63,NA,1.17,NA,0.24,NA,0.21,NA,0.55,NA,NA,NA,0.24,NA,0.25,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1888,0.77,NA,NA,NA,NA,0.66,NA,NA,1.08,1.28,NA,0.81,NA,0.18,NA,0.44,NA,0.55,NA,NA,NA,0.31,NA,0.14,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1889,0.92,NA,NA,NA,NA,0.6,NA,NA,0.97,1.3,NA,0.97,NA,0.14,NA,0.34,NA,0.53,NA,NA,NA,0.33,NA,0.27,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1890,0.94,NA,NA,NA,NA,0.45,NA,NA,1.15,1.44,NA,0.84,NA,0.35,NA,0.23,NA,0.51,NA,NA,NA,0.53,NA,0.3,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1891,0.74,NA,NA,NA,NA,0.81,NA,NA,0.7,1.42,NA,0.42,NA,0.27,NA,0.27,NA,0.55,NA,NA,NA,0.39,NA,0.28,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1892,0.49,1.39,NA,NA,NA,0.56,NA,NA,0.66,1.36,NA,0.35,0.97,0.19,NA,0.23,NA,0.51,NA,NA,NA,0.35,NA,0.36,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1893,0.45,1.25,NA,NA,NA,0.54,NA,NA,0.25,1.28,NA,0.33,0.61,0.15,NA,0.21,NA,0.48,NA,NA,NA,0.18,NA,0.3,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1894,0.66,1.6,NA,NA,NA,0.38,NA,NA,0.37,1.54,NA,0.44,0.89,0.24,NA,0.1,NA,0.61,NA,NA,NA,0.23,NA,0.33,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1895,0.59,1.18,NA,NA,NA,0.43,NA,NA,0.7,1.54,NA,0.69,0.86,0.21,NA,0.24,NA,0.52,NA,NA,NA,0.26,NA,0.41,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1896,0.5,1.16,NA,NA,NA,0.62,NA,NA,0.64,1.15,NA,1.04,1.15,0.23,NA,0.21,NA,0.6,NA,NA,NA,0.16,NA,0.25,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1897,0.98,1,NA,NA,NA,0.97,NA,NA,0.59,1.57,NA,0.84,0.87,0.27,NA,0.3,NA,0.52,NA,NA,NA,0.16,NA,0.41,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE
1898,0.9,1.07,NA,NA,NA,0.96,NA,NA,0.91,1.59,NA,0.77,1.08,0.59,NA,0.15,NA,0.62,NA,NA,NA,0.21,0.71,0.36,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1899,0.43,0.95,NA,NA,NA,0.74,NA,NA,0.67,1.2,NA,0.57,0.9,0.38,NA,0.14,NA,0.47,NA,NA,NA,0.18,0.58,0.4,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1900,0.67,0.87,NA,NA,NA,0.89,NA,NA,0.7,1.1,NA,0.47,0.8,0.34,NA,0.15,NA,0.31,NA,NA,NA,0.16,0.68,0.4,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1901,0.76,1.09,NA,NA,NA,0.45,NA,NA,0.73,1.65,NA,0.65,1.13,0.26,NA,0.23,NA,0.57,NA,NA,NA,0.3,0.89,0.49,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1902,0.59,1.01,NA,NA,NA,0.48,NA,NA,0.5,1.46,NA,0.95,1,0.25,NA,0.15,NA,0.41,NA,NA,NA,0.16,0.57,0.37,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1903,0.67,1.23,NA,NA,NA,0.49,NA,NA,0.62,1.7,NA,0.96,1.31,0.32,NA,0.21,NA,0.58,NA,NA,NA,0.11,0.66,0.34,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1904,0.9,1.24,NA,NA,NA,0.54,NA,NA,0.74,2.25,NA,0.9,1.63,0.42,NA,0.37,NA,0.8,NA,NA,NA,0.24,0.53,0.55,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1905,0.86,1.02,NA,NA,NA,0.71,NA,NA,0.58,1.93,NA,0.78,1.2,0.31,NA,0.41,NA,0.64,NA,NA,NA,0.19,0.46,0.41,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1906,0.62,0.72,NA,NA,NA,0.4,NA,NA,0.4,2.34,NA,0.73,1.03,0.16,NA,0.44,NA,0.6,NA,NA,NA,0.19,0.68,0.4,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1907,0.57,0.9,1.89,NA,NA,0.33,NA,NA,0.55,1.82,0.92,0.83,1.04,0.2,NA,0.58,NA,0.51,NA,NA,NA,0.23,0.86,0.51,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1908,0.65,0.91,1.72,NA,NA,0.5,NA,NA,0.43,1.85,1.82,1.05,0.66,0.21,NA,0.54,NA,0.43,NA,NA,NA,0.23,0.88,0.35,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE
1909,0.6,0.65,2.08,NA,NA,0.65,NA,NA,0.46,1.93,0.74,0.88,0.68,0.19,NA,0.52,NA,0.34,NA,1.03,NA,0.18,0.89,0.31,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1910,0.62,0.64,2.72,NA,NA,0.42,NA,NA,0.27,0.35,0.76,0.46,0.43,0.13,NA,0.23,NA,0.25,NA,0.39,NA,0.25,0.83,0.39,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1911,0.63,0.81,1.76,NA,NA,0.65,NA,NA,0.5,1.4,0.96,0.93,0.68,0.21,1.31,0.39,NA,0.41,NA,0.88,NA,0.38,0.89,0.44,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1912,0.68,0.84,2.16,NA,NA,0.89,NA,NA,0.64,1.22,0.95,0.5,0.71,0.14,1.63,0.84,NA,0.31,NA,1.11,NA,0.38,1.13,0.42,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1913,0.77,0.94,2.33,NA,NA,0.7,NA,NA,0.57,1.35,0.72,0.79,0.81,0.21,1.55,0.41,NA,0.3,NA,1.18,NA,0.28,0.93,0.43,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1914,0.98,1.11,1.36,NA,NA,0.62,NA,NA,0.68,1.53,0.57,0.59,0.76,0.23,1.46,0.58,NA,0.33,NA,1.23,NA,0.3,0.92,0.42,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1915,1.21,1,1.32,NA,NA,0.83,NA,NA,0.97,1.49,0.73,0.79,1.06,0.33,1.89,1.01,NA,0.33,NA,1.57,NA,0.32,0.96,0.42,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1916,0.82,0.93,1.26,NA,NA,0.79,NA,NA,1.05,1.36,0.82,1.09,0.97,0.32,1.85,0.73,NA,0.29,NA,1.33,NA,0.29,0.79,0.35,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1917,0.69,1.04,1.29,NA,NA,0.72,NA,NA,0.83,1.24,1.13,0.66,0.8,0.36,1.42,0.78,NA,0.33,NA,1.17,NA,0.28,0.66,0.33,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE
1918,0.68,0.75,0.91,NA,NA,0.65,NA,NA,0.77,0.98,0.85,0.86,0.99,0.3,1.43,0.82,0.96,0.34,NA,1.8,1.1,0.37,0.63,0.24,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1919,0.62,0.91,0.81,NA,NA,0.88,NA,NA,0.72,1.39,0.54,0.84,0.87,0.25,1.39,0.61,0.71,0.35,NA,2.05,0.65,0.2,0.85,0.23,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1920,0.73,0.82,0.68,NA,NA,0.77,NA,NA,0.6,1.01,0.67,0.84,0.74,0.24,1.63,0.74,0.6,0.35,NA,1.81,0.94,0.38,0.93,0.24,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
