Year,Mountain Range,SR335201,SR335202,SR335204,SR335208,SR335210,SR335211,SR335213,SR335214,SR335215,SR335216,SR335219,SR335223,SR335225,SR335236,SR335237,SR342601,SR342602,SR342604,SR342605,SR342606,SR342609,SR342610,SR342616,SR342619,SR342620,SR342622,SR434323,SR342624,SR342627,SR342628,SR342632,SR358702,SR358711,SR358723,SR358724,SR358726,SR358728,SR358730,SR358739,SR358742,SR358746,SR358748,SR358750,SR358751,SR404701,SR404702,SR404704,SR404707,SR404709,SR404710,SR404713,SR404715,SR404716,SR404717,SR404718,SR404724,SR404729,SR404730,SR404731,SR434307,SR434308,SR434309,SR434312,SR434315,SR434316,SR434318,SR434323,SR434326,SR434328,SR434329,SR434330,SR434334,SR434343,SR434345
1886,Santa Rosa,NA,NA,NA,1.823,0.911,1.952,1.871,1.534,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.842,2.118,NA,1.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887,Santa Rosa,NA,NA,NA,1.448,0.791,1.143,0.48,1.105,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908,0.958,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1888,Santa Rosa,NA,NA,NA,2.069,0.849,1.592,0.439,1.42,1.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.107,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.188,1.197,NA,1.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1889,Santa Rosa,NA,NA,NA,0.265,0.137,0.558,0.335,0.504,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.315,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294,0.568,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,Santa Rosa,NA,NA,NA,1.168,0.414,1.396,0.486,0.981,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.685,1.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943,0.636,NA,1.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,Santa Rosa,NA,NA,NA,0.518,0.187,0.609,0.271,0.406,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.247,1.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.776,NA,1.403,1.33,NA,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,Santa Rosa,NA,NA,NA,1.174,0.593,1.111,0.669,0.998,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.525,2.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.102,NA,1.922,1.429,NA,1.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1893,Santa Rosa,NA,NA,NA,0.993,0.578,1.015,0.651,0.687,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.023,1.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.041,NA,1.867,1.414,NA,1.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,Santa Rosa,NA,NA,NA,0.476,0.363,0.593,0.549,0.438,0.236,1.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937,2.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.193,NA,2.216,1.624,NA,1.522,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,Santa Rosa,NA,NA,NA,0.386,0.236,0.515,0.624,0.147,0.202,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942,2.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.489,NA,1.665,1.721,NA,1.947,2.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,Santa Rosa,NA,NA,NA,1.289,0.636,1.114,1.08,0.639,0.588,1.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.376,2.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.902,NA,1.635,1.825,NA,1.443,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,Santa Rosa,NA,NA,NA,0.745,0.655,1.081,0.756,0.734,0.477,1.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.633,2.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.669,NA,2.644,2.422,NA,2.25,3.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,Santa Rosa,NA,NA,NA,0.933,0.821,1.279,0.982,0.865,0.482,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,3.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.372,NA,2.331,1.962,NA,1.642,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,Santa Rosa,NA,NA,NA,0.669,0.683,0.96,0.746,0.653,0.576,1.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.665,2.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.767,NA,1.2,1.003,NA,1.546,1.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,Santa Rosa,NA,NA,NA,0.637,0.54,0.769,0.791,0.805,0.583,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.916,3.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,0.75,0.653,NA,0.585,0.735,1.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,Santa Rosa,NA,NA,NA,0.52,0.291,0.608,0.334,0.59,0.272,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,2.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.972,0.668,1.284,1.202,NA,1.206,2.414,2.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,Santa Rosa,NA,NA,NA,0.407,0.258,0.758,0.54,0.448,0.36,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.387,0.49,0.412,0.786,NA,0.586,1.354,2.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,Santa Rosa,NA,NA,NA,0.48,0.479,0.451,0.899,0.665,0.182,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.746,2.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.043,0.431,0.409,0.805,NA,0.735,1.736,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.436,NA
1904,Santa Rosa,NA,NA,NA,1.214,0.441,0.426,1.044,0.995,0.362,1.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,2.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.507,0.723,1.01,1.437,NA,1.086,2.148,1.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,NA
1905,Santa Rosa,NA,NA,NA,1.352,0.797,0.638,1.275,1.362,0.643,2.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576,1.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863,0.711,0.502,0.709,NA,0.675,1.745,1.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.313,NA
1906,Santa Rosa,NA,NA,NA,0.278,0.315,0.269,0.355,0.23,0.248,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942,1.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.704,0.78,1.551,2.062,NA,1.809,1.865,1.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294,NA
1907,Santa Rosa,NA,NA,NA,0.339,0.39,0.494,0.154,0.293,0.186,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157,1.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.531,NA,2.125,1.331,1.883,2.287,NA,1.667,2.078,1.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474,NA
1908,Santa Rosa,NA,NA,NA,0.813,0.473,1.261,0.672,0.359,0.411,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867,2.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,0.12,1.611,0.188,1.152,NA,0.261,0.098,1.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.641,NA
1909,Santa Rosa,NA,NA,NA,1.96,1.077,1.787,1.464,1.208,1.455,3.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.682,2.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.709,NA,1.7,1.191,1.754,1.561,NA,0.382,1.598,2.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.586,NA
1910,Santa Rosa,NA,NA,NA,1.783,0.936,0.997,1.407,0.888,1.05,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.679,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.075,NA,1.708,1.165,1.472,0.903,NA,0.522,1.669,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.731,NA
1911,Santa Rosa,NA,NA,NA,1.338,0.732,0.544,1.134,0.754,0.874,2.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201,2.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529,NA,1.24,2.318,0.599,0.954,NA,0.542,1.197,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.687,NA
1912,Santa Rosa,NA,NA,NA,1.014,0.828,0.594,0.526,0.618,0.857,1.675,0.846,NA,NA,NA,NA,NA,NA,NA,NA,1.331,2.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.255,NA,1.638,2.513,1.522,1.465,NA,1.27,1.723,1.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.786,NA
1913,Santa Rosa,NA,NA,NA,1.14,0.962,0.487,0.698,0.797,0.819,2.478,0.18,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.561,NA,1.957,1.236,1.193,1.253,NA,0.703,1.565,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.578,NA
1914,Santa Rosa,NA,NA,NA,0.599,0.431,0.229,0.775,0.472,0.528,2.244,0.39,NA,NA,NA,NA,NA,NA,NA,NA,0.237,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129,1.222,2.222,1.166,1.318,1.128,NA,0.918,1.034,2.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.429,NA
1915,Santa Rosa,NA,NA,NA,0.183,0.075,0.111,0.268,0.185,0.255,0.715,0.136,NA,NA,NA,NA,NA,NA,NA,NA,0.227,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,1.167,1.355,0.793,0.749,0.97,NA,0.443,0.589,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165,NA
1916,Santa Rosa,NA,NA,NA,0.231,0.095,0.079,0.156,0.137,0.139,0.374,0.796,NA,NA,NA,NA,NA,NA,NA,NA,0.763,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.284,1.646,1.98,0.932,1.217,1.315,NA,1.22,0.664,1.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA
1917,Santa Rosa,NA,NA,NA,0.387,0.278,0.192,0.599,0.247,0.248,0.864,0.351,NA,NA,NA,NA,NA,NA,NA,NA,1.223,1.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.226,1.167,1.664,1.087,0.833,1.531,NA,1.142,1.056,1.236,NA,1.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.318,NA
1918,Santa Rosa,NA,NA,NA,0.754,0.614,0.461,0.78,0.581,0.524,1.264,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0.92,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.353,1.735,1.656,1.206,1.109,1.394,NA,1.233,1.321,1.325,NA,1.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.199,NA
