Year,Mountain Range,RB493001,RB493004,RB493005,RB493007,RB493010,RB493011,RB493012,RB493013,RB493014,RB493015,RB493016,RB493017,RB493018,RB493042,RB557702,RB557703,RB557704,RB557705,RB557710,RB557711,RB557714,RB557715,RB557716,RB557718,RB557719,RB557724,RB557729,RB561406,RB561412,RB561417,RB561418,RB561420,RB561424,RB561425,RB561426,RB561427,RB561439,RB561446,RB564902,RB564908,RB564913,RB564916,RB564917,RB564918,RB564920,RB564922,RB564924,RB564925,RB564928,RB564929,JB564930,RB622802,RB622804,RB622806,RB622807,RB622810,RB622812,RB622814,RB622818,RB622819,RB622821,RB622822,RB622824,RB622826,RB622829,RB622831,RB689003,RB689007,RB689009,RB689010,RB689020,RB689022,RB689025,RB689029,RB689030,RB689031,RB689034,RB689036,RB730317,RB730320,RB730323,RG730324,RB730325,RB730326,RB730327,RB730328,RB730329,RB730330,RB730331,RB730332,RB730333,RB730343
1922,Ruby,0.51,NA,NA,NA,NA,1.685,NA,NA,NA,NA,NA,NA,NA,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253,NA,NA,0.299,0.446,NA,NA,0.045,NA,NA,NA,NA,NA,1.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163,0.683,NA,1.568,NA,0.559,0.199,0.653,0.67,0.611,NA,NA,NA,0.354
1923,Ruby,0.439,NA,1.037,NA,NA,1.458,NA,NA,NA,0.484,1.73,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833,NA,NA,0.581,0.698,NA,NA,0.033,NA,NA,NA,NA,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756,0.685,NA,0.745,NA,0.976,1.038,0.108,0.083,0.149,NA,NA,NA,0.814
1924,Ruby,0.88,NA,0.733,NA,NA,1.495,0.504,NA,NA,1.608,1.574,0.402,NA,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327,0.547,NA,NA,0.984,0.834,NA,NA,0.05,NA,NA,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.402,NA,1.315,1.143,NA,0.757,NA,0.512,1.46,0.595,0.367,1.136,NA,NA,0.535,0.537
1925,Ruby,0.466,NA,1.724,NA,NA,0.759,0.92,NA,NA,2.068,1.754,1.023,NA,1.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548,0.67,NA,NA,0.862,0.351,NA,NA,0.162,NA,NA,NA,NA,NA,1.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.691,NA,0.926,1.379,NA,0.908,NA,0.638,0.968,1.262,0.977,1.353,NA,NA,0.862,0.865
1926,Ruby,0.545,NA,1.887,NA,NA,0.915,1.959,NA,NA,1.892,1.727,0.763,NA,1.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542,0.785,NA,NA,1.124,0.323,NA,NA,0.252,NA,NA,NA,NA,NA,1.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.322,NA,0.278,1.336,NA,0.282,NA,1.024,0.32,0.769,0.973,1.004,NA,NA,0.349,1.637
1927,Ruby,0.425,NA,0.741,NA,NA,0.918,0.468,1.536,NA,1.455,0.852,0.792,1.663,1.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298,0.438,0.532,NA,0.95,0.256,NA,NA,0.29,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.496,NA,0.216,0.588,NA,0.41,NA,0.965,1.585,0.079,0.179,0.219,NA,NA,0.751,0.784
1928,Ruby,0.348,NA,0.909,NA,NA,0.928,2.058,1.176,1.832,1.35,0.878,0.883,1.844,1.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265,0.547,0.349,NA,0.78,0.335,NA,NA,0.233,1.389,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,1.168,1.496,NA,0.588,NA,0.778,2.066,0.072,0.736,0.969,NA,NA,0.773,0.945
1929,Ruby,0.278,NA,0.825,NA,NA,0.444,0.922,1.082,1.694,1.937,0.394,0.397,0.349,0.897,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.598,0.277,NA,0.571,0.342,NA,NA,0.327,1.43,NA,NA,NA,NA,1.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698,NA,0.927,1.137,NA,0.453,NA,0.878,0.645,0.829,0.881,0.843,NA,NA,1.613,0.979
1930,Ruby,0.448,NA,0.66,NA,NA,0.479,0.155,0.652,0.862,0.728,0.342,0.487,0.537,0.918,NA,NA,NA,NA,2.657,NA,NA,NA,NA,NA,NA,NA,NA,0.554,0.328,0.58,0.372,NA,0.41,0.396,1.249,NA,0.463,1.402,NA,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.918,NA,0.621,0.853,NA,0.425,NA,0.534,0.591,0.192,0.325,0.341,NA,NA,0.51,0.573
1931,Ruby,0.452,NA,0.72,NA,NA,0.332,0.17,0.679,0.963,0.591,0.471,0.496,0.604,0.32,NA,NA,NA,NA,1.291,NA,NA,NA,NA,NA,NA,NA,NA,0.778,0.442,0.58,0.58,NA,0.389,0.256,1.392,NA,0.23,1.543,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,2.152,0.942,0.975,NA,0.489,NA,0.736,0.521,0.408,0.552,0.625,1.72,NA,0.682,0.711
