Year,Mountain Range,RB493001,RB493004,RB493005,RB493007,RB493010,RB493011,RB493012,RB493013,RB493014,RB493015,RB493016,RB493017,RB493018,RB493042,RB557702,RB557703,RB557704,RB557705,RB557710,RB557711,RB557714,RB557715,RB557716,RB557718,RB557719,RB557724,RB557729,RB561406,RB561412,RB561417,RB561418,RB561420,RB561424,RB561425,RB561426,RB561427,RB561439,RB561446,RB564902,RB564908,RB564913,RB564916,RB564917,RB564918,RB564920,RB564922,RB564924,RB564925,RB564928,RB564929,JB564930,RB622802,RB622804,RB622806,RB622807,RB622810,RB622812,RB622814,RB622818,RB622819,RB622821,RB622822,RB622824,RB622826,RB622829,RB622831,RB689003,RB689007,RB689009,RB689010,RB689020,RB689022,RB689025,RB689029,RB689030,RB689031,RB689034,RB689036,RB730317,RB730320,RB730323,RG730324,RB730325,RB730326,RB730327,RB730328,RB730329,RB730330,RB730331,RB730332,RB730333,RB730343
1971,Ruby,1.575,1.582,1.126,1.108,1.485,0.418,1.764,1.187,2.29,1.26,0.886,1.877,0.757,1.485,NA,1.132,1.097,1.419,1.164,0.9,0.674,1.474,0.565,0.371,0.502,1.098,0.797,1.451,0.601,0.733,1.041,1.335,0.869,0.612,0.737,0.283,0.468,0.969,NA,NA,NA,NA,1.597,NA,NA,NA,NA,NA,NA,NA,NA,1.319,2.625,4.364,1.805,3.02,1.641,0.742,3.074,2.762,1.688,1.55,0.503,2.084,1.298,2.55,2.889,1.739,1.791,1.575,2.328,2.799,1.122,2.12,3.046,1.714,1.712,2.202,1.39,1.514,1.091,2.464,2.299,1.334,1.879,1.058,0.663,1.238,1.027,0.77,1.868,1.615
1972,Ruby,1.469,1.435,0.998,0.994,1.376,0.64,1.7,1.151,2.054,1.294,0.813,1.923,0.743,1.34,NA,1.895,1.187,1.367,2.172,0.931,1.028,1.075,0.927,0.566,0.47,1.43,2.009,0.908,0.252,0.455,0.572,1.229,0.698,0.612,0.616,0.171,0.413,0.67,NA,NA,NA,NA,1.165,NA,NA,NA,NA,NA,NA,NA,NA,0.531,1.623,2.59,0.794,2.439,1.033,0.685,2.666,1.947,1.112,1.795,0.485,2.414,1.271,2.416,2.663,1.022,1.502,1.221,2.455,2.1,0.968,1.827,1.979,1.186,1.56,1.636,0.996,0.91,0.689,1.576,1.123,0.98,1.345,0.817,0.37,1.027,0.722,0.529,1.497,1.094
1973,Ruby,1.662,1.815,1.165,1.827,1.318,1.006,1.801,1.291,1.97,1.839,1.058,2.064,1.082,1.222,NA,2.317,2.512,2.669,2.595,1.424,1.344,1.525,1.571,1.01,0.873,1.982,1.817,0.558,0.333,0.399,0.45,1.235,0.464,0.525,0.541,0.192,0.377,0.564,NA,NA,NA,NA,2.14,NA,NA,NA,NA,NA,NA,NA,NA,0.805,2.769,2.297,0.848,2.274,0.815,0.826,3.173,2.726,1.118,2.194,0.651,2.165,1.555,2.427,2.893,1.432,3.339,1.895,3.898,3.091,1.692,1.929,2.764,1.763,2.256,3.042,1.318,1.149,0.626,1.962,1.214,1.197,1.703,1.061,0.437,1.288,1.085,0.765,1.407,1.595
1974,Ruby,1.181,1.562,0.921,1.575,1.519,0.862,1.712,1.219,2.209,2.533,0.773,1.666,0.967,1.129,NA,2.512,1.4,1.678,2.566,1.024,1.595,2.238,1.862,1.289,1.284,2.253,2.292,0.684,0.409,0.463,0.571,1.164,0.408,0.438,0.668,0.319,0.545,0.635,NA,NA,NA,NA,1.471,NA,0.872,NA,NA,NA,NA,NA,NA,0.877,3.575,2.815,1.142,2.119,0.731,1.241,4.785,3.749,2.527,3.74,1.55,3.593,3.405,3.343,3.051,1.688,2.399,2.34,3.816,2.917,2.15,1.958,2.426,2.146,2.059,3.055,1.394,0.867,0.588,2.071,1.507,1.172,1.819,0.796,0.351,1.091,0.944,0.376,1.52,1.003
1975,Ruby,1.082,0.749,0.882,1.278,1.057,0.628,1.435,1.004,2.253,1.931,0.511,1.215,0.793,0.92,NA,2.709,2.012,2.925,2.636,1.545,1.341,2.409,2.076,2.587,1.26,2.372,2.564,0.168,0.142,0.173,0.165,0.885,0.225,0.162,0.173,0.161,0.343,0.283,NA,NA,NA,NA,1.478,NA,0.516,NA,NA,NA,NA,NA,NA,1.218,3.583,3.455,1.021,2.151,0.621,1.403,4.459,3.539,2.299,2.851,0.956,2.566,2.325,2.739,2.814,2.642,3.224,1.366,2.401,3.186,1.892,1.503,2.085,2.023,2.163,3.153,0.818,0.777,0.408,1.634,0.932,0.633,1.568,0.789,0.239,0.739,1,0.495,1.334,0.801
1976,Ruby,1.09,0.989,0.711,1.005,1.326,0.628,1.332,0.979,1.787,2.021,0.473,1.697,0.582,1.003,1.39,2.804,1.861,2.6,1.802,1.16,1.441,1.727,1.998,1.305,1.396,1.936,1.831,0.512,0.284,0.424,0.354,1.036,0.429,0.515,0.495,0.23,0.527,0.494,NA,NA,NA,NA,2.057,NA,0.955,NA,NA,NA,NA,NA,NA,0.912,2.573,2.411,0.649,1.66,0.747,1.261,3.033,2.978,1.543,1.549,0.94,1.69,1.799,1.889,2.948,2.035,3.461,2.134,2.555,2.415,1.514,1.589,1.74,1.732,2.036,2.827,0.365,0.344,0.257,0.66,0.721,0.321,0.75,0.423,0.333,0.728,0.955,0.24,1.09,0.872
1977,Ruby,0.833,0.792,0.564,1.049,0.861,0.485,1.068,0.642,1.411,1.878,0.321,0.72,0.322,0.494,1.934,2.345,1.265,1.578,2.202,1.111,0.988,1.183,1.8,1.287,1.202,2.187,1.064,0.705,0.396,0.881,0.624,1.297,0.673,0.461,0.375,0.273,0.538,0.785,NA,NA,1.016,3.322,1.973,NA,0.801,NA,NA,NA,NA,NA,NA,0.637,1.448,1.41,0.472,1.465,0.508,0.76,2.5,2.705,1.116,1.252,0.743,1.946,1.359,1.647,1.975,1.419,1.763,1.491,1.55,1.969,0.623,0.86,1.313,1.126,1.636,1.412,0.784,0.476,0.324,1.459,0.656,0.706,1.089,0.587,0.219,0.714,0.8,0.486,1.38,0.914
1978,Ruby,1.076,0.881,0.679,1.184,1.16,0.431,0.879,0.6,1.21,2.143,0.421,0.894,0.461,0.536,1.05,1.87,0.926,1.413,1.397,0.465,0.474,0.581,1.673,0.21,0.598,1.709,0.627,0.595,0.205,0.548,0.375,1.535,0.526,0.414,0.506,0.128,0.375,0.539,NA,NA,1.87,3.561,1.366,1.345,1.085,NA,NA,NA,NA,NA,NA,1.113,1.881,0.633,0.851,0.988,0.161,0.548,1.573,1.599,0.788,0.95,0.472,1.529,1.119,1.485,1.818,0.956,2.044,1.161,1.264,1.683,0.964,0.818,1.592,1.308,1.773,1.567,0.721,0.642,0.39,0.983,0.596,0.862,1.144,0.382,0.266,0.864,0.66,0.323,0.813,0.832
1979,Ruby,1.106,0.672,0.615,0.938,1.019,0.839,0.597,1.306,1.527,1.909,0.482,1.005,0.705,0.859,2.404,2.913,2.19,2.6,2.142,1.192,1.342,1.414,1.683,1.424,1.434,1.947,1.91,0.271,0.208,0.253,0.247,1.344,0.247,0.251,0.342,0.154,0.278,0.405,0.59,NA,1.432,2.776,1.398,1.375,0.544,NA,NA,0.394,NA,NA,NA,1.476,2.254,2.091,1.273,2.11,0.449,1.046,2.127,1.602,1.152,1.936,1.472,2.412,2.514,2.456,2.061,1.249,1.803,1.03,2.485,1.845,0.928,1.091,1.847,1.704,1.975,1.528,0.788,0.915,0.906,1.347,0.879,1.087,1.615,0.839,0.377,0.968,0.911,0.532,1.22,1.169
1980,Ruby,1.458,1.439,0.66,1.717,0.651,0.8,0.876,1.623,0.921,2.195,0.56,0.493,0.971,0.757,1.147,2.252,0.949,1.642,1.164,0.592,0.832,0.71,1.589,0.821,1.162,1.203,1.282,0.788,0.353,0.61,0.497,1.298,0.473,0.55,0.571,0.273,0.604,0.643,0.631,NA,1.181,1.312,1.196,1.793,0.31,NA,NA,0.449,0.706,NA,NA,1.628,2.707,2.962,1.652,3.549,1.456,1.584,3.004,2.092,1.66,2.052,1.259,0.902,0.992,2.958,0.876,0.45,1.077,1.089,0.843,1.263,0.55,0.753,1.049,1.128,0.521,0.394,0.273,0.144,0.047,0.234,0.058,0.338,0.662,0.147,0.194,0.451,0.097,0.057,0.475,0.145
1981,Ruby,1.397,1.259,0.686,1.523,0.878,0.242,0.508,1.458,0.988,1.628,0.635,1.047,0.749,0.653,0.333,1.179,0.3,0.339,1.182,0.554,0.474,0.538,0.839,0.596,0.365,0.464,0.408,0.879,0.544,0.808,0.746,1.764,0.593,0.549,0.465,0.307,0.643,0.853,0.275,NA,1.474,0.177,0.837,0.64,0.099,NA,NA,0.437,0.997,NA,NA,0.347,0.776,1.063,0.378,2.369,0.558,0.813,1.843,1.254,0.903,0.724,0.589,0.441,0.68,1.559,1.509,0.771,1.45,0.86,0.633,1.021,1.067,0.721,1.805,1.244,1.067,0.92,0.424,0.213,0.418,0.638,0.191,0.551,0.997,0.487,0.218,0.872,0.562,0.174,0.966,0.679
1982,Ruby,0.676,1.244,1.031,1.503,1.054,0.407,0.719,1.296,1.261,2.123,0.525,1.011,0.936,0.669,0.579,2.08,0.48,1.126,0.841,0.858,0.41,0.541,1.472,0.794,0.72,1.172,1.066,0.727,0.322,0.559,0.512,1.466,0.331,0.549,0.389,0.284,0.478,0.598,0.926,NA,0.383,1.032,1.153,1.221,0.166,NA,NA,0.213,1.251,NA,NA,1.82,1.825,1.351,0.826,1.788,0.264,1.483,1.972,1.261,0.518,1.71,0.262,0.38,0.891,1.243,1.898,0.756,1.914,1.255,0.646,0.752,0.968,0.649,1.507,1.305,1.321,1.095,0.57,0.342,0.496,0.592,0.757,0.722,1.274,0.755,0.307,0.907,0.883,0.236,0.682,0.95
1983,Ruby,0.981,1.414,1.256,1.608,1.982,0.704,1.041,2.103,0.938,1.385,1.045,1.794,1.665,0.814,1.635,5.082,1.247,2.318,3.388,2.303,2.258,1.527,3.459,1.42,1.582,2.388,2.442,0.688,0.598,0.772,0.481,1.857,0.423,0.751,0.354,0.276,0.556,0.5,1.462,NA,0.21,0.228,1.723,2.15,0.786,NA,NA,0.568,1.692,NA,NA,1.699,3.44,3.445,2.764,3.868,1.163,1.338,2.309,2.321,1.15,1.621,1.154,1.628,2.138,2.132,1.511,1.638,2.34,1.63,2.145,2.094,1.998,1.709,3.033,1.813,1.6,1.497,0.937,0.593,1.175,1.565,1.091,1.472,1.773,1.065,0.524,1.466,1.235,0.752,1.17,1.236
1984,Ruby,1.756,1.751,1.23,1.005,1.429,0.685,1.559,2.567,1.523,2.808,0.523,1.053,1.077,0.632,2.965,4.437,1.646,3.124,3.604,2.384,1.792,1.693,3.732,2.717,1.699,2.709,1.548,0.332,0.34,0.458,0.322,1.626,0.405,0.759,0.564,0.171,0.661,0.588,1.47,NA,0.314,0.427,2.099,2.627,0.505,NA,NA,0.601,2.109,NA,2.405,1.196,2.293,4.824,1.793,3.857,0.968,1.702,2.81,2.182,1.272,3.936,0.851,1.963,3.512,3.181,1.794,4.151,2.992,1.348,2.948,2.903,5.414,1.608,6.355,1.643,2.123,1.973,1.123,0.912,0.57,1.95,1.236,1.1,1.621,0.983,0.309,1.882,0.928,0.793,1.506,1.923
1985,Ruby,1.787,1.699,0.772,1.237,1.312,0.833,1.34,1.888,2.677,2.931,0.481,1.42,0.93,1.085,1.767,2.397,0.831,2.215,2.3,1.509,0.774,1.362,1.926,1.396,1.129,1.984,1.137,0.407,0.319,0.378,0.182,1.317,0.344,0.47,0.458,0.132,0.498,0.516,2.07,NA,0.409,2.102,2.144,1.908,0.828,NA,NA,0.863,2.429,4.588,1.993,0.162,1.017,2.555,0.464,1.836,0.368,0.599,1.6,1.433,0.735,1.67,0.362,0.72,0.85,1.588,1.766,2.793,1.989,1.545,2.227,1.632,1.776,1.948,2.35,1.67,1.384,1.736,1.285,0.779,0.373,1.52,1.353,1.185,1.719,0.742,0.227,1.578,0.809,0.541,1.592,1.457
1986,Ruby,0.886,1.412,1.262,0.947,1.838,0.898,0.808,1.437,1.904,3.203,0.567,1.39,1.345,1.103,1.974,2.625,1.705,2.256,1.669,0.945,1.833,0.825,4.105,1.032,1.238,1.676,1.47,0.422,0.352,0.411,0.262,0.887,0.44,0.711,0.176,0.207,0.384,0.635,1.945,NA,0.597,3.044,1.338,2.994,0.548,NA,NA,1.438,3.284,4.31,2.672,0.17,0.276,1.497,0.819,0.985,0.115,0.772,1.592,1.03,0.762,0.631,0.491,0.719,0.499,2.085,1.919,2.183,2.437,0.655,1.633,1.394,1.29,1.841,2.655,1.577,1.285,1.857,0.261,0.134,0.202,1.067,0.339,0.428,0.876,0.244,0.163,0.542,0.326,0.101,0.422,0.467
1987,Ruby,1.719,2.292,0.609,0.7,1.405,0.904,1.071,1.676,1.407,2.569,0.574,1.835,1.165,1.104,1.625,1.931,1.241,1.753,1.33,0.938,0.818,1.056,2.057,1.351,1.015,1.436,1.487,0.364,0.47,0.522,0.39,1.06,0.544,0.754,0.16,0.216,0.5,0.555,3.893,NA,1.967,3.669,2.353,2.725,1.712,2.987,NA,0.954,3.253,3.897,2.315,0.373,0.662,0.952,0.4,1.342,0.21,1.422,1.76,1.305,1.091,0.654,0.344,0.824,0.566,1.427,2.324,2.323,2.623,2.086,2.496,1.931,1.908,1.931,3.241,2.495,1.497,2.012,0.867,0.413,0.266,0.961,0.803,0.87,1.218,0.673,0.169,1.229,0.55,0.593,0.77,1.447
1988,Ruby,0.247,0.3,0.136,0.212,0.239,0.17,0.186,0.3,0.31,0.51,0.154,0.385,0.228,0.413,0.874,1.511,0.277,0.721,0.529,0.168,0.462,0.384,1.125,0.553,0.575,0.537,0.3,0.593,0.665,0.841,0.518,1.115,0.386,0.508,0.229,0.322,0.659,0.671,2.499,NA,1.815,2.08,1.325,1.556,0.97,2.512,NA,1.057,2.837,2.746,2.074,0.072,0.078,0.102,0.09,0.253,0.057,0.515,1.022,0.553,0.303,0.606,0.109,0.143,0.13,0.301,0.324,0.347,0.549,0.273,0.384,0.254,0.163,0.418,0.707,0.252,0.542,0.71,0.185,0.143,0.217,0.905,0.19,0.26,0.403,0.346,0.13,0.417,0.333,0.088,0.443,0.197
1989,Ruby,0.804,0.946,0.525,0.376,0.693,0.363,0.324,0.744,1.513,1.97,0.362,0.835,0.551,0.748,1.93,2.25,0.615,1.021,0.821,0.224,0.218,0.435,1.062,1.019,0.333,0.6,0.551,0.779,0.53,0.647,0.422,1.078,0.417,0.63,0.156,0.3,0.647,0.559,2.44,NA,2.796,3.879,1.66,2.606,1.327,4.812,NA,1.443,5.092,4.949,2.706,0.726,0.325,0.05,0.266,1.239,0.136,1.415,1.82,1.143,0.997,0.222,0.349,0.314,0.311,1.167,0.286,0.62,1.057,0.211,0.38,0.974,0.571,0.745,0.923,0.732,0.718,0.978,0.53,0.124,0.243,0.957,0.335,0.424,0.678,0.469,0.095,0.861,0.545,0.306,0.729,0.717
1990,Ruby,1.367,1.595,0.86,1.05,1.023,0.708,0.853,1.236,2.125,2.704,0.69,1.424,0.963,0.952,2.486,3.298,1.259,2.809,1.313,0.908,0.735,0.907,1.958,0.973,0.882,1.139,1.092,0.756,0.592,0.641,0.495,1.165,0.339,0.834,0.286,0.279,0.716,0.694,1.316,1.897,1.374,2.913,0.821,1.535,1.172,2.869,2.292,1.391,3.215,2.555,2.419,0.073,0.174,0.213,0.1,0.43,0.093,0.179,0.747,0.373,0.458,0.123,0.086,0.131,0.118,0.267,0.41,0.559,0.805,0.247,0.444,0.499,0.605,0.34,0.766,0.274,0.794,0.88,0.263,0.084,0.347,0.602,0.303,0.288,0.48,0.32,0.1,0.357,0.421,0.171,0.377,0.137
1991,Ruby,1.784,1.285,1.004,1.321,0.989,0.823,1.086,1.277,1.866,2.629,0.86,1.516,0.943,0.995,2.167,3.104,1.108,1.648,1.341,0.61,0.809,0.899,1.836,1.25,0.835,1.227,1.167,0.627,0.605,0.635,0.491,1.071,0.366,0.695,NA,0.31,0.588,0.699,2.088,2.451,1.77,3.561,1.093,2.067,0.715,3.386,4.262,1.448,3.198,4.797,3.645,0.497,0.594,0.369,0.236,0.859,0.163,0.659,0.635,0.717,0.514,0.048,0.19,0.396,0.329,0.543,0.846,0.85,1.082,0.54,0.765,0.605,0.878,0.46,1.063,0.512,1.086,1.132,0.755,0.364,0.257,0.627,0.789,0.655,0.92,0.544,0.187,0.863,0.622,0.502,0.725,0.982
1992,Ruby,0.688,0.699,0.408,0.621,0.586,0.447,0.737,0.96,0.713,3.369,0.475,0.401,0.469,0.836,1.385,2.736,0.799,1.703,0.669,0.481,0.49,0.487,1.211,1.033,0.73,0.614,0.684,0.25,0.343,0.365,NA,0.788,0.219,0.498,NA,0.228,0.288,0.37,3.332,2.764,2.48,4.168,1.959,2.95,1.427,4.268,5.675,2.009,4.424,4.733,4.975,1.677,0.519,0.439,0.335,1.55,0.481,1.488,1.594,1.143,0.805,0.263,0.652,0.495,0.608,1.241,0.537,0.775,1.111,0.533,0.501,0.472,1.105,0.424,0.828,0.465,0.883,0.606,0.514,0.514,0.571,0.733,0.647,0.604,0.797,0.527,0.155,0.86,0.585,0.467,0.612,0.651
1993,Ruby,0.483,0.429,0.232,1.192,0.825,0.231,0.702,0.767,1.004,1.821,0.449,0.688,0.413,0.573,2.492,2.754,1.011,2.052,0.267,0.45,0.168,0.108,1.018,0.648,0.516,0.613,0.434,0.438,0.424,0.545,NA,0.855,0.252,0.535,NA,0.237,0.688,0.455,3.562,3.394,2.328,3.379,2.576,2.933,1.902,5.036,5.616,2.177,4.133,5.687,5.594,1.979,0.694,1.494,0.79,1.473,0.478,1.922,2.509,1.71,1.439,0.294,0.696,1.42,1.186,2.038,0.85,1.15,1.336,0.82,0.47,0.811,1.612,0.234,1.079,0.931,1.165,0.86,0.363,0.468,0.81,0.973,0.682,0.531,0.795,0.468,0.19,0.839,0.59,0.445,0.583,1.037
1994,Ruby,0.978,0.928,0.457,0.684,1.446,0.346,0.962,1.005,1.163,1.97,0.735,1.193,0.709,0.747,0.694,3.734,1.254,2.256,0.895,0.932,0.593,0.962,1.423,1.281,1.135,1.309,1.061,0.944,0.796,0.898,NA,1.212,0.527,0.857,NA,0.305,0.807,0.603,4.375,2.756,1.87,3.449,2.893,3.674,1.901,5.151,5.37,2.197,3.365,4.134,5.384,1.236,1.111,2.19,0.484,1.825,0.454,2.075,2.746,1.898,1.192,0.436,0.885,1.059,1.298,1.755,1.531,1.38,1.935,0.914,0.82,0.755,1.097,0.342,1.394,1.143,1.151,0.762,0.928,0.643,0.771,1.281,0.915,0.842,1.126,0.948,0.323,1.332,0.883,0.674,1.054,1
1995,Ruby,1.024,0.757,0.49,0.777,1.086,0.327,0.735,1.339,0.659,1.418,0.653,0.72,0.719,1,1.682,3.311,1.109,2.399,0.899,0.588,0.563,1.019,1.721,1.842,1.014,1.241,0.75,0.789,0.833,0.624,NA,1.079,0.408,0.555,NA,0.671,0.58,0.51,3.276,2.301,1.939,1.931,1.686,2.853,1.084,2.403,4.433,1.604,2.824,3,4.097,1.533,0.314,1.378,1.206,1.451,1.808,0.811,3.407,1.619,0.772,0.846,1.07,0.483,0.658,1.318,0.052,0.236,0.303,0.064,0.191,0.039,0.392,0.088,0.219,0.153,0.318,0.222,0.618,0.389,0.483,1.004,0.907,0.79,0.835,0.365,0.138,0.715,0.833,0.394,0.888,1.088
1996,Ruby,0.971,1.192,0.452,0.581,0.969,0.334,0.705,1.405,0.441,2.239,0.861,0.784,0.58,1.356,1.14,3.204,1.319,1.88,0.903,0.772,0.933,2.244,1.968,2.924,1.254,1.691,0.928,0.72,0.699,0.607,NA,1.202,0.387,0.783,NA,0.449,0.705,0.643,4.263,2.783,1.497,2.371,1.625,3.189,1.173,4.078,4.325,1.546,3.289,3.605,5.789,1.868,1.962,2.986,1.622,2.37,1.237,1.156,3.293,2.007,1.322,0.94,1.651,1.064,1.691,3.421,0.182,0.125,0.33,0.042,0.137,0.042,0.138,0.054,0.101,0.04,0.182,0.119,0.818,0.611,0.562,1.149,0.541,0.909,1.355,0.655,0.23,1.26,0.833,0.52,0.916,0.867
1997,Ruby,1.09,1.721,0.714,0.948,1.055,0.564,0.965,1.591,0.606,2.261,0.647,1.104,0.587,1.782,1.99,4.667,1.603,2.724,1.168,0.674,2.512,2.737,1.588,2.962,0.933,1.767,1.087,0.335,0.517,0.343,NA,0.807,0.255,0.619,NA,0.316,0.382,0.429,4.374,3.34,1.988,2.44,2.172,4.119,2.062,4.722,6.601,2.258,4.276,4.326,6.487,0.911,1.827,3.049,0.721,2.835,1.307,0.526,1.864,1.853,0.678,0.984,0.458,0.599,0.912,2.24,0.539,0.878,0.932,0.344,0.581,0.225,0.202,0.249,0.511,0.263,0.511,0.516,0.711,0.385,0.475,1.106,0.965,0.949,1.224,0.539,0.308,1.119,0.879,0.607,0.493,1.077
1998,Ruby,0.929,1.646,0.493,1.022,0.445,0.483,0.649,1.073,0.404,1.644,0.532,0.707,0.477,1.583,1.497,2.998,1.332,2.393,1.601,0.755,2.469,2.066,1.871,2.846,0.761,2.468,0.993,0.608,0.519,0.348,NA,0.734,0.301,0.606,NA,0.3,0.365,0.389,2.946,1.692,1.125,1.112,1.57,1.878,0.601,1.769,3.183,0.894,1.511,2.719,4.26,0.387,1.534,2.156,1.6,3.098,0.559,0.616,1.201,1.604,0.536,1.668,0.29,0.148,0.522,1.851,0.593,0.657,1.05,0.325,0.484,0.118,0.198,0.319,0.426,0.176,0.445,0.446,0.853,0.654,0.53,1.096,0.686,0.974,1.492,0.898,0.248,1.116,0.746,0.465,1.261,0.752
1999,Ruby,1.201,2.058,1.28,1.71,1.134,0.844,1.077,1.127,0.869,1.44,1.224,1.023,0.822,1.952,1.685,2.605,1.175,1.705,0.994,1.021,1.661,1.8,3.153,2.159,0.865,1.727,0.941,0.949,1.06,0.624,NA,0.799,0.473,0.922,NA,0.117,0.505,0.525,3.636,2.963,1.076,1.939,1.336,3.522,0.781,2.988,4.559,1.475,2.243,3.929,5.338,0.243,1.205,2.422,1.422,3.351,0.556,0.824,2.779,2.178,1.185,2.213,1.48,0.38,1.368,2.72,0.683,1.197,1.7,0.65,1,0.535,0.328,0.367,0.907,0.682,0.569,0.979,1.02,0.695,0.605,1.222,0.954,0.951,1.463,0.868,0.262,1.258,0.978,0.579,1.32,0.931
2000,Ruby,1.025,0.855,0.948,1.744,0.835,1,0.865,1.373,1.064,0.626,0.843,0.833,0.892,1.903,1.988,3.861,1.602,1.728,1.542,0.916,1.4,3.151,2.942,2.228,1.05,2.017,1.298,0.653,0.633,0.446,NA,0.756,0.287,0.665,NA,0.248,0.537,0.433,2.741,2.126,1.369,2.412,1.235,2.757,1.076,1.939,5.524,1.521,1.863,4.57,4.397,0.541,0.537,1.17,0.885,2.545,0.537,1.047,2.164,1.672,1.066,1.381,1.394,0.582,1.286,1.905,0.86,1.648,1.982,0.713,1.774,0.492,0.409,0.606,1.164,0.702,0.63,1.23,0.664,0.585,0.531,1.413,0.961,0.849,1.17,0.524,0.216,1.084,0.716,0.331,1.149,0.82
2001,Ruby,0.501,1.001,0.402,0.881,0.418,0.645,0.589,0.527,0.48,0.448,0.357,0.578,0.483,0.73,1.385,2.665,1.077,1.614,1.106,0.548,0.655,1.465,1.846,0.661,0.746,1.421,1.241,0.205,0.307,0.247,NA,0.321,0.114,0.486,NA,NA,0.122,0.244,3.597,1.97,1.142,2.344,1.269,3.193,0.689,2.978,5.656,1.515,2.405,3.883,5.023,0.82,0.326,0.401,0.821,1.467,0.279,0.349,2.165,0.747,0.617,1.21,0.763,0.479,0.748,0.601,0.572,1.73,0.566,0.464,1.688,0.685,0.241,0.281,0.817,0.291,0.691,1.312,0.4,0.187,0.362,0.469,0.613,0.734,0.587,0.481,0.174,0.432,0.536,0.289,0.557,0.482
2002,Ruby,0.426,0.763,0.399,0.945,0.414,0.609,0.762,0.652,0.388,1.349,0.327,0.608,0.336,1.087,1.794,3.175,0.496,1.411,0.808,0.587,0.495,1.016,1.747,0.709,0.667,1.303,0.675,0.303,0.207,0.249,NA,0.356,0.163,0.332,NA,NA,0.18,0.256,3.198,1.198,0.964,2.309,1.647,2.467,0.717,2.766,3.527,1.18,1.702,3.83,4.04,1.272,0.554,0.858,1.182,1.931,0.321,0.653,1.894,1.112,0.609,1.055,0.766,0.915,1.255,0.616,0.579,0.758,0.911,0.245,0.843,0.361,0.383,0.211,0.915,0.432,0.818,1.153,0.33,0.061,0.063,0.339,0.169,0.133,0.415,0.263,0.208,0.39,0.27,0.166,0.223,0.205
2003,Ruby,0.811,1.328,0.654,1.036,0.917,1.231,0.565,1.259,0.814,1.919,0.477,1.448,1.11,1.21,1.755,2.935,1.028,2.137,1.238,0.547,0.701,1.182,1.773,0.392,0.604,1.229,0.822,0.485,0.438,0.629,NA,0.478,0.25,0.586,NA,NA,0.345,0.429,3.604,1.619,1.133,1.396,1.39,1.02,0.462,2.596,4.64,1.205,1.767,5.022,4.763,1.82,0.967,0.575,0.98,0.959,0.218,0.622,1.539,0.824,0.423,0.7,0.536,1.354,1.188,0.671,0.564,1.16,1.361,0.53,1.125,0.431,0.724,0.31,0.762,0.474,0.824,0.905,0.561,0.294,0.267,0.675,0.431,0.404,0.951,0.639,0.107,0.978,0.716,0.36,0.533,0.594
2004,Ruby,0.756,0.592,0.317,0.626,0.361,0.445,0.445,1.027,0.414,1.249,0.263,1.143,0.873,0.664,2.078,3.966,0.835,2.508,1.301,0.972,0.599,2.023,2.693,0.634,0.427,1.581,1.071,0.342,0.392,0.55,NA,0.256,0.172,0.454,NA,NA,0.412,0.323,2.761,1.744,1.206,1.439,0.887,0.594,0.457,2.043,2.696,0.869,1.664,4.566,4.252,1.68,0.357,0.182,0.604,0.369,0.381,0.559,1.423,0.551,0.434,1.269,0.691,0.585,0.255,0.128,0.246,0.516,0.676,0.352,0.524,0.514,0.242,0.164,0.432,0.188,0.522,0.667,0.335,0.115,0.275,0.41,0.226,0.294,0.713,0.39,0.175,0.578,0.346,0.253,0.326,0.328
2005,Ruby,0.695,0.536,0.567,0.842,0.452,0.673,0.931,0.782,0.5,0.662,0.4,0.865,0.503,0.486,1.82,2.982,1.024,1.496,0.917,0.808,0.727,2.107,2.997,0.743,0.853,1.505,1.354,0.37,0.442,0.348,NA,0.383,0.194,0.534,NA,NA,0.545,0.511,3.631,1.745,0.841,1.4,0.69,0.628,0.506,1.721,3.105,0.836,1.2,5.214,4.613,2.225,0.725,1.112,0.845,1.271,0.665,1.385,1.563,0.825,0.768,1.726,1.249,1.259,1.086,0.937,0.936,2.132,1.803,1.743,1.083,0.728,0.887,0.511,0.359,0.763,1.296,1.141,0.512,0.521,0.499,0.468,0.558,0.696,0.956,0.646,0.158,0.734,0.612,0.534,0.769,0.682
2006,Ruby,0.936,0.806,0.558,1.069,0.808,0.9,1.467,0.924,0.879,1.046,0.607,1.085,0.909,0.621,2.031,3.033,1.242,1.753,1.133,1.095,0.842,2.148,4.087,1.058,1.132,2.187,1.428,0.343,0.2,0.312,NA,0.317,0.253,0.462,NA,NA,0.298,0.267,3.693,1.722,0.939,2.612,0.781,0.572,0.379,2.37,2.93,1.428,1.288,5.171,4.42,2.599,2.616,4.435,1.965,3.299,1.387,1.961,2.416,1.468,1.477,2.249,2.375,1.648,1.816,1.56,1.612,3.327,2.278,1.878,1.67,0.873,1.039,0.665,0.536,1.299,1.42,1.923,0.843,0.519,0.631,1.162,0.947,1.182,1.307,0.961,0.159,1.191,0.832,0.76,1.182,0.793
