Year,Mountain Range,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,CMI01,CMI02,CMI03,CMI04,CMI05,CMI06,CMI07,CMI08,CMI09,CMI10,CMI11,CMI12
1922,Jarbidge,-12.438,-8.350,-5.263,-1.288,5.900,13.300,16.163,16.825,12.675,5.900,-3.025,-4.925,172.125,122.875,81.125,115.875,61.625,45.500,23.625,38.375,0.125,20.125,52.375,109.500,17.220,12.285,8.068,10.638,1.215,-7.664,-12.361,-9.741,-12.415,-3.108,4.850,10.896
1923,Jarbidge,-3.850,-7.288,-3.325,0.713,6.325,8.788,17.200,15.313,11.625,3.650,0.850,-6.625,63.000,21.000,20.250,100.625,86.750,81.375,19.875,33.125,44.500,70.000,16.500,80.750,6.086,2.109,1.655,8.374,3.510,0.876,-13.043,-10.398,-5.324,4.131,-0.100,8.078
1924,Jarbidge,-7.675,0.225,-4.513,1.688,9.475,11.738,15.875,15.413,11.475,5.275,-1.050,-9.275,28.500,77.125,51.750,26.000,2.375,12.625,9.375,6.375,15.625,93.875,58.625,144.375,2.838,6.309,5.055,0.266,-9.575,-10.753,-13.695,-14.686,-10.220,5.515,4.898,14.456
1925,Jarbidge,-4.725,-1.213,-0.375,2.800,8.700,10.725,17.563,14.525,10.013,4.313,-0.925,-2.175,75.250,92.000,56.125,163.875,54.625,58.500,47.500,34.875,37.875,60.875,79.750,111.125,7.441,8.359,4.401,13.754,-2.116,-3.123,-9.824,-8.789,-4.823,2.329,7.019,10.516
1926,Jarbidge,-4.938,-1.188,-0.200,4.813,7.650,13.875,16.538,16.450,8.263,5.700,1.550,-6.013,54.375,78.375,35.500,69.500,30.250,19.750,37.750,12.000,2.875,7.125,122.375,51.375,5.383,6.954,2.061,2.916,-3.679,-10.929,-10.803,-12.753,-7.436,-4.329,10.474,5.116
1927,Jarbidge,-4.313,-3.250,-2.025,0.950,4.950,11.788,16.275,14.338,9.000,5.638,2.063,-7.063,55.875,157.750,56.750,64.875,100.125,32.000,10.375,16.125,22.500,64.375,103.375,52.875,5.449,15.454,5.014,4.609,6.129,-7.609,-14.299,-10.555,-4.875,1.841,8.541,5.280
1928,Jarbidge,-4.325,-3.813,0.188,0.625,9.163,10.050,16.263,15.075,12.063,5.200,-0.850,-7.538,33.750,32.625,117.000,39.125,12.375,26.000,9.625,4.250,4.125,35.125,50.125,25.875,3.219,2.991,10.393,2.216,-6.901,-6.164,-13.829,-13.389,-12.046,-0.946,4.090,2.583
1929,Jarbidge,-8.513,-7.575,-2.163,-0.075,6.175,10.400,16.775,18.038,8.625,5.088,-1.488,-1.000,129.250,35.250,79.000,77.125,16.000,50.500,5.875,24.875,18.375,21.875,23.125,43.750,12.919,3.531,7.216,6.329,-4.043,-4.479,-14.658,-12.935,-6.443,-2.855,1.156,3.336
1930,Jarbidge,-11.213,-1.038,-1.413,4.825,4.638,11.100,16.850,16.388,10.150,3.825,-3.063,-8.013,101.875,68.250,43.625,93.500,143.625,17.375,8.000,49.750,32.125,47.250,139.500,69.000,10.199,5.916,3.509,5.256,10.875,-9.116,-15.100,-7.561,-5.989,1.455,13.433,6.898
1931,Jarbidge,-5.838,-2.738,-1.313,3.175,8.113,13.063,18.400,17.038,10.513,6.163,-4.688,-7.563,23.000,16.375,64.875,36.750,18.250,18.000,8.125,12.375,19.125,33.375,60.750,69.625,2.275,1.173,5.533,0.434,-5.961,-9.738,-15.925,-14.106,-7.183,-1.705,5.976,6.979
1932,Jarbidge,-9.463,-7.538,-2.750,2.025,6.613,10.975,15.188,14.763,11.875,3.838,1.200,-10.338,70.250,80.125,79.375,65.250,113.500,79.625,38.125,10.875,4.875,14.625,34.875,74.125,7.030,8.025,7.578,4.383,6.383,-1.238,-10.056,-12.515,-11.530,-1.998,1.576,7.409
1933,Jarbidge,-8.388,-11.488,-2.050,0.600,3.063,13.338,17.675,15.800,10.863,7.588,0.375,-1.875,91.625,38.375,27.000,56.625,72.875,5.125,12.750,1.875,14.500,22.125,16.750,42.625,9.158,3.831,2.049,3.938,4.570,-11.909,-15.514,-14.980,-9.273,-5.178,-0.171,3.433
1934,Jarbidge,-1.375,0.463,2.725,5.788,10.075,10.413,16.975,17.763,10.338,6.575,1.150,-3.950,34.750,100.750,52.000,48.750,28.000,43.375,4.375,5.500,5.875,24.625,138.500,56.125,2.644,8.510,2.258,-0.563,-6.538,-5.596,-15.924,-16.506,-9.586,-3.335,12.198,5.421
1935,Jarbidge,-4.650,-3.875,-3.700,1.350,5.313,11.413,15.763,16.175,12.838,4.238,-3.250,-4.800,43.250,54.250,58.000,156.500,113.000,8.625,5.625,1.125,2.000,42.000,32.125,66.125,4.268,5.203,5.500,13.710,6.839,-9.788,-14.278,-15.271,-12.241,0.266,2.848,6.524
1936,Jarbidge,-4.825,-5.325,-2.175,3.850,8.550,12.750,17.825,16.463,9.638,6.013,-1.363,-4.238,123.875,93.500,60.250,28.875,44.375,77.125,33.750,25.125,17.375,33.750,11.125,64.000,12.319,9.300,5.341,-0.649,-3.630,-3.169,-12.466,-12.051,-7.980,-2.098,-0.064,6.233
1937,Jarbidge,-15.075,-6.563,-1.675,1.063,8.250,10.700,16.863,16.125,12.400,6.400,1.263,-2.513,60.750,109.125,48.875,39.625,34.375,45.375,34.750,2.375,4.500,30.750,109.750,101.875,6.071,10.899,4.105,2.114,-4.386,-5.310,-11.566,-16.105,-11.368,-2.624,9.380,9.686
1938,Jarbidge,-3.113,-2.888,-3.138,2.288,5.313,11.375,15.700,15.513,13.600,5.275,-3.925,-3.050,53.875,46.125,120.125,75.000,75.250,35.000,49.250,14.125,3.000,107.625,55.625,42.500,5.026,4.169,11.655,5.058,3.379,-6.456,-8.564,-12.798,-12.115,7.025,5.336,3.830
1939,Jarbidge,-4.213,-7.700,-1.013,4.300,8.213,9.763,16.563,16.913,11.375,5.475,1.563,0.013,42.875,57.125,59.375,53.500,40.250,11.875,29.250,4.125,20.625,75.625,26.375,32.750,4.120,5.720,4.864,1.339,-3.329,-8.214,-12.425,-16.123,-8.535,3.370,0.065,1.939
1940,Jarbidge,-3.513,-2.138,0.313,2.613,9.025,13.688,16.325,17.425,10.938,6.463,-2.663,-2.550,132.000,72.250,68.000,119.625,12.375,25.875,5.375,6.750,56.625,51.750,59.500,78.750,12.895,6.673,5.231,9.391,-7.483,-10.759,-15.823,-16.930,-2.584,0.126,5.440,7.324
1941,Jarbidge,-4.013,-1.463,-0.650,1.138,7.300,9.713,16.713,14.863,7.150,3.838,0.213,-2.800,61.875,74.000,16.125,103.875,103.375,68.875,14.250,56.000,33.250,61.875,72.500,72.750,5.989,6.611,0.381,8.644,4.719,-1.256,-13.213,-6.551,-2.756,3.074,5.805,6.855
1942,Jarbidge,-6.125,-7.713,-3.638,2.638,4.113,8.888,16.813,15.925,10.913,5.775,-0.688,-2.325,94.375,89.625,25.125,99.375,81.500,19.250,9.750,4.000,1.750,31.500,155.625,137.375,9.438,8.966,2.181,7.264,4.771,-6.128,-15.999,-15.031,-11.059,-1.896,14.553,13.269
1943,Jarbidge,-4.138,-2.438,-1.713,5.650,5.225,8.413,15.575,15.413,12.750,6.325,-0.250,-3.888,138.375,61.125,54.125,91.625,44.125,79.000,12.125,2.625,0.250,62.875,32.125,45.375,13.656,5.485,4.654,4.456,-0.054,0.799,-13.456,-14.608,-13.389,1.489,1.895,4.289
1944,Jarbidge,-8.163,-5.438,-4.200,0.525,6.613,8.025,14.988,14.525,10.700,7.738,-3.438,-5.500,67.625,102.125,66.125,129.000,34.125,100.750,9.750,2.125,12.125,11.875,83.875,48.875,6.756,10.174,6.380,11.330,-2.596,3.359,-13.313,-15.055,-9.405,-5.870,8.133,4.864
1945,Jarbidge,-5.000,-3.500,-3.638,-0.063,6.213,8.200,16.400,16.350,9.625,6.763,-1.825,-5.188,51.000,98.750,126.125,79.125,111.875,78.375,21.750,13.125,18.750,32.000,112.375,108.500,5.055,9.589,12.326,6.391,6.430,1.018,-13.228,-13.841,-7.414,-2.469,10.701,10.833
1946,Jarbidge,-6.038,-4.700,-0.950,4.600,5.600,11.075,16.563,16.250,9.838,1.450,-2.163,-1.538,67.625,43.125,127.125,38.875,67.875,13.625,25.500,24.375,27.750,133.875,123.000,70.125,6.748,4.190,11.698,-0.325,1.968,-9.589,-12.831,-13.151,-6.876,11.824,11.761,6.288
1947,Jarbidge,-7.638,-0.850,-0.150,1.900,8.738,9.025,16.538,15.325,11.625,6.625,-3.088,-4.550,51.000,38.375,65.750,77.625,86.750,46.375,2.875,8.625,6.500,54.125,163.250,32.375,5.111,2.768,5.203,5.388,0.808,-2.888,-15.553,-13.645,-10.686,0.298,16.003,3.128
1948,Jarbidge,-2.725,-5.425,-4.725,0.938,6.463,11.175,15.038,15.063,10.925,5.975,-3.075,-7.900,44.625,87.250,65.875,92.375,27.000,62.875,6.875,2.125,33.625,30.875,66.625,132.000,3.914,8.704,6.485,7.450,-2.994,-3.534,-13.304,-14.538,-7.143,-2.153,6.310,13.214
1949,Jarbidge,-15.600,-8.688,-2.713,4.513,7.500,10.638,15.713,15.950,11.988,2.475,3.413,-5.625,80.000,110.375,47.625,17.000,101.500,15.000,7.000,5.375,4.500,58.500,33.500,37.250,8.013,11.051,4.291,-2.799,4.245,-8.310,-14.401,-14.565,-11.261,3.366,-0.099,3.709
1950,Jarbidge,-7.725,-2.388,-2.688,1.425,4.563,9.450,15.388,15.188,10.288,7.563,1.275,0.288,129.500,26.125,98.125,62.750,44.625,23.375,16.250,7.250,24.500,39.750,93.000,115.625,12.959,1.998,9.309,4.101,0.250,-6.859,-11.741,-13.733,-6.306,-2.423,7.653,10.355
1951,Jarbidge,-6.138,-3.250,-3.663,3.313,6.425,9.400,17.013,15.113,11.450,3.300,-1.725,-7.650,100.875,91.875,55.750,46.250,48.250,4.500,13.375,27.375,0.875,69.250,62.375,140.000,10.080,8.823,5.268,1.406,-0.359,-8.775,-14.368,-10.401,-11.639,4.169,5.495,14.006
1952,Jarbidge,-7.925,-6.800,-5.938,3.588,7.300,10.225,14.988,15.838,12.313,8.713,-4.038,-2.775,122.625,66.625,124.625,33.125,50.500,50.625,28.500,6.625,7.875,2.250,17.750,52.875,12.255,6.650,12.426,0.111,-1.061,-4.220,-10.125,-13.859,-11.311,-9.328,1.508,4.891
1953,Jarbidge,0.588,-2.838,-0.800,0.713,2.738,9.300,16.900,14.925,12.675,6.188,1.913,-4.625,73.250,45.375,32.250,97.750,123.500,32.125,2.875,9.250,7.500,29.375,41.750,73.875,6.073,4.006,2.046,7.966,9.724,-5.591,-16.101,-13.430,-11.858,-2.073,2.220,7.274
1954,Jarbidge,-3.388,0.500,-3.238,3.575,8.938,10.013,16.963,14.100,10.563,4.925,1.975,-5.375,37.500,35.000,83.875,50.875,0.500,68.000,13.125,5.250,2.375,15.125,16.250,57.375,3.430,1.764,7.985,1.490,-9.056,-2.280,-14.374,-12.863,-10.803,-3.359,-0.844,5.711
1955,Jarbidge,-9.600,-7.863,-4.000,-0.150,4.913,10.875,14.938,17.200,10.600,6.275,-2.613,-3.325,70.000,62.375,42.500,77.875,71.500,32.875,30.875,7.250,25.500,23.500,45.625,180.750,6.995,6.228,4.018,6.395,2.888,-6.788,-10.036,-15.814,-7.666,-3.296,4.041,17.818
1956,Jarbidge,-2.638,-7.938,-1.713,2.450,7.363,11.250,16.238,14.300,11.813,4.225,-1.913,-3.413,156.375,37.125,28.750,59.375,106.625,25.250,12.000,2.500,8.750,99.000,16.250,86.375,15.219,3.720,2.061,3.315,4.931,-8.519,-13.985,-13.239,-11.408,6.444,0.785,8.294
1957,Jarbidge,-9.088,-1.575,-1.250,0.950,5.863,11.475,15.563,15.213,11.338,4.050,-3.863,-2.163,53.500,62.750,127.875,72.125,155.750,43.125,3.500,6.875,11.250,35.250,87.375,61.500,5.348,5.443,11.943,5.396,11.456,-5.654,-14.588,-14.356,-10.593,0.415,8.514,5.533
1958,Jarbidge,-4.238,-0.725,-4.038,0.638,10.188,11.238,14.938,17.850,11.300,6.700,-0.275,0.200,73.000,99.125,59.750,54.625,19.625,55.125,11.500,28.625,6.500,7.000,93.250,56.375,7.113,8.929,5.779,3.843,-7.838,-3.804,-12.556,-12.804,-9.933,-5.906,8.005,4.261
1959,Jarbidge,-2.650,-4.338,-1.438,3.675,4.100,13.088,17.163,14.838,8.638,5.438,0.213,-4.750,74.250,54.875,35.125,26.000,97.125,49.125,5.250,6.250,83.000,16.000,3.875,40.750,6.974,5.363,2.565,-1.134,6.261,-7.143,-15.951,-13.421,1.454,-2.641,-1.523,3.971
1960,Jarbidge,-7.550,-6.425,-0.263,2.525,5.850,12.950,17.963,14.513,12.363,5.013,-0.563,-3.888,66.125,122.750,86.500,49.875,43.125,8.875,23.000,18.625,5.000,28.500,90.750,38.875,6.604,12.275,7.355,2.194,-0.876,-11.656,-14.824,-12.123,-11.174,-1.355,8.135,3.636
1961,Jarbidge,-2.875,-1.425,-1.750,1.488,6.725,14.463,17.413,17.500,7.913,4.575,-2.063,-5.600,9.750,77.375,91.125,17.625,49.875,30.875,13.250,57.500,30.125,56.875,26.625,67.750,0.390,6.970,8.400,-0.581,-0.890,-10.006,-14.889,-8.078,-3.508,2.085,1.988,6.766
1962,Jarbidge,-7.363,-3.525,-4.400,4.375,5.113,10.788,14.513,14.563,11.688,6.488,0.513,-1.638,41.250,147.375,75.625,64.000,141.625,33.500,13.500,10.375,8.875,14.750,70.750,13.750,4.133,14.465,7.380,2.234,10.400,-6.511,-12.183,-12.545,-10.978,-4.619,5.471,0.470
1963,Jarbidge,-6.675,1.263,-2.338,-0.638,7.463,8.300,14.513,15.663,13.325,7.763,-0.550,-3.988,86.000,77.000,51.875,151.000,123.125,140.375,1.750,15.375,42.875,51.375,99.625,56.250,8.589,5.879,4.535,13.990,6.260,7.764,-13.884,-12.880,-6.889,-0.958,8.979,5.393
1964,Jarbidge,-7.375,-7.450,-5.363,0.163,5.650,8.888,16.100,14.400,9.438,7.263,-2.838,-4.263,86.125,25.625,43.875,74.500,83.750,85.375,9.250,2.375,9.625,33.250,82.625,225.125,8.600,2.533,4.314,5.885,3.534,1.611,-14.286,-13.263,-8.176,-3.759,7.796,22.364
1965,Jarbidge,-3.300,-2.950,-3.375,2.263,3.800,9.238,14.788,14.013,7.188,7.325,0.975,-5.738,85.375,29.500,27.625,129.750,93.625,57.500,22.625,69.875,17.875,7.500,88.875,72.250,8.249,2.459,2.349,10.804,5.981,-2.110,-10.208,-4.131,-4.509,-6.428,7.254,7.201
1966,Jarbidge,-6.363,-6.763,-1.513,1.738,8.588,10.500,15.950,15.963,12.363,4.750,0.338,-5.075,39.875,53.625,40.250,22.625,19.875,23.750,10.875,5.875,18.000,9.875,74.375,103.500,3.981,5.364,3.069,-0.410,-6.763,-7.819,-14.501,-13.885,-9.225,-3.578,6.133,10.285
1967,Jarbidge,-3.363,-2.488,-1.550,-1.613,6.013,9.563,16.538,17.763,13.125,5.988,0.425,-6.950,98.750,18.375,76.500,129.125,62.875,71.875,20.625,10.625,11.625,25.375,46.500,54.500,9.595,1.235,6.856,12.160,0.921,-0.186,-13.291,-15.629,-10.151,-2.985,3.134,5.431
1968,Jarbidge,-4.925,0.025,-0.200,-0.263,5.688,11.288,16.813,12.338,9.975,5.338,-1.250,-5.263,48.750,93.625,38.625,38.250,64.875,79.125,8.375,95.625,8.875,30.625,119.625,126.250,4.811,8.074,2.414,2.344,1.448,-2.258,-14.960,0.208,-8.255,-1.616,11.299,12.610
1969,Jarbidge,-3.563,-6.100,-4.338,2.813,8.675,10.375,15.763,17.188,11.950,1.888,-0.750,-3.825,81.125,94.125,42.375,39.000,19.125,99.125,22.500,3.375,14.000,67.250,22.000,116.125,7.860,9.414,4.055,0.925,-6.330,2.188,-11.889,-16.210,-9.870,4.709,1.026,11.394
1970,Jarbidge,-3.563,-0.375,-2.625,-1.900,6.213,11.275,16.088,16.838,7.950,2.375,0.050,-5.525,160.125,53.000,54.625,68.375,67.125,114.875,35.250,17.875,26.750,53.375,144.500,81.000,15.764,4.065,4.888,6.073,1.501,2.058,-10.414,-14.205,-4.835,2.686,13.478,8.079
1971,Jarbidge,-3.025,-2.925,-3.088,0.938,5.538,9.963,15.913,17.500,7.575,2.975,-2.013,-7.888,97.500,62.500,77.500,99.875,108.500,61.750,6.750,13.625,26.250,47.125,104.125,102.625,9.415,5.805,7.318,8.190,6.706,-2.311,-13.221,-14.261,-4.406,2.054,9.806,10.266
1972,Jarbidge,-6.613,-2.788,1.388,0.838,7.325,12.325,15.463,15.925,8.100,4.225,-2.563,-7.775,75.000,70.125,55.625,40.250,30.375,48.875,2.125,10.375,34.625,109.875,62.375,86.625,7.496,6.548,3.548,2.169,-3.815,-5.266,-14.078,-12.870,-3.090,7.929,5.835,8.660
1973,Jarbidge,-6.675,-3.475,-2.900,0.388,7.875,11.600,16.100,15.913,9.538,5.100,-1.175,-2.775,72.625,27.875,45.125,41.875,49.625,42.875,33.000,19.000,35.375,23.125,123.875,103.875,7.256,2.454,4.091,2.650,-2.204,-6.301,-11.028,-11.993,-5.358,-2.115,11.700,10.008
1974,Jarbidge,-6.113,-3.750,-0.913,1.275,5.763,13.763,15.475,14.913,11.763,5.875,-0.050,-4.750,83.250,41.125,100.250,48.625,2.625,3.250,16.750,10.000,2.500,65.625,30.500,94.750,8.306,3.850,9.068,2.838,-4.990,-13.325,-12.325,-13.043,-11.696,1.993,1.851,9.376
1975,Jarbidge,-6.200,-4.775,-2.850,-2.325,4.113,9.638,17.125,13.788,11.350,4.963,-2.175,-1.638,69.375,72.750,93.750,109.250,41.625,48.875,29.750,10.500,16.750,122.500,62.000,35.625,6.944,7.200,8.981,10.409,0.474,-3.449,-11.373,-10.811,-9.204,8.759,5.639,2.849
1976,Jarbidge,-4.050,-2.863,-4.063,0.975,8.238,9.850,16.288,13.063,11.325,4.950,1.150,-3.025,42.625,81.000,43.375,53.250,39.500,22.875,29.875,45.125,61.375,34.875,14.625,6.125,4.061,7.626,4.068,3.449,-3.459,-7.113,-11.254,-6.214,-2.920,-0.784,-0.698,0.049
1977,Jarbidge,-6.213,-2.488,-3.888,3.938,3.425,13.550,15.713,16.163,10.675,6.738,-0.475,-1.475,26.000,47.625,52.625,24.000,80.875,40.250,36.750,34.250,18.375,4.375,83.375,112.875,2.599,4.058,5.011,-1.743,5.339,-7.148,-9.961,-9.281,-7.623,-5.428,7.206,10.614
1978,Jarbidge,-2.875,-2.813,1.688,1.563,4.513,10.463,15.563,14.663,9.063,6.688,-2.288,-7.363,74.750,88.750,58.625,139.500,35.750,6.250,26.750,6.000,84.875,4.250,53.375,45.500,7.098,8.451,3.893,12.024,-0.140,-9.344,-11.371,-12.879,1.138,-5.908,4.728,4.539
1979,Jarbidge,-9.388,-3.638,-1.313,1.363,7.163,11.813,16.138,15.075,13.313,7.025,-3.350,-2.538,95.125,86.375,67.500,58.250,65.625,23.750,25.875,29.000,9.500,90.000,76.125,19.750,9.531,8.390,5.858,3.794,0.441,-8.779,-11.793,-9.481,-11.804,3.584,7.253,1.411
1980,Jarbidge,-4.950,-0.663,-3.013,3.175,5.775,9.963,16.125,14.075,11.100,5.650,-0.238,-0.775,143.000,77.125,53.750,50.875,140.875,45.625,10.750,9.875,44.500,29.875,49.875,49.625,14.229,6.713,4.964,1.986,10.128,-4.191,-12.975,-12.139,-5.129,-1.868,3.689,3.824
1981,Jarbidge,-1.338,-2.288,-1.075,3.288,5.525,11.975,15.875,17.500,12.175,3.238,1.175,-1.650,43.375,33.625,74.250,84.000,97.000,14.000,5.375,5.000,16.375,50.250,119.875,182.750,3.431,2.630,6.405,5.268,5.456,-9.366,-14.856,-16.060,-9.285,2.304,10.438,17.626
1982,Jarbidge,-6.600,-5.275,-2.200,-0.463,5.113,10.238,14.525,16.525,9.838,3.375,-3.163,-5.000,85.250,76.250,119.375,68.500,69.125,47.000,48.750,13.250,81.250,79.000,85.500,63.125,8.513,7.550,11.374,5.524,2.928,-4.223,-6.724,-12.921,1.075,5.338,8.210,6.263
1983,Jarbidge,-2.350,-2.725,-0.850,-1.113,5.450,9.688,13.975,16.388,10.938,6.175,-0.875,-6.050,69.125,101.250,120.875,77.000,62.000,41.875,11.375,56.625,39.000,48.375,152.000,239.375,6.410,9.663,11.259,6.811,1.985,-3.948,-11.181,-6.064,-4.953,0.173,14.468,23.920
1984,Jarbidge,-7.538,-6.575,-2.325,-0.138,6.775,9.313,16.388,16.713,10.425,3.000,-1.688,-8.000,40.375,77.000,88.625,103.750,58.625,105.000,56.625,35.375,11.375,77.000,128.250,49.375,4.036,7.716,8.315,9.144,0.704,3.053,-7.694,-9.431,-8.345,5.168,12.201,4.925
1985,Jarbidge,-7.588,-6.825,-4.213,3.950,7.350,12.163,17.738,14.463,7.188,3.913,-5.500,-6.950,27.125,59.375,72.000,37.250,62.875,11.500,28.375,5.500,55.625,46.250,123.000,63.375,2.704,5.961,6.994,0.091,0.024,-9.750,-12.396,-12.576,0.061,1.443,12.274,6.338
1986,Jarbidge,-1.800,-1.175,2.350,1.863,6.475,13.900,14.188,17.588,7.063,5.250,-0.975,-4.000,52.000,213.875,69.125,92.125,56.875,28.125,15.500,9.375,47.500,19.750,40.500,11.125,4.554,20.598,4.645,7.138,0.255,-9.674,-10.144,-13.759,-0.480,-1.981,3.125,0.899
1987,Jarbidge,-6.688,-3.400,-1.588,5.875,8.013,12.700,14.138,15.138,12.675,8.063,-0.575,-5.838,60.375,63.875,78.000,22.750,118.750,24.625,26.625,10.500,2.875,23.375,83.750,78.125,6.036,6.064,7.071,-3.001,5.945,-8.115,-9.029,-12.556,-11.479,-4.389,7.464,7.815
1988,Jarbidge,-6.200,-2.488,-1.588,3.750,6.225,13.700,17.525,16.025,10.075,9.238,-2.188,-5.100,75.375,28.125,66.875,57.250,77.500,17.125,8.000,4.500,9.875,3.000,192.250,80.125,7.543,2.230,5.856,2.341,2.716,-9.724,-14.363,-13.921,-8.340,-8.056,18.851,7.969
1989,Jarbidge,-7.413,-6.113,-0.525,4.263,6.013,11.088,17.650,14.500,10.713,4.413,-0.738,-3.188,69.750,74.875,169.125,38.875,29.875,11.500,9.125,17.250,31.000,54.750,60.250,16.375,6.969,7.489,16.111,0.425,-1.778,-8.566,-14.823,-10.315,-6.336,2.180,5.016,1.271
1990,Jarbidge,-4.813,-6.175,-0.413,4.763,4.750,11.488,16.238,15.188,13.825,4.950,-1.200,-10.350,108.250,66.250,51.875,84.625,102.125,38.625,7.500,31.750,5.750,19.375,48.250,58.500,10.768,6.608,4.036,4.615,6.534,-5.906,-12.961,-9.046,-10.945,-2.236,3.969,5.844
1991,Jarbidge,-5.750,0.438,-2.375,0.050,3.613,9.288,16.738,16.975,11.688,5.738,-1.775,-3.600,54.750,37.000,76.875,116.500,93.875,24.625,11.500,14.875,35.125,52.375,98.875,24.250,5.471,2.221,7.140,10.351,6.583,-5.791,-13.305,-12.488,-6.144,0.726,9.299,2.145
1992,Jarbidge,-3.725,-0.475,1.700,5.063,10.275,11.988,14.713,16.575,11.200,6.800,-3.775,-7.675,16.500,51.125,35.500,54.000,9.875,52.125,7.375,23.000,15.625,29.625,102.500,129.875,1.395,4.039,1.525,1.154,-8.300,-4.585,-11.934,-11.691,-8.175,-2.255,10.035,13.000
