"","years","Tag","Ring_width(mm)"
"76",1947,"2847086010690-2847101010690",2.42
"77",1948,"2847086010690-2847101010690",1.57
"78",1949,"2847086010690-2847101010690",0.98
"79",1950,"2847086010690-2847101010690",0.53
"80",1951,"2847086010690-2847101010690",0.48
"81",1952,"2847086010690-2847101010690",0.92
"82",1953,"2847086010690-2847101010690",0.58
"83",1954,"2847086010690-2847101010690",0.68
"84",1955,"2847086010690-2847101010690",0.7
"85",1956,"2847086010690-2847101010690",0.42
"86",1957,"2847086010690-2847101010690",0.57
"87",1958,"2847086010690-2847101010690",0.46
"88",1959,"2847086010690-2847101010690",0.25
"89",1960,"2847086010690-2847101010690",0.38
"90",1961,"2847086010690-2847101010690",0.36
"91",1962,"2847086010690-2847101010690",0.61
"92",1963,"2847086010690-2847101010690",0.44
"93",1964,"2847086010690-2847101010690",0.73
"94",1965,"2847086010690-2847101010690",0.7
"95",1966,"2847086010690-2847101010690",0.69
"96",1967,"2847086010690-2847101010690",0.71
"97",1968,"2847086010690-2847101010690",0.74
"98",1969,"2847086010690-2847101010690",1.12
"99",1970,"2847086010690-2847101010690",0.83
"100",1971,"2847086010690-2847101010690",1.16
"101",1972,"2847086010690-2847101010690",0.91
"102",1973,"2847086010690-2847101010690",0.66
"103",1974,"2847086010690-2847101010690",0.51
"104",1975,"2847086010690-2847101010690",0.89
"105",1976,"2847086010690-2847101010690",0.67
"106",1977,"2847086010690-2847101010690",0.45
"107",1978,"2847086010690-2847101010690",0.73
"108",1979,"2847086010690-2847101010690",0.57
"109",1980,"2847086010690-2847101010690",0.48
"110",1981,"2847086010690-2847101010690",0.56
"111",1982,"2847086010690-2847101010690",0.46
"112",1983,"2847086010690-2847101010690",0.63
"113",1984,"2847086010690-2847101010690",0.72
"114",1985,"2847086010690-2847101010690",0.62
"115",1986,"2847086010690-2847101010690",0.65
"116",1987,"2847086010690-2847101010690",0.38
"117",1988,"2847086010690-2847101010690",0.46
"118",1989,"2847086010690-2847101010690",0.48
"119",1990,"2847086010690-2847101010690",0.19
"120",1991,"2847086010690-2847101010690",0.22
"121",1992,"2847086010690-2847101010690",0.25
"122",1993,"2847086010690-2847101010690",0.18
"123",1942,"2848061010690-2848075010690",0.91
"124",1943,"2848061010690-2848075010690",0.93
"125",1944,"2848061010690-2848075010690",0.73
"126",1945,"2848061010690-2848075010690",0.77
"127",1946,"2848061010690-2848075010690",0.97
"128",1947,"2848061010690-2848075010690",0.57
"129",1948,"2848061010690-2848075010690",0.8
"130",1949,"2848061010690-2848075010690",0.67
"131",1950,"2848061010690-2848075010690",0.66
"132",1951,"2848061010690-2848075010690",0.57
"133",1952,"2848061010690-2848075010690",0.58
"134",1953,"2848061010690-2848075010690",0.73
"135",1954,"2848061010690-2848075010690",0.56
"136",1955,"2848061010690-2848075010690",0.68
"137",1956,"2848061010690-2848075010690",0.74
"138",1957,"2848061010690-2848075010690",0.34
"139",1958,"2848061010690-2848075010690",0.32
"140",1959,"2848061010690-2848075010690",0.44
"141",1960,"2848061010690-2848075010690",0.64
"142",1961,"2848061010690-2848075010690",0.58
"143",1962,"2848061010690-2848075010690",0.53
"144",1963,"2848061010690-2848075010690",0.79
"145",1964,"2848061010690-2848075010690",0.51
"146",1965,"2848061010690-2848075010690",0.58
"147",1966,"2848061010690-2848075010690",0.91
"148",1967,"2848061010690-2848075010690",0.85
"149",1968,"2848061010690-2848075010690",0.92
"150",1969,"2848061010690-2848075010690",0.69
"151",1970,"2848061010690-2848075010690",1.45
"152",1971,"2848061010690-2848075010690",1.36
"153",1972,"2848061010690-2848075010690",1.42
"154",1973,"2848061010690-2848075010690",1.3
"155",1974,"2848061010690-2848075010690",1.58
"156",1975,"2848061010690-2848075010690",1.36
"157",1976,"2848061010690-2848075010690",1.39
"158",1977,"2848061010690-2848075010690",0.76
"159",1978,"2848061010690-2848075010690",0.4
"160",1979,"2848061010690-2848075010690",0.87
"161",1980,"2848061010690-2848075010690",1.22
"162",1981,"2848061010690-2848075010690",0.9
"163",1982,"2848061010690-2848075010690",0.98
"164",1983,"2848061010690-2848075010690",1.04
"165",1984,"2848061010690-2848075010690",1.34
"166",1985,"2848061010690-2848075010690",1.37
"167",1986,"2848061010690-2848075010690",1.2
"168",1987,"2848061010690-2848075010690",1.3
"169",1988,"2848061010690-2848075010690",1.43
"170",1989,"2848061010690-2848075010690",1.44
"171",1990,"2848061010690-2848075010690",0.85
"172",1991,"2848061010690-2848075010690",1.05
"173",1992,"2848061010690-2848075010690",0.84
"174",1993,"2848061010690-2848075010690",1.09
"175",1994,"2848061010690-2848075010690",0.9
"176",1995,"2848061010690-2848075010690",0.51
"177",1925,"2848442010690-2848472010690",1.13
"178",1926,"2848442010690-2848472010690",1.5
"179",1927,"2848442010690-2848472010690",1.37
"180",1928,"2848442010690-2848472010690",1.09
"181",1929,"2848442010690-2848472010690",1.5
"182",1930,"2848442010690-2848472010690",1.62
"183",1931,"2848442010690-2848472010690",1.44
"184",1932,"2848442010690-2848472010690",0.98
"185",1933,"2848442010690-2848472010690",1.56
"186",1934,"2848442010690-2848472010690",1.6
"187",1935,"2848442010690-2848472010690",1.36
"188",1936,"2848442010690-2848472010690",1.55
"189",1937,"2848442010690-2848472010690",2.33
"190",1938,"2848442010690-2848472010690",1.8
"191",1939,"2848442010690-2848472010690",1.72
"192",1940,"2848442010690-2848472010690",1.06
"193",1941,"2848442010690-2848472010690",0.55
"194",1942,"2848442010690-2848472010690",1.18
"195",1943,"2848442010690-2848472010690",0.86
"196",1944,"2848442010690-2848472010690",0.42
"197",1945,"2848442010690-2848472010690",0.53
"198",1946,"2848442010690-2848472010690",0.7
"199",1947,"2848442010690-2848472010690",0.56
"200",1948,"2848442010690-2848472010690",0.71
"201",1949,"2848442010690-2848472010690",0.84
"202",1950,"2848442010690-2848472010690",0.86
"203",1951,"2848442010690-2848472010690",0.89
"204",1952,"2848442010690-2848472010690",0.82
"205",1953,"2848442010690-2848472010690",1.3
"206",1954,"2848442010690-2848472010690",0.99
"207",1955,"2848442010690-2848472010690",1.53
"208",1956,"2848442010690-2848472010690",1.5
"209",1957,"2848442010690-2848472010690",1.78
"210",1958,"2848442010690-2848472010690",1.4
"211",1959,"2848442010690-2848472010690",1.83
"212",1960,"2848442010690-2848472010690",1
"213",1961,"2848442010690-2848472010690",0.75
"214",1962,"2848442010690-2848472010690",0.88
"215",1963,"2848442010690-2848472010690",0.63
"216",1964,"2848442010690-2848472010690",0.91
"217",1965,"2848442010690-2848472010690",0.92
"218",1966,"2848442010690-2848472010690",0.99
"219",1967,"2848442010690-2848472010690",1.33
"220",1968,"2848442010690-2848472010690",1.29
"221",1969,"2848442010690-2848472010690",1.9
"222",1970,"2848442010690-2848472010690",1.23
"223",1971,"2848442010690-2848472010690",1.26
"224",1972,"2848442010690-2848472010690",1.03
"225",1973,"2848442010690-2848472010690",1.18
"226",1974,"2848442010690-2848472010690",1.08
"227",1975,"2848442010690-2848472010690",1
"228",1976,"2848442010690-2848472010690",0.95
"229",1977,"2848442010690-2848472010690",0.56
"230",1978,"2848442010690-2848472010690",1.05
"231",1979,"2848442010690-2848472010690",1.18
"232",1980,"2848442010690-2848472010690",1.48
"233",1981,"2848442010690-2848472010690",1.87
"234",1982,"2848442010690-2848472010690",1.74
"235",1983,"2848442010690-2848472010690",1.69
"236",1984,"2848442010690-2848472010690",2.03
"237",1985,"2848442010690-2848472010690",1.63
"238",1986,"2848442010690-2848472010690",0.96
"239",1987,"2848442010690-2848472010690",1
"240",1988,"2848442010690-2848472010690",1.13
"241",1989,"2848442010690-2848472010690",0.6
"242",1990,"2848442010690-2848472010690",0.7
"243",1991,"2848442010690-2848472010690",0.83
"244",1992,"2848442010690-2848472010690",0.76
"245",1993,"2848442010690-2848472010690",0.86
"246",1994,"2848442010690-2848472010690",0.59
"247",1942,"2848805010690-2848828010690",1.84
"248",1943,"2848805010690-2848828010690",1.68
"249",1944,"2848805010690-2848828010690",1.44
"250",1945,"2848805010690-2848828010690",1.41
"251",1946,"2848805010690-2848828010690",1.94
"252",1947,"2848805010690-2848828010690",1.42
"253",1948,"2848805010690-2848828010690",1.42
"254",1949,"2848805010690-2848828010690",0.96
"255",1950,"2848805010690-2848828010690",0.76
"256",1951,"2848805010690-2848828010690",0.95
"257",1952,"2848805010690-2848828010690",1.04
"258",1953,"2848805010690-2848828010690",0.72
"259",1954,"2848805010690-2848828010690",0.86
"260",1955,"2848805010690-2848828010690",0.78
"261",1956,"2848805010690-2848828010690",1.03
"262",1957,"2848805010690-2848828010690",1.32
"263",1958,"2848805010690-2848828010690",1.02
"264",1959,"2848805010690-2848828010690",1.21
"265",1960,"2848805010690-2848828010690",0.97
"266",1961,"2848805010690-2848828010690",0.81
"267",1962,"2848805010690-2848828010690",1.29
"268",1963,"2848805010690-2848828010690",1.37
"269",1964,"2848805010690-2848828010690",0.56
"270",1965,"2848805010690-2848828010690",0.75
"271",1966,"2848805010690-2848828010690",0.95
"272",1967,"2848805010690-2848828010690",1.16
"273",1968,"2848805010690-2848828010690",0.79
"274",1969,"2848805010690-2848828010690",1.4
"275",1970,"2848805010690-2848828010690",1.79
"276",1971,"2848805010690-2848828010690",1.28
"277",1972,"2848805010690-2848828010690",1.08
"278",1973,"2848805010690-2848828010690",1.63
"279",1974,"2848805010690-2848828010690",1.58
"280",1975,"2848805010690-2848828010690",1.3
"281",1976,"2848805010690-2848828010690",1.22
"282",1977,"2848805010690-2848828010690",0.74
"283",1978,"2848805010690-2848828010690",1.56
"284",1979,"2848805010690-2848828010690",1.24
"285",1980,"2848805010690-2848828010690",1.07
"286",1981,"2848805010690-2848828010690",1.05
"287",1982,"2848805010690-2848828010690",1.18
"288",1983,"2848805010690-2848828010690",1.36
"289",1984,"2848805010690-2848828010690",0.98
"290",1985,"2848805010690-2848828010690",1.08
"291",1986,"2848805010690-2848828010690",1.35
"292",1987,"2848805010690-2848828010690",0.98
"293",1988,"2848805010690-2848828010690",1.52
"294",1989,"2848805010690-2848828010690",1.72
"295",1990,"2848805010690-2848828010690",1.22
"296",1991,"2848805010690-2848828010690",1.14
"297",1992,"2848805010690-2848828010690",1.3
"298",1993,"2848805010690-2848828010690",0.97
"299",1925,"2848844010690-2848863010690",1.51
"300",1926,"2848844010690-2848863010690",3.56
"301",1927,"2848844010690-2848863010690",4.91
"302",1928,"2848844010690-2848863010690",5.32
"303",1929,"2848844010690-2848863010690",5.38
"304",1930,"2848844010690-2848863010690",4.83
"305",1931,"2848844010690-2848863010690",4.44
"306",1932,"2848844010690-2848863010690",4.65
"307",1933,"2848844010690-2848863010690",5.23
"308",1934,"2848844010690-2848863010690",3.11
"309",1935,"2848844010690-2848863010690",3.93
"310",1936,"2848844010690-2848863010690",3.64
"311",1937,"2848844010690-2848863010690",4.83
"312",1938,"2848844010690-2848863010690",4.3
"313",1939,"2848844010690-2848863010690",5.04
"314",1940,"2848844010690-2848863010690",4.73
"315",1941,"2848844010690-2848863010690",4.32
"316",1942,"2848844010690-2848863010690",4.46
"317",1943,"2848844010690-2848863010690",3.73
"318",1944,"2848844010690-2848863010690",3.62
"319",1945,"2848844010690-2848863010690",3.7
"320",1946,"2848844010690-2848863010690",2.8
"321",1947,"2848844010690-2848863010690",3.7
"322",1948,"2848844010690-2848863010690",3.17
"323",1949,"2848844010690-2848863010690",2.72
"324",1950,"2848844010690-2848863010690",3.15
"325",1951,"2848844010690-2848863010690",1.89
"326",1952,"2848844010690-2848863010690",2.36
"327",1953,"2848844010690-2848863010690",2.83
"328",1954,"2848844010690-2848863010690",2.43
"329",1955,"2848844010690-2848863010690",2.19
"330",1956,"2848844010690-2848863010690",1.19
"331",1957,"2848844010690-2848863010690",1.55
"332",1958,"2848844010690-2848863010690",2.38
"333",1959,"2848844010690-2848863010690",1.91
"334",1960,"2848844010690-2848863010690",1.98
"335",1961,"2848844010690-2848863010690",3.1
"336",1962,"2848844010690-2848863010690",2.2
"337",1963,"2848844010690-2848863010690",2.48
"338",1964,"2848844010690-2848863010690",3.44
"339",1965,"2848844010690-2848863010690",2.91
"340",1966,"2848844010690-2848863010690",1.95
"341",1967,"2848844010690-2848863010690",2.87
"342",1968,"2848844010690-2848863010690",1.92
"343",1969,"2848844010690-2848863010690",2.99
"344",1970,"2848844010690-2848863010690",2.41
"345",1971,"2848844010690-2848863010690",1.33
"346",1972,"2848844010690-2848863010690",1.93
"347",1973,"2848844010690-2848863010690",1.22
"348",1974,"2848844010690-2848863010690",1.77
"349",1975,"2848844010690-2848863010690",1.47
"350",1976,"2848844010690-2848863010690",1.81
"351",1977,"2848844010690-2848863010690",2.13
"352",1978,"2848844010690-2848863010690",3.02
"353",1979,"2848844010690-2848863010690",2.82
"354",1980,"2848844010690-2848863010690",2.45
"355",1981,"2848844010690-2848863010690",3.11
"356",1982,"2848844010690-2848863010690",2.29
"357",1983,"2848844010690-2848863010690",2.21
"358",1984,"2848844010690-2848863010690",1.63
"359",1985,"2848844010690-2848863010690",1.71
"360",1986,"2848844010690-2848863010690",1.93
"361",1987,"2848844010690-2848863010690",1.39
"362",1988,"2848844010690-2848863010690",1.82
"363",1989,"2848844010690-2848863010690",1.3
"364",1990,"2848844010690-2848863010690",1.19
"365",1886,"2849054010690-2849073010690",0.68
"366",1887,"2849054010690-2849073010690",0.54
"367",1888,"2849054010690-2849073010690",0.16
"368",1889,"2849054010690-2849073010690",0.19
"369",1890,"2849054010690-2849073010690",0.46
"370",1891,"2849054010690-2849073010690",0.85
"371",1892,"2849054010690-2849073010690",0.96
"372",1893,"2849054010690-2849073010690",0.61
"373",1894,"2849054010690-2849073010690",0.5
"374",1895,"2849054010690-2849073010690",0.72
"375",1896,"2849054010690-2849073010690",0.54
"376",1897,"2849054010690-2849073010690",0.93
"377",1898,"2849054010690-2849073010690",1.06
"378",1899,"2849054010690-2849073010690",0.51
"379",1900,"2849054010690-2849073010690",0.29
"380",1901,"2849054010690-2849073010690",0.64
"381",1902,"2849054010690-2849073010690",0.3
"382",1903,"2849054010690-2849073010690",0.68
"383",1904,"2849054010690-2849073010690",0.66
"384",1905,"2849054010690-2849073010690",0.75
"385",1906,"2849054010690-2849073010690",1.04
"386",1907,"2849054010690-2849073010690",1.61
"387",1908,"2849054010690-2849073010690",1.83
"388",1909,"2849054010690-2849073010690",1.35
"389",1910,"2849054010690-2849073010690",1.2
"390",1911,"2849054010690-2849073010690",1.4
"391",1912,"2849054010690-2849073010690",1.12
"392",1913,"2849054010690-2849073010690",1.26
"393",1914,"2849054010690-2849073010690",1.37
"394",1915,"2849054010690-2849073010690",1.76
"395",1916,"2849054010690-2849073010690",1.83
"396",1917,"2849054010690-2849073010690",1.08
"397",1918,"2849054010690-2849073010690",1.19
"398",1919,"2849054010690-2849073010690",1
"399",1920,"2849054010690-2849073010690",1.71
"400",1921,"2849054010690-2849073010690",1.53
"401",1922,"2849054010690-2849073010690",1.94
"402",1923,"2849054010690-2849073010690",1.67
"403",1924,"2849054010690-2849073010690",1.17
"404",1925,"2849054010690-2849073010690",1.13
"405",1926,"2849054010690-2849073010690",1.26
"406",1927,"2849054010690-2849073010690",0.83
"407",1928,"2849054010690-2849073010690",1.1
"408",1929,"2849054010690-2849073010690",1.06
"409",1930,"2849054010690-2849073010690",1.19
"410",1931,"2849054010690-2849073010690",0.79
"411",1932,"2849054010690-2849073010690",1.07
"412",1933,"2849054010690-2849073010690",0.89
"413",1934,"2849054010690-2849073010690",0.26
"414",1935,"2849054010690-2849073010690",0.63
"415",1936,"2849054010690-2849073010690",0.46
"416",1937,"2849054010690-2849073010690",0.77
"417",1938,"2849054010690-2849073010690",0.92
"418",1939,"2849054010690-2849073010690",0.52
"419",1940,"2849054010690-2849073010690",0.37
"420",1941,"2849054010690-2849073010690",0.61
"421",1942,"2849054010690-2849073010690",0.71
"422",1943,"2849054010690-2849073010690",0.3
"423",1944,"2849054010690-2849073010690",0.58
"424",1945,"2849054010690-2849073010690",0.61
"425",1946,"2849054010690-2849073010690",0.09
"426",1947,"2849054010690-2849073010690",0.56
"427",1948,"2849054010690-2849073010690",0.32
"428",1949,"2849054010690-2849073010690",0.54
"429",1950,"2849054010690-2849073010690",0.48
"430",1951,"2849054010690-2849073010690",0.28
"431",1952,"2849054010690-2849073010690",1.03
"432",1953,"2849054010690-2849073010690",0.16
"433",1954,"2849054010690-2849073010690",0.56
"434",1955,"2849054010690-2849073010690",0.51
"435",1956,"2849054010690-2849073010690",0
"436",1957,"2849054010690-2849073010690",0.25
"437",1958,"2849054010690-2849073010690",0.51
"438",1959,"2849054010690-2849073010690",0.89
"439",1960,"2849054010690-2849073010690",0.2
"440",1961,"2849054010690-2849073010690",0.58
"441",1962,"2849054010690-2849073010690",0.26
"442",1963,"2849054010690-2849073010690",0.6
"443",1964,"2849054010690-2849073010690",0.42
"444",1965,"2849054010690-2849073010690",0.47
"445",1966,"2849054010690-2849073010690",0.51
"446",1967,"2849054010690-2849073010690",0.57
"447",1968,"2849054010690-2849073010690",0.37
"448",1969,"2849054010690-2849073010690",0.89
"449",1970,"2849054010690-2849073010690",0.23
"450",1971,"2849054010690-2849073010690",0.43
"451",1972,"2849054010690-2849073010690",0.45
"452",1973,"2849054010690-2849073010690",1.01
"453",1974,"2849054010690-2849073010690",0.28
"454",1975,"2849054010690-2849073010690",0.48
"455",1976,"2849054010690-2849073010690",0.36
"456",1977,"2849054010690-2849073010690",0.18
"457",1978,"2849054010690-2849073010690",0.66
"458",1979,"2849054010690-2849073010690",0.54
"459",1980,"2849054010690-2849073010690",0.37
"460",1981,"2849054010690-2849073010690",0.44
"461",1982,"2849054010690-2849073010690",0.24
"462",1983,"2849054010690-2849073010690",0.51
"463",1984,"2849054010690-2849073010690",0.2
"464",1985,"2849054010690-2849073010690",0.33
"465",1986,"2849054010690-2849073010690",0.31
"466",1987,"2849054010690-2849073010690",0.28
"467",1988,"2849054010690-2849073010690",0.38
"468",1989,"2849054010690-2849073010690",0.09
"469",1990,"2849054010690-2849073010690",0.08
"470",1991,"2849054010690-2849073010690",0.12
"471",1992,"2849054010690-2849073010690",0.44
"472",1993,"2849054010690-2849073010690",0.39
"473",1940,"2849106010690-2849123010690",0.9
"474",1941,"2849106010690-2849123010690",0.79
"475",1942,"2849106010690-2849123010690",1.13
"476",1943,"2849106010690-2849123010690",1.18
"477",1944,"2849106010690-2849123010690",1.04
"478",1945,"2849106010690-2849123010690",1
"479",1946,"2849106010690-2849123010690",1.26
"480",1947,"2849106010690-2849123010690",1.08
"481",1948,"2849106010690-2849123010690",1.66
"482",1949,"2849106010690-2849123010690",1.23
"483",1950,"2849106010690-2849123010690",0.69
"484",1951,"2849106010690-2849123010690",0.75
"485",1952,"2849106010690-2849123010690",0.9
"486",1953,"2849106010690-2849123010690",1.32
"487",1954,"2849106010690-2849123010690",1
"488",1955,"2849106010690-2849123010690",0.97
"489",1956,"2849106010690-2849123010690",0.76
"490",1957,"2849106010690-2849123010690",0.88
"491",1958,"2849106010690-2849123010690",1.2
"492",1959,"2849106010690-2849123010690",0.31
"493",1960,"2849106010690-2849123010690",0.34
"494",1961,"2849106010690-2849123010690",0.17
"495",1962,"2849106010690-2849123010690",0.44
"496",1963,"2849106010690-2849123010690",0.9
"497",1964,"2849106010690-2849123010690",0.17
"498",1965,"2849106010690-2849123010690",0.3
"499",1966,"2849106010690-2849123010690",0.36
"500",1967,"2849106010690-2849123010690",0.74
"501",1968,"2849106010690-2849123010690",0.72
"502",1969,"2849106010690-2849123010690",0.98
"503",1970,"2849106010690-2849123010690",0.64
"504",1971,"2849106010690-2849123010690",0.8
"505",1972,"2849106010690-2849123010690",0.73
"506",1973,"2849106010690-2849123010690",0.9
"507",1974,"2849106010690-2849123010690",0.49
"508",1975,"2849106010690-2849123010690",0.88
"509",1976,"2849106010690-2849123010690",0.63
"510",1977,"2849106010690-2849123010690",0.63
"511",1978,"2849106010690-2849123010690",0.89
"512",1979,"2849106010690-2849123010690",0.77
"513",1980,"2849106010690-2849123010690",0.99
"514",1981,"2849106010690-2849123010690",1.37
"515",1982,"2849106010690-2849123010690",1.24
"516",1983,"2849106010690-2849123010690",1.33
"517",1984,"2849106010690-2849123010690",1.36
"518",1985,"2849106010690-2849123010690",1.12
"519",1986,"2849106010690-2849123010690",1.28
"520",1987,"2849106010690-2849123010690",1.01
"521",1988,"2849106010690-2849123010690",1.16
"522",1989,"2849106010690-2849123010690",0.5
"523",1990,"2849106010690-2849123010690",0.58
"524",1991,"2849106010690-2849123010690",0.73
"525",1992,"2849106010690-2849123010690",1.07
"526",1993,"2849106010690-2849123010690",1.19
"527",1994,"2849106010690-2849123010690",1
"528",1918,"2849130010690-2849163010690",1.32
"529",1919,"2849130010690-2849163010690",1.09
"530",1920,"2849130010690-2849163010690",1.37
"531",1921,"2849130010690-2849163010690",1.3
"532",1922,"2849130010690-2849163010690",0.97
"533",1923,"2849130010690-2849163010690",1.35
"534",1924,"2849130010690-2849163010690",0.88
"535",1925,"2849130010690-2849163010690",1.34
"536",1926,"2849130010690-2849163010690",1
"537",1927,"2849130010690-2849163010690",0.97
"538",1928,"2849130010690-2849163010690",1.01
"539",1929,"2849130010690-2849163010690",1.18
"540",1930,"2849130010690-2849163010690",1.11
"541",1931,"2849130010690-2849163010690",1.13
"542",1932,"2849130010690-2849163010690",1.5
"543",1933,"2849130010690-2849163010690",0.95
"544",1934,"2849130010690-2849163010690",0.89
"545",1935,"2849130010690-2849163010690",0.69
"546",1936,"2849130010690-2849163010690",0.95
"547",1937,"2849130010690-2849163010690",1.18
"548",1938,"2849130010690-2849163010690",1.33
"549",1939,"2849130010690-2849163010690",1.46
"550",1940,"2849130010690-2849163010690",1.31
"551",1941,"2849130010690-2849163010690",0.49
"552",1942,"2849130010690-2849163010690",1.17
"553",1943,"2849130010690-2849163010690",1.39
"554",1944,"2849130010690-2849163010690",0.99
"555",1945,"2849130010690-2849163010690",0.84
"556",1946,"2849130010690-2849163010690",0.53
"557",1947,"2849130010690-2849163010690",1.02
"558",1948,"2849130010690-2849163010690",0.91
"559",1949,"2849130010690-2849163010690",1.1
"560",1950,"2849130010690-2849163010690",0.69
"561",1951,"2849130010690-2849163010690",0.84
"562",1952,"2849130010690-2849163010690",1.43
"563",1953,"2849130010690-2849163010690",0.95
"564",1954,"2849130010690-2849163010690",1.03
"565",1955,"2849130010690-2849163010690",0.77
"566",1956,"2849130010690-2849163010690",0.64
"567",1957,"2849130010690-2849163010690",0.89
"568",1958,"2849130010690-2849163010690",1.04
"569",1959,"2849130010690-2849163010690",0.64
"570",1960,"2849130010690-2849163010690",0.54
"571",1961,"2849130010690-2849163010690",0.36
"572",1962,"2849130010690-2849163010690",0.39
"573",1963,"2849130010690-2849163010690",0.28
"574",1964,"2849130010690-2849163010690",0.28
"575",1965,"2849130010690-2849163010690",0.47
"576",1966,"2849130010690-2849163010690",0.31
"577",1967,"2849130010690-2849163010690",0.43
"578",1968,"2849130010690-2849163010690",0.75
"579",1969,"2849130010690-2849163010690",0.95
"580",1970,"2849130010690-2849163010690",0.55
"581",1971,"2849130010690-2849163010690",0.88
"582",1972,"2849130010690-2849163010690",0.85
"583",1973,"2849130010690-2849163010690",0.96
"584",1974,"2849130010690-2849163010690",0.68
"585",1975,"2849130010690-2849163010690",0.93
"586",1976,"2849130010690-2849163010690",0.71
"587",1977,"2849130010690-2849163010690",0.71
"588",1978,"2849130010690-2849163010690",0.75
"589",1979,"2849130010690-2849163010690",0.78
"590",1980,"2849130010690-2849163010690",0.84
"591",1981,"2849130010690-2849163010690",0.75
"592",1982,"2849130010690-2849163010690",0.7
"593",1983,"2849130010690-2849163010690",0.77
"594",1984,"2849130010690-2849163010690",0.87
"595",1985,"2849130010690-2849163010690",1.01
"596",1986,"2849130010690-2849163010690",0.94
"597",1987,"2849130010690-2849163010690",0.91
"598",1988,"2849130010690-2849163010690",1.11
"599",1989,"2849130010690-2849163010690",0.72
"600",1990,"2849130010690-2849163010690",0.67
"601",1991,"2849130010690-2849163010690",0.57
"602",1992,"2849130010690-2849163010690",0.72
"603",1993,"2849130010690-2849163010690",0.63
"604",1994,"2849130010690-2849163010690",0.58
"605",1930,"2849272010690-2849295010690",0.23
"606",1931,"2849272010690-2849295010690",0.18
"607",1932,"2849272010690-2849295010690",0.13
