age_CE,FLLM01B_raw,FLLM03B_raw,FLLM05A_raw,FLLM09B_raw,FLLM10B_raw,FLLM11A_raw,FLLM12A_raw,FLLM14A_raw,FLLM15B_raw,FLLM01B_raw_outlier_flag,FLLM03B_raw_outlier_flag,FLLM05A_raw_outlier_flag,FLLM09B_raw_outlier_flag,FLLM10B_raw_outlier_flag,FLLM11A_raw_outlier_flag,FLLM12A_raw_outlier_flag,FLLM14A_raw_outlier_flag,FLLM15B_raw_outlier_flag
1902,0.94,1,1.25,1.3,1.95,1.45,1.23,1.34,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1903,1.17,0.79,1.85,1.43,1.99,1.33,0.87,1.58,1.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1904,1.35,0.96,1.9,1.74,2.24,1.58,1.13,1.69,2.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1905,1.27,1.36,1.1,1.39,1.96,1.41,0.91,1.39,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,1.55,1.61,0.92,1.07,2.26,2.06,1.39,1.64,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,1.71,1.26,0.91,1.13,1.89,1.89,0.97,1.43,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1908,1.59,1.43,0.95,1.22,2.21,1.87,0.98,1.21,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1909,1.17,1.22,0.83,0.98,1.58,1.59,0.99,1.06,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,1.32,1.13,0.94,1.29,1.77,2.22,1.37,1.21,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,1.39,0.99,0.82,1.32,1.82,2.05,1.37,1.11,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.57,0.85,0.97,1.14,1.57,2.21,1.21,1.03,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.18,0.51,1.24,1.31,1.67,1.83,1.02,1.01,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,1.37,1.12,1.55,1.98,2.23,1.95,1.54,1.52,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.24,1.22,1.25,1.47,2.09,1.4,0.84,1.58,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,0.9,0.53,0.99,1.23,1.18,0.95,0.63,0.89,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1.21,0.93,0.95,1.36,1.14,1.36,0.89,0.99,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,1.16,1.24,0.98,1.52,1.13,1.73,0.82,1.43,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.25,0.75,1.05,1.36,1.19,1.47,0.79,1.25,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,1.31,1.1,1.31,1.67,1.71,1.57,0.99,2.14,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,0.94,0.88,0.94,1.22,1.18,1.03,0.6,1.56,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,1.23,0.77,1.08,1.15,1.36,1.73,0.85,1.66,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,1.16,0.88,0.92,1.25,1.4,2.01,0.63,1.06,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,1.36,0.84,1.14,1.18,1.77,2.71,0.75,1.7,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.14,0.79,1.18,1.21,1.58,2.21,0.84,1.05,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.25,0.98,1.07,1.18,1.44,1.92,0.71,1.27,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.14,0.82,0.95,1.42,1.34,1.87,0.8,1.74,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,1.18,0.7,1.17,1.44,1.34,2.6,0.96,1.92,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,1.2,0.86,1.24,1.21,1.5,1.75,1.01,1.66,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,1.36,0.92,1.33,1.31,1.61,1.16,0.97,1.55,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.1,0.77,1.31,1.08,1.24,1.07,0.8,1.3,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,0.98,1.02,1.35,1.08,1.09,1.14,0.92,1.48,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,1.16,0.9,1.53,1.26,1.46,1.38,0.94,1.47,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,1.31,1.16,1.83,1.29,1.53,3.37,0.97,2.65,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,1.1,0.98,1.49,1.37,1.84,2.72,1,2.22,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,1.14,1.15,1.36,1.29,1.72,2.48,1.07,2.16,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,0.93,1.02,1,1.13,1.51,2.24,1.03,1.69,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,0.97,1.17,1.11,1.52,1.67,2.56,1.17,2.29,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,0.95,1.18,1.13,1.35,1.13,2.07,1.09,2.09,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,1.15,1.27,1.07,1.38,1.04,1.84,0.94,2.03,1.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,1.32,1.43,1.25,1.39,1.15,1.65,1.14,1.99,1.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,1.25,1.24,1.43,1.48,1.23,1.42,1.02,1.77,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,0.85,0.87,1.13,0.96,0.88,1.61,0.8,1.7,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,1.69,1.49,1.94,1.36,1.58,2.61,1.06,2.61,1.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,1.48,1.15,1.55,1.03,1.31,2.16,0.88,1.84,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,1.14,1.05,1.29,0.9,1.11,1.88,0.79,1.39,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.96,1.09,1.45,0.87,1,2.28,0.85,1.42,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,1.32,1.24,1.35,1.05,0.86,3.14,1.05,1.56,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,1.1,1.15,1.26,1.24,0.87,2.61,1.24,1.5,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.84,0.95,1.01,1.05,1.03,2.53,1.28,1.12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.93,1.04,0.92,0.82,0.91,2.7,0.96,1.03,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,0.82,0.99,0.91,0.82,0.7,2.64,0.96,1.17,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,0.57,0.97,0.83,0.63,0.68,1.94,0.83,0.93,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,0.49,0.78,1.18,0.6,0.73,1.76,0.85,1.1,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,0.71,1.04,1.52,0.67,1.06,2.83,1.05,1.77,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.63,0.6,1.38,0.57,0.72,1.76,0.89,0.71,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,0.65,1.15,1.55,0.77,0.92,2.54,0.98,1.96,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.69,1.24,1.46,1.01,0.92,2.28,1.01,1.8,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.44,0.77,0.75,0.51,0.56,1.1,0.73,0.72,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.68,1.11,1.07,0.85,0.81,1.57,0.95,1.23,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.47,0.85,0.94,0.76,0.71,1.39,0.87,1.07,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.56,0.78,0.89,0.72,0.63,1.13,0.79,0.92,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,0.62,0.95,1.11,0.74,0.85,1.44,0.99,1.1,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,0.5,0.78,0.88,0.72,0.63,1.15,0.75,0.85,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,0.67,0.9,1.02,0.86,0.7,1.46,0.79,1.01,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,0.59,1.04,1,0.82,0.79,1.41,0.85,1.01,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,0.51,1.04,1.04,0.72,0.6,1.19,0.67,0.86,0.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.42,0.93,0.81,0.54,0.45,0.94,0.6,0.56,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,0.43,0.86,0.83,0.65,0.36,1.02,0.57,0.59,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,0.46,0.97,0.8,0.66,0.5,0.92,0.64,0.67,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,0.3,0.73,0.71,0.52,0.39,1,0.59,0.43,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.24,0.86,0.71,0.47,0.29,1.54,0.59,0.59,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.53,1.01,0.76,0.66,0.54,2.69,0.73,0.85,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.21,0.55,0.51,0.51,0.32,1.79,0.53,0.38,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.37,0.75,0.78,0.55,0.39,2.08,0.64,0.51,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.25,0.73,0.73,0.53,0.34,1.76,0.72,0.48,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.45,1.19,1.03,0.69,0.74,1.99,0.78,0.7,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.27,0.72,0.71,0.49,0.39,1.18,0.61,0.42,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.28,0.89,0.94,0.49,0.5,1.07,0.7,0.54,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.16,0.88,0.97,0.5,0.48,0.91,0.69,0.52,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.26,1.2,1.07,0.53,0.69,0.97,0.8,0.58,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.16,0.88,0.8,0.42,0.44,0.82,0.58,0.53,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.14,0.87,1.11,0.43,0.38,0.83,0.62,0.68,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,0.17,0.88,1.06,0.45,0.52,0.79,0.68,0.71,0.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,0.17,1.13,0.89,0.54,0.53,0.75,0.53,0.51,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,0.16,0.95,0.8,0.55,0.46,0.81,0.53,0.42,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,0.21,1.29,1,0.51,0.56,0.72,0.6,0.52,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.13,1.24,1.02,0.35,0.49,0.73,0.62,0.48,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.13,0.89,1.07,0.39,0.51,0.64,0.76,0.48,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.14,1.48,1.43,0.44,0.54,0.65,0.68,0.42,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,0.06,0.95,1.05,0.25,0.17,0.51,0.36,0.27,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,0.15,1.4,1.29,0.44,0.47,0.7,0.49,0.37,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
