age_CE,SUT41A_raw,SUT42A_raw,SUT43A_raw,SUT41A_raw_outlier_flag,SUT42A_raw_outlier_flag,SUT43A_raw_outlier_flag
1863,NA,NA,1.537,NA,NA,FALSE
1864,NA,NA,1.089,NA,NA,FALSE
1865,NA,NA,1.034,NA,NA,FALSE
1866,NA,NA,1.583,NA,NA,FALSE
1867,NA,NA,1.072,NA,NA,FALSE
1868,NA,NA,1.561,NA,NA,FALSE
1869,NA,NA,1.308,NA,NA,FALSE
1870,NA,NA,0.991,NA,NA,FALSE
1871,NA,NA,1.228,NA,NA,FALSE
1872,NA,NA,1.174,NA,NA,FALSE
1873,NA,NA,0.878,NA,NA,FALSE
1874,NA,NA,1.195,NA,NA,FALSE
1875,NA,NA,0.93,NA,NA,FALSE
1876,NA,NA,1.087,NA,NA,FALSE
1877,NA,NA,1.533,NA,NA,FALSE
1878,NA,NA,2.255,NA,NA,FALSE
1879,NA,NA,1.533,NA,NA,FALSE
1880,NA,NA,1.186,NA,NA,FALSE
1881,NA,NA,0.966,NA,NA,FALSE
1882,NA,NA,1.044,NA,NA,FALSE
1883,NA,NA,0.752,NA,NA,FALSE
1884,NA,NA,1.639,NA,NA,FALSE
1885,NA,NA,1.002,NA,NA,FALSE
1886,NA,NA,1.212,NA,NA,FALSE
1887,NA,NA,1.238,NA,NA,FALSE
1888,NA,NA,1.007,NA,NA,FALSE
1889,NA,NA,1.473,NA,NA,FALSE
1890,NA,NA,1.565,NA,NA,FALSE
1891,NA,NA,1.285,NA,NA,FALSE
1892,NA,NA,1.615,NA,NA,FALSE
1893,NA,NA,0.876,NA,NA,FALSE
1894,NA,NA,0.815,NA,NA,FALSE
1895,NA,NA,0.868,NA,NA,FALSE
1896,NA,NA,1.114,NA,NA,FALSE
1897,NA,NA,0.505,NA,NA,FALSE
1898,NA,NA,0.626,NA,NA,FALSE
1899,NA,NA,0.991,NA,NA,FALSE
1900,NA,NA,0.832,NA,NA,FALSE
1901,NA,NA,0.901,NA,NA,FALSE
1902,NA,NA,0.525,NA,NA,FALSE
1903,NA,NA,0.524,NA,NA,FALSE
1904,NA,NA,0.578,NA,NA,FALSE
1905,NA,NA,1.223,NA,NA,FALSE
1906,NA,NA,1.402,NA,NA,FALSE
1907,NA,NA,0.631,NA,NA,FALSE
1908,NA,NA,0.521,NA,NA,FALSE
1909,NA,NA,0.496,NA,NA,FALSE
1910,NA,NA,0.643,NA,NA,FALSE
1911,NA,NA,0.697,NA,NA,FALSE
1912,NA,NA,0.486,NA,NA,FALSE
1913,NA,NA,0.61,NA,NA,FALSE
1914,NA,0.922,0.494,NA,FALSE,FALSE
1915,NA,1.294,1.091,NA,FALSE,FALSE
1916,NA,0.799,0.615,NA,FALSE,FALSE
1917,NA,1.015,0.654,NA,FALSE,FALSE
1918,NA,1.065,0.369,NA,FALSE,FALSE
1919,NA,0.896,0.427,NA,FALSE,FALSE
1920,NA,0.761,0.6,NA,FALSE,FALSE
1921,NA,1.013,0.41,NA,FALSE,FALSE
1922,NA,1.006,0.516,NA,FALSE,FALSE
1923,NA,1.121,0.658,NA,FALSE,FALSE
1924,NA,0.656,0.437,NA,FALSE,FALSE
1925,NA,0.833,0.462,NA,FALSE,FALSE
1926,NA,1.115,0.625,NA,FALSE,FALSE
1927,NA,1.144,0.492,NA,FALSE,FALSE
1928,NA,1.209,0.482,NA,FALSE,FALSE
1929,NA,1.177,0.42,NA,FALSE,FALSE
1930,NA,1.475,0.624,NA,FALSE,FALSE
1931,NA,0.738,0.53,NA,FALSE,FALSE
1932,NA,1.164,0.376,NA,FALSE,FALSE
1933,NA,1.417,0.47,NA,FALSE,FALSE
1934,NA,0.856,0.275,NA,FALSE,FALSE
1935,NA,1.132,0.429,NA,FALSE,FALSE
1936,NA,1.685,0.501,NA,FALSE,FALSE
1937,NA,1.055,0.455,NA,FALSE,FALSE
1938,NA,0.923,0.448,NA,FALSE,FALSE
1939,NA,0.624,0.324,NA,FALSE,FALSE
1940,NA,1.229,0.435,NA,FALSE,FALSE
1941,NA,1.081,0.606,NA,FALSE,FALSE
1942,NA,1.185,0.716,NA,FALSE,FALSE
1943,NA,1.146,0.573,NA,FALSE,FALSE
1944,NA,1.212,0.493,NA,FALSE,FALSE
1945,NA,1.154,0.332,NA,FALSE,FALSE
1946,NA,0.834,0.397,NA,FALSE,FALSE
1947,NA,0.819,0.375,NA,FALSE,FALSE
1948,NA,1.166,0.453,NA,FALSE,FALSE
1949,NA,0.943,0.368,NA,FALSE,FALSE
1950,NA,0.508,0.422,NA,FALSE,FALSE
1951,NA,0.513,0.352,NA,FALSE,FALSE
1952,NA,0.625,0.391,NA,FALSE,FALSE
1953,NA,1.189,0.546,NA,FALSE,FALSE
1954,NA,1.085,0.391,NA,FALSE,FALSE
1955,NA,0.814,0.35,NA,FALSE,FALSE
1956,NA,0.808,0.389,NA,FALSE,FALSE
1957,NA,1.12,0.404,NA,FALSE,FALSE
1958,NA,1.077,0.389,NA,FALSE,FALSE
1959,NA,1.108,0.393,NA,FALSE,FALSE
1960,NA,1.623,0.434,NA,FALSE,FALSE
1961,NA,1.465,0.324,NA,FALSE,FALSE
1962,NA,1.379,0.121,NA,FALSE,FALSE
1963,NA,1.374,0.728,NA,FALSE,FALSE
1964,NA,1.178,0.206,NA,FALSE,FALSE
1965,NA,0.675,0.284,NA,FALSE,FALSE
1966,NA,0.611,0.145,NA,FALSE,FALSE
1967,NA,0.765,0.313,NA,FALSE,FALSE
1968,NA,1.137,0.231,NA,FALSE,FALSE
1969,NA,0.952,0.259,NA,FALSE,FALSE
1970,3.532,0.963,0.193,FALSE,FALSE,FALSE
1971,2.743,0.937,0.282,FALSE,FALSE,FALSE
1972,2.026,0.756,0.236,FALSE,FALSE,FALSE
1973,4.257,0.972,0.337,FALSE,FALSE,FALSE
1974,4.77,1.462,0.297,FALSE,FALSE,FALSE
1975,3.585,1.031,0.261,FALSE,FALSE,FALSE
1976,2.177,0.615,0.281,FALSE,FALSE,FALSE
1977,1.132,0.322,0.208,FALSE,FALSE,FALSE
1978,4.485,0.389,0.152,FALSE,FALSE,FALSE
1979,3.854,2.258,0.363,FALSE,FALSE,FALSE
1980,5.061,2.558,0.28,FALSE,TRUE,FALSE
1981,4.005,2.774,0.292,FALSE,TRUE,FALSE
1982,3.815,2.543,0.384,FALSE,TRUE,FALSE
1983,3.434,2.219,0.309,FALSE,FALSE,FALSE
1984,2.899,2.222,0.313,FALSE,FALSE,FALSE
1985,2.114,1.394,0.294,FALSE,FALSE,FALSE
1986,3.575,1.818,0.3,FALSE,FALSE,FALSE
1987,1.967,1.271,0.279,FALSE,FALSE,FALSE
1988,2.012,0.886,0.195,FALSE,FALSE,FALSE
1989,2.534,1.033,0.281,FALSE,FALSE,FALSE
1990,2.64,1.808,0.292,FALSE,FALSE,FALSE
1991,3.792,1.538,0.343,FALSE,FALSE,FALSE
1992,3.833,1.38,0.318,FALSE,FALSE,FALSE
1993,4.589,1.62,0.272,FALSE,FALSE,FALSE
1994,2.187,0.921,0.333,FALSE,FALSE,FALSE
1995,5.701,1.442,0.376,FALSE,FALSE,FALSE
1996,4,0.862,0.412,FALSE,FALSE,FALSE
1997,2.459,0.553,0.19,FALSE,FALSE,FALSE
1998,4.537,0.859,0.539,FALSE,FALSE,FALSE
1999,2.556,0.76,0.351,FALSE,FALSE,FALSE
2000,3.136,0.585,0.332,FALSE,FALSE,FALSE
2001,2.727,0.29,0.207,FALSE,FALSE,FALSE
2002,2.841,0.632,0.259,FALSE,FALSE,FALSE
2003,3.457,0.666,0.395,FALSE,FALSE,FALSE
2004,2.643,0.773,0.24,FALSE,FALSE,FALSE
